Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,ASIANPAINT,2225.45,2210.1,2242.85,2195.5,2210.0,2211.5,2216.71,3006197,666386971135000.0,109408.0,741874.0,0.2468,2214.0,2242.3,2196.15,2213.05,2216.3842994157644,50151.0,3523.0,111153889.0,8732.0,17.41,46.15,-0.95
2020-10-29,ASIANPAINT,2159.55,2162.0,2233.25,2161.1,2222.0,2225.45,2207.88,4795796,1058852966395000.0,200462.0,612956.0,0.1278,2160.0,2232.45,2159.55,2224.8,2207.832874914608,111252.0,9533.0,245625823.0,11875.0,10.67,72.9,64.8
2020-10-28,ASIANPAINT,2197.8,2199.8,2218.55,2150.15,2161.1,2159.55,2179.17,3166049,689937298995000.0,139041.0,693572.0,0.2191,2200.0,2218.2,2150.6,2159.2,2188.98499119814,230065.0,8914.0,503608832.0,152934.0,66.47,67.6,-40.8
2020-10-27,ASIANPAINT,2080.45,2085.0,2207.35,2085.0,2198.75,2197.8,2168.57,4964904,1076674819925000.0,233651.0,1328297.0,0.2675,2072.0,2206.05,2072.0,2198.15,2168.103966194934,230498.0,18741.0,499743628.0,73792.0,32.01,134.05,126.15
2020-10-26,ASIANPAINT,2120.25,2116.35,2116.35,2070.05,2080.0,2080.45,2085.88,1278236,266624472855000.03,61409.0,283050.0,0.2214,2119.0,2119.0,2070.5,2080.7,2082.3329011145074,32391.0,3056.0,67448845.0,11331.0,34.98,48.5,-38.3
2020-10-23,ASIANPAINT,2099.9,2113.5,2129.4,2096.0,2116.4,2120.25,2116.22,3070722,649832862395000.0,87068.0,1037713.0,0.3379,2115.0,2128.95,2096.85,2119.4,2116.318535940027,74833.0,6023.0,158370465.0,28728.0,38.39,32.1,4.4
2020-10-22,ASIANPAINT,2114.3,2114.2,2116.85,2076.8,2095.75,2099.9,2092.84,2755693,576723330645000.0,106800.0,512013.0,0.1858,2106.0,2114.95,2078.0,2100.25,2093.6133538963986,66138.0,5903.0,138467400.0,12647.0,19.12,36.95,-5.75
2020-10-21,ASIANPAINT,2118.5,2130.0,2143.85,2081.25,2107.0,2114.3,2118.5,2895442,613398349845000.0,101407.0,579185.0,0.2,2137.0,2142.65,2081.1,2114.35,2117.577899704861,76913.0,6463.0,162869269.0,18292.0,23.78,61.55,-22.65
2020-10-20,ASIANPAINT,2070.1,2077.9,2131.8,2067.35,2131.0,2118.5,2098.3,2377723,498917576935000.06,84819.0,615914.0,0.259,2085.8,2131.5,2067.95,2119.3,2100.9827331610563,59594.0,5373.0,125205965.0,24895.0,41.77,63.55,33.5
2020-10-19,ASIANPAINT,2061.2,2079.95,2079.95,2056.5,2072.7,2070.1,2067.89,1338404,276766914795000.0,45107.0,286188.0,0.2138,2070.1,2076.65,2056.25,2070.6,2067.156963305403,41532.0,3475.0,85853163.0,11091.0,26.7,20.4,0.5
2020-10-16,ASIANPAINT,2090.45,2089.95,2090.0,2055.55,2064.0,2061.2,2069.68,2017718,417603453165000.0,72151.0,691809.0,0.3429,2090.5,2090.5,2057.0,2061.75,2068.8823589084645,29573.0,2605.0,61183058.0,8657.0,29.27,33.5,-28.75
2020-10-15,ASIANPAINT,2071.35,2070.0,2124.0,2066.05,2079.9,2090.45,2098.84,4001883,839932489415000.0,125012.0,1067599.0,0.2668,2077.6,2122.8,2069.45,2089.4,2079.7379040387896,203353.0,4727.0,422920942.0,141743.0,69.7,53.35,11.8
2020-10-14,ASIANPAINT,2064.65,2070.0,2085.5,2055.0,2073.45,2071.35,2068.84,1530567,316649492560000.0,48699.0,338328.0,0.22100000000000009,2066.05,2084.35,2055.15,2071.3,2067.702010693576,53116.0,3530.0,109828060.0,11221.0,21.13,29.2,5.25
2020-10-13,ASIANPAINT,2077.85,2077.0,2114.0,2054.05,2067.1,2064.65,2079.99,2619253,544801321730000.0,82298.0,804554.0,0.3072,2072.0,2112.9,2054.4,2064.75,2083.317987873344,48983.0,3196.0,102047165.0,10920.0,22.29,58.5,-7.25
2020-10-12,ASIANPAINT,2050.6,2067.9,2086.45,2041.25,2086.0,2077.85,2072.29,2182836,452347809865000.0,80495.0,743321.0,0.3405,2077.0,2085.95,2041.45,2076.9,2071.34672176708,41379.0,3061.0,85710256.0,8396.0,20.29,44.5,-0.1
2020-10-09,ASIANPAINT,2088.65,2094.0,2108.9,2045.15,2050.75,2050.6,2061.12,1636939,337393169430000.0,76655.0,584520.0,0.35710000000000003,2090.0,2107.15,2046.45,2050.4,2062.492770979401,45926.0,4968.0,94722043.0,13307.0,28.97,60.7,-39.6
2020-10-08,ASIANPAINT,2105.0,2104.5,2107.95,2072.05,2091.85,2088.65,2087.2,1427500,297947175480000.0,61899.0,459852.0,0.3221,2109.0,2109.0,2072.8,2090.6,2087.8228897697923,27497.0,2265.0,57408866.0,6358.0,23.12,36.2,-18.4
2020-10-07,ASIANPAINT,2090.0,2080.0,2118.8,2073.95,2100.25,2105.0,2104.15,2429595,511222374460000.06,85878.0,440960.0,0.1815,2091.0,2118.0,2074.65,2103.95,2103.33495145631,79722.0,6380.0,167682069.0,24058.0,30.18,43.35,12.95
