Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,BPCL,341.8,344.85,359.45,343.5,353.8,354.45,353.77,16824430,595200672360000.0,143969.0,4069752.0,0.2419000000000001,346.1,359.45,343.9,354.3,353.6063808757486,359167.0,5822.0,127003743.0,51145.0,14.24,15.55,8.2
2020-10-29,BPCL,345.45,344.0,347.5,338.2,343.0,341.8,342.71,7362118,252305438480000.03,76923.0,1007697.0,0.1369,345.5,347.2,338.4,341.75,342.630527475988,317550.0,6967.0,108802324.0,63562.0,20.02,8.8,-3.75
2020-10-28,BPCL,348.65,348.25,349.6,342.45,345.5,345.45,346.01,3871950,133972852675000.0,41251.0,1166224.0,0.3012,348.3,349.5,342.6,345.55,347.83342095474785,481237.0,1506.0,167390312.0,410883.0,85.38,6.9,-2.75
2020-10-27,BPCL,346.1,346.0,349.9,342.05,347.9,348.65,346.71,4358723,151122844055000.0,45828.0,1149567.0,0.2637,346.4,349.85,341.85,348.3,346.54597507141,154040.0,3080.0,53381942.0,55234.0,35.86,8.0,1.9
2020-10-26,BPCL,351.55,351.55,353.7,342.55,346.05,346.1,347.97,5082419,176851268260000.0,61143.0,978665.0,0.1926,351.0,353.6,342.7,346.4,347.9391544987802,109852.0,2189.0,38221812.0,24647.0,22.44,10.9,-4.6
2020-10-23,BPCL,349.35,349.9,355.35,349.5,350.95,351.55,352.89,5048123,178143929585000.0,52614.0,947976.0,0.1878,352.0,355.2,350.0,351.4,352.91093713186586,258907.0,5240.0,91371112.0,109770.0,42.4,5.2,-0.6
2020-10-22,BPCL,349.55,348.7,350.8,344.0,349.75,349.35,347.38,5829503,202503527080000.0,80138.0,805289.0,0.1381,350.0,350.6,344.05,349.6,347.35752932692134,275941.0,4803.0,95850184.0,72351.0,26.22,6.55,-0.4
2020-10-21,BPCL,343.35,360.5,363.05,345.1,350.5,349.55,352.33,17057233,600985204580000.0,154846.0,2007070.0,0.1177,358.1,362.25,345.0,349.55,353.08431687681707,684430.0,14292.0,241661499.0,192898.0,28.18,17.25,-8.55
2020-10-20,BPCL,346.65,345.95,349.75,341.65,343.7,343.35,345.27,5243128,181030108460000.0,69475.0,1319376.0,0.2516,346.0,349.65,341.4,343.35,345.55042198210344,169083.0,3954.0,58426702.0,52040.0,30.78,8.25,-2.65
2020-10-19,BPCL,339.95,344.0,347.8,341.05,346.9,346.65,344.83,7375287,254322493380000.03,66500.0,1429203.0,0.1938,343.0,347.7,341.1,346.65,344.91082756501777,331986.0,5897.0,114505566.0,93759.0,28.24,6.6,3.65
