Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,BRITANNIA,3532.65,3540.0,3549.85,3460.65,3478.3,3473.25,3495.86,475859,166353747140000.0,45691.0,205615.0,0.4321,3545.0,3548.1,3460.7,3474.65,3496.2052817533986,16699.0,3689.0,58383132.0,6163.0,36.91,87.4,-70.35
2020-10-29,BRITANNIA,3541.7,3538.0,3556.0,3498.0,3536.35,3532.65,3526.1,654253,230695881730000.03,51665.0,331181.0,0.5062,3526.5,3556.0,3498.25,3533.95,3526.011173184357,13962.0,2174.0,49230168.0,4093.0,29.32,57.75,7.45
2020-10-28,BRITANNIA,3572.25,3572.2,3599.8,3524.95,3545.0,3541.7,3567.99,667035,237997670010000.0,57582.0,305705.0,0.4583,3574.0,3599.0,3525.15,3539.55,3569.757312129717,32070.0,5289.0,114482117.0,12045.0,37.56,73.85,-34.45
2020-10-27,BRITANNIA,3485.4,3480.0,3588.0,3480.0,3575.0,3572.25,3552.58,1753963,623109232580000.0,153787.0,866263.0,0.4939,3484.1,3587.25,3484.0,3574.1,3554.7638377302137,40180.0,5268.0,142830411.0,9117.0,22.69,103.25,90.0
2020-10-26,BRITANNIA,3469.75,3482.0,3505.55,3466.0,3485.0,3485.4,3485.58,893740,311519994595000.0,51090.0,463379.0,0.5185000000000001,3494.0,3505.05,3469.0,3484.1,3484.66895840495,11636.0,1789.0,40547608.0,3183.0,27.35,36.05,-9.9
2020-10-23,BRITANNIA,3458.35,3480.0,3502.9,3442.05,3470.0,3469.75,3472.95,1022334,355051935860000.0,51773.0,424448.0,0.4152,3470.0,3501.0,3441.75,3469.7,3470.657315291977,36287.0,5864.0,125939742.0,12346.0,34.02,59.25,-0.3
2020-10-22,BRITANNIA,3397.25,3410.0,3493.35,3410.0,3465.2,3458.35,3459.56,2266246,784021443220000.0,117730.0,842578.0,0.3718,3410.0,3494.7,3410.0,3458.65,3458.893290538164,45488.0,6534.0,157338138.0,14879.0,32.71,84.7,48.65
2020-10-21,BRITANNIA,3553.15,3580.0,3580.0,3382.0,3401.85,3397.25,3459.6,3538724,1224257334185000.0,229869.0,1276456.0,0.3607,3565.15,3582.4,3374.8,3393.05,3465.2399745232124,83213.0,11556.0,288353014.0,27062.0,32.52,207.6,-172.1
2020-10-20,BRITANNIA,3772.45,3681.0,3694.0,3543.1,3552.9,3553.15,3581.6,3187477,1141627858000000.0,294264.0,1070451.0,0.3358,3689.0,3689.0,3535.0,3551.5,3578.517991155669,138846.0,25588.0,496862909.0,58901.0,42.42,154.0,-137.5
2020-10-19,BRITANNIA,3747.2,3766.0,3795.0,3740.0,3769.15,3772.45,3774.89,473267,178652937715000.0,38386.0,111204.0,0.235,3762.2,3795.0,3744.2,3773.8,3774.752251711301,16654.0,2838.0,62864724.0,4362.0,26.19,50.8,11.6
2020-10-16,BRITANNIA,3731.0,3748.95,3779.0,3721.25,3749.9,3747.2,3750.74,263967,99007097960000.0,18040.0,75669.0,0.2867,3736.0,3776.4,3730.0,3747.55,3747.493620071685,13950.0,1733.0,52277536.0,2099.0,15.05,46.4,11.55
2020-10-15,BRITANNIA,3789.8,3790.0,3835.95,3715.0,3734.75,3731.0,3787.64,526411,199385618280000.0,32774.0,149880.0,0.2847,3790.0,3835.05,3714.9,3731.8,3789.72218430034,21975.0,3597.0,83279145.0,7095.0,32.29,120.15,-58.2
2020-10-14,BRITANNIA,3745.65,3743.0,3801.8,3740.0,3782.1,3789.8,3779.43,545911,206323510090000.0,37587.0,167907.0,0.30760000000000004,3779.0,3801.15,3744.8,3791.05,3782.7674883411046,12008.0,1541.0,45423472.0,1997.0,16.63,56.35,12.05
2020-10-13,BRITANNIA,3731.5,3732.0,3786.3,3702.65,3755.0,3745.65,3756.22,368886,138561725484999.98,27271.0,111463.0,0.3022,3725.0,3784.85,3705.1,3744.7,3754.433411764706,8500.0,1047.0,31912684.0,1947.0,22.91,79.75,19.7
2020-10-12,BRITANNIA,3745.1,3769.1,3774.3,3722.3,3734.9,3731.5,3740.01,286506,107153419200000.0,19031.0,84891.0,0.2963,3769.1,3769.1,3724.0,3730.9,3738.225293612145,6982.0,1082.0,26100289.0,1427.0,20.44,45.1,-38.2
2020-10-09,BRITANNIA,3794.7,3807.0,3818.65,3735.0,3745.25,3745.1,3759.64,347685,130717213505000.0,24441.0,99117.0,0.2851,3829.9,3829.9,3735.0,3744.8,3762.3651335609557,9958.0,1664.0,37465632.0,3734.0,37.5,94.9,-85.1
2020-10-08,BRITANNIA,3785.95,3798.9,3825.0,3771.5,3796.3,3794.7,3796.26,371495,141029163070000.0,35164.0,137331.0,0.3697,3819.9,3823.15,3770.25,3794.35,3793.9958424897545,16837.0,2561.0,63879508.0,4592.0,27.27,52.9,-25.55
2020-10-07,BRITANNIA,3765.85,3780.0,3838.0,3768.0,3793.0,3785.95,3796.97,590795,224323145860000.0,53060.0,237045.0,0.4012,3787.0,3837.8,3769.0,3786.1,3798.3042439830974,21772.0,4043.0,82696680.0,7017.0,32.23,68.8,-0.9
2020-10-06,BRITANNIA,3830.45,3870.0,3879.95,3752.0,3774.0,3765.85,3799.63,666856,253380681680000.03,50547.0,211658.0,0.3174,3870.0,3880.0,3753.1,3768.0,3795.714240385836,15758.0,2653.0,59812865.0,5330.0,33.82,126.9,-102.0
2020-10-05,BRITANNIA,3808.6,3815.0,3857.8,3785.05,3830.0,3830.45,3833.97,460889,176703514625000.0,37555.0,150114.0,0.3257,3809.5,3856.95,3785.1,3828.45,3833.71908191918,24573.0,3546.0,94205979.0,15541.0,63.24,71.85,18.95
2020-10-01,BRITANNIA,3798.15,3820.0,3827.95,3762.0,3810.0,3808.6,3790.49,336322,127482555134999.98,29356.0,85639.0,0.2546,3840.0,3840.0,3763.1,3809.65,3787.118036472645,8006.0,1221.0,30319667.0,1715.0,21.42,76.9,-30.35
2020-09-30,BRITANNIA,3736.85,3734.0,3825.0,3714.05,3795.5,3798.15,3789.81,535771,203047156625000.0,32948.0,170100.0,0.3175,3732.0,3823.65,3725.0,3795.95,3800.6222828089294,13571.0,1413.0,51578245.0,2783.0,20.51,98.65,63.95
2020-09-29,BRITANNIA,3737.35,3769.0,3796.0,3701.65,3715.05,3736.85,3756.82,449330,168805053410000.0,24309.0,126432.0,0.28140000000000004,3794.0,3795.55,3707.55,3731.8,3758.639524517088,6730.0,1313.0,25295644.0,1519.0,22.57,88.0,-62.2
