Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,CIPLA,762.3,765.7,767.5,746.0,756.0,754.5,757.49,4126277,312561083320000.0,77078.0,666815.0,0.1616,762.1,767.4,746.4,754.1,756.8348216016436,77383.0,2108.0,58566149.0,12801.0,16.54,21.0,-8.0
2020-10-29,CIPLA,765.25,766.1,774.65,757.0,762.55,762.3,764.91,6084021,465370160570000.0,131277.0,1263446.0,0.2077,766.1,774.5,757.15,761.9,764.9448367409453,127313.0,3357.0,97387422.0,28115.0,22.08,17.35,-4.2
2020-10-28,CIPLA,770.25,771.4,780.0,762.15,766.0,765.25,771.65,7050213,544032279945000.0,103682.0,1066920.0,0.15130000000000002,771.0,779.5,762.25,765.15,771.2948993146688,217559.0,6678.0,167802147.0,77571.0,35.66,17.25,-5.85
2020-10-27,CIPLA,747.15,750.0,773.55,747.0,771.0,770.25,762.47,7004115,534041164730000.0,124585.0,1708010.0,0.2439,746.25,773.0,746.25,770.45,762.9996076747699,135092.0,3479.0,103075143.0,25162.0,18.63,26.75,24.2
2020-10-26,CIPLA,757.55,761.2,763.75,742.3,744.5,747.15,752.87,4665293,351235697865000.0,70559.0,664535.0,0.1424,759.35,763.95,742.5,745.05,751.3541158655793,140663.0,3527.0,105687724.0,31508.0,22.4,21.45,-14.3
2020-10-23,CIPLA,757.5,761.25,774.65,755.0,757.85,757.55,765.32,8515910,651743810045000.0,106443.0,1351739.0,0.1587,764.0,774.4,755.1,756.85,765.3385866313359,187184.0,4612.0,143259138.0,29015.0,15.5,19.3,-7.15
2020-10-22,CIPLA,767.1,765.0,769.85,744.0,758.95,757.5,755.49,8429302,636822348065000.0,121941.0,1534491.0,0.182,767.0,767.0,744.15,757.35,755.4223920240921,213844.0,7055.0,161542546.0,31262.0,14.62,22.85,-9.65
2020-10-21,CIPLA,764.3,771.8,771.8,756.5,768.45,767.1,765.08,6932538,530395927165000.0,108621.0,1312737.0,0.1894,782.8,782.8,756.7,767.55,765.6447279180704,176932.0,4447.0,135467053.0,19850.0,11.22,26.1,-15.25
2020-10-20,CIPLA,764.0,765.0,774.7,756.3,763.25,764.3,765.64,6029721,461660421155000.0,91340.0,691610.0,0.1147,763.85,774.3,756.45,764.05,766.4979076839287,220330.0,6139.0,168882484.0,26913.0,12.21,17.85,0.2
2020-10-19,CIPLA,782.35,783.0,784.1,762.15,763.9,764.0,768.73,4351957,334550002265000.0,79257.0,805615.0,0.1851,782.1,782.8,762.2,763.85,768.3833393637452,107787.0,3047.0,82821735.0,20756.0,19.26,20.6,-18.25
