Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,COALINDIA,110.85,111.6,115.2,111.05,114.65,114.2,113.74,17774954,202176846105000.0,66576.0,2601039,0.1463,111.35,115.15,111.1,114.2,113.744911052019,989792,6872,112583803.0,200853.0,20.29,4.05,2.85
2020-10-29,COALINDIA,112.7,112.0,112.45,110.55,111.0,110.85,111.18,11415157,126913689305000.0,51228.0,3418660,0.2995,112.5,112.5,110.5,110.85,111.15652085184028,333208,2820,37038242.0,100824.0,30.26,2.0,-1.65
2020-10-28,COALINDIA,113.95,113.95,114.0,112.4,112.4,112.7,113.13,9366429,105961466440000.0,48406.0,2922569,0.312,114.45,114.45,112.3,112.65,113.17772606846545,229488,2384,25972930.0,80296.0,34.99,2.15,-1.8
2020-10-27,COALINDIA,114.55,114.2,115.15,112.85,113.65,113.95,114.04,10985481,125277287650000.0,41886.0,2607141,0.2373,114.5,115.1,112.85,113.65,113.96363846220436,519835,2585,59242288.0,97074.0,18.67,2.25,-0.85
2020-10-26,COALINDIA,117.7,117.9,117.9,114.2,114.35,114.55,115.29,11243328,129620346100000.0,45309.0,2275864,0.2024,117.75,117.8,114.1,114.5,115.25690037735971,591743,5882,68202464.0,181650.0,30.7,3.7,-3.25
2020-10-23,COALINDIA,115.8,116.8,118.2,116.2,117.7,117.7,117.48,11876045,139515115325000.0,43967.0,3013225,0.25370000000000004,116.1,118.15,116.1,117.75,117.47190614016482,876882,6546,103009000.0,361966.0,41.28,2.05,1.65
2020-10-22,COALINDIA,115.1,115.0,116.7,114.1,116.35,115.8,115.24,13653952,157349271330000.0,49600.0,5463167,0.4001,115.25,116.75,114.15,115.9,115.08004475483202,406660,5468,46798451.0,134392.0,33.05,2.6,0.65
2020-10-21,COALINDIA,113.65,113.65,116.9,113.55,115.4,115.1,115.63,20421826,236144066185000.0,65665.0,5921022,0.2899,113.85,116.95,113.85,115.1,115.54170029826756,577334,3506,66706152.0,74949.0,12.98,3.1,1.25
2020-10-20,COALINDIA,114.7,115.1,116.15,113.1,113.65,113.65,114.23,16554188,189093212065000.0,61225.0,2529702,0.1528,115.0,116.0,113.05,113.55,113.74093777337409,1758122,6655,199970445.0,1189189.0,67.64,2.95,-1.45
2020-10-19,COALINDIA,111.35,112.5,115.35,111.25,115.35,114.7,113.26,18111350,205130805335000.0,66096.0,5432373,0.2999,112.2,115.45,111.3,114.75,113.35243778169705,1020600,11169,115687498.0,372819.0,36.53,4.15,2.55
2020-10-16,COALINDIA,110.6,111.3,112.75,109.6,112.5,111.35,110.56,12231070,135220685595000.0,45438.0,4357257,0.3562,111.5,112.65,109.6,111.55,110.58908812030285,572422,7406,63303627.0,183442.0,32.05,3.05,0.05
2020-10-15,COALINDIA,110.55,110.85,112.7,109.55,110.6,110.6,111.37,15481821,172416026585000.0,57781.0,3401170,0.2197,111.0,112.7,109.5,110.6,111.31448599611484,820558,6515,91339992.0,225477.0,27.48,3.2,-0.4
