Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,DRREDDY,4941.95,4974.0,4978.05,4870.15,4886.0,4888.65,4919.48,1263391,621522299505000.0,69373.0,157166.0,0.1244,4964.0,4975.0,4871.8,4887.95,4915.205281918341,43204,4947,212356529.0,7320.0,16.94,103.2,-76.05
2020-10-29,DRREDDY,4951.0,4920.0,5040.0,4894.95,4922.0,4941.95,4974.93,2310287,1149351515395000.0,126440.0,270341.0,0.11699999999999999,4935.0,5041.6,4892.8,4942.45,4974.677389033943,47875,5865,238162680.0,2679.0,5.6,148.8,7.45
2020-10-28,DRREDDY,5099.4,5110.0,5150.0,4920.0,4935.0,4951.0,5057.57,3628334,1835055078435000.0,174264.0,414720.0,0.1143,5114.45,5148.0,4921.5,4949.8,5067.926775675034,151548,12790,768034167.0,50147.0,33.09,226.5,-164.65
2020-10-27,DRREDDY,4978.1,4990.0,5127.0,4960.5,5109.9,5099.4,5045.27,1843547,930119508420000.0,98391.0,320849.0,0.174,4983.0,5125.15,4960.8,5100.3,5033.154702817494,80994,9023,407655332.0,27701.0,34.2,164.35,117.3
2020-10-26,DRREDDY,5018.25,5008.0,5062.0,4951.25,4951.3,4978.1,5006.67,1408079,704978797385000.0,76728.0,212563.0,0.151,5008.95,5060.1,4954.0,4980.15,5005.518231043599,54111,4928,270853597.0,12172.0,22.49,106.1,-28.8
2020-10-23,DRREDDY,5022.0,5051.0,5091.0,4996.0,5008.0,5018.25,5037.66,1817481,915585381615000.0,93793.0,219986.0,0.121,5045.0,5090.6,5000.0,5015.9,5035.9123015314035,49693,6065,250249590.0,8654.0,17.41,90.6,-29.1
2020-10-22,DRREDDY,5046.75,5036.7,5044.7,4831.0,5029.15,5022.0,4950.74,4918148,2434849395915000.0,235753.0,618140.0,0.1257,5046.9,5046.9,4832.4,5023.6,4951.183469706578,129302,16078,640197925.0,10446.0,8.08,214.5,-23.3
2020-10-21,DRREDDY,5071.15,5096.55,5096.55,4906.55,5030.3,5046.75,5033.87,1601491,806170274945000.0,94124.0,328171.0,0.2049,5088.0,5097.2,4910.35,5046.9,5036.475046404015,38251,3554,192650207.0,4347.0,11.36,186.85,-41.1
2020-10-20,DRREDDY,5058.15,5056.95,5110.0,5030.95,5071.75,5071.15,5075.86,1380290,700615539835000.0,72938.0,253444.0,0.1836,5100.0,5113.35,5036.1,5069.35,5072.065305274293,52936,5283,268494849.0,25664.0,48.48,77.25,-30.65
2020-10-19,DRREDDY,5080.55,5211.0,5215.0,5042.05,5049.65,5058.15,5095.13,2150734,1095826319205000.0,112496.0,263960.0,0.1227,5202.0,5213.5,5040.4,5051.45,5085.308248550625,79517,7573,404368456.0,21650.0,27.23,173.1,-150.55
2020-10-16,DRREDDY,5056.25,5036.0,5125.0,5020.0,5098.6,5080.55,5079.67,2023115,1027675924355000.0,95508.0,210960.0,0.1043,5040.0,5123.75,5024.75,5082.35,5084.799760526186,60967,5584,310004987.0,23210.0,38.07,99.0,42.35
2020-10-15,DRREDDY,5123.0,5148.65,5165.0,5020.1,5070.0,5056.25,5093.18,1768628,900794152405000.0,82352.0,244501.0,0.13820000000000002,5188.0,5188.0,5024.85,5055.1,5101.5868383208945,73015,3832,372492363.0,39669.0,54.33,163.15,-132.9
2020-10-14,DRREDDY,5168.75,5175.0,5219.75,5090.85,5120.2,5123.0,5143.34,1864628,959041921045000.0,95324.0,294596.0,0.158,5185.0,5220.45,5091.9,5121.0,5135.191465712133,53080,6186,272575963.0,19794.0,37.29,128.55,-64.0
2020-10-13,DRREDDY,5220.5,5230.0,5322.8,5157.85,5165.0,5168.75,5254.26,3363975,1767520294095000.0,154790.0,385332.0,0.1145,5228.8,5321.05,5150.4,5167.2,5253.177126917714,69549,6683,365353216.0,6548.0,9.41,170.65,-61.6
