Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,GAIL,83.45,84.0,85.1,82.7,84.85,84.75,84.19,10960418.0,92273319310000.0,38383.0,1660505.0,0.1515,84.5,85.05,82.75,84.75,84.19130970049206,529602.0,2783.0,44587886.0,131812.0,24.89,2.3,0.25
2020-10-29,GAIL,83.1,82.5,84.15,82.15,83.7,83.45,82.96,9245526.0,76696976260000.0,42689.0,2260436.0,0.2445,82.0,83.8,82.0,83.45,82.89880143199899,369274.0,3126.0,30612372.0,90342.0,24.46,1.8,1.45
2020-10-28,GAIL,84.2,84.95,84.95,82.8,83.0,83.1,83.91,13155853.0,110389463284999.98,45246.0,4276949.0,0.3251,85.0,85.0,82.9,83.1,83.87363972156706,452389.0,3498.0,37943512.0,127283.0,28.14,2.1,-1.9
2020-10-27,GAIL,85.5,85.45,85.6,83.6,84.3,84.2,84.29,11804674.0,99497567100000.0,35424.0,3215636.0,0.2724,85.0,85.6,83.7,84.2,84.42943183138232,1127711.0,4113.0,95211999.0,804970.0,71.38,1.9,-0.8
2020-10-26,GAIL,87.3,87.65,87.8,85.0,85.65,85.5,85.9,9696925.0,83295170045000.0,30540.0,2984532.0,0.3078,87.95,87.95,85.0,85.6,85.81197998628093,247830.0,1201.0,21266783.0,126269.0,50.95,2.95,-2.35
2020-10-23,GAIL,88.65,89.35,89.35,87.0,87.45,87.3,87.61,13327157.0,116761939684999.98,64988.0,5492438.0,0.4121,88.85,89.5,87.0,87.25,87.58743171550341,1015970.0,2892.0,88986203.0,648329.0,63.81,2.5,-1.6
2020-10-22,GAIL,87.65,86.15,89.1,86.15,88.55,88.65,87.98,19366327.0,170385951825000.0,41438.0,7626845.0,0.3938,86.0,89.1,86.0,88.75,87.6825415073987,1296034.0,3600.0,113639555.0,754319.0,58.2,3.1,2.75
2020-10-21,GAIL,85.7,85.8,88.25,85.75,87.85,87.65,87.15,15809047.0,137770198225000.0,41663.0,5287943.0,0.3345,86.5,88.25,85.75,87.65,87.22297656474585,1753256.0,4226.0,152924207.0,1231021.0,70.21,2.5,1.15
2020-10-20,GAIL,87.45,85.8,87.4,85.0,85.45,85.7,86.4,10804676.0,93353024455000.0,33952.0,2927653.0,0.271,85.25,87.4,85.25,85.75,86.51645164488652,1079193.0,3156.0,93367949.0,805092.0,74.6,2.15,0.5
2020-10-19,GAIL,84.0,84.2,87.9,84.0,87.5,87.45,86.57,17139173.0,148369607795000.0,52023.0,4795209.0,0.2798,84.05,87.75,84.0,87.4,86.3664934691182,1591439.0,5826.0,137447006.0,877973.0,55.17,3.75,3.35
2020-10-16,GAIL,82.3,82.55,84.2,82.4,84.15,84.0,83.37,11036039.0,92006673270000.0,31134.0,3971427.0,0.35990000000000005,82.8,84.2,82.5,84.05,83.39929272368352,910818.0,3091.0,75961577.0,613468.0,67.35,1.7,1.25
2020-10-15,GAIL,82.65,82.4,83.95,82.0,82.4,82.3,83.17,10136635.0,84308791265000.0,32708.0,2821074.0,0.2783,82.1,83.95,82.0,82.3,83.42958606260784,1673369.0,5184.0,139608483.0,1330333.0,79.5,1.95,0.2
2020-10-14,GAIL,83.15,82.35,82.95,81.2,82.7,82.65,82.17,12516630.0,102851161875000.0,37347.0,4956271.0,0.396,83.0,83.0,81.25,82.75,82.11673577233448,874265.0,4732.0,71791788.0,447475.0,51.18,1.75,-0.25
2020-10-13,GAIL,83.85,83.6,84.0,82.1,83.15,83.15,82.95,9936578.0,82423287605000.0,38653.0,2940121.0,0.2959,84.0,84.0,82.15,83.2,83.4123196949804,1792934.0,2539.0,149552784.0,1529417.0,85.3,1.85,-0.8
