Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,GRASIM,770.2,770.0,793.75,765.25,779.6,778.35,779.89,1709943,133357453809999.98,34060.0,234447.0,0.1371,768.35,793.5,766.0,778.7,780.2663653366583,38496.0,1272.0,30037134.0,4504.0,11.7,27.5,10.35
2020-10-29,GRASIM,777.25,772.75,777.35,766.0,769.1,770.2,771.62,1061950,81942508240000.0,28998.0,293582.0,0.2765,770.0,777.0,766.0,769.75,771.7649863760222,11744.0,830.0,9063608.0,2616.0,22.28,11.0,-0.25
2020-10-28,GRASIM,779.1,789.7,789.7,773.05,773.6,777.25,777.56,1977397,153755147695000.0,30966.0,902535.0,0.4564,780.85,784.75,773.3,777.15,778.1567050339759,14422.0,467.0,11222576.0,4433.0,30.74,11.45,-3.7
2020-10-27,GRASIM,780.0,774.0,790.0,772.85,776.65,779.1,782.34,1530802,119761150234999.98,40861.0,444319.0,0.2903,775.35,789.85,773.6,778.8,782.9621091354998,16310.0,718.0,12770112.0,3093.0,18.96,16.25,3.45
2020-10-26,GRASIM,785.2,785.0,789.85,768.0,779.7,780.0,778.32,1338819,104202634550000.0,29793.0,226805.0,0.16940000000000002,784.85,789.7,768.0,779.45,778.2608567967403,27241.0,790.0,21200604.0,2824.0,10.37,21.7,-5.4
2020-10-23,GRASIM,791.65,794.1,804.0,782.1,784.9,785.2,795.0,2354331,187168585465000.0,53954.0,619672.0,0.2632,791.3,804.0,782.05,784.95,795.0908090662363,27266.0,1001.0,21678946.0,5115.0,18.76,21.95,-6.35
2020-10-22,GRASIM,791.75,791.75,794.45,781.0,791.0,791.65,788.89,1699846,134098835120000.0,32095.0,505820.0,0.29760000000000003,792.0,793.75,781.25,791.3,788.1307314737219,25059.0,1234.0,19749768.0,10507.0,41.93,12.5,-0.7
2020-10-21,GRASIM,777.2,780.0,794.45,771.55,793.0,791.75,783.22,2409367,188707547420000.0,42251.0,478568.0,0.1986,781.0,794.0,772.0,792.1,784.3993917680385,24004.0,1196.0,18828723.0,7847.0,32.69,22.0,11.1
2020-10-20,GRASIM,773.15,775.0,779.9,764.5,777.0,777.2,772.16,1739215,134295099890000.02,30542.0,284627.0,0.1637,775.0,780.05,765.0,776.75,773.6774154686369,49804.0,1433.0,38532230.0,20407.0,40.97,15.05,1.75
2020-10-19,GRASIM,772.7,772.0,782.4,761.55,772.6,773.15,773.86,2134699,165195765180000.0,35081.0,288412.0,0.1351,774.0,782.0,761.9,773.3,773.7771595794645,27679.0,1207.0,21417378.0,5200.0,18.79,20.1,-0.7
2020-10-16,GRASIM,750.1,752.95,776.65,750.0,769.0,772.7,763.67,1765026,134789750030000.0,34415.0,260250.0,0.1474,750.1,776.1,750.1,772.3,764.5615219721327,27990.0,1113.0,21400077.0,6997.0,25.0,26.0,22.2
2020-10-15,GRASIM,763.6,760.35,767.95,745.2,750.25,750.1,759.52,1500700,113981040950000.0,30219.0,203433.0,0.1356,759.0,767.8,745.5,750.0,759.8260483638808,41684.0,1532.0,31672589.0,12251.0,29.39,22.3,-9.0
2020-10-14,GRASIM,749.45,743.0,768.0,733.45,763.15,763.6,752.9,2406038,181150329715000.0,35906.0,326926.0,0.1359,745.85,767.95,733.75,764.35,755.3048017272008,36591.0,1159.0,27637358.0,10531.0,28.78,34.2,18.5
2020-10-13,GRASIM,744.7,742.8,763.0,736.95,746.5,749.45,753.86,2740418,206590264750000.0,40593.0,402285.0,0.1468,760.0,762.8,738.0,748.9,753.7007922338762,35848.0,1026.0,27018666.0,3014.0,8.41,24.8,-11.1
2020-10-12,GRASIM,745.1,746.15,752.35,738.0,739.4,744.7,744.13,2813652,209373264480000.0,46950.0,1284385.0,0.4565,749.75,751.8,738.25,742.6,744.2456408168805,29478.0,938.0,21938873.0,3554.0,12.06,13.55,-7.15
2020-10-09,GRASIM,770.35,769.55,772.9,742.25,749.6,745.1,751.93,2905184,218450926370000.0,48888.0,996475.0,0.34299999999999997,771.0,772.0,742.45,744.8,748.7395933073938,361354.0,2265.0,270560047.0,320340.0,88.65,29.55,-26.2
2020-10-08,GRASIM,759.65,765.0,774.7,758.7,769.55,770.35,766.72,2220310,170235786285000.0,49142.0,413007.0,0.18600000000000005,762.0,774.2,759.0,770.5,767.4571443217932,58522.0,1766.0,44913127.0,20955.0,35.81,15.2,8.5
2020-10-07,GRASIM,757.7,755.0,761.7,748.0,759.8,759.65,755.36,1626654,122870714695000.0,45766.0,324164.0,0.1993,750.15,761.0,747.75,759.5,754.4042146649764,54429.0,2092.0,41061467.0,27376.0,50.3,13.25,9.35
2020-10-06,GRASIM,750.15,750.25,759.95,740.5,756.0,757.7,748.95,1854621,138902274955000.0,31071.0,389480.0,0.21,751.2,760.35,740.85,757.75,749.8919986982195,43018.0,1632.0,32258854.0,10650.0,24.76,19.5,6.55
2020-10-05,GRASIM,754.55,752.2,763.6,741.95,747.5,750.15,750.71,1900046,142638609345000.0,40927.0,364232.0,0.1917,754.25,763.45,742.5,751.0,750.0655262559673,35192.0,1436.0,26396306.0,8539.0,24.26,20.95,-3.25
2020-10-01,GRASIM,744.2,749.2,756.0,736.05,751.7,754.55,747.03,2403720,179564107470000.0,45081.0,275997.0,0.1148,751.4,755.8,736.25,754.25,748.0501299126041,55037.0,1411.0,41170435.0,21023.0,38.2,19.55,2.85
2020-09-30,GRASIM,721.45,721.45,746.4,715.05,743.0,744.2,735.04,2377808,174778114220000.0,35014.0,698664.0,0.2938,720.8,746.6,717.65,743.95,732.5909876349272,44561.0,1165.0,32644987.0,9505.0,21.33,28.95,23.15
2020-09-29,GRASIM,734.2,736.0,739.9,715.05,718.1,721.45,725.29,1821921,132141377805000.0,30080.0,255836.0,0.1404,743.0,743.0,715.0,720.75,723.7299754968691,36730.0,886.0,26582602.0,6682.0,18.19,28.0,-22.25
2020-09-28,GRASIM,708.15,715.0,735.65,715.0,735.0,734.2,727.15,2545879,185124572275000.0,41870.0,401428.0,0.1577,721.0,735.0,713.9,734.2,728.0811555706455,100141.0,1766.0,72910775.0,17673.0,17.65,21.1,13.2
2020-09-25,GRASIM,679.7,683.0,712.2,683.0,706.95,708.15,698.27,2258203,157682961990000.0,36888.0,332819.0,0.1474,684.45,711.85,684.45,708.0,699.7715773952008,52219.0,1700.0,36541372.0,19725.0,37.77,27.4,23.55
2020-09-24,GRASIM,718.4,708.0,715.0,675.5,677.6,679.7,694.91,2825289,196331471420000.0,37572.0,1314985.0,0.4654,703.0,714.05,676.0,680.4,695.5875724667267,48988.0,1782.0,34075444.0,12519.0,25.56,38.05,-22.6
2020-09-23,GRASIM,729.1,729.35,732.75,705.0,719.0,718.4,714.48,2576697,184099821190000.0,46662.0,750137.0,0.2911,732.5,732.5,704.9,719.15,715.2939113068416,39056.0,1101.0,27936519.0,8216.0,21.04,27.6,-13.35
2020-09-22,GRASIM,716.85,720.4,746.0,706.8,727.45,729.1,726.68,3313571,240791607680000.03,54246.0,533839.0,0.1611,711.3,736.7,707.0,728.95,726.160471412129,61687.0,2101.0,44794661.0,9772.0,15.84,29.7,17.65
2020-09-21,GRASIM,745.0,749.65,749.65,710.05,713.0,716.85,732.42,2426658,177733385875000.0,47059.0,480448.0,0.198,750.0,750.4,710.8,715.85,730.8412604042805,52142.0,2192.0,38107525.0,13156.0,25.23,39.6,-34.15
2020-09-18,GRASIM,724.7,727.95,748.65,724.65,744.5,745.0,736.94,3216185,237013749935000.0,53196.0,1309377.0,0.4071,724.2,748.45,724.2,745.0,735.6961280510608,80218.0,3234.0,59016072.0,34196.0,42.63,24.25,20.8
2020-09-17,GRASIM,720.4,720.4,738.75,716.55,725.9,724.7,727.21,3927324,285597105440000.0,87193.0,729001.0,0.1856,724.0,738.7,716.8,724.85,726.8488540102559,70594.0,1955.0,51311168.0,7698.0,10.9,21.9,0.85
2020-09-16,GRASIM,720.4,722.95,737.2,714.1,720.0,720.4,725.06,3038720,220324763815000.0,50984.0,258735.0,0.0851,725.0,737.4,714.0,720.2,725.3466488596346,125793.0,2400.0,91243531.0,23047.0,18.32,23.4,-4.8
2020-09-15,GRASIM,707.0,711.6,723.5,709.8,718.05,720.4,718.24,2926571,210198215790000.0,47582.0,375220.0,0.1282,714.0,723.4,709.85,719.05,718.0777420234523,91675.0,1893.0,65829777.0,32101.0,35.02,13.55,5.05
2020-09-14,GRASIM,720.95,721.0,735.95,703.0,710.0,707.0,721.15,3044866,219579823260000.0,54257.0,574841.0,0.1888,717.0,735.8,702.95,706.8,723.6339090462802,112035.0,3538.0,81072325.0,43576.0,38.89,32.85,-10.2
2020-09-11,GRASIM,713.3,715.0,727.0,704.65,718.4,720.95,720.66,7330487,528281491310000.06,79551.0,3197690.0,0.4362,713.0,728.0,705.1,721.5,723.8427603289806,703264.0,5669.0,509052555.0,450488.0,64.06,22.9,8.5
2020-09-10,GRASIM,687.1,696.55,717.75,681.3,711.5,713.3,700.6,4924113,344984740840000.0,87361.0,1835456.0,0.3727,697.0,717.4,681.65,713.1,706.7824889995593,517252.0,9447.0,365584656.0,403437.0,78.0,35.75,16.1
2020-09-09,GRASIM,677.1,676.0,696.5,664.05,693.25,687.1,677.71,2835848,192189289810000.0,48768.0,717884.0,0.2531,671.25,696.4,664.8,685.7,679.1400450027568,67107.0,1993.0,45575051.0,22944.0,34.19,31.6,14.45
2020-09-08,GRASIM,700.15,702.9,702.9,674.2,675.0,677.1,686.39,2825627,193949141615000.0,44654.0,907601.0,0.3212,708.8,708.8,674.55,676.45,685.3528307268145,42074.0,1433.0,28835535.0,10551.0,25.08,34.25,-32.35
2020-09-07,GRASIM,706.5,720.0,720.8,693.0,701.0,700.15,703.54,4178265,293959088345000.0,60353.0,1189990.0,0.2848,716.0,720.05,693.45,700.1,703.7721658141843,65495.0,2055.0,46093558.0,14119.0,21.56,26.6,-15.9
2020-09-04,GRASIM,724.75,705.0,724.0,698.7,708.0,706.5,713.81,3605878,257390748895000.0,88226.0,825585.0,0.22899999999999998,694.05,724.0,694.05,706.45,713.4215261796874,168604.0,4274.0,120285723.0,37196.0,22.06,29.95,12.4
2020-09-03,GRASIM,678.45,685.0,729.35,681.6,726.1,724.75,705.46,7498392,528978781975000.0,105692.0,1044847.0,0.1393,681.5,729.15,681.2,725.8,705.1999189160457,404519.0,7157.0,285266766.0,54718.0,13.53,47.95,44.3
