Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,HCLTECH,840.05,842.8,859.7,833.0,844.75,841.95,846.09,8727295,738404361860000.0,134890.0,2721901.0,0.3119,841.0,859.75,833.15,843.2,846.5770837203862,145329,3575,123032201.0,15397.0,10.59,26.6,2.2
2020-10-29,HCLTECH,829.6,825.0,842.5,818.95,836.4,840.05,833.08,6691023,557415405495000.0,116800.0,2006222.0,0.2998,824.0,842.0,819.0,839.85,831.0168389763866,415821,9046,345554253.0,227357.0,54.68,23.0,15.85
2020-10-28,HCLTECH,847.25,852.0,852.0,821.6,829.9,829.6,833.36,6853043,571105467800000.0,139980.0,2092608.0,0.3054,852.0,852.0,821.7,829.6,840.2664796533522,698346,10936,586796735.0,523250.0,74.93,30.3,-22.4
2020-10-27,HCLTECH,847.8,848.95,857.45,838.7,850.0,847.25,846.32,5807905,491532431685000.06,109755.0,2185781.0,0.3763,848.15,857.0,838.65,847.45,846.2773733932165,154968,5945,131145912.0,39165.0,25.27,18.35,-0.7
2020-10-26,HCLTECH,852.45,853.0,860.9,842.05,847.45,847.8,852.83,6614014,564063621115000.0,120624.0,1935295.0,0.2926,854.1,860.35,842.2,848.15,853.4812833066158,276972,6635,236390418.0,124947.0,45.11,18.15,-5.95
2020-10-23,HCLTECH,866.25,871.0,875.45,850.6,852.5,852.45,860.3,5447502,468649635010000.06,115601.0,1678794.0,0.30820000000000003,873.0,875.0,850.6,852.25,860.5761189727699,222034,6372,191077158.0,109363.0,49.26,24.4,-20.75
2020-10-22,HCLTECH,871.05,858.9,878.0,851.55,866.0,866.25,866.76,9607800,832762004070000.0,168926.0,3455330.0,0.35960000000000003,864.7,878.05,852.2,867.1,867.2866453482892,180439,4591,156492335.0,32716.0,18.13,25.85,2.4
2020-10-21,HCLTECH,879.65,881.0,891.65,860.0,866.0,871.05,874.89,11162084,976563880200000.0,155501.0,2598830.0,0.2328,883.4,891.95,859.5,870.7,875.1768953640109,442171,12815,386977843.0,165296.0,37.38,32.45,-12.7
2020-10-20,HCLTECH,844.75,846.95,886.0,843.6,881.0,879.65,875.71,21564064,1888383225425000.0,291297.0,5543370.0,0.2571,845.05,885.75,845.0,880.05,876.7229386267096,737324,16469,646428864.0,308465.0,41.84,40.75,35.0
2020-10-19,HCLTECH,827.15,839.8,861.7,833.0,846.95,844.75,848.3,15671737,1329427407985000.0,258268.0,3766826.0,0.2404,839.0,861.4,833.5,844.65,851.393852205488,657927,14331,560155003.0,353949.0,53.8,27.9,5.65
2020-10-16,HCLTECH,860.0,859.0,877.0,820.6,830.05,827.15,836.13,28983265,2423375884990000.0,413675.0,4612604.0,0.1591,865.0,877.0,821.0,827.1,836.274867731085,723337,21298,604908554.0,99336.0,13.73,56.0,-37.9
2020-10-15,HCLTECH,890.45,899.95,903.7,833.45,863.45,860.0,864.0,15648849,1352065071200000.0,233161.0,3534511.0,0.2259,901.9,903.55,834.0,859.45,876.3329001341592,881042,11950,772086091.0,532482.0,60.44,69.55,-42.45
2020-10-14,HCLTECH,900.4,904.0,910.7,882.0,887.0,890.45,893.4,15441223,1379523329915000.0,191846.0,4692865.0,0.3039,903.9,910.75,881.35,890.1,892.3277956034254,636723,15965,568165631.0,205696.0,32.31,29.4,-13.8
2020-10-13,HCLTECH,865.8,866.3,906.6,863.3,900.9,900.4,892.77,18948688,1691681483950000.0,230425.0,3777633.0,0.1994,870.0,906.7,864.85,900.45,894.1027234167873,835311,20565,746853840.0,301056.0,36.04,41.85,30.45
2020-10-12,HCLTECH,855.75,860.8,871.95,857.15,866.2,865.8,864.97,8717565,754045128315000.0,117629.0,3622810.0,0.4156,865.0,871.5,857.2,866.35,865.2196815899135,224616,7409,194342184.0,50277.0,22.38,14.3,1.35
