Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,HDFC,1934.3,1930.0,1947.0,1906.85,1921.0,1923.55,1925.59,4322115,832260758350000.0,162226.0,2176136.0,0.5035000000000001,1934.0,1947.0,1907.7,1922.75,1924.314625478946,50371.0,3562.0,96929652.0,8440.0,16.76,39.3,-11.25
2020-10-29,HDFC,1968.9,1941.25,1970.0,1927.3,1937.55,1934.3,1947.27,3463664,674468928165000.0,194216.0,1791837.0,0.5173,1937.1,1970.0,1927.85,1934.25,1948.1942074589488,90254.0,7592.0,175832320.0,22220.0,24.62,42.15,-2.85
2020-10-28,HDFC,2041.35,2045.0,2045.0,1965.0,1969.1,1968.9,1985.57,4636738,920655940445000.0,238018.0,2311729.0,0.4986,2041.25,2041.25,1965.0,1969.05,2032.3304918932604,845346.0,7498.0,1718022452.0,758910.0,89.78,76.25,-72.2
2020-10-27,HDFC,2073.35,2056.0,2064.8,2027.0,2029.75,2041.35,2050.39,4468948,916307417530000.0,175630.0,2728844.0,0.6106,2051.0,2063.85,2027.0,2039.15,2049.72136890662,80210.0,6092.0,164408151.0,35047.0,43.69,36.85,-11.85
2020-10-26,HDFC,2059.7,2058.0,2083.95,2052.75,2073.0,2073.35,2069.01,4927520,1019507434780000.0,148814.0,2856064.0,0.5796,2040.0,2083.65,2036.0,2073.5,2068.9463345759896,80741.0,5835.0,167048796.0,33527.0,41.52,47.65,33.5
2020-10-23,HDFC,2042.55,2056.0,2067.9,2046.0,2062.75,2059.7,2055.96,3573911,734782006245000.0,127950.0,2027860.0,0.5674,2056.0,2067.0,2046.3,2061.1,2056.0201364079253,55422.0,4892.0,113948748.0,24206.0,43.68,20.7,5.1
2020-10-22,HDFC,2048.75,2038.3,2063.0,2023.15,2046.0,2042.55,2042.61,5030745,1027585591405000.0,220748.0,2504787.0,0.4979,2033.25,2062.4,2023.0,2042.55,2042.7219158385208,109884.0,8829.0,224462455.0,33891.0,30.84,39.4,9.3
2020-10-21,HDFC,2015.3,2030.0,2067.45,2005.35,2045.8,2048.75,2047.11,8166501,1671770346845000.0,223144.0,4846082.0,0.5934,2035.0,2066.6,2005.2,2048.1,2040.6600987933994,127134.0,9871.0,259437281.0,40527.0,31.88,61.4,13.1
2020-10-20,HDFC,2031.5,2025.0,2041.7,2004.05,2017.1,2015.3,2021.91,4733065,956980933080000.0,188405.0,2586459.0,0.5465,2023.5,2040.5,2005.0,2016.25,2022.4125722361014,79254.0,6992.0,160284286.0,24945.0,31.47,35.5,-7.25
2020-10-19,HDFC,1961.7,1985.0,2039.9,1983.1,2033.25,2031.5,2020.74,6591617,1331995980400000.0,188322.0,2827799.0,0.429,1978.0,2039.45,1978.0,2033.7,2020.690601143237,132431.0,8260.0,267602077.0,27015.0,20.4,61.45,55.7
2020-10-16,HDFC,1947.2,1948.4,1983.7,1939.35,1958.6,1961.7,1959.14,3238617,634490329190000.0,131973.0,1233662.0,0.3809,1948.5,1982.9,1940.0,1960.05,1958.7699290484147,57504.0,4257.0,112637106.0,11030.0,19.18,42.9,11.55
2020-10-15,HDFC,1979.85,1983.0,2020.0,1938.25,1947.05,1947.2,1983.18,5170267,1025355290645000.0,185795.0,1947869.0,0.3767,1987.45,2020.0,1938.9,1947.1,1977.1338519293847,827362.0,9252.0,1635805418.0,706014.0,85.33,81.1,-40.35
2020-10-14,HDFC,1943.4,1935.0,1989.0,1919.05,1978.1,1979.85,1950.1,3108218,606132976035000.0,117744.0,1014216.0,0.32630000000000003,1941.7,1988.85,1918.25,1978.75,1951.951402720081,52719.0,4041.0,102904926.0,13010.0,24.68,70.6,37.05
2020-10-13,HDFC,1965.4,1962.0,1986.65,1930.55,1939.0,1943.4,1955.06,3351027,655146621545000.0,136009.0,1305139.0,0.3895,1957.55,1985.7,1930.95,1942.85,1955.2761780277526,75741.0,5888.0,148094573.0,19591.0,25.87,54.75,-14.7
2020-10-12,HDFC,1957.65,1965.0,1998.95,1942.3,1963.95,1965.4,1967.77,3651557,718542764895000.0,138149.0,1053568.0,0.28850000000000003,1970.0,1998.95,1943.0,1965.85,1968.6428323936123,63494.0,4805.0,124997008.0,10436.0,16.44,55.95,-4.15
2020-10-09,HDFC,1949.25,1945.0,2029.85,1938.0,1966.0,1957.65,1987.39,10848230,2155967479675000.0,324810.0,4276466.0,0.3942000000000001,1938.0,2028.85,1938.0,1957.25,1992.188500152704,206281.0,11669.0,410950636.0,22777.0,11.04,90.85,19.25
2020-10-08,HDFC,1948.75,1952.5,1988.45,1938.5,1947.8,1949.25,1965.11,4589506,901890131810000.0,200847.0,2136183.0,0.4654,1946.0,1988.0,1938.35,1948.3,1964.5561067245885,136276.0,12528.0,267721848.0,58289.0,42.77,49.65,2.3
2020-10-07,HDFC,1934.4,1945.0,1964.85,1908.85,1952.0,1948.75,1941.72,7038044,1366589273405000.0,249998.0,3070679.0,0.4363,1941.4,1965.0,1908.25,1949.8,1941.8953935098846,214480.0,20126.0,416497724.0,87677.0,40.88,56.75,8.4
2020-10-06,HDFC,1785.1,1803.15,1943.7,1803.15,1920.0,1934.4,1896.91,16829628,3192429855620000.0,538170.0,6898727.0,0.4099,1804.4,1943.0,1804.4,1934.45,1895.3287590005482,683014.0,52632.0,1294536077.0,321730.0,47.1,138.6,130.05
2020-10-05,HDFC,1790.65,1784.0,1816.5,1775.7,1782.35,1785.1,1799.82,4056801,730150388055000.0,184302.0,2232184.0,0.5502,1789.9,1816.0,1775.55,1785.35,1803.2795197271826,84452.0,6135.0,152290562.0,40159.0,47.55,40.45,-4.55
