Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,HDFCBANK,1187.2,1182.55,1199.3,1176.35,1182.4,1183.55,1186.31,5761470,683487866365000.0,137766.0,1417497.0,0.24600000000000002,1184.0,1199.25,1176.55,1183.45,1186.5565617101786,202973,9169,240838945.0,41439.0,20.42,22.7,-0.55
2020-10-29,HDFCBANK,1209.6,1200.6,1204.45,1178.5,1190.5,1187.2,1189.63,11530152,1371665978180000.0,207330.0,4599106.0,0.3989,1202.0,1204.0,1178.8,1188.05,1190.5665778599393,220704,8436,262762806.0,40089.0,18.16,25.2,-13.95
2020-10-28,HDFCBANK,1233.1,1228.0,1232.0,1201.5,1210.3,1209.6,1214.22,8285625,1006058681990000.0,202965.0,3816626.0,0.4606,1230.0,1231.7,1201.35,1205.35,1207.6365764722195,735522,11497,888243270.0,559911.0,76.12,30.35,-24.65
2020-10-27,HDFCBANK,1210.9,1226.0,1236.0,1197.85,1235.0,1233.1,1216.83,12158922,1479528765470000.0,207342.0,5566363.0,0.4578,1221.1,1235.95,1198.0,1233.3,1216.959616558972,352075,14887,428461057.0,104781.0,29.76,37.95,12.2
2020-10-26,HDFCBANK,1235.8,1229.8,1242.0,1204.6,1216.55,1210.9,1222.29,9786023,1196138415570000.0,197782.0,4286264.0,0.438,1232.0,1242.1,1205.0,1213.0,1225.0985598189486,194420,7384,238183662.0,39128.0,20.13,37.1,-19.0
2020-10-23,HDFCBANK,1233.3,1243.5,1248.45,1231.2,1236.55,1235.8,1238.33,7933126,982385287690000.0,172764.0,3893201.0,0.4908,1240.0,1248.0,1231.45,1235.7,1238.6618895605513,117784,4980,145894552.0,28220.0,23.96,16.55,-4.3
2020-10-22,HDFCBANK,1246.7,1239.95,1250.0,1223.0,1232.0,1233.3,1237.77,10956548,1356171311270000.0,269781.0,4980877.0,0.4546,1242.0,1250.0,1223.0,1232.95,1238.5385854658748,225318,10841,279065037.0,63170.0,28.04,27.0,-9.05
2020-10-21,HDFCBANK,1223.95,1230.6,1251.0,1221.7,1245.25,1246.7,1238.33,17820565,2206774647340000.0,311963.0,9474491.0,0.5317000000000001,1231.0,1250.5,1222.2,1247.05,1237.7360300022508,750877,22180,929387517.0,420274.0,55.97,28.3,16.05
2020-10-20,HDFCBANK,1203.55,1207.5,1227.4,1205.9,1224.6,1223.95,1218.32,13705994,1669823414805000.0,278115.0,6665757.0,0.4863,1212.0,1227.0,1205.35,1224.15,1218.1136571818456,479257,10377,583789497.0,280426.0,58.51,21.65,12.15
2020-10-19,HDFCBANK,1199.35,1235.0,1235.0,1192.6,1203.0,1203.55,1206.93,21179884,2556265300400000.0,312856.0,6298278.0,0.2974,1220.0,1228.8,1193.0,1203.35,1206.846478759923,820336,24011,990019613.0,140712.0,17.15,35.8,-16.65
2020-10-16,HDFCBANK,1169.25,1180.0,1203.5,1173.0,1203.35,1199.35,1189.99,12911559,1536464999360000.0,232163.0,5757664.0,0.4459,1182.0,1203.0,1172.95,1199.0,1192.0242359460412,401346,12293,478414159.0,212464.0,52.94,30.05,17.0
2020-10-15,HDFCBANK,1211.5,1214.2,1217.0,1164.0,1168.6,1169.25,1195.09,14123569,1687895991870000.0,238649.0,6426038.0,0.455,1214.8,1216.45,1164.4,1169.15,1190.3696556883485,382299,11771,455077129.0,154798.0,40.49,52.05,-45.65
2020-10-14,HDFCBANK,1198.45,1195.55,1214.3,1175.5,1213.5,1211.5,1190.04,11291473,1343725178595000.0,220645.0,4716259.0,0.4177,1193.3,1214.8,1175.85,1210.85,1193.6646966131011,246863,8946,294671648.0,51586.0,20.9,38.95,17.55
2020-10-13,HDFCBANK,1213.65,1213.4,1222.45,1195.0,1195.25,1198.45,1206.34,9177015,1107057351350000.0,183515.0,3940507.0,0.4294,1214.15,1221.5,1195.1,1198.15,1206.6396665391512,201283,6118,242876052.0,43263.0,21.49,26.4,-16.0
2020-10-12,HDFCBANK,1233.55,1231.55,1242.75,1205.6,1214.5,1213.65,1220.43,9610277,1172871113665000.0,192519.0,2412953.0,0.2511,1235.0,1242.5,1206.0,1213.4,1230.2098268801105,2023511,21367,2489343117.0,1611203.0,79.62,36.5,-21.6
2020-10-09,HDFCBANK,1191.8,1201.0,1237.0,1191.65,1235.2,1233.55,1218.62,22486215,2740214739855000.0,338324.0,8314015.0,0.3697,1200.0,1236.95,1191.9,1233.7,1217.9941041422094,1151656,39316,1402710218.0,413708.0,35.92,45.05,33.7
2020-10-08,HDFCBANK,1162.25,1180.0,1203.0,1163.35,1189.9,1191.8,1187.94,17530368,2082505039745000.0,242763.0,9001403.0,0.5135000000000001,1175.55,1203.0,1165.0,1191.9,1187.5674551035934,665198,18023,789967496.0,303919.0,45.69,38.0,16.35
2020-10-07,HDFCBANK,1144.1,1144.9,1164.85,1137.6,1160.5,1162.25,1154.88,10624527,1227010019700000.0,210164.0,3580273.0,0.337,1145.0,1164.75,1137.5,1162.0,1154.5727184679554,518314,23469,598431204.0,200515.0,38.69,27.25,17.0
2020-10-06,HDFCBANK,1114.35,1135.05,1148.0,1126.2,1143.15,1144.1,1137.63,9685997,1101911112530000.0,214476.0,2624119.0,0.27090000000000003,1131.7,1148.0,1126.3,1144.2,1137.8009768057746,254503,10191,289573762.0,76565.0,30.08,21.7,12.5
2020-10-05,HDFCBANK,1106.95,1112.0,1132.0,1111.0,1112.5,1114.35,1121.66,8470109,950054376835000.0,160877.0,3030427.0,0.3578,1111.0,1131.45,1110.65,1114.15,1122.3020579285997,258318,10131,289910823.0,74079.0,28.68,20.8,3.15
2020-10-01,HDFCBANK,1078.6,1090.1,1110.0,1090.1,1108.0,1106.95,1099.6,10601566,1165744272045000.0,173095.0,3061601.0,0.2888,1085.0,1109.75,1085.0,1106.6,1099.9410454065676,512547,21758,563771483.0,222311.0,43.37,24.75,21.6
2020-09-30,HDFCBANK,1062.55,1060.0,1086.9,1052.0,1078.0,1078.6,1070.11,9407038,1006659889080000.0,226805.0,4038213.0,0.4293,1055.1,1086.55,1052.55,1079.2,1071.6687980091488,278072,8841,298001086.0,44523.0,16.01,34.0,24.1
2020-09-29,HDFCBANK,1054.2,1058.0,1069.9,1051.0,1064.4,1062.55,1059.74,6322274,669993741490000.0,106799.0,1803588.0,0.2853,1058.9,1069.9,1051.0,1062.5,1060.1911617406236,125794,5262,133365687.0,17490.0,13.9,18.9,3.6
2020-09-28,HDFCBANK,1044.0,1048.95,1059.0,1042.65,1058.0,1054.2,1053.08,8076211,850487749860000.0,133937.0,3908991.0,0.484,1050.0,1059.0,1042.9,1054.05,1051.1008538140595,1177774,10690,1237959257.0,990011.0,84.06,16.1,4.05
2020-09-25,HDFCBANK,1030.4,1050.0,1051.95,1025.65,1042.55,1044.0,1038.13,10160775,1054825428000000.0,162790.0,4128006.0,0.4063000000000001,1053.0,1053.0,1026.25,1044.05,1037.581348478631,275377,8350,285726039.0,104896.0,38.09,26.75,-8.95
2020-09-24,HDFCBANK,1047.25,1038.0,1047.0,1025.0,1030.5,1030.4,1035.26,9904895,1025411589295000.0,198189.0,4695108.0,0.474,1036.5,1045.05,1025.15,1029.95,1036.854187648356,308801,15549,320181610.0,102326.0,33.14,19.9,-6.55
2020-09-23,HDFCBANK,1035.4,1046.0,1055.0,1034.35,1048.95,1047.25,1046.38,8039935,841286375095000.0,181416.0,2446333.0,0.3043,1040.0,1055.0,1034.65,1047.55,1046.1359204211562,361101,13609,377760727.0,93152.0,25.8,20.35,7.55
2020-09-22,HDFCBANK,1049.3,1054.05,1058.15,1029.5,1038.0,1035.4,1042.49,9310339,970590783955000.0,218683.0,3226259.0,0.3465,1050.0,1058.0,1030.0,1036.0,1041.641460845605,249691,9685,260088498.0,62821.0,25.16,28.0,-14.0
2020-09-21,HDFCBANK,1057.3,1055.0,1071.35,1041.5,1042.1,1049.3,1058.7,9921439,1050383035445000.0,206109.0,2978466.0,0.3002,1052.0,1071.2,1041.15,1048.7,1058.2793730886233,495062,19510,523913903.0,123284.0,24.9,30.05,-3.3
2020-09-18,HDFCBANK,1083.6,1092.0,1092.2,1047.2,1058.9,1057.3,1068.82,11740889,1254891902240000.0,194150.0,5051107.0,0.4302,1090.0,1092.15,1047.3,1057.4,1067.4401632670863,275132,9568,293686947.0,79453.0,28.88,44.85,-32.6
2020-09-17,HDFCBANK,1093.65,1084.0,1094.0,1078.0,1085.5,1083.6,1087.14,9159413,995760556605000.0,130623.0,3060263.0,0.33409999999999995,1088.0,1094.35,1077.85,1083.25,1089.3102647438304,612290,6304,666973782.0,381196.0,62.26,16.5,-4.75
2020-09-16,HDFCBANK,1070.5,1070.2,1096.0,1068.35,1092.5,1093.65,1084.56,9355126,1014615817720000.0,169907.0,3577005.0,0.3824,1069.75,1095.5,1069.75,1093.5,1083.6644324617423,531136,14730,575573192.0,151614.0,28.55,25.75,23.75
2020-09-15,HDFCBANK,1057.95,1068.0,1076.15,1058.1,1073.7,1070.5,1066.57,8252566,880192056775000.0,147079.0,2743944.0,0.3325,1066.0,1076.0,1058.4,1070.9,1067.057973667603,207577,6126,221496693.0,30067.0,14.48,17.6,4.9
2020-09-14,HDFCBANK,1078.65,1088.0,1094.0,1052.35,1057.05,1057.95,1073.19,10825874,1161822724570000.0,215379.0,4580061.0,0.4231,1090.0,1093.9,1053.2,1057.9,1072.360515627887,276013,8861,295985443.0,62987.0,22.82,40.7,-32.1
2020-09-11,HDFCBANK,1090.55,1096.45,1104.85,1071.0,1080.5,1078.65,1083.3,10397545,1126363332080000.0,201271.0,3835827.0,0.3689,1094.0,1104.95,1071.1,1078.5,1085.278487782496,342173,15164,371352996.0,77989.0,22.79,33.85,-15.5
2020-09-10,HDFCBANK,1096.5,1103.0,1104.85,1084.0,1091.95,1090.55,1095.11,7594209,831649392050000.0,132365.0,1804983.0,0.2377,1105.0,1105.0,1084.0,1090.65,1095.6472565843899,207916,6422,227802595.0,39279.0,18.89,21.0,-14.35
2020-09-09,HDFCBANK,1112.45,1101.0,1110.0,1091.25,1095.95,1096.5,1099.31,7864545,864555264179999.9,136765.0,3232384.0,0.41100000000000003,1101.0,1111.05,1091.7,1095.7,1099.2097310756972,200800,5351,220721314.0,24553.0,12.23,19.35,-5.3
2020-09-08,HDFCBANK,1110.5,1114.0,1118.8,1103.0,1112.05,1112.45,1112.0,7312460,813145220070000.0,160085.0,2466163.0,0.3373,1115.8,1119.0,1104.25,1112.05,1112.2839836765042,451864,6804,502601090.0,272674.0,60.34,14.75,-3.75
