Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,INDUSINDBK,588.7,592.0,602.0,576.5,585.2,585.7,588.9,16811388.0,990029959665000.0,197267.0,1881736.0,0.1119,592.0,601.95,576.55,585.6,589.5102295941292,745533.0,18388.0,439499330.0,91949.0,12.33,25.4,-6.4
2020-10-29,INDUSINDBK,592.85,585.0,599.8,571.0,588.8,588.7,584.38,16511226.0,964882450580000.0,240123.0,1780580.0,0.1078,580.0,599.85,571.1,588.7,571.5610583755588,3818002.0,14965.0,2182221264.0,3310139.0,86.7,28.75,8.7
2020-10-28,INDUSINDBK,614.0,614.5,615.95,586.1,594.5,592.85,599.45,14933521.0,895184586295000.1,226095.0,3203454.0,0.2145,617.0,617.0,586.1,592.75,588.2807501221002,3632262.0,14610.0,2136789814.0,3251753.0,89.52,30.9,-24.25
2020-10-27,INDUSINDBK,616.65,616.6,623.4,595.1,614.5,614.0,609.31,15012429.0,914723774800000.0,203634.0,2115960.0,0.1409,617.4,623.0,595.0,613.95,609.1566407867356,369527.0,11000.0,225099826.0,56616.0,15.32,28.0,-3.45
2020-10-26,INDUSINDBK,608.15,617.0,633.3,613.55,616.9,616.65,621.59,17438518.0,1083959815820000.0,224507.0,2570879.0,0.1474,615.25,633.0,613.7,616.3,621.2937528308505,567409.0,12729.0,352527667.0,85336.0,15.04,19.3,1.05
2020-10-23,INDUSINDBK,608.75,617.0,617.7,604.35,606.4,608.15,610.61,12435720.0,759331695500000.0,146909.0,2108866.0,0.1696,615.0,617.6,604.5,607.45,610.7093473735565,729713.0,15025.0,445642550.0,280527.0,38.44,13.1,-7.55
2020-10-22,INDUSINDBK,628.1,621.0,630.85,605.65,609.3,608.75,615.97,15976059.0,984084915875000.0,203149.0,3734653.0,0.2338,622.4,630.85,605.9,608.8,616.4891455431924,702891.0,18904.0,433324672.0,178425.0,25.38,24.95,-13.6
2020-10-21,INDUSINDBK,625.25,631.0,647.8,599.55,627.3,628.1,631.88,26627198.0,1682528614115000.0,320967.0,1746484.0,0.06559999999999999,632.0,647.8,600.0,628.3,630.8233488157899,859898.0,19503.0,542443736.0,104670.0,12.17,47.8,-3.7
2020-10-20,INDUSINDBK,627.1,622.0,628.9,616.6,626.65,625.25,622.75,9607812.0,598328049290000.0,118853.0,671001.0,0.0698,622.2,628.35,616.85,625.15,626.031181404305,1458273.0,5675.0,912924369.0,1214853.0,83.31,11.5,2.95
2020-10-19,INDUSINDBK,608.3,607.55,630.65,606.2,624.55,627.1,623.24,14576825.0,908486004740000.0,187165.0,2248139.0,0.1542,609.0,630.2,607.0,626.85,623.3004886394011,467625.0,9825.0,291470891.0,85525.0,18.29,23.2,17.85
2020-10-16,INDUSINDBK,598.0,604.8,613.9,601.4,607.5,608.3,607.98,11570365.0,703459491985000.0,118869.0,526511.0,0.0455,604.9,613.6,601.2,608.05,607.9862417622435,538223.0,11552.0,327232179.0,109481.0,20.34,12.4,3.15
2020-10-15,INDUSINDBK,622.65,622.65,632.5,593.35,598.15,598.0,616.3,14728590.0,907721303580000.0,170892.0,1555917.0,0.1056,622.75,632.0,593.5,598.2,615.613451120947,819441.0,19385.0,504458902.0,191354.0,23.35,38.5,-24.55
2020-10-14,INDUSINDBK,608.2,600.0,626.45,597.5,622.9,622.65,612.69,14624576.0,896030798210000.0,158682.0,1121181.0,0.0767,600.0,626.0,597.15,622.75,612.9222699954379,681693.0,16248.0,417824821.0,189451.0,27.79,28.85,22.75
2020-10-13,INDUSINDBK,614.45,611.6,620.75,602.45,606.95,608.2,611.57,11579418.0,708160639400000.0,135185.0,1146326.0,0.099,611.95,620.6,604.45,608.5,611.5293298824847,428880.0,7564.0,262272699.0,39776.0,9.27,16.15,-3.45
2020-10-12,INDUSINDBK,623.05,628.2,632.0,610.5,613.0,614.45,619.54,11751051.0,728020274345000.0,142111.0,1212924.0,0.1032,629.4,631.45,610.55,613.9,619.3283224675192,428868.0,7962.0,265610099.0,54804.0,12.78,20.9,-15.5
2020-10-09,INDUSINDBK,617.7,618.05,633.0,615.0,624.1,623.05,623.67,18622258.0,1161407167435000.0,208694.0,1696496.0,0.0911,618.0,633.0,615.1,622.9,623.9311728026686,620002.0,11048.0,386838575.0,57032.0,9.2,17.9,4.9
2020-10-08,INDUSINDBK,619.1,620.0,638.5,614.05,616.35,617.7,626.36,20978257.0,1313988788310000.0,240693.0,2356011.0,0.1123,620.9,638.2,614.2,617.35,627.1850625635226,1280059.0,28463.0,802833884.0,322706.0,25.21,24.0,-3.55
2020-10-07,INDUSINDBK,622.8,620.95,625.8,606.1,619.0,619.1,616.07,19071860.0,1174958969425000.0,221869.0,2352405.0,0.1233,622.45,625.5,606.05,619.8,616.1876074752063,562339.0,10819.0,346506323.0,63235.0,11.24,19.45,-2.65
2020-10-06,INDUSINDBK,601.55,615.95,628.35,606.2,621.85,622.8,617.55,25112903.0,1550850885740000.0,272900.0,2123809.0,0.08460000000000001,614.2,627.8,606.05,622.45,617.6792438585712,1351070.0,30711.0,834527896.0,449610.0,33.28,21.75,8.25
2020-10-05,INDUSINDBK,592.2,593.2,630.7,592.0,603.5,601.55,610.34,43964465.0,2683323651025000.0,514578.0,4211039.0,0.0958,594.0,630.7,592.1,601.75,611.8066036242892,1390176.0,28435.0,850518857.0,212868.0,15.31,38.6,7.75
2020-10-01,INDUSINDBK,527.4,540.0,597.05,537.0,593.0,592.2,573.24,49858887.0,2858128435055000.0,490730.0,6504715.0,0.1305,533.0,597.65,533.0,592.1,574.0806619278655,2029768.0,33172.0,1165250557.0,399273.0,19.67,64.65,59.1
2020-09-30,INDUSINDBK,536.25,536.25,539.7,520.25,524.75,527.4,529.71,18784991.0,995065470325000.0,200495.0,1739028.0,0.0926,535.1,539.6,520.5,526.75,529.6036372823838,835129.0,19491.0,442287356.0,154527.0,18.5,19.1,-8.35
2020-09-29,INDUSINDBK,555.1,559.0,561.85,528.95,535.9,536.25,538.11,21321966.0,1147347916970000.0,253312.0,1701324.0,0.07980000000000001,560.9,561.5,528.65,536.25,537.9608806372256,786158.0,17164.0,422922250.0,72652.0,9.24,32.85,-24.65
2020-09-28,INDUSINDBK,514.85,522.9,563.3,516.15,556.0,555.1,545.8,24397490.0,1331622531620000.0,287462.0,1757979.0,0.0721,523.95,563.1,516.1,554.95,546.516814618798,839686.0,22050.0,458902518.0,129335.0,15.4,47.0,31.0
2020-09-25,INDUSINDBK,490.25,499.9,521.3,491.2,512.0,514.85,506.63,19311514.0,978375095250000.0,220234.0,2665262.0,0.138,499.9,520.8,491.3,514.55,507.6976842271544,633050.0,14234.0,321398019.0,135781.0,21.45,29.5,14.65
2020-09-24,INDUSINDBK,528.05,517.15,519.0,485.0,488.7,490.25,502.66,20947152.0,1052922904660000.0,274904.0,5697279.0,0.272,518.7,519.95,485.0,490.2,503.32622721917886,494879.0,12564.0,249085580.0,130731.0,26.42,34.95,-28.5
2020-09-23,INDUSINDBK,544.0,551.0,553.85,519.1,527.95,528.05,532.7,20046498.0,1067873849285000.0,212380.0,4748978.0,0.23690000000000005,545.0,553.6,519.25,527.65,532.1726596733503,903720.0,20851.0,480935076.0,164747.0,18.23,34.35,-17.35
2020-09-22,INDUSINDBK,560.6,564.0,578.0,537.0,542.3,544.0,554.57,26363876.0,1462051929520000.0,301684.0,4993769.0,0.1894,565.0,577.95,536.85,544.55,552.5883033255019,854277.0,19448.0,472063478.0,206968.0,24.23,41.1,-20.45
2020-09-21,INDUSINDBK,613.2,612.9,617.4,553.85,560.95,560.6,584.37,15649472.0,914501077705000.0,221061.0,3808921.0,0.2434,609.0,617.2,554.3,560.2,582.273244660178,967448.0,30314.0,563319086.0,342249.0,35.38,62.9,-48.8
2020-09-18,INDUSINDBK,617.35,622.95,624.65,600.0,616.2,613.2,614.36,10335152.0,634955449985000.0,150098.0,2114651.0,0.2046,622.1,624.0,600.0,613.35,615.3779470944895,745480.0,17269.0,458751952.0,318171.0,42.68,24.0,-8.75
2020-09-17,INDUSINDBK,621.65,614.75,624.8,610.2,618.0,617.35,618.17,9390779.0,580510760380000.0,123718.0,1750317.0,0.1864,612.7,624.65,610.85,617.4,618.2704068204666,463546.0,10447.0,286596774.0,115804.0,24.98,13.8,4.7
2020-09-16,INDUSINDBK,633.4,641.0,641.0,613.65,620.75,621.65,624.69,17941047.0,1120752713285000.0,221076.0,4287784.0,0.239,642.1,642.1,614.0,622.1,625.7542732534424,1005206.0,15294.0,629011950.0,169347.0,16.85,28.1,-20.0
2020-09-15,INDUSINDBK,609.35,609.35,639.0,601.2,637.85,633.4,620.31,13447085.0,834133073950000.0,165421.0,1902467.0,0.1415,608.5,638.75,601.95,633.5,621.8216701548159,485931.0,9408.0,302162426.0,85301.0,17.55,36.8,25.0
2020-09-14,INDUSINDBK,610.35,617.1,620.0,603.85,605.95,609.35,612.93,9287424.0,569254754840000.0,111369.0,1556293.0,0.16760000000000005,618.0,619.85,604.5,608.95,612.2879876931603,418629.0,6743.0,256321508.0,171185.0,40.89,15.35,-9.05
2020-09-11,INDUSINDBK,620.45,618.0,622.4,603.25,610.0,610.35,610.3,11347391.0,692533599000000.0,152869.0,1746877.0,0.1539,610.0,637.3,603.4,610.05,609.9677366300265,729620.0,13547.0,445044660.0,242020.0,33.17,33.9,0.05
2020-09-10,INDUSINDBK,604.6,614.0,627.8,610.0,620.2,620.45,620.08,15925336.0,987496052360000.0,191262.0,1920602.0,0.1206,614.0,627.65,610.05,620.65,620.1113173382597,926702.0,18866.0,574658398.0,209588.0,22.62,17.6,6.65
2020-09-09,INDUSINDBK,600.4,590.0,609.7,588.65,609.1,604.6,600.64,17123149.0,1028489856895000.0,193722.0,2920529.0,0.1706,588.0,609.8,588.0,605.45,601.7282334062322,577054.0,9531.0,347229684.0,58093.0,10.07,21.8,17.45
2020-09-08,INDUSINDBK,608.7,609.0,612.9,599.0,600.0,600.4,604.81,13303912.0,804633739415000.0,145655.0,1996709.0,0.1501,609.0,612.75,599.15,600.3,605.1965179954475,687535.0,13617.0,416093788.0,158258.0,23.02,13.6,-8.7
2020-09-07,INDUSINDBK,616.15,621.5,624.95,597.55,607.0,608.7,612.51,13890403.0,850807269985000.0,180478.0,1633246.0,0.1176,620.55,624.9,597.75,608.75,613.0349711788771,860480.0,14812.0,527504332.0,363506.0,42.24,27.15,-11.8
2020-09-04,INDUSINDBK,631.85,611.05,642.0,603.55,618.6,616.15,624.46,21613034.0,1349637853905000.0,244668.0,2117977.0,0.098,605.0,642.0,605.0,615.7,624.931434211455,821678.0,15123.0,513492411.0,134561.0,16.38,37.0,10.7
2020-09-03,INDUSINDBK,640.55,644.0,648.25,625.0,632.05,631.85,635.34,14985742.0,952111364120000.0,189490.0,1959848.0,0.1308,642.0,648.15,625.0,631.1,635.325047160326,731017.0,15743.0,464433410.0,110925.0,15.17,23.15,-10.9
2020-09-02,INDUSINDBK,627.45,632.0,651.1,614.1,640.6,640.55,630.24,19769514.0,1245947846040000.0,222864.0,1448149.0,0.0733,630.1,650.65,614.25,640.75,631.4734018466357,1172619.0,24377.0,740477709.0,260021.0,22.17,36.4,10.65
2020-09-01,INDUSINDBK,630.2,638.1,662.5,588.7,631.5,627.45,631.01,47295465.0,2984374768240000.0,490236.0,2781921.0,0.0588,639.0,662.5,589.05,627.7,632.4189231127318,1546680.0,31384.0,978149700.0,133272.0,8.62,73.45,-11.3
2020-08-31,INDUSINDBK,665.65,705.0,712.0,620.75,631.5,630.2,652.67,57316982.0,3740934643180001.0,590783.0,5785385.0,0.1009,710.0,710.65,620.75,630.05,653.8219454504922,2072466.0,40815.0,1355023752.0,293764.0,14.17,89.9,-79.95
2020-08-28,INDUSINDBK,605.85,600.0,689.0,595.5,677.0,665.65,636.55,55986893.0,3563847608525000.0,527327.0,7883819.0,0.1408,600.7,666.1,595.45,656.6,633.7318360244037,2501421.0,35120.0,1585230123.0,450581.0,18.01,70.65,55.9
2020-08-27,INDUSINDBK,567.65,572.4,619.75,572.0,604.7,605.85,599.11,48568998.0,2909833032965000.0,505713.0,5856601.0,0.1206,573.65,619.85,572.0,605.55,599.9732374810624,2955103.0,53706.0,1772982714.0,773073.0,26.16,47.85,31.9
2020-08-26,INDUSINDBK,536.5,541.45,572.2,538.45,568.5,567.65,556.54,26851878.0,1494408439170000.0,272262.0,7012485.0,0.2612,540.2,572.0,539.0,568.1,556.3598840327778,1021668.0,16480.0,568415090.0,268198.0,26.25,33.0,27.9
2020-08-25,INDUSINDBK,529.15,535.0,546.4,530.2,538.8,536.5,539.3,18377634.0,991098378670000.0,181713.0,3013069.0,0.16399999999999998,534.3,546.35,530.35,536.3,538.6656468055934,762849.0,12755.0,410920550.0,136300.0,17.87,16.0,2.0
2020-08-24,INDUSINDBK,513.55,518.0,535.45,516.0,530.65,529.15,526.89,14887691.0,784410533365000.0,151852.0,3990271.0,0.268,519.0,535.4,517.0,529.1,526.6722464918381,1372086.0,27067.0,722639616.0,720454.0,52.51,18.4,10.1
2020-08-21,INDUSINDBK,513.4,520.0,521.4,512.5,514.6,513.55,516.82,6411024.0,331335580825000.0,70996.0,1430396.0,0.2231,517.0,521.25,512.6,513.55,517.2553908563857,421037.0,9223.0,217783658.0,132105.0,31.38,8.65,-3.45
2020-08-20,INDUSINDBK,522.15,515.6,520.55,511.1,513.6,513.4,515.0,7658814.0,394432284050000.0,88093.0,1644582.0,0.2147,514.0,521.15,511.55,513.65,514.9728672036672,359528.0,5705.0,185147165.0,97902.0,27.23,9.6,-0.35
2020-08-19,INDUSINDBK,521.6,523.0,530.0,519.15,522.0,522.15,525.33,10896370.0,572421126250000.0,114886.0,2108377.0,0.1935,521.5,529.85,519.5,522.15,525.1906596758962,394997.0,6858.0,207448735.0,72503.0,18.36,10.35,0.65
2020-08-18,INDUSINDBK,513.15,512.45,524.75,506.5,520.7,521.6,515.68,10993530.0,566916813740000.0,115465.0,2362498.0,0.2149,512.5,524.45,506.65,521.3,513.1936202448392,766299.0,10730.0,393259758.0,263913.0,34.44,17.8,8.8
2020-08-17,INDUSINDBK,507.2,510.0,514.8,502.5,512.45,513.15,510.28,7174433.0,366094375455000.0,84007.0,1075645.0,0.1499,510.05,514.8,502.25,513.0,509.9443395804589,626208.0,12570.0,319331225.0,203005.0,32.42,12.55,2.95
2020-08-14,INDUSINDBK,518.75,520.0,523.5,500.15,508.1,507.2,512.48,9318713.0,477566819230000.0,110304.0,2355071.0,0.2527,517.15,523.3,500.25,507.35,512.4928499490456,334613.0,6980.0,171486770.0,88433.0,26.43,23.05,-9.8
2020-08-13,INDUSINDBK,520.65,524.0,527.55,516.35,518.4,518.75,522.11,8109165.0,423384035315000.0,90360.0,1870668.0,0.2307,520.55,527.7,516.6,518.65,521.9369919372472,301882.0,5506.0,157563383.0,75274.0,24.93,11.1,-1.9
2020-08-12,INDUSINDBK,522.0,518.5,530.45,512.35,519.35,520.65,523.08,12646494.0,661515545375000.0,147764.0,2312821.0,0.1829,519.4,530.3,513.0,520.5,522.4434397016719,448097.0,8949.0,234105338.0,91022.0,20.31,17.3,1.1
2020-08-11,INDUSINDBK,509.35,511.0,524.9,509.35,522.1,522.0,517.51,11702721.0,605630803905000.0,130754.0,2929897.0,0.2504,515.0,525.0,509.6,521.85,517.3645198355555,536108.0,8760.0,277363258.0,179241.0,33.43,15.4,6.85
2020-08-10,INDUSINDBK,509.0,512.0,517.55,506.55,509.8,509.35,512.6,9409631.0,482335290985000.06,112940.0,1800409.0,0.1913,511.2,517.25,506.7,509.35,512.595328562471,695332.0,17854.0,356423935.0,287468.0,41.34,10.55,-1.85
2020-08-07,INDUSINDBK,494.9,496.0,513.35,492.0,507.9,509.0,503.75,16545264.0,833473113165000.0,189871.0,4017617.0,0.2428,495.5,513.2,492.5,509.1,504.0254641527628,721799.0,12906.0,363805076.0,233958.0,32.41,20.7,13.6
2020-08-06,INDUSINDBK,492.75,497.8,501.95,485.75,496.0,494.9,494.3,16624836.0,821761732550000.0,183994.0,3744708.0,0.2252,497.15,501.9,485.6,494.75,494.7794899331166,1163965.0,21361.0,575906009.0,282667.0,24.28,16.3,-2.4
2020-08-05,INDUSINDBK,492.6,499.2,506.0,490.15,493.95,492.75,498.36,15083024.0,751683241385000.0,189992.0,2955096.0,0.1959,496.55,506.0,490.4,492.85,498.2433908077159,552942.0,10967.0,275499697.0,140704.0,25.45,15.6,-3.7
2020-08-04,INDUSINDBK,503.05,508.0,508.0,483.25,493.0,492.6,492.09,21481836.0,1057094466490000.0,269763.0,6352210.0,0.2957,510.0,510.0,483.45,492.6,491.7740849795766,1127871.0,30089.0,554657729.0,325138.0,28.83,26.55,-17.4
2020-08-03,INDUSINDBK,523.75,521.95,521.95,501.0,504.15,503.05,506.4,13508581.0,684074008525000.0,189081.0,3607776.0,0.2671,523.5,523.5,501.0,503.2,506.1213976714701,578133.0,14087.0,292605482.0,235085.0,40.66,22.5,-20.3
2020-07-31,INDUSINDBK,519.85,525.2,528.5,515.75,525.0,523.75,522.02,11161613.0,582662554630000.0,134361.0,945679.0,0.08470000000000001,524.5,528.4,515.75,523.6,522.324366343164,488198.0,10011.0,254997711.0,67046.0,13.73,12.65,-0.9
