Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,IOC,78.4,80.0,81.9,79.0,79.25,79.55,80.34,54768803,439986284935000.06,117866.0,9009274.0,0.1645,79.6,81.9,78.95,79.55,80.35069508596479,2673770.0,10953.0,214839278.0,743811.0,27.82,2.95,-0.05
2020-10-29,IOC,78.05,76.7,78.9,76.2,78.85,78.4,77.21,18997747,146676653165000.0,43031.0,4815124.0,0.2535,77.4,78.9,76.2,78.45,77.02601125118545,2073026.0,4731.0,159676924.0,1317314.0,63.55,2.7,1.05
2020-10-28,IOC,78.1,78.1,78.35,77.1,78.0,78.05,77.67,11414392,88658336675000.0,25925.0,3469717.0,0.304,78.1,78.4,77.1,78.05,77.70441464387362,441304.0,2356.0,34291269.0,137752.0,31.21,1.3,-0.05
2020-10-27,IOC,78.1,77.55,78.5,76.1,78.0,78.1,77.56,15157667,117556436209999.98,41628.0,3506068.0,0.2313,78.0,78.5,76.2,78.1,77.60709395368539,3031483.0,4993.0,235264586.0,2366626.0,78.07,2.3,0.1
2020-10-26,IOC,78.25,78.25,79.2,78.0,78.1,78.1,78.39,12517768,98132816745000.0,32478.0,2965499.0,0.23690000000000005,78.95,79.2,77.95,78.1,78.40065636409456,853185.0,3689.0,66890264.0,258219.0,30.27,1.25,-0.85
2020-10-23,IOC,77.7,77.7,79.25,77.7,78.2,78.25,78.54,13735592,107873962505000.0,36898.0,2412822.0,0.1757,78.0,79.25,77.75,78.25,78.67740585125352,1547976.0,4641.0,121790736.0,352297.0,22.76,1.5,0.25
2020-10-22,IOC,76.0,75.85,78.25,75.5,78.05,77.7,76.99,21947260,168975714845000.0,47039.0,8409122.0,0.3832,76.0,78.05,75.6,77.75,76.85599910070856,1076403.0,4214.0,82728028.0,388283.0,36.07,2.45,1.75
2020-10-21,IOC,75.05,75.75,76.75,75.4,76.15,76.0,76.06,28080425,213567349755000.0,69086.0,7371653.0,0.2625,75.15,76.7,75.15,76.05,76.2693959777578,2361817.0,5063.0,180134356.0,1418075.0,60.04,1.55,0.9
2020-10-20,IOC,76.8,76.6,76.7,74.9,75.15,75.05,75.41,18691246,140954531160000.0,60305.0,6086606.0,0.3256000000000001,76.85,76.85,75.0,75.05,75.48382064404807,3915298.0,5236.0,295541652.0,3127206.0,79.87,1.85,-1.8
2020-10-19,IOC,74.2,74.6,77.4,74.6,77.2,76.8,75.97,23207536,176306689880000.0,69281.0,8432295.0,0.3633,75.0,77.3,74.6,76.85,75.75919860453611,2348753.0,6097.0,177939645.0,1667315.0,70.99,2.7,1.85
2020-10-16,IOC,74.55,74.6,75.2,73.85,74.3,74.2,74.26,23227741,172500614980000.0,51827.0,10712302.0,0.4612,74.3,75.25,73.85,74.2,74.25623826133618,2191476.0,5844.0,162730764.0,1651658.0,75.37,1.4,-0.1
2020-10-15,IOC,74.65,74.65,75.8,74.0,74.25,74.55,75.12,17815860,133829123600000.0,42955.0,5649628.0,0.3171,74.9,75.8,74.0,74.65,75.24586630848276,2763571.0,5634.0,207947294.0,2126787.0,76.96,1.8,-0.25
2020-10-14,IOC,76.1,75.2,75.9,73.75,74.8,74.65,74.51,19604295,146066148795000.0,52560.0,7412359.0,0.3781000000000001,76.0,76.0,73.75,74.7,74.55889863699146,1197498.0,4987.0,89284132.0,704215.0,58.81,2.25,-1.3
2020-10-13,IOC,75.7,75.55,76.35,74.55,76.1,76.1,75.48,12907922,97431972070000.0,34096.0,3859811.0,0.299,75.7,76.3,74.6,76.15,75.51704963545747,1376657.0,2570.0,103961075.0,687588.0,49.95,1.7,0.45
2020-10-12,IOC,76.5,76.5,77.45,75.1,75.6,75.7,76.12,11846163,90175435870000.0,27653.0,2042924.0,0.1725,76.15,77.35,75.1,75.65,76.20540976358292,576735.0,3288.0,43950327.0,135812.0,23.55,2.25,-0.5
