Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,ITC,163.85,164.0,166.8,163.35,165.4,165.25,164.94,16347510,269629632445000.0,95275.0,5043476.0,0.3085,164.3,166.75,163.45,165.25,164.99153046075608,1125563.0,11905.0,185708362.0,301234.0,26.76,3.3,0.95
2020-10-29,ITC,165.5,165.0,165.95,163.45,163.85,163.85,164.62,21008755,345849511045000.0,120602.0,9635499.0,0.4586,164.1,166.0,163.4,163.85,164.55699799180118,1205060.0,20317.0,198301056.0,578147.0,47.98,2.6,-0.25
2020-10-28,ITC,167.2,168.5,168.5,165.0,165.5,165.5,166.35,16820839,279811311855000.03,99972.0,6402709.0,0.3806000000000001,168.25,168.25,165.05,165.55,166.7415627395966,2167706.0,17346.0,361446686.0,1614238.0,74.47,3.2,-2.7
2020-10-27,ITC,168.55,168.5,169.3,166.75,167.05,167.2,167.67,45885935,769361162380000.0,100863.0,35538429.0,0.7745000000000001,168.35,169.25,166.8,167.2,168.02877793982745,1212248.0,14310.0,203692550.0,420295.0,34.67,2.45,-1.15
2020-10-26,ITC,170.75,171.5,171.6,168.25,168.5,168.55,169.42,16081502,272449744130000.03,101429.0,6304814.0,0.3921,171.0,171.5,168.3,168.55,169.43584262377374,478090.0,5286.0,81005582.0,202438.0,42.34,3.2,-2.45
2020-10-23,ITC,168.55,168.95,171.0,167.75,170.85,170.75,169.74,20147370,341980971265000.0,103220.0,8862140.0,0.4399,168.95,170.95,167.75,170.7,169.4233052638667,1336565.0,12643.0,226445260.0,755675.0,56.54,3.2,1.75
2020-10-22,ITC,167.65,167.55,169.1,167.0,168.8,168.55,168.19,22044453,370754802005000.0,122983.0,13495376.0,0.6122,167.65,169.0,166.9,168.55,168.03686180231117,858531.0,11366.0,144264855.0,380829.0,44.36,2.1,0.9
2020-10-21,ITC,167.45,168.15,168.9,166.6,167.8,167.65,167.79,16479194,276512004960000.0,114694.0,7228414.0,0.4386,168.3,168.8,166.6,167.65,167.7658307534752,936421.0,13138.0,157099447.0,383957.0,41.0,2.2,-0.65
2020-10-20,ITC,168.25,168.0,168.3,166.7,167.7,167.45,167.41,16149041,270349554170000.0,102766.0,7750552.0,0.4799000000000001,168.7,168.7,166.75,167.5,167.4088000290208,744293.0,10843.0,124601198.0,336555.0,45.22,1.95,-1.2
2020-10-19,ITC,165.7,166.8,168.9,166.15,168.85,168.25,167.56,19016841,318644839900000.0,116243.0,8232822.0,0.4329,166.95,168.95,166.2,168.3,167.47757804235025,1191020.0,14447.0,199469145.0,487258.0,40.91,2.75,1.35
2020-10-16,ITC,165.05,165.5,166.8,163.8,165.85,165.7,165.24,20227113,334230041725000.0,113656.0,6292551.0,0.3111,165.1,166.75,163.8,165.75,165.2684861202859,1285221.0,15882.0,212406529.0,424377.0,33.02,2.95,0.65
2020-10-15,ITC,167.8,167.7,167.8,164.55,164.75,165.05,165.94,27116959,449973266460000.06,160816.0,13536820.0,0.4992,167.9,168.0,164.5,165.05,166.5039339519351,3298083.0,31028.0,549143794.0,2370596.0,71.88,3.5,-2.85
2020-10-14,ITC,170.15,170.55,171.0,167.05,167.7,167.8,167.88,38219096,641617367595000.0,134089.0,23353765.0,0.611,170.15,170.85,167.1,167.85,167.97219604024158,1534134.0,20285.0,257691857.0,857498.0,55.89,3.75,-2.3
2020-10-13,ITC,172.2,172.85,174.85,169.5,169.8,170.15,172.39,35685353,615169273960000.0,149374.0,13654212.0,0.3826,172.85,174.8,169.55,170.2,172.5774564699461,2055419.0,20472.0,354718983.0,804109.0,39.12,5.25,-2.65
2020-10-12,ITC,167.85,170.5,175.2,170.0,172.45,172.2,172.56,66250654,1143227245480000.0,308575.0,18738922.0,0.2828,169.95,175.2,169.95,172.2,172.6022913762586,3754774.0,34699.0,648082596.0,1099313.0,29.28,5.25,2.25
2020-10-09,ITC,167.15,167.5,168.9,166.35,168.0,167.85,167.44,22373477,374629561595000.0,143027.0,10239344.0,0.4577000000000001,167.5,168.95,166.4,167.85,167.4449454325091,1273927.0,19080.0,213312637.0,566227.0,44.45,2.55,0.35
2020-10-08,ITC,169.5,170.1,170.4,166.9,167.1,167.15,167.9,25503975,428223131675000.0,241256.0,14542624.0,0.5702,170.25,170.4,167.0,167.2,168.00024878246182,1270186.0,24913.0,213391564.0,672828.0,52.97,3.4,-3.05
2020-10-07,ITC,169.9,170.0,170.9,169.0,169.55,169.5,169.8,16286695,276540869530000.03,135502.0,7223080.0,0.4435,170.0,170.9,169.05,169.5,169.77641492706815,891106.0,13892.0,151288782.0,376202.0,42.22,1.85,-0.5
2020-10-06,ITC,169.25,169.5,171.6,168.1,170.2,169.9,169.7,21886300,371404257870000.0,130374.0,7102380.0,0.3245,169.5,171.55,168.2,169.95,169.6715795362428,1297748.0,17568.0,220190953.0,455180.0,35.07,3.35,0.45
2020-10-05,ITC,170.85,171.1,172.8,168.75,169.3,169.25,170.21,24301177,413637517955000.0,166288.0,13013694.0,0.5355,171.7,172.85,168.8,169.3,170.35523185656322,1303543.0,20937.0,222065370.0,573584.0,44.0,4.05,-2.4
2020-10-01,ITC,171.7,174.5,174.6,170.1,170.9,170.85,171.42,19758300,338701636885000.0,104692.0,7700292.0,0.3897,174.1,174.4,170.15,170.85,171.4343654868511,1418103.0,17741.0,243111588.0,493356.0,34.79,4.25,-3.25
2020-09-30,ITC,169.4,170.0,172.1,168.7,171.95,171.7,170.77,18482053,315624456030000.0,106113.0,6479325.0,0.3506,170.8,172.05,168.8,171.75,169.68782985245963,1824111.0,5499.0,309529437.0,1418548.0,77.77,3.25,0.95
2020-09-29,ITC,173.3,174.75,174.75,169.0,169.5,169.4,170.33,25617617,436334526860000.06,164446.0,12354118.0,0.4823,174.8,174.8,169.0,169.35,170.58052989656508,1265530.0,20549.0,215874778.0,592234.0,46.8,5.8,-5.45
2020-09-28,ITC,170.75,171.0,174.8,170.5,173.65,173.3,173.26,23194739,401874455330000.0,127479.0,9639194.0,0.4156,171.2,174.8,170.5,173.35,173.2644338332949,1231828.0,18178.0,213431981.0,423557.0,34.38,4.3,2.15
2020-09-25,ITC,166.55,168.9,171.2,167.0,171.15,170.75,169.52,26627778,451394318410000.06,152564.0,12419729.0,0.4664,169.0,171.3,167.1,170.8,169.34703471297885,1798578.0,23937.0,304583851.0,834842.0,46.42,4.2,1.8
2020-09-24,ITC,172.5,171.7,171.75,166.15,167.4,166.55,168.3,31486886,529939351090000.0,209008.0,15942965.0,0.5063000000000001,171.6,171.6,166.15,166.6,168.63415187413457,2658267.0,39890.0,448274601.0,1186682.0,44.64,5.45,-5.0
2020-09-23,ITC,174.2,174.95,177.55,171.7,173.1,172.5,173.76,61785758,1073599490175000.0,195454.0,40264869.0,0.6517000000000001,175.0,177.5,171.75,172.55,174.2930519685779,1021829.0,7252.0,178097695.0,319837.0,31.3,5.75,-2.45
2020-09-22,ITC,175.75,175.75,176.75,173.75,174.0,174.2,174.77,18532637,323889580820000.0,134730.0,6990129.0,0.3772,175.7,176.25,173.8,174.15,174.85409480749513,600712.0,5826.0,105036953.0,283155.0,47.14,2.45,-1.55
2020-09-21,ITC,179.1,180.0,180.6,175.05,175.3,175.75,177.21,23892510,423394739625000.0,155218.0,8693333.0,0.3639,180.2,180.4,175.0,175.7,177.13174757069234,2057685.0,31706.0,364481340.0,860129.0,41.8,5.4,-4.5
2020-09-18,ITC,178.6,179.55,179.85,177.0,179.5,179.1,178.49,29783208,531615021530000.0,200019.0,13507852.0,0.4535,180.8,180.8,177.0,179.2,178.4366170080491,1216036.0,8461.0,216985350.0,736628.0,60.58,3.8,-1.6
2020-09-17,ITC,180.65,180.8,181.5,177.8,178.35,178.6,179.06,33936149,607648447410000.0,287580.0,13605593.0,0.4009,180.8,181.6,177.85,178.55,179.10320525761242,1491019.0,10655.0,267046282.0,784864.0,52.64,3.75,-2.25
2020-09-16,ITC,181.8,181.85,183.5,180.05,180.6,180.65,181.12,50645681,917297602630000.0,220804.0,28397844.0,0.5607,181.95,183.5,180.0,180.65,181.07099937730385,998882.0,7878.0,180868562.0,501685.0,50.22,3.5,-1.3
2020-09-15,ITC,183.35,184.0,184.2,180.8,181.85,181.8,181.73,30772104,559227581000000.0,182006.0,15870589.0,0.5157,184.0,184.0,180.85,181.8,181.7705472811741,773606.0,7271.0,140618786.0,371934.0,48.08,3.15,-2.2
2020-09-14,ITC,183.95,185.8,185.85,183.0,183.25,183.35,183.76,30993032,569527720155000.0,191982.0,14423622.0,0.4654,185.8,185.85,183.0,183.35,183.8105592887861,747342.0,6319.0,137369351.0,323110.0,43.23,2.85,-2.45
2020-09-11,ITC,184.9,184.9,186.5,182.75,184.0,183.95,184.21,19256801,354720537255000.0,101708.0,7504631.0,0.3897,185.0,186.45,182.85,183.9,184.17862565057743,1030815.0,16535.0,189854090.0,457526.0,44.38,3.6,-1.1
2020-09-10,ITC,183.8,184.1,185.7,183.2,185.05,184.9,184.51,17785076,328149170025000.0,113800.0,5364734.0,0.30160000000000003,184.2,185.65,183.25,184.95,184.4988553463908,1287289.0,16962.0,237503347.0,621288.0,48.26,2.4,0.75
2020-09-09,ITC,188.15,185.5,186.25,182.3,184.25,183.8,183.71,27830197,511281120475000.0,198815.0,13615592.0,0.4892,186.0,186.25,182.4,183.95,183.76918410297765,801106.0,8027.0,147218596.0,356872.0,44.55,3.85,-2.05
2020-09-08,ITC,189.1,189.6,190.55,184.6,188.5,188.15,188.25,25591395,481754187930000.0,154677.0,10432279.0,0.4076,189.7,190.5,184.55,188.15,188.256699268391,1399108.0,16337.0,263391454.0,431686.0,30.85,5.95,-1.55
2020-09-07,ITC,186.7,187.25,190.5,180.8,190.3,189.1,186.38,32663990,608787641740000.0,237020.0,11073578.0,0.33899999999999997,187.5,190.35,180.85,189.3,186.0398166556716,1108079.0,10374.0,206146814.0,342867.0,30.94,9.5,1.8
2020-09-04,ITC,191.6,190.0,190.0,185.7,187.25,186.7,187.59,41389121,776415212525000.0,227442.0,21359144.0,0.5161,189.6,190.0,185.75,186.65,187.8519169434205,2826218.0,39308.0,530910469.0,1643224.0,58.14,4.25,-2.95
2020-09-03,ITC,191.35,191.4,193.25,190.0,191.45,191.6,191.39,15692484,300336532610000.0,135774.0,7338545.0,0.4676,192.0,193.2,189.95,191.65,191.4312557845,903276.0,11160.0,172915259.0,391448.0,43.34,3.25,-0.35
2020-09-02,ITC,190.2,191.3,193.0,189.65,192.05,191.35,191.03,20585664,393255315770000.0,130797.0,7437532.0,0.3613,191.8,192.9,189.8,191.45,191.1725223148968,1045714.0,13625.0,199911783.0,385253.0,36.84,3.1,-0.35
2020-09-01,ITC,191.1,191.1,192.35,188.25,191.3,190.2,190.05,39779316,756005240435000.0,154370.0,22742990.0,0.5717,191.0,192.3,188.4,190.3,190.17335807422367,1873821.0,29886.0,356350832.0,661473.0,35.3,3.9,-0.7
2020-08-31,ITC,195.55,199.0,199.0,190.0,190.9,191.1,192.67,96998374,1868848076035000.0,308091.0,59695707.0,0.6154000000000001,198.5,198.7,190.3,191.25,195.0875248596679,3823965.0,41887.0,746007867.0,1614024.0,42.21,8.4,-7.25
2020-08-28,ITC,194.25,194.6,196.3,194.05,195.85,195.55,194.92,34645794,675309191830000.0,221449.0,19959485.0,0.5761000000000001,194.8,196.25,194.1,195.55,195.05779435560632,672384.0,6111.0,131153740.0,309585.0,46.04,2.15,0.75
2020-08-27,ITC,194.95,198.5,198.9,193.9,194.35,194.25,195.15,47213462,921383128535000.0,274421.0,25089620.0,0.5314,198.0,198.95,194.0,194.2,195.33297520498368,1116918.0,9511.0,218170916.0,542072.0,48.53,4.95,-3.8
2020-08-26,ITC,195.4,196.5,196.55,193.65,195.0,194.95,194.67,22631585,440565970700000.0,127742.0,11644882.0,0.5145000000000001,196.05,196.4,193.7,194.95,194.64783840302601,1200270.0,18433.0,233629961.0,558855.0,46.56,2.7,-1.1
2020-08-25,ITC,196.7,197.25,198.3,195.1,195.7,195.4,196.12,15199285,298091592100000.0,111302.0,6998790.0,0.4605,197.0,198.25,195.05,195.55,196.12482903495044,570292.0,4847.0,111848421.0,269389.0,47.24,3.2,-1.45
2020-08-24,ITC,196.8,197.25,199.0,196.35,197.5,196.7,197.34,14737758,290831178475000.0,87280.0,6657967.0,0.4518,197.0,198.9,196.4,196.65,197.38979984882764,854654.0,10925.0,168699982.0,396594.0,46.4,2.5,-0.35
2020-08-21,ITC,195.8,198.0,199.2,196.3,197.2,196.8,197.63,17234086,340590823015000.0,103695.0,6585325.0,0.3821,198.85,199.0,196.35,196.9,197.6751907924197,1259484.0,11952.0,248968740.0,519850.0,41.27,2.65,-1.95
2020-08-20,ITC,198.45,197.0,197.2,194.55,196.0,195.8,195.95,16910657,331370606330000.0,99152.0,6636462.0,0.3924,197.5,197.5,194.65,195.85,195.97798720595446,540095.0,5290.0,105846731.0,262084.0,48.53,2.85,-1.65
2020-08-19,ITC,198.55,198.6,201.7,198.1,198.6,198.45,199.74,15474846,309094872905000.0,94577.0,4789024.0,0.3095,198.75,201.6,198.15,198.45,199.86766525103002,1008027.0,10829.0,201472003.0,354496.0,35.17,3.45,-0.3
2020-08-18,ITC,198.75,199.9,199.9,197.25,198.8,198.55,198.36,12488479,247715724165000.0,130898.0,4822322.0,0.3861,198.8,199.55,197.3,198.6,198.2928930366116,373324.0,3426.0,74027496.0,140532.0,37.64,2.25,-0.2
2020-08-17,ITC,196.4,198.05,199.5,196.85,198.65,198.75,198.38,11741074,232915424460000.0,79236.0,3965703.0,0.33780000000000004,197.5,199.45,196.9,198.65,198.3271995310957,777984.0,8993.0,154295388.0,313757.0,40.33,2.55,1.15
2020-08-14,ITC,201.45,201.6,203.35,195.5,196.55,196.4,199.55,28752399,573750776665000.0,148935.0,10625039.0,0.3695000000000001,201.5,203.25,195.6,196.5,199.4330884197948,1725643.0,18458.0,344150313.0,518349.0,30.04,7.65,-5.0
2020-08-13,ITC,204.2,203.5,204.2,197.1,201.3,201.45,201.7,22698994,457846474480000.0,140310.0,6479276.0,0.2854,204.25,204.25,197.45,201.5,201.82911950934317,815886.0,6883.0,164669553.0,214959.0,26.35,6.8,-2.75
