Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,KOTAKBANK,1570.9,1574.0,1574.65,1518.6,1545.0,1547.4,1544.72,4201984.0,649088243265000.0,170864.0,1437164.0,0.342,1572.2,1574.4,1519.05,1547.6,1543.7714238101587,150020.0,11074.0,231596589.0,45849.0,30.56,55.35,-24.6
2020-10-29,KOTAKBANK,1551.35,1532.0,1588.8,1525.0,1569.0,1570.9,1567.86,7286144.0,1142366763350000.0,309048.0,2752824.0,0.3778,1531.1,1589.35,1526.8,1571.05,1561.881426074628,409095.0,17156.0,638957882.0,230955.0,56.46,62.55,39.95
2020-10-28,KOTAKBANK,1587.65,1575.0,1575.0,1541.0,1556.0,1551.35,1555.1,7245009.0,1126671708805000.0,233464.0,2003370.0,0.2765,1580.0,1580.0,1541.5,1552.2,1555.4558834138952,263359.0,17651.0,409643306.0,90953.0,34.54,38.5,-27.8
2020-10-27,KOTAKBANK,1416.9,1452.5,1602.0,1452.5,1582.7,1587.65,1545.73,33167143.0,5126740975925000.0,846705.0,9656267.0,0.2911,1450.0,1600.95,1450.0,1588.0,1550.1438171483303,960560.0,57083.0,1489006145.0,149719.0,15.59,150.95,138.0
2020-10-26,KOTAKBANK,1383.05,1399.0,1429.0,1347.35,1410.55,1416.9,1390.68,8022562.0,1115681946530000.0,224935.0,1941895.0,0.2421,1383.05,1428.4,1347.75,1415.75,1390.9176715717276,284604.0,17385.0,395860733.0,56786.0,19.95,80.65,32.7
2020-10-23,KOTAKBANK,1393.05,1400.0,1407.7,1378.25,1385.65,1383.05,1388.94,2385861.0,331380628770000.0,81877.0,782623.0,0.32799999999999996,1392.05,1407.95,1378.75,1383.05,1390.074895957836,69443.0,4319.0,96530971.0,12616.0,18.17,29.2,-9.0
2020-10-22,KOTAKBANK,1393.3,1388.0,1405.0,1377.55,1391.5,1393.05,1392.15,3610102.0,502578975975000.0,125829.0,1207957.0,0.3346,1385.1,1404.2,1377.7,1393.25,1392.5087203119465,112840.0,7051.0,157130684.0,29353.0,26.01,26.5,8.15
2020-10-21,KOTAKBANK,1368.8,1375.0,1400.0,1358.65,1392.25,1393.3,1383.48,4280457.0,592192319890000.0,132587.0,1673769.0,0.391,1370.3,1399.6,1358.75,1393.85,1385.6933188245193,149794.0,10159.0,207568545.0,51820.0,34.59,40.85,23.55
2020-10-20,KOTAKBANK,1376.7,1371.7,1386.0,1355.5,1369.1,1368.8,1373.46,3228111.0,443367487535000.06,98492.0,1538749.0,0.4767,1370.0,1385.35,1356.3,1368.85,1372.5060488128638,99441.0,6499.0,136483374.0,30962.0,31.14,29.05,-1.15
2020-10-19,KOTAKBANK,1336.55,1350.0,1380.0,1333.5,1374.9,1376.7,1365.09,3971028.0,542082863805000.0,129414.0,1599861.0,0.4029,1350.0,1380.0,1333.3,1376.8,1365.1626686875168,171545.0,12202.0,234186830.0,84698.0,49.37,46.7,26.8
