Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,LT,934.5,941.0,946.8,924.2,930.8,929.5,933.11,4797494.0,447657579335000.06,104616.0,1373332.0,0.2863,941.15,947.15,924.15,929.6,934.1582770835303,233186,11248,217832632.0,56472.0,24.22,23.0,-11.55
2020-10-29,LT,982.85,951.1,958.8,926.0,934.0,934.5,939.67,11853447.0,1113829065100000.0,267600.0,2752476.0,0.2322,953.0,958.95,927.0,934.6,940.0050571734164,526381,29196,494800802.0,164876.0,31.32,31.95,-18.4
2020-10-28,LT,981.95,989.95,994.65,974.2,986.0,982.85,982.53,7369226.0,724046406805000.0,180426.0,3609546.0,0.4898,985.0,994.85,974.15,983.65,981.7971440931502,547847,23073,537874620.0,341198.0,62.28,20.7,-1.35
2020-10-27,LT,951.75,960.0,986.0,955.15,981.0,981.95,972.9,9638582.0,937734596465000.0,243384.0,4291871.0,0.4453,961.0,986.4,955.7,982.45,972.9928943426393,257682,13225,250722755.0,96832.0,37.58,30.7,21.45
2020-10-26,LT,941.25,949.85,959.25,943.0,952.4,951.75,950.68,6976099.0,663203124800000.0,200846.0,2508476.0,0.35960000000000003,950.0,959.25,943.15,951.65,950.3379179417927,228082,8471,216754973.0,92063.0,40.36,16.1,1.65
2020-10-23,LT,936.3,940.0,948.5,928.0,941.5,941.25,939.81,5102393.0,479527193245000.0,114292.0,1756607.0,0.3443,940.0,948.5,927.65,941.2,940.2742734749316,133994,5828,125991111.0,45857.0,34.22,20.85,1.2
2020-10-22,LT,924.45,922.0,939.0,920.15,934.5,936.3,933.85,6151489.0,574454070180000.0,121877.0,2298986.0,0.3737,923.0,938.95,921.05,936.25,933.419312291034,326010,13719,304304030.0,166398.0,51.04,17.9,13.25
2020-10-21,LT,917.3,924.95,931.0,908.65,926.5,924.45,921.08,6391002.0,588662498935000.0,114508.0,2590330.0,0.4053,925.9,931.0,909.0,924.65,922.7324031729179,275078,12416,253823384.0,99061.0,36.01,22.0,-1.25
2020-10-20,LT,902.9,919.0,935.5,913.0,917.9,917.3,925.32,13188768.0,1220377182475000.0,231875.0,3241367.0,0.2458,915.15,935.6,912.75,917.3,925.254094292804,666965,31631,617112097.0,252616.0,37.88,22.85,2.15
2020-10-19,LT,894.1,899.0,906.0,884.0,904.95,902.9,895.75,5800528.0,519582290595000.0,125336.0,2856709.0,0.4925,900.0,905.35,884.25,903.0,894.8005244250728,200982,10270,179838799.0,54362.0,27.05,21.1,3.0
2020-10-16,LT,888.8,894.0,903.5,889.5,894.55,894.1,894.64,2373465.0,212340195670000.0,53057.0,455932.0,0.1921,890.25,903.0,889.5,894.2,895.0212330627905,117788,6382,105422761.0,31791.0,26.99,13.5,3.95
2020-10-15,LT,915.2,913.0,919.0,885.4,890.05,888.8,903.88,4927842.0,445419666840000.0,121575.0,1819104.0,0.3691,918.0,918.95,887.0,888.95,903.4328957578376,125007,6119,112935436.0,47300.0,37.84,31.95,-29.05
2020-10-14,LT,896.45,897.0,917.0,887.2,915.4,915.2,903.64,5287050.0,477757231205000.0,122665.0,1797593.0,0.34,896.5,916.85,887.45,915.0,905.2394630516858,226465,11929,205005055.0,109603.0,48.4,29.4,18.5
2020-10-13,LT,905.75,907.95,915.7,888.85,896.3,896.45,902.11,4548652.0,410339515205000.0,122561.0,1964443.0,0.4319,906.55,915.5,889.35,896.5,901.9575768127477,120618,5288,108792319.0,36656.0,30.39,26.15,-10.05
2020-10-12,LT,908.45,916.95,925.75,902.05,905.05,905.75,916.35,6188907.0,567117452800000.0,139186.0,1695761.0,0.27399999999999997,915.0,925.8,902.35,905.5,916.4397520742253,183442,7328,168113541.0,42668.0,23.26,23.45,-9.5
2020-10-09,LT,881.05,887.4,914.95,885.6,910.05,908.45,905.68,9668658.0,875674953529999.9,188849.0,2875279.0,0.2974,887.8,914.7,887.0,908.35,905.8340651375439,286962,10532,259939955.0,55905.0,19.48,27.7,20.55
