Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,MARUTI,7117.7,7079.05,7110.0,6881.0,6938.0,6965.15,6979.63,1360249,949403247325000.0,104074.0,270369.0,0.1988,7057.0,7106.5,6882.9,6956.2,6975.576707461509,37995,5615,265037037.0,5168.0,13.6,223.6,-100.8
2020-10-29,MARUTI,7186.05,7114.0,7199.0,6986.7,7084.0,7117.7,7092.42,1434853,1017658154845000.0,135003.0,271487.0,0.18920000000000006,7095.0,7196.3,6988.7,7114.0,7086.203208838844,37833,7097,268092326.0,2234.0,5.9,207.6,19.0
2020-10-28,MARUTI,7158.4,7194.95,7332.0,7110.0,7173.0,7186.05,7240.73,1645177,1191228359925000.0,179960.0,492932.0,0.29960000000000003,7170.0,7329.75,7106.5,7182.45,7196.748654607967,107032,10495,770282402.0,62865.0,58.73,223.25,12.45
2020-10-27,MARUTI,7054.8,7067.0,7209.75,7053.0,7148.0,7158.4,7139.86,1461819,1043718284050000.0,167498.0,541628.0,0.3705,7065.0,7205.15,7055.0,7158.6,7134.342990503779,62130,12592,443256730.0,35137.0,56.55,150.15,93.6
2020-10-26,MARUTI,7103.25,7100.0,7161.3,6935.05,7056.5,7054.8,7056.34,1559361,1100338675405000.0,133834.0,367279.0,0.2355,7095.1,7163.35,6938.0,7054.45,7067.485867224698,65946,10750,466072423.0,11438.0,17.34,225.35,-40.65
2020-10-23,MARUTI,6811.55,6858.0,7124.7,6832.0,7102.0,7103.25,7021.17,1758999,1235022660550000.0,130909.0,397760.0,0.2261,6825.0,7129.5,6825.0,7108.45,7019.022155948499,89863,11618,630750388.0,54078.0,60.18,304.5,283.45
2020-10-22,MARUTI,6861.85,6828.0,6860.0,6775.2,6809.0,6811.55,6808.01,584542,397956960485000.0,51489.0,173752.0,0.2972,6845.0,6859.6,6778.0,6806.25,6804.728582454333,19435,4244,132249900.0,7741.0,39.83,81.6,-38.75
2020-10-21,MARUTI,6844.6,6904.0,6947.6,6764.65,6860.0,6861.85,6876.18,911969,627086467675000.0,83787.0,238572.0,0.2616,6910.0,6945.0,6763.75,6864.9,6872.132471891257,29795,6405,204755187.0,8412.0,28.23,181.25,-45.1
2020-10-20,MARUTI,6851.95,6817.0,6949.0,6810.0,6845.0,6844.6,6877.34,659864,453810928465000.0,63746.0,205553.0,0.3115,6821.0,6947.85,6820.0,6849.0,6874.29392990855,16293,3245,112002871.0,5533.0,33.96,127.85,28.0
2020-10-19,MARUTI,6894.9,6975.0,6980.0,6825.0,6845.55,6851.95,6873.55,548472,376994863495000.0,44043.0,98893.0,0.1803,6951.0,6976.85,6822.0,6851.6,6873.594915520217,19117,3822,131402514.0,3000.0,15.69,154.85,-99.4
2020-10-16,MARUTI,6892.6,6895.0,6980.0,6863.0,6905.0,6894.9,6920.24,657914,455292259395000.0,49182.0,138393.0,0.2104,6901.0,6975.0,6864.1,6897.05,6915.946905791451,14107,2614,97563263.0,1945.0,13.79,110.9,-3.95
2020-10-15,MARUTI,7002.35,7029.0,7049.9,6857.7,6874.8,6892.6,6971.27,681321,474967413990000.0,54699.0,126297.0,0.1854,7035.0,7048.0,6855.8,6885.2,6975.01434354338,74110,4398,516918313.0,53771.0,72.56,192.2,-149.8
2020-10-14,MARUTI,7032.9,7040.0,7075.0,6927.45,6990.0,7002.35,6984.67,779634,544548459405000.0,53493.0,164201.0,0.2106,7035.0,7071.2,6927.6,7006.5,6983.327525076517,32999,4370,230442825.0,12420.0,37.64,143.6,-28.5
2020-10-13,MARUTI,7136.65,7135.0,7185.0,7022.0,7028.0,7032.9,7099.92,819418,581780171680000.0,65990.0,204620.0,0.2497,7125.2,7188.0,7023.0,7031.85,7107.052181399095,36009,4106,255917842.0,6357.0,17.65,165.0,-93.35
2020-10-12,MARUTI,7062.4,7110.0,7155.0,7005.0,7135.0,7136.65,7092.96,799713,567232950740000.0,63216.0,201144.0,0.2515,7090.0,7155.0,7005.2,7137.55,7102.104573157365,22807,3236,161977699.0,9815.0,43.04,149.8,47.55
2020-10-09,MARUTI,7079.85,7060.0,7159.0,7001.0,7059.5,7062.4,7082.16,839682,594676410575000.0,64951.0,196410.0,0.2339,7050.0,7155.65,6997.0,7061.65,7070.567565572106,54177,11214,383062139.0,27924.0,51.54,158.65,11.65
2020-10-08,MARUTI,7046.9,7090.0,7140.0,7021.0,7068.15,7079.85,7074.26,851205,602164792925000.0,72570.0,185537.0,0.218,7100.0,7138.0,7019.25,7082.45,7073.639318132699,37016,7176,261837833.0,14108.0,38.11,118.75,-17.55
