Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,M&M,591.95,592.55,601.75,586.8,594.75,594.0,594.0,4209087,250018568285000.0,59936.0,991840.0,0.2356,593.0,601.4,587.3,593.85,594.1380308182016,96761,1853,57489390.0,14423.0,14.91,14.1,0.85
2020-10-29,M&M,604.15,598.2,604.15,590.25,592.5,591.95,596.52,3680984,219578817580000.03,61542.0,1379214.0,0.3747,600.0,603.8,590.5,591.85,597.5209296772396,125635,2487,75069542.0,54633.0,43.49,13.3,-8.15
2020-10-28,M&M,597.15,599.0,613.0,594.2,605.0,604.15,604.59,6811118,411790397450000.0,95958.0,2480215.0,0.3641,599.0,613.0,594.3,603.95,599.1623309872089,419273,3701,251212588.0,285762.0,68.16,18.7,4.95
2020-10-27,M&M,597.15,600.4,605.0,593.5,596.7,597.15,598.73,5712303,342012979440000.0,109694.0,2367961.0,0.4145,599.9,604.95,593.55,596.95,598.9587314842051,105383,2849,63120068.0,31649.0,30.03,11.4,-2.95
2020-10-26,M&M,625.15,624.95,625.85,594.6,595.9,597.15,609.55,4800537,292615352230000.0,75262.0,1798713.0,0.3747,625.05,625.3,594.7,596.75,609.8358704723751,119820,3059,73070534.0,34150.0,28.5,30.6,-28.3
2020-10-23,M&M,604.35,609.75,628.0,605.35,624.3,625.15,616.99,6421823,396217725755000.0,99883.0,1752534.0,0.2729,607.95,627.5,605.1,625.05,617.159538481111,306553,9439,189192108.0,138687.0,45.24,22.4,17.1
2020-10-22,M&M,600.85,599.8,606.95,594.1,605.0,604.35,600.9,3818892,229477323490000.0,65253.0,1343641.0,0.3518,600.4,606.5,594.4,605.05,600.8477575288968,279357,4083,167851027.0,159834.0,57.21,12.1,4.65
2020-10-21,M&M,602.25,606.9,610.8,592.2,601.5,600.85,602.45,3684794,221989248710000.0,67840.0,1092618.0,0.2965,608.0,611.05,592.2,600.4,602.0527605497982,151401,4615,91151390.0,35956.0,23.75,18.85,-7.6
2020-10-20,M&M,597.45,597.4,609.0,590.3,602.7,602.25,602.47,4377774,263745580035000.0,63171.0,1207976.0,0.2759,599.0,608.95,591.1,602.25,602.4561344864026,92738,1974,55870577.0,11552.0,12.46,17.85,3.25
2020-10-19,M&M,606.65,612.7,614.5,595.2,598.05,597.45,602.32,3646303,219623791685000.0,61828.0,966872.0,0.2652,608.3,614.3,595.5,597.4,601.7180978651954,66704,2453,40137004.0,21984.0,32.96,18.8,-10.9
2020-10-16,M&M,617.3,617.5,623.95,602.05,607.0,606.65,612.16,4274914,261691609990000.0,58622.0,842880.0,0.1972,615.1,623.7,602.15,606.45,609.4428688301064,172349,4268,105036869.0,80200.0,46.53,21.55,-8.65
2020-10-15,M&M,623.85,620.95,633.0,614.1,615.2,617.3,625.04,3795307,237220346875000.0,52185.0,875168.0,0.2306,623.25,632.95,614.15,617.05,622.4771920500161,357485,2460,222526259.0,290351.0,81.22,18.8,-6.2
2020-10-14,M&M,627.9,623.4,627.8,616.3,622.8,623.85,622.2,2776984,172784843025000.0,48325.0,829514.0,0.2987,627.45,627.7,616.45,623.85,620.5224223163841,266208,6103,165188033.0,164956.0,61.96,11.25,-3.6
2020-10-13,M&M,634.4,634.35,642.0,624.35,626.0,627.9,634.12,3769229,239014515810000.0,56764.0,1393632.0,0.3697,635.0,641.8,624.5,628.15,633.8994240356228,61983,1507,39290988.0,8810.0,14.21,17.3,-6.85
2020-10-12,M&M,633.2,637.9,639.7,630.0,634.0,634.4,634.71,3247642,206132270210000.0,45024.0,1160772.0,0.35740000000000005,635.5,639.2,630.5,634.05,634.9972165839348,99518,3164,63193653.0,32255.0,32.41,8.7,-1.45
2020-10-09,M&M,634.15,634.15,647.45,628.3,633.0,633.2,638.14,4972965,317342645025000.0,81081.0,1467838.0,0.2952,635.0,647.45,628.55,633.35,636.5292649928274,147087,3900,93625180.0,37625.0,25.58,18.9,-1.65
2020-10-08,M&M,631.6,634.15,640.95,627.6,635.0,634.15,633.49,4683786,296714420290000.0,67100.0,1462966.0,0.3123,635.85,641.0,628.0,634.05,633.938362346873,93060,2402,58994304.0,15722.0,16.89,13.0,-1.8
2020-10-07,M&M,627.4,629.9,636.9,625.0,631.5,631.6,631.44,6086867,384351849370000.0,82756.0,1638002.0,0.2691,627.5,636.6,625.45,631.3,630.6590734155808,368968,5918,232693017.0,204911.0,55.54,11.15,3.8
2020-10-06,M&M,607.0,611.6,633.0,609.0,628.5,627.4,626.86,9071955,568680533190000.0,110722.0,1998118.0,0.2203,610.1,633.0,608.9,627.2,625.9684139983349,338726,10147,212031777.0,121768.0,35.95,24.1,17.1
2020-10-05,M&M,610.15,615.0,616.25,597.1,608.35,607.0,603.38,5977265,360655931845000.0,77122.0,1619095.0,0.27090000000000003,612.0,618.0,597.35,607.0,603.6986972001943,173012,3726,104447119.0,26147.0,15.11,20.65,-5.0
2020-10-01,M&M,607.9,614.7,621.9,608.15,609.1,610.15,614.05,3842331,235939797100000.0,52876.0,714015.0,0.1858,612.95,621.65,608.35,609.7,613.8714533942683,84024,2011,51579935.0,11352.0,13.51,13.3,-3.25
