Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,NESTLEIND,16870.6,16891.0,17360.0,16890.0,17150.0,17161.6,17194.41,239318.0,411493256965000.0,54797.0,106290.0,0.4441,16925.0,17350.0,16920.0,17162.8,17192.322371177208,4774,2105,82076147.0,882.0,18.48,430.0,237.8
2020-10-29,NESTLEIND,17119.15,16780.05,17215.95,16711.85,16845.0,16870.6,16954.38,136561.0,231530766980000.03,38868.0,55707.0,0.4079,16620.0,17210.25,16620.0,16861.45,16948.601061007954,5655,2896,95844339.0,2264.0,40.04,590.25,241.45
2020-10-28,NESTLEIND,17229.85,17150.0,17295.0,16934.3,17002.0,17119.15,17112.73,163263.0,279387625250000.0,46298.0,65794.0,0.40299999999999997,17199.95,17295.4,16937.9,17119.95,17170.604408153944,17513,3327,300708795.0,13273.0,75.79,357.5,-80.0
2020-10-27,NESTLEIND,16259.35,16480.0,17300.0,16395.55,17230.0,17229.85,16987.13,493572.0,838437292125000.0,113454.0,202329.0,0.4099,16490.0,17299.0,16406.65,17233.25,17002.904845019562,16615,6973,282503264.0,6151.0,37.02,892.35,743.25
2020-10-26,NESTLEIND,15865.45,16200.0,16375.0,16052.15,16273.45,16259.35,16230.37,346011.0,561588813590000.0,72728.0,120967.0,0.3496,16139.6,16375.0,16053.85,16256.2,16215.149542015131,10044,3424,162864962.0,3631.0,36.15,321.15,116.6
2020-10-23,NESTLEIND,15909.45,15930.0,16066.0,15807.25,15860.0,15865.45,15888.46,73600.0,116939063250000.0,21926.0,25586.0,0.3476,15912.0,16066.15,15815.35,15863.0,15898.198751950078,3205,1461,50953727.0,789.0,24.62,250.8,-49.0
2020-10-22,NESTLEIND,16030.85,15990.05,16081.1,15768.05,15850.0,15909.45,15873.92,113586.0,180305556020000.0,30670.0,43529.0,0.3832,16000.0,16074.1,15773.15,15911.25,15889.324956885936,4059,1633,64494770.0,1354.0,33.36,300.95,-88.75
2020-10-21,NESTLEIND,16252.55,16240.0,16314.45,15942.05,15976.1,16030.85,16116.84,150095.0,241905696800000.0,40939.0,48524.0,0.3233,16230.0,16300.0,15955.5,16015.7,16129.236489151876,5070,2568,81775229.0,1257.0,24.79,344.5,-214.3
2020-10-20,NESTLEIND,16093.15,15900.0,16410.0,15850.0,16236.0,16252.55,16217.31,203345.0,329770970410000.0,49758.0,75700.0,0.3723,16000.0,16421.6,15880.0,16252.65,16224.370271642549,7878,2834,127815589.0,1993.0,25.3,541.6,252.65
2020-10-19,NESTLEIND,15430.25,15550.0,16178.0,15425.05,16119.95,16093.15,15891.49,182795.0,290488434140000.0,44919.0,73745.0,0.4034,15588.0,16160.0,15435.0,16089.65,15909.104198184568,5288,3234,84127343.0,2999.0,56.71,725.0,501.65
2020-10-16,NESTLEIND,15602.75,15650.0,15820.4,15375.0,15462.0,15430.25,15542.01,132361.0,205715643110000.0,27747.0,68249.0,0.5156000000000001,15699.0,15807.5,15389.9,15434.2,15484.619406106232,2391,1298,37023725.0,792.0,33.12,417.6,-264.8
