Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,NTPC,86.5,86.9,88.75,86.3,88.35,87.6,87.43,40735912,356168867980000.0,77562.0,11615091,0.2851,86.95,88.8,86.3,87.6,87.52199499761204,812412,2902,71103919.0,118562.0,14.59,2.5,0.65
2020-10-29,NTPC,88.1,87.0,88.5,86.0,86.6,86.5,87.09,41915668,365063677035000.0,86154.0,11137632,0.2657,86.75,88.5,86.05,86.45,87.12564617636524,1295312,5096,112854895.0,365017.0,28.18,2.45,-0.3
2020-10-28,NTPC,89.45,89.45,90.65,87.5,87.55,88.1,89.2,44763307,399309513080000.0,105567.0,13391841,0.2992,89.55,90.65,87.5,88.1,89.25603634826477,1428844,6920,127532952.0,432031.0,30.24,3.15,-1.45
2020-10-27,NTPC,85.95,88.8,90.05,87.05,89.4,89.45,88.53,95413214,844684704270000.0,216211.0,33636054,0.3525,89.25,90.0,87.1,89.45,88.61370533938074,2465623,6971,218487990.0,622347.0,25.24,2.9,0.2
2020-10-26,NTPC,86.25,87.1,88.0,84.3,85.8,85.95,85.87,34724657,298191058170000.0,86037.0,6867148,0.1978,86.6,88.0,84.35,85.9,85.96578530516469,1168533,5593,100453857.0,361413.0,30.93,3.65,-0.7
2020-10-23,NTPC,84.65,86.0,86.6,84.5,86.15,86.25,85.64,46259632,396174787210000.0,90776.0,18906459,0.4087,85.0,86.55,84.5,86.25,85.56285070533394,1229843,5722,105228873.0,439721.0,35.75,2.05,1.25
2020-10-22,NTPC,82.3,82.3,85.9,81.4,85.7,84.65,83.17,34256607,284911263835000.0,75595.0,10461610,0.3054,82.4,85.7,81.45,84.85,83.28020373442008,1219038,4907,101521733.0,492175.0,40.37,4.25,2.45
2020-10-21,NTPC,80.65,81.45,83.8,80.65,82.65,82.3,82.38,38563963,317694545320000.0,79940.0,9395846,0.2436,82.0,83.8,80.7,82.3,81.71281213877381,2922338,2289,238792456.0,2127959.0,72.82,3.1,0.3
2020-10-20,NTPC,81.65,81.65,81.95,80.3,80.7,80.65,80.95,14238588,115254389645000.0,46444.0,3551561,0.2494,81.75,81.85,80.4,80.6,80.92279455298994,481365,2888,38953401.0,137237.0,28.51,1.45,-1.15
2020-10-19,NTPC,80.3,80.95,83.15,80.5,82.1,81.65,81.73,21839955,178499045370000.0,65159.0,6102411,0.27940000000000004,80.8,83.15,80.65,81.75,81.82837807507006,766324,3899,62707050.0,272937.0,35.62,2.5,0.95
