Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,POWERGRID,171.6,170.5,172.0,169.3,171.95,171.0,170.28,12884035,219383533440000.0,54293.0,7851663,0.6093999999999999,169.1,171.95,169.1,171.0,170.26293763396956,156752,1853,26689056.0,44994.0,28.7,2.85,1.9
2020-10-29,POWERGRID,172.85,171.05,173.3,170.25,171.2,171.6,171.85,9930549,170661444190000.0,69226.0,6123179,0.6165999999999999,169.25,173.25,169.25,171.55,171.93350034784973,1714821,3725,294835177.0,1503460.0,87.67,4.0,2.3
2020-10-28,POWERGRID,173.5,174.55,174.55,171.55,172.5,172.85,172.63,7909018,136535601145000.0,56847.0,4202684,0.5314,174.4,174.4,171.45,172.9,173.13391703909372,1231785,3577,213263762.0,1134382.0,92.09,2.95,-1.5
2020-10-27,POWERGRID,172.05,172.05,175.35,171.5,174.25,173.5,173.37,13280939,230253908600000.0,92746.0,6112286,0.4602000000000001,163.0,175.25,163.0,173.6,173.13632301865078,820287,4299,142021475.0,589285.0,71.84,12.25,10.6
2020-10-26,POWERGRID,170.15,170.05,172.95,169.65,172.0,172.05,171.82,20677888,355287011895000.0,97952.0,11247458,0.5439,171.0,172.95,169.8,172.1,171.7644370497008,655120,11458,112526318.0,371724.0,56.74,3.15,1.1
2020-10-23,POWERGRID,165.1,165.1,171.4,164.7,169.9,170.15,169.06,16396341,277204182820000.0,76070.0,6325126,0.3858,164.9,171.0,164.9,170.15,169.0805408437895,1213881,2134,205243656.0,1034764.0,85.24,6.1,5.25
2020-10-22,POWERGRID,163.75,162.15,165.9,161.2,164.4,165.1,163.92,21969260,360115662255000.0,67478.0,12156257,0.5533,163.0,165.85,161.3,164.85,164.14447096453713,412685,1905,67739961.0,230466.0,55.85,4.55,1.85
2020-10-21,POWERGRID,157.2,157.6,166.15,157.25,164.3,163.75,162.72,20572526,334752444520000.0,89498.0,5936039,0.28850000000000003,157.85,166.0,157.4,163.7,162.47227924656323,577726,4942,93864460.0,194527.0,33.67,8.6,5.85
2020-10-20,POWERGRID,159.75,160.0,160.4,156.9,157.3,157.2,158.79,7707353,122381512359999.98,73220.0,4301075,0.5579999999999999,159.75,160.3,156.9,157.2,158.74005280888647,109830,1702,17434420.0,33093.0,30.13,3.4,-2.55
2020-10-19,POWERGRID,158.95,159.95,162.4,159.4,160.0,159.75,160.48,10571070,169649751915000.0,54823.0,6063351,0.5736,158.95,162.4,158.95,159.75,160.7901373503451,147506,1707,23717510.0,42726.0,28.97,3.45,0.8
2020-10-16,POWERGRID,155.75,156.1,161.2,155.35,159.0,158.95,158.41,10504385,166396723830000.0,35929.0,4477237,0.4262,156.95,161.15,155.4,158.95,158.44234839691381,102521,1026,16243668.0,21424.0,20.9,5.75,2.0
2020-10-15,POWERGRID,157.05,156.6,157.05,154.6,154.9,155.75,155.94,8739514,136288275745000.0,57541.0,4411850,0.5048,156.2,157.1,154.65,155.55,155.89382585940504,111967,1438,17454964.0,29357.0,26.22,2.45,-0.65
2020-10-14,POWERGRID,160.45,160.45,160.8,156.3,157.0,157.05,157.3,7516362,118229633959999.98,38199.0,3180829,0.4232,160.0,160.5,156.35,157.0,157.21258276554062,166434,2892,26165519.0,66428.0,39.91,4.15,-3.0
2020-10-13,POWERGRID,159.8,160.0,162.0,159.2,160.85,160.45,160.74,6288739,101088236215000.0,37775.0,3018610,0.48,160.5,163.0,159.35,160.75,160.70737247252418,152771,1017,24551426.0,37116.0,24.3,3.65,0.25
