Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,SBIN,188.7,189.35,192.0,186.15,189.9,189.25,189.11,41520135,785173616845000.0,186311.0,5649029.0,0.1361,189.5,191.9,186.25,189.25,189.18985010215528,2520183,21307,476793044.0,435119.0,17.27,5.65,-0.25
2020-10-29,SBIN,190.45,189.35,190.7,185.9,189.3,188.7,188.17,44823105,843416179090000.0,238791.0,9344991.0,0.2085,189.1,190.75,186.0,188.8,188.17011259360333,2430067,26215,457265981.0,658235.0,27.09,4.75,-0.3
2020-10-28,SBIN,194.65,195.0,195.0,189.05,190.5,190.45,191.54,46462213,889925877879999.9,259437.0,13448807.0,0.2895,195.3,195.3,189.05,190.5,192.23492608384768,2671270,14518,513511391.0,1317469.0,49.32,6.25,-4.8
2020-10-27,SBIN,196.7,197.25,197.55,192.25,194.45,194.65,194.96,37802664,737010744055000.0,177545.0,7079292.0,0.1873,196.25,197.5,192.35,194.6,194.77708684639703,2166319,18325,421949304.0,456314.0,21.06,5.15,-1.65
2020-10-26,SBIN,202.8,202.7,204.0,195.6,197.0,196.7,199.33,45471498,906379008890000.0,213023.0,9472379.0,0.2083,202.1,204.05,195.7,196.75,199.0251410739146,1682983,10310,334955929.0,334976.0,19.9,8.35,-5.35
2020-10-23,SBIN,203.3,204.0,205.6,201.55,202.45,202.8,203.2,32708098,664618598565000.0,143175.0,5408726.0,0.1654,203.8,205.65,201.55,202.75,203.29773701762744,1175440,7982,238964292.0,230293.0,19.59,4.1,-1.05
2020-10-22,SBIN,203.75,201.9,204.6,201.1,203.6,203.3,203.1,33721761,684900878565000.0,156779.0,4734176.0,0.1404,201.8,204.55,201.05,203.3,203.05708470384565,2021750,13503,410530661.0,471888.0,23.34,3.5,1.5
2020-10-21,SBIN,203.05,204.7,207.3,198.85,204.0,203.75,204.08,54516482,1112591690265000.0,248104.0,10918958.0,0.2003,204.95,207.35,198.95,203.85,204.52587285803824,2970758,12866,607596873.0,423230.0,14.25,8.4,-1.1
2020-10-20,SBIN,204.0,201.0,204.35,200.7,202.95,203.05,202.74,39317197,797097496690000.0,175146.0,5620943.0,0.14300000000000002,200.0,204.4,200.0,203.0,202.69386208620853,2855726,20404,578838132.0,919927.0,32.21,4.4,3.0
2020-10-19,SBIN,195.95,196.2,204.6,196.05,204.0,204.0,201.65,60223657,1214397065990000.0,323960.0,18100990.0,0.3006,196.5,204.7,196.45,204.05,201.627996692665,2156419,14436,434794443.0,607236.0,28.16,8.25,7.55
2020-10-16,SBIN,192.85,194.0,196.75,191.6,195.7,195.95,194.69,36894938,718295374275000.0,191841.0,3907003.0,0.1059,194.8,196.65,191.7,195.8,194.676145111508,1654948,9975,322178897.0,157250.0,9.5,4.95,1.0
2020-10-15,SBIN,200.05,201.0,202.5,192.0,192.8,192.85,197.72,49184944,972467956325000.0,238796.0,8926933.0,0.1815,200.95,202.5,192.0,192.85,198.63555340959613,3663733,12619,727747632.0,2048774.0,55.92,10.5,-8.1
2020-10-14,SBIN,195.7,194.05,200.9,193.05,199.1,200.05,196.49,40550062,796774151160000.0,198041.0,6204348.0,0.153,194.05,200.9,193.05,200.05,196.51702140856284,1386548,8972,272480283.0,157918.0,11.39,7.85,6.0
2020-10-13,SBIN,198.7,198.65,200.0,195.1,195.5,195.7,197.22,34949604,689286474945000.0,182813.0,3878144.0,0.111,198.7,200.0,194.5,195.65,197.12442271890254,1874087,9130,369428318.0,213138.0,11.37,5.5,-3.05
2020-10-12,SBIN,198.3,199.7,205.95,197.25,199.0,198.7,201.34,69125880,1391763804490000.0,331018.0,9531119.0,0.1379,200.05,205.85,197.25,198.65,201.5207742686765,2627770,18547,529550245.0,390135.0,14.85,8.6,-1.4
2020-10-09,SBIN,191.5,192.0,198.8,190.55,198.55,198.3,195.31,64908374,1267757359420000.0,277207.0,15862157.0,0.2444,191.5,198.7,190.6,198.25,195.09618075995456,2362957,15097,461003886.0,525593.0,22.24,8.1,6.75
2020-10-08,SBIN,190.7,191.35,195.8,190.55,191.6,191.5,193.41,43351954,838465537145000.0,203970.0,8628169.0,0.19899999999999998,191.55,195.7,190.6,191.5,193.40897043798446,1779378,9790,344147667.0,263053.0,14.78,5.1,-0.05
2020-10-07,SBIN,191.6,192.55,193.15,189.1,190.95,190.7,190.96,34578821,660301133020000.0,150721.0,3793581.0,0.1097,192.8,193.0,189.1,190.65,190.9627075574694,1314395,7458,251000428.0,144809.0,11.02,3.9,-2.15
2020-10-06,SBIN,188.75,191.1,192.1,188.3,191.7,191.6,190.22,31098807,591554221460000.0,161429.0,3397274.0,0.1092,190.55,192.1,188.3,191.6,190.1971605675413,1158964,6908,220431662.0,156062.0,13.47,3.8,1.05
2020-10-05,SBIN,190.3,192.0,193.8,187.05,189.45,188.75,190.39,41694812,793829634085000.0,184563.0,4440433.0,0.1065,191.8,193.7,187.1,188.75,190.60952156250562,2818550,22809,537242467.0,746350.0,26.48,6.6,-3.05
2020-10-01,SBIN,185.4,187.0,191.2,186.9,190.2,190.3,189.71,43589041,826938120705000.0,195571.0,7861957.0,0.1804,187.7,191.1,187.0,190.35,189.7272533156047,1732791,10196,328757677.0,342339.0,19.76,4.1,2.65
