Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,SUNPHARMA,456.35,458.65,469.0,455.85,466.1,465.75,462.35,8680726,401351673825000.0,85190.0,1609102.0,0.1854,459.5,468.85,455.9,465.75,462.334654416133,245758.0,6145.0,113622440.0,52243.0,21.26,12.95,6.25
2020-10-29,SUNPHARMA,463.4,463.0,464.0,452.25,457.5,456.35,458.04,8297097,380036582895000.0,97201.0,2308474.0,0.2782,460.2,463.8,452.6,456.75,458.3982340046022,146886.0,3736.0,67332283.0,42161.0,28.7,11.2,-3.45
2020-10-28,SUNPHARMA,470.45,473.0,475.75,461.4,462.2,463.4,468.28,7724076,361705141210000.0,104163.0,2227652.0,0.2884,472.3,475.5,461.6,463.35,469.12371235553917,649830.0,8210.0,304850662.0,512458.0,78.86,13.9,-8.95
2020-10-27,SUNPHARMA,474.5,474.6,476.75,467.25,470.5,470.45,470.57,7693124,362018000580000.0,116973.0,2193668.0,0.2851,475.7,476.0,467.35,470.7,470.61059295927254,141207.0,3342.0,66453510.0,42543.0,30.13,8.65,-5.0
2020-10-26,SUNPHARMA,484.5,487.4,487.4,471.1,474.75,474.5,478.49,6499287,310986491485000.0,93506.0,1146600.0,0.1764,484.55,487.35,471.15,474.45,478.10059733610365,134765.0,3212.0,64431227.0,38476.0,28.55,16.2,-10.1
2020-10-23,SUNPHARMA,485.55,488.0,494.5,482.9,484.0,484.5,488.59,6579267,321457180445000.0,77249.0,1234346.0,0.1876,489.6,494.4,482.8,484.35,488.5242193262847,235886.0,5595.0,115236024.0,59288.0,25.13,11.6,-5.25
2020-10-22,SUNPHARMA,490.2,491.2,491.4,481.7,485.0,485.55,484.99,6428938,311794510735000.0,81421.0,1288699.0,0.2005,485.7,490.1,481.95,485.65,485.1104865365587,94998.0,2108.0,46084526.0,23822.0,25.08,8.15,-0.05
2020-10-21,SUNPHARMA,486.35,489.0,492.2,481.5,491.2,490.2,487.21,7270052,354203001820000.0,80122.0,1500835.0,0.2064,488.0,491.9,481.5,489.7,487.1463585287476,238681.0,6317.0,116272580.0,92087.0,38.58,10.4,1.7
2020-10-20,SUNPHARMA,483.65,484.95,488.55,480.4,486.65,486.35,485.54,5551108,269530713180000.03,83453.0,952836.0,0.1716,485.0,488.5,480.45,486.4,485.9162647328556,117764.0,2145.0,57223443.0,26548.0,22.54,8.05,1.4
2020-10-19,SUNPHARMA,486.9,489.95,490.9,480.9,484.5,483.65,484.53,5158876,249965109655000.03,77427.0,716599.0,0.1389,491.0,491.0,481.0,483.6,484.7997804752064,108416.0,2659.0,52560053.0,30404.0,28.04,10.0,-7.4
2020-10-16,SUNPHARMA,490.3,491.0,494.75,485.25,486.5,486.9,489.14,9086863,444470699160000.06,87965.0,2430567.0,0.2675,494.0,494.25,485.4,486.85,488.9242419487175,223039.0,5949.0,109049174.0,52730.0,23.64,8.85,-7.15
2020-10-15,SUNPHARMA,502.2,504.7,504.7,489.0,490.0,490.3,496.03,6605327,327646558205000.0,73034.0,1034763.0,0.1567,503.0,504.5,489.25,490.4,499.47496251615684,580250.0,3434.0,289820347.0,478707.0,82.5,15.25,-12.6
2020-10-14,SUNPHARMA,503.15,503.15,507.5,493.3,501.7,502.2,499.51,7640410,381644463040000.0,104395.0,1369883.0,0.1793,503.2,508.0,493.4,502.0,499.6522269104548,234630.0,6642.0,117233402.0,63005.0,26.85,14.6,-1.2
2020-10-13,SUNPHARMA,513.9,514.0,519.95,501.6,503.5,503.15,510.84,8851581,452174629135000.06,83678.0,1915769.0,0.2164,513.0,519.95,502.0,503.2,510.55600110810997,144390.0,3214.0,73719181.0,31332.0,21.7,17.95,-9.8
2020-10-12,SUNPHARMA,512.9,514.9,517.35,509.3,513.7,513.9,512.81,7092678,363718553550000.0,78696.0,1500266.0,0.2115,513.25,517.1,509.3,513.85,512.7467443244474,228524.0,5049.0,117174937.0,82242.0,35.99,7.8,0.6
2020-10-09,SUNPHARMA,524.1,525.0,529.3,511.05,513.0,512.9,517.92,11469442,594023539355000.0,111871.0,3256053.0,0.2839,527.0,529.4,511.3,513.15,518.4628640024783,206592.0,4075.0,107110280.0,33672.0,16.3,18.1,-13.85
2020-10-08,SUNPHARMA,511.75,514.6,526.0,511.75,523.25,524.1,520.23,9392759,488638281670000.0,103338.0,1585380.0,0.1688,512.2,526.0,512.05,524.05,519.9208298735117,248086.0,5893.0,128985079.0,68343.0,27.55,13.95,11.85
2020-10-07,SUNPHARMA,521.05,516.1,522.9,509.2,512.0,511.75,514.71,8346537,429604995415000.0,86493.0,1522977.0,0.1825,521.0,522.8,509.75,511.65,513.9806847355999,174111.0,4133.0,89489691.0,42834.0,24.6,13.05,-9.35
2020-10-06,SUNPHARMA,523.1,526.0,527.6,519.0,521.0,521.05,523.38,8537289,446825491005000.0,86735.0,1565303.0,0.1833,525.0,528.0,519.05,520.8,523.1839249962326,278706.0,7637.0,145814499.0,108061.0,38.77,8.95,-4.2
2020-10-05,SUNPHARMA,506.9,507.0,525.1,503.8,524.1,523.1,515.22,8831632,455020987120000.0,107993.0,1512867.0,0.17129999999999998,506.8,524.8,503.95,523.15,516.583833398942,208306.0,4404.0,107607512.0,52457.0,25.18,20.85,16.35
2020-10-01,SUNPHARMA,500.45,505.1,510.5,501.3,507.55,506.9,505.96,6733155,340673356115000.0,72021.0,771563.0,0.1146,501.05,510.3,501.05,506.8,505.8469511560993,201929.0,4258.0,102145169.0,62917.0,31.16,9.25,5.75
2020-09-30,SUNPHARMA,506.15,508.0,516.2,498.3,500.6,500.45,507.16,12981977,658397406540000.0,129764.0,2374681.0,0.1829,506.0,516.15,498.55,500.5,506.35851541722235,671165.0,4794.0,339850113.0,488169.0,72.73,17.6,-5.5
2020-09-29,SUNPHARMA,510.1,517.85,517.85,504.5,505.2,506.15,509.71,8592549,437966835270000.0,89418.0,719593.0,0.0837,516.25,516.6,504.65,505.6,510.0955384288266,362137.0,6554.0,184724468.0,86163.0,23.79,11.95,-10.65
2020-09-28,SUNPHARMA,489.65,495.0,512.0,488.5,509.9,510.1,500.54,12222648,611788947695000.0,120034.0,1593820.0,0.1304,494.25,512.05,488.6,510.2,501.6111199527684,194785.0,4260.0,97706322.0,30235.0,15.52,23.45,15.95
