Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,TCS,2632.65,2636.1,2674.35,2621.6,2663.55,2664.85,2654.92,3427003,909841522885000.0,120277.0,1334806,0.3895,2639.0,2673.95,2621.65,2664.85,2655.31305797845,77960,6767,207008206.0,21973.0,28.18,52.3,25.85
2020-10-29,TCS,2622.2,2608.0,2655.0,2600.25,2632.1,2632.65,2634.88,3105970,818386003410000.0,121416.0,1069258,0.3443,2605.0,2654.45,2601.0,2633.7,2633.638170332457,86748,7139,228462844.0,28325.0,32.65,53.45,28.7
2020-10-28,TCS,2630.15,2650.0,2655.95,2606.0,2619.5,2622.2,2625.65,3569515,937229238295000.0,143177.0,1548301,0.4338,2653.0,2656.35,2607.2,2621.75,2622.8347654172408,471923,9654,1237776051.0,407302.0,86.31,49.15,-31.25
2020-10-27,TCS,2688.2,2699.75,2718.15,2624.1,2634.8,2630.15,2654.79,3537594,939158221920000.0,172659.0,1597439,0.4516,2696.85,2717.0,2625.0,2631.45,2652.563460607876,86794,8587,230226593.0,44052.0,50.75,92.0,-65.4
2020-10-26,TCS,2686.8,2689.95,2709.95,2670.5,2690.1,2688.2,2694.09,2672766,720067367590000.0,101255.0,908018,0.3397,2695.0,2709.8,2671.7,2687.65,2692.646448951529,72725,4708,195822713.0,15808.0,21.74,38.1,-7.35
2020-10-23,TCS,2671.15,2687.8,2702.0,2670.1,2687.0,2686.8,2687.39,3499372,940417797730000.0,124614.0,1911506,0.5462,2684.0,2706.05,2670.55,2686.45,2687.438840372226,69850,5290,187717603.0,23015.0,32.95,35.5,2.45
2020-10-22,TCS,2675.4,2661.0,2686.65,2638.1,2672.9,2671.15,2664.97,5262311,1402391149540000.0,167510.0,2554936,0.4855,2666.8,2687.25,2638.55,2670.8,2665.949581164284,151372,12049,403550120.0,36461.0,24.09,48.7,4.0
2020-10-21,TCS,2739.0,2739.0,2749.0,2663.05,2678.0,2675.4,2700.88,4570175,1234348421325000.0,207866.0,2385821,0.522,2739.0,2749.6,2663.1,2675.45,2699.2250020581964,109319,10897,295076578.0,47217.0,43.19,86.5,-63.55
2020-10-20,TCS,2711.55,2725.0,2759.9,2717.95,2739.0,2739.0,2743.85,3406298,934638305865000.0,137012.0,1402392,0.4117,2722.0,2760.0,2720.0,2738.4,2744.4917878846936,56441,4223,154901861.0,13053.0,23.13,40.0,16.4
2020-10-19,TCS,2763.3,2774.0,2774.0,2706.6,2714.8,2711.55,2723.63,3331194,907294903795000.0,151449.0,1370233,0.4113000000000001,2777.0,2777.0,2706.6,2711.45,2722.842985272949,90310,7459,245899950.0,29652.0,32.83,70.4,-65.55
2020-10-16,TCS,2740.6,2750.1,2771.65,2731.3,2757.0,2763.3,2756.34,5273773,1453632886635000.0,111405.0,2268743,0.4302,2751.0,2771.2,2733.45,2762.5,2755.925489409623,64823,5217,178647358.0,11039.0,17.03,37.75,11.5
2020-10-15,TCS,2809.6,2811.0,2827.75,2727.0,2734.0,2740.6,2757.66,6629395,1828159559385000.0,190209.0,3050039,0.4601,2810.1,2827.0,2727.0,2738.7,2787.9909342324395,589029,19437,1642207512.0,444787.0,75.51,100.0,-71.4
2020-10-14,TCS,2826.55,2842.0,2842.0,2787.55,2810.0,2809.6,2808.82,4395979,1234750277785000.0,143887.0,1813426,0.4125,2840.15,2840.15,2788.95,2809.8,2808.7610278422007,86667,5818,243426892.0,21039.0,24.28,51.2,-30.35
2020-10-13,TCS,2830.0,2845.0,2854.9,2812.2,2830.5,2826.55,2834.44,4209905,1193274366645000.0,156554.0,1335928,0.3173,2845.0,2855.0,2813.25,2825.65,2834.061450463197,149828,9562,424621759.0,28421.0,18.97,41.75,-19.35
2020-10-12,TCS,2812.95,2815.5,2854.0,2800.75,2826.15,2830.0,2832.22,4623211,1309394215610000.0,164934.0,1359019,0.294,2818.9,2853.65,2802.0,2831.2,2831.991470546732,191337,13538,541864752.0,46888.0,24.51,51.65,12.3
2020-10-09,TCS,2825.7,2810.0,2829.85,2780.0,2811.0,2812.95,2804.8,7739375,2170742613055000.0,239979.0,2016789,0.2606,2823.0,2828.75,2781.0,2814.95,2806.113816340108,186388,11318,523025942.0,31315.0,16.8,47.75,-8.05
2020-10-08,TCS,2735.95,2800.0,2885.0,2800.0,2818.45,2825.7,2855.52,19839826,5665309995090000.0,542541.0,2925398,0.1475,2825.0,2885.0,2800.0,2824.8,2856.259521386031,692625,42125,1978316751.0,109809.0,15.85,85.0,-0.2
2020-10-07,TCS,2714.3,2742.0,2770.0,2703.0,2752.8,2735.95,2728.88,9656167,2635056284835000.0,306556.0,2543041,0.2634,2738.0,2769.0,2703.0,2737.4,2729.2423892391394,277896,19870,758445543.0,66103.0,23.79,66.0,-0.6
