Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,TECHM,804.25,806.7,818.65,802.7,811.2,813.3,811.08,6189611,502024015455000.0,115630.0,2522906,0.4076,806.0,818.7,803.25,813.7,811.4265586510412,97023,4051,78727039.0,28732.0,29.61,15.45,7.7
2020-10-29,TECHM,804.3,790.0,809.4,781.85,806.7,804.25,797.89,6477349,516820948810000.06,158949.0,2120390,0.3274,791.45,808.3,782.25,805.45,792.9124867911961,243209,5691,192843453.0,48114.0,19.78,26.05,14.0
2020-10-28,TECHM,828.65,830.0,836.45,801.0,805.7,804.3,816.74,6829430,557786864775000.0,142051.0,2594187,0.3799,828.1,836.0,801.15,803.95,822.9037720482152,429740,7899,353634667.0,269657.0,62.75,34.85,-24.15
2020-10-27,TECHM,819.25,826.4,833.75,816.0,828.15,828.65,826.0,5479547,452612835490000.0,150492.0,2075482,0.3788,824.4,833.55,816.2,828.85,826.5632308018863,108357,5071,89563912.0,34846.0,32.16,17.35,4.45
2020-10-26,TECHM,848.25,830.0,854.7,814.0,819.95,819.25,832.93,9770664,813829533335000.0,168493.0,2086367,0.2135,834.0,854.65,813.95,819.45,834.3797560966217,259693,9347,216682582.0,78064.0,30.06,40.7,-14.55
2020-10-23,TECHM,837.45,840.0,857.45,833.55,847.0,848.25,846.74,7356768,622925202015000.0,101439.0,2959500,0.4023,839.0,857.0,833.4,848.1,846.4700642970469,215562,4809,182466780.0,77437.0,35.92,23.6,9.1
2020-10-22,TECHM,845.9,844.85,853.9,828.8,839.1,837.45,838.76,3962662,332371101800000.0,81839.0,889738,0.2245,842.2,853.9,828.8,838.1,840.2849124186432,91572,3192,76946570.0,15882.0,17.34,25.1,-4.1
2020-10-21,TECHM,849.85,851.1,857.2,833.95,843.55,845.9,847.7,4818496,408462266615000.0,85094.0,1175176,0.2439,850.5,857.4,834.5,845.3,848.1578499145047,150301,5420,127478973.0,33771.0,22.47,22.9,-5.2
2020-10-20,TECHM,824.15,820.6,852.9,819.6,850.3,849.85,842.24,7382532,621789165870000.0,151818.0,2383407,0.32280000000000003,818.0,852.8,818.0,850.15,842.940713199452,172939,5985,145777324.0,56869.0,32.88,34.8,32.15
2020-10-19,TECHM,822.75,828.0,836.6,817.6,827.5,824.15,827.87,4558879,377414360515000.0,94172.0,1375166,0.30160000000000003,829.9,836.75,817.4,824.95,828.0504527043124,117516,4204,97309177.0,30214.0,25.71,19.35,-4.95
2020-10-16,TECHM,812.4,813.2,828.3,798.8,822.5,822.75,817.39,7978997,652193716225000.0,107675.0,1769011,0.2217,814.5,828.15,799.05,822.8,817.0990028086271,194045,5119,158553976.0,18013.0,9.28,29.1,8.3
2020-10-15,TECHM,848.85,853.0,858.35,806.7,811.25,812.4,821.14,8893099,730244814940000.0,155057.0,2454318,0.276,851.0,857.1,807.0,812.2,833.5495932819972,433224,10009,361113689.0,264573.0,61.07,50.1,-38.8
2020-10-14,TECHM,868.2,869.0,873.8,845.6,847.95,848.85,855.95,5346619,457642023715000.0,93023.0,1658428,0.3102,868.0,873.8,845.7,848.9,855.7055297909134,101776,3144,87090286.0,20194.0,19.84,28.1,-19.1
2020-10-13,TECHM,856.9,856.9,879.9,851.0,863.95,868.2,867.68,7327536,635798747600000.0,160131.0,3086933,0.4213,857.7,879.65,852.0,867.4,867.3753943217665,200027,6412,173498498.0,54519.0,27.26,27.65,9.7
2020-10-12,TECHM,854.15,861.0,864.8,848.4,858.95,856.9,856.89,3343240,286480371550000.0,55971.0,995143,0.2977,857.1,864.7,848.9,856.95,856.9138242903367,138763,3377,118907933.0,31248.0,22.52,15.8,-0.15
2020-10-09,TECHM,860.3,860.5,862.45,845.25,856.0,854.15,853.69,5306816,453036846250000.0,75089.0,2043181,0.385,857.0,862.35,845.5,854.6,853.2629435599392,97732,3829,83391094.0,21773.0,22.28,16.85,-2.4
2020-10-08,TECHM,846.35,862.0,887.55,857.65,862.5,860.3,873.37,11398850,995541041125000.0,170864.0,3217763,0.2823,858.2,887.5,858.0,860.35,873.4013117463817,283134,10123,247289607.0,70767.0,24.99,29.5,2.15
2020-10-07,TECHM,847.4,847.0,848.15,837.25,847.0,846.35,843.15,3943818,332524210105000.0,77156.0,1665958,0.4224000000000001,846.55,848.35,838.0,846.6,842.963182946736,72901,2136,61452859.0,11315.0,15.52,10.35,0.05
2020-10-06,TECHM,841.25,854.95,854.95,832.5,846.0,847.4,841.22,4902536,412410264255000.0,136590.0,1380638,0.2816,855.0,855.0,832.05,847.0,841.1870062161618,149610,4911,125849988.0,41328.0,27.62,22.95,-8.0
2020-10-05,TECHM,822.5,822.55,850.95,821.85,845.35,841.25,835.42,8551126,714380241415000.0,148805.0,2089471,0.2444,822.0,850.15,822.0,841.25,835.9085651974402,202669,6771,169412753.0,70959.0,35.01,28.15,19.25
2020-10-01,TECHM,791.75,798.2,825.35,797.85,821.85,822.5,814.81,10104769,823347505800000.0,157925.0,3358558,0.33240000000000003,797.9,825.0,797.2,822.65,815.2334860841423,193125,4749,157441967.0,47423.0,24.56,27.8,24.75
2020-09-30,TECHM,768.15,773.0,794.8,765.65,789.55,791.75,780.78,5433724,424255233880000.0,80851.0,1621629,0.2984,780.0,794.8,766.0,791.7,782.4093072995723,144940,4265,113402405.0,35525.0,24.51,28.8,11.7
2020-09-29,TECHM,779.4,785.0,790.0,764.0,764.85,768.15,776.99,7041880,547145065780000.0,71888.0,3031107,0.4304,779.0,789.9,764.35,768.2,777.9761933911342,89849,3062,69900383.0,17098.0,19.03,25.55,-10.8
2020-09-28,TECHM,772.35,779.35,784.4,772.0,778.0,779.4,777.36,3604523,280201909410000.0,59736.0,1127076,0.3127,784.0,784.35,772.0,779.4,778.1513304766437,94515,3562,73546973.0,29365.0,31.07,12.35,-4.6
2020-09-25,TECHM,751.85,755.05,777.35,748.65,774.45,772.35,766.33,6986586,535405571085000.06,104052.0,2004779,0.28690000000000004,753.0,777.05,749.1,772.55,764.520712686721,218441,4336,167002669.0,15057.0,6.89,27.95,19.55
2020-09-24,TECHM,793.05,787.95,787.95,747.55,753.0,751.85,766.25,5929194,454325396520000.0,114079.0,2332779,0.3934,786.25,786.3,747.35,751.35,769.9834654101518,163415,4034,125826848.0,67523.0,41.32,38.95,-34.9
2020-09-23,TECHM,800.45,812.45,812.45,783.1,792.55,793.05,798.31,6091530,486294863920000.0,100464.0,1892731,0.31070000000000003,807.2,811.6,783.45,792.8,796.8935233432701,123783,3857,98641871.0,20598.0,16.64,28.15,-14.4
2020-09-22,TECHM,787.25,793.0,811.0,772.0,805.85,800.45,796.39,9053627,721021803600000.0,174316.0,1835096,0.2027,790.0,810.7,771.8,800.5,795.1274946284815,251791,6580,200205947.0,30966.0,12.3,38.9,10.5
2020-09-21,TECHM,804.65,807.0,830.0,784.3,789.6,787.25,814.49,10789252,878768774665000.0,154482.0,2432498,0.2255,805.0,829.95,784.45,787.15,816.1483100345532,285065,8881,232655318.0,70198.0,24.63,45.5,-17.85
2020-09-18,TECHM,786.95,793.0,808.8,788.0,807.9,804.65,802.54,6281494,504116202960000.06,119359.0,2361252,0.3759000000000001,794.8,808.4,789.55,805.0,801.9369933834921,116829,3658,93689497.0,26490.0,22.67,18.85,10.2
