Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,ULTRACEMCO,4576.8,4550.0,4671.0,4540.05,4551.15,4574.05,4603.49,934842,430353182800000.0,60674.0,156501,0.1674,4569.95,4670.0,4544.1,4573.85,4621.599436302143,26610,3984,122980761.0,4217.0,15.85,125.9,3.9
2020-10-29,ULTRACEMCO,4469.3,4449.1,4615.35,4440.0,4542.6,4576.8,4538.74,927672,421046307370000.0,68681.0,252894,0.2726,4450.0,4612.05,4447.4,4575.25,4544.923253777097,27402,3530,124539987.0,5163.0,18.84,164.65,125.25
2020-10-28,ULTRACEMCO,4566.95,4593.9,4593.9,4453.0,4456.55,4469.3,4508.63,509920,229903941965000.0,55727.0,187274,0.3673,4560.0,4571.25,4452.95,4465.2,4546.054644524268,57627,2324,261975491.0,47948.0,83.2,118.3,-94.8
2020-10-27,ULTRACEMCO,4485.4,4495.0,4628.0,4485.0,4551.15,4566.95,4554.45,1088254,495639369750000.0,102192.0,389026,0.3575,4532.6,4628.0,4484.2,4567.45,4560.742452248922,22722,3194,103629190.0,3319.0,14.61,143.8,34.85
2020-10-26,ULTRACEMCO,4504.55,4510.0,4544.4,4459.35,4494.0,4485.4,4499.57,727544,327363468955000.0,51236.0,230691,0.3171,4510.0,4542.5,4460.3,4482.15,4494.952182952184,15873,2487,71348376.0,4614.0,29.07,82.2,-27.85
2020-10-23,ULTRACEMCO,4614.55,4620.0,4642.0,4488.4,4502.0,4504.55,4556.33,886850,404078428715000.0,73191.0,269328,0.3037,4644.0,4644.0,4487.95,4503.55,4560.976532113089,30595,3955,139543077.0,9403.0,30.73,156.05,-140.45
2020-10-22,ULTRACEMCO,4629.1,4675.0,4735.55,4528.6,4616.0,4614.55,4622.91,1812783,838032392055000.0,137529.0,435827,0.2404,4654.15,4731.8,4533.2,4612.4,4620.607675593858,40961,6647,189264711.0,8535.0,20.84,198.6,-41.75
2020-10-21,ULTRACEMCO,4544.35,4545.35,4658.0,4440.0,4631.95,4629.1,4570.78,2032618,929064751690000.0,133938.0,383791,0.1888,4545.0,4656.9,4439.5,4629.6,4573.834628431682,50704,8926,231911711.0,10828.0,21.36,217.4,84.6
2020-10-20,ULTRACEMCO,4514.6,4544.5,4584.5,4485.0,4554.95,4544.35,4541.22,871380,395713109960000.0,59801.0,260090,0.29850000000000004,4550.0,4588.8,4484.0,4547.4,4538.303614320026,34972,4970,158713554.0,9663.0,27.63,104.8,-2.6
2020-10-19,ULTRACEMCO,4482.1,4500.0,4549.0,4464.85,4540.3,4514.6,4516.21,636376,287400639995000.0,51579.0,142199,0.2235000000000001,4520.0,4549.0,4465.2,4516.4,4520.507081238179,21677,2698,97991032.0,5587.0,25.77,83.8,-3.6
2020-10-16,ULTRACEMCO,4383.3,4383.95,4496.0,4380.0,4484.65,4482.1,4448.26,669845,297964773585000.0,49255.0,143299,0.2139,4381.05,4493.95,4380.5,4479.75,4449.706022716426,20954,2410,93239140.0,6185.0,29.52,113.45,98.7
2020-10-15,ULTRACEMCO,4442.85,4459.0,4473.0,4366.3,4374.2,4383.3,4404.31,545475,240243852045000.0,36449.0,131334,0.2408,4460.0,4472.2,4368.8,4382.15,4423.608180248077,63690,2535,281739605.0,48556.0,76.24,103.4,-77.85
2020-10-14,ULTRACEMCO,4382.75,4381.85,4459.0,4315.0,4459.0,4442.85,4401.75,817554,359866957300000.0,54724.0,131217,0.1605,4401.0,4461.95,4320.0,4448.9,4400.206115734469,15501,2448,68207595.0,2396.0,15.46,141.95,47.9
2020-10-13,ULTRACEMCO,4306.3,4448.0,4525.0,4339.45,4380.7,4382.75,4437.6,2369441,1051462065680000.0,150207.0,310423,0.131,4300.0,4524.0,4300.0,4382.2,4442.010781573966,55465,7818,246376128.0,7047.0,12.71,224.0,82.2
2020-10-12,ULTRACEMCO,4298.35,4300.0,4361.0,4246.4,4308.0,4306.3,4299.88,488896,210219521575000.0,39074.0,194347,0.3975,4225.0,4355.0,4225.0,4304.4,4292.6932248296725,5284,1178,22682591.0,1359.0,25.72,130.0,79.4
2020-10-09,ULTRACEMCO,4346.0,4340.0,4374.95,4275.5,4300.0,4298.35,4306.98,405756,174758277510000.0,33028.0,133935,0.3301,4338.0,4372.0,4277.0,4298.0,4306.0612668743515,10593,1670,45614107.0,2738.0,25.85,95.0,-40.0
2020-10-08,ULTRACEMCO,4213.35,4225.0,4360.0,4214.0,4340.0,4346.0,4303.6,801790,345058316830000.0,67637.0,279234,0.3483,4216.3,4358.65,4216.3,4344.4,4303.145156471731,26778,3782,115229621.0,8163.0,30.48,142.35,128.1
2020-10-07,ULTRACEMCO,4136.1,4122.75,4285.95,4114.1,4209.0,4213.35,4221.78,1037715,438100517650000.0,82767.0,307316,0.2961,4091.0,4288.25,4091.0,4210.6,4221.229958376128,36998,6081,156177066.0,15148.0,40.94,197.25,119.6
2020-10-06,ULTRACEMCO,4047.15,4055.2,4148.0,4055.2,4127.05,4136.1,4099.74,351025,143911144660000.0,27579.0,131421,0.3744,4069.25,4148.35,4059.05,4136.75,4109.008935663225,10072,1504,41385938.0,3708.0,36.81,89.3,67.5
2020-10-05,ULTRACEMCO,4097.75,4114.1,4114.1,4031.05,4060.25,4047.15,4057.31,313282,127108106820000.0,25327.0,128816,0.4112,4135.0,4135.0,4029.9,4047.0,4056.811179767208,20877,2777,84694047.0,12449.0,59.63,105.1,-88.0
2020-10-01,ULTRACEMCO,4049.55,4088.0,4120.0,4062.1,4100.0,4097.75,4099.2,406483,166625446550000.0,27325.0,208499,0.5129,4070.0,4119.2,4064.95,4100.7,4099.095289521329,31483,2899,129051817.0,21043.0,66.84,54.25,30.7
2020-09-30,ULTRACEMCO,4062.1,4087.7,4102.7,4023.1,4030.2,4049.55,4065.76,548775,223118779485000.0,33256.0,85221,0.1553,4078.05,4103.8,4021.05,4047.0,4059.040448350452,66109,3190,268339105.0,51655.0,78.14,82.75,-31.05
2020-09-29,ULTRACEMCO,3922.0,3960.0,4078.0,3943.25,4052.4,4062.1,4023.42,772288,310724205455000.0,55336.0,184743,0.2392,3950.0,4075.0,3946.0,4064.6,4029.747014861266,23282,4594,93820570.0,10927.0,46.93,129.0,114.6
2020-09-28,ULTRACEMCO,3858.5,3890.0,3950.0,3870.15,3938.0,3922.0,3911.08,248628,97240376465000.0,18556.0,80756,0.3248,3900.0,3950.0,3883.2,3928.4,3916.3189003436414,14550,1492,56982440.0,2140.0,14.71,66.8,28.4
2020-09-25,ULTRACEMCO,3777.8,3790.0,3879.9,3760.05,3865.0,3858.5,3816.74,321826,122832536034999.98,23410.0,61069,0.1898,3820.25,3870.0,3762.3,3859.5,3832.504761904762,10290,1121,39436474.0,985.0,9.57,107.7,39.25
2020-09-24,ULTRACEMCO,3869.15,3869.0,3869.15,3753.9,3780.0,3777.8,3796.31,456086,173144351060000.0,45306.0,200072,0.4387,3871.2,3871.2,3755.0,3775.95,3801.265278710543,16379,2130,62260924.0,10859.0,66.3,116.2,-95.25
2020-09-23,ULTRACEMCO,3883.15,3900.0,3918.25,3837.05,3872.0,3869.15,3876.93,307971,119398299284999.98,19938.0,123271,0.4003,3895.5,3917.3,3838.1,3867.15,3873.3889590267413,8713,1240,33748838.0,2867.0,32.9,79.2,-28.35
2020-09-22,ULTRACEMCO,3878.9,3879.65,3944.5,3794.0,3928.9,3883.15,3884.53,508999,197721938245000.0,46771.0,129454,0.2543,3883.0,3943.75,3794.65,3878.3,3884.8843537414978,29400,5842,114215600.0,7573.0,25.76,149.1,-4.7
2020-09-21,ULTRACEMCO,4002.6,4002.6,4003.6,3850.0,3857.0,3878.9,3915.87,389056,152349166175000.0,27898.0,141931,0.3648,4000.0,4003.15,3851.1,3888.95,3892.5136020706,36318,4549,141368309.0,25786.0,71.0,152.05,-111.05
2020-09-18,ULTRACEMCO,3968.95,3983.9,4019.4,3950.0,4007.05,4002.6,3994.51,440400,175918186580000.0,27824.0,229698,0.5216,4014.8,4019.1,3953.0,4004.7,3988.5375108790254,5745,1115,22914148.0,2177.0,37.89,66.1,-10.1
2020-09-17,ULTRACEMCO,3974.9,3954.8,4023.4,3943.5,3981.0,3968.95,3977.98,447295,177933185350000.0,43745.0,137696,0.3078,3973.4,4021.0,3947.15,3965.25,3978.684567901235,9720,1586,38672814.0,1882.0,19.36,73.85,-8.15
2020-09-16,ULTRACEMCO,3931.45,3933.0,3983.85,3920.05,3972.25,3974.9,3966.44,418072,165825828220000.0,32638.0,164937,0.3945,3943.65,3983.15,3929.15,3974.9,3969.458713823258,20697,3179,82155887.0,12701.0,61.37,54.0,31.25
2020-09-15,ULTRACEMCO,3914.1,3917.1,3954.95,3885.15,3924.5,3931.45,3924.6,312780,122753590245000.0,23451.0,105621,0.3377000000000001,3927.0,3953.0,3888.0,3931.2,3924.9926708709722,5867,1225,23027932.0,2105.0,35.88,65.0,4.2
2020-09-14,ULTRACEMCO,3904.1,3899.95,3969.7,3890.0,3903.0,3914.1,3924.0,472618,185455188500000.0,37525.0,159097,0.33659999999999995,3865.0,3969.0,3865.0,3910.9,3898.637356700391,135119,1665,526779981.0,128996.0,95.47,104.0,45.9
2020-09-11,ULTRACEMCO,3915.5,3915.5,3944.2,3878.0,3884.9,3904.1,3910.16,348305,136192878775000.0,25322.0,146854,0.4216,3900.0,3941.0,3872.8,3896.9,3907.7284610138668,8798,1309,34380195.0,3196.0,36.33,68.2,-3.1
2020-09-10,ULTRACEMCO,3835.6,3837.0,3939.0,3825.0,3935.0,3915.5,3873.82,433018,167743169855000.0,39955.0,132198,0.3053,3865.0,3938.25,3826.65,3917.3,3874.413333333332,8325,1575,32254491.0,1431.0,17.19,111.6,52.3
2020-09-09,ULTRACEMCO,3823.75,3811.0,3861.0,3779.0,3825.1,3835.6,3827.31,332427,127230073725000.0,27018.0,108885,0.3275,3824.9,3859.1,3776.0,3831.45,3827.4014523355822,19417,3369,74316654.0,12499.0,64.37,83.1,6.55
2020-09-08,ULTRACEMCO,3848.65,3854.8,3862.5,3812.65,3825.0,3823.75,3841.03,456891,175493365565000.0,28305.0,220208,0.48200000000000004,3850.0,3861.55,3815.0,3823.15,3840.226781170483,12576,2173,48294692.0,5524.0,43.92,46.55,-26.85
2020-09-07,ULTRACEMCO,3916.1,3925.0,3990.0,3821.0,3844.85,3848.65,3860.03,704103,271785833195000.0,45870.0,276375,0.3925,3923.0,3985.45,3821.75,3848.75,3859.9235577223576,15999,3310,61754917.0,6095.0,38.1,163.7,-74.25
2020-09-04,ULTRACEMCO,3949.0,3913.25,3931.95,3880.0,3921.3,3916.1,3903.99,438236,171087023285000.0,36828.0,175895,0.4014,3900.0,3951.5,3877.35,3926.05,3907.7420166101288,17098,2487,66814573.0,3256.0,19.04,74.15,26.05
2020-09-03,ULTRACEMCO,3941.7,3967.7,3980.0,3928.65,3955.0,3949.0,3952.55,284022,112261196084999.98,18798.0,81478,0.28690000000000004,3979.0,3983.1,3929.4,3949.65,3954.527715508457,9814,1765,38809735.0,2807.0,28.6,53.7,-29.35
2020-09-02,ULTRACEMCO,3912.65,3897.2,4045.95,3896.15,3949.9,3941.7,3962.63,759445,300940316480000.0,53641.0,209531,0.2759,3893.8,4044.7,3893.2,3944.2,3956.336083005736,15517,2693,61390467.0,4959.0,31.96,151.5,50.4
2020-09-01,ULTRACEMCO,3903.85,3925.0,3968.3,3851.5,3924.15,3912.65,3904.72,528815,206487330450000.0,44456.0,154996,0.2931,3920.0,3968.7,3852.15,3911.5,3890.486893929104,29452,2820,114582620.0,2576.0,8.75,116.55,-8.5
2020-08-31,ULTRACEMCO,4062.55,4062.55,4086.3,3882.85,3910.0,3903.85,3963.28,680896,269858251425000.0,56666.0,283036,0.4157,4068.0,4083.5,3886.3,3906.1,3986.792096831613,22472,3608,89591192.0,11419.0,50.81,197.2,-161.9
2020-08-28,ULTRACEMCO,4047.15,4062.0,4088.8,4046.0,4070.0,4062.55,4068.04,346538,140972999140000.0,34282.0,123894,0.3575,4032.05,4088.35,4032.05,4062.45,4075.551061486461,52662,5792,214626670.0,40065.0,76.08,56.3,30.4
2020-08-27,ULTRACEMCO,4079.65,4096.0,4116.55,4025.8,4050.1,4047.15,4057.26,458042,185839574380000.0,48366.0,203369,0.444,4060.0,4115.0,4027.55,4049.6,4052.319340060485,33397,3355,135335309.0,24301.0,72.76,87.45,-10.4
2020-08-26,ULTRACEMCO,4172.35,4170.0,4181.8,4070.0,4082.0,4079.65,4108.91,574774,236169502785000.0,52496.0,299583,0.5212,4160.9,4178.0,4071.1,4079.15,4105.169945583927,28668,3625,117687012.0,20218.0,70.52,106.9,-81.75
2020-08-25,ULTRACEMCO,4189.6,4191.0,4199.0,4142.05,4171.15,4172.35,4173.38,373790,155996761360000.0,27578.0,172568,0.4617,4185.0,4201.4,4145.0,4174.65,4181.696557877759,58278,5205,243700912.0,50301.0,86.31,56.4,-10.35
2020-08-24,ULTRACEMCO,4187.8,4216.95,4224.0,4170.0,4170.0,4189.6,4197.93,379074,159132442325000.0,34262.0,159921,0.4219,4205.1,4220.85,4173.95,4186.45,4198.303378121089,18383,1868,77177411.0,3344.0,18.19,46.9,-18.65
2020-08-21,ULTRACEMCO,4144.25,4187.9,4202.5,4140.1,4195.0,4187.8,4183.29,490731,205287146515000.0,43125.0,228692,0.466,4165.0,4200.0,4142.6,4190.75,4182.013198163734,10456,2278,43727130.0,4084.0,39.06,57.4,25.75
2020-08-20,ULTRACEMCO,4199.85,4178.95,4197.35,4131.4,4144.25,4144.25,4167.04,350931,146234524340000.0,30421.0,126544,0.3606,4195.6,4195.8,4134.1,4148.0,4170.740605368361,17510,2023,73029668.0,9726.0,55.55,61.7,-47.6
2020-08-19,ULTRACEMCO,4168.95,4186.0,4216.0,4172.1,4200.0,4199.85,4198.48,618696,259758130670000.0,62897.0,277506,0.4485,4170.9,4215.0,4170.9,4195.6,4196.9398527964,21331,4445,89524924.0,6868.0,32.2,44.1,24.7
2020-08-18,ULTRACEMCO,4035.6,4039.0,4180.0,4039.0,4170.0,4168.95,4138.41,1154518,477786336650000.0,74265.0,242754,0.2103,4050.0,4180.1,4035.4,4170.05,4140.47387159349,84544,8821,350052223.0,34214.0,40.47,144.7,120.05
2020-08-17,ULTRACEMCO,4010.1,4040.0,4049.95,3985.1,4034.0,4035.6,4018.82,315955,126976770905000.0,25426.0,104043,0.3293,4055.0,4055.0,3985.65,4036.05,4020.0857461024507,8082,1371,32490333.0,1167.0,14.44,69.35,-18.95
2020-08-14,ULTRACEMCO,4047.3,4045.0,4090.9,3965.35,4010.0,4010.1,4044.14,661653,267581738575000.0,52818.0,230327,0.3481,4047.0,4091.0,3966.25,4010.05,4040.740473929735,48446,5332,195757713.0,14910.0,30.78,124.75,-36.95
2020-08-13,ULTRACEMCO,3999.65,4024.9,4075.0,4007.1,4044.0,4047.3,4044.9,545546,220667882750000.0,36847.0,172040,0.3154,4020.0,4074.0,4009.45,4047.45,4025.947456368361,145422,3069,585461331.0,15917.0,10.95,64.55,27.45
2020-08-12,ULTRACEMCO,3968.75,3973.45,4014.15,3926.0,4006.65,3999.65,3970.84,466155,185102878400000.0,43976.0,102466,0.2198,3980.0,4014.05,3928.2,3999.6,3974.490109194493,18957,3449,75344409.0,3705.0,19.54,85.85,19.6
2020-08-11,ULTRACEMCO,3968.35,3994.0,4077.3,3961.0,3972.35,3968.75,4017.59,823633,330901838025000.0,55622.0,198805,0.2414,3980.0,4077.0,3961.75,3969.6,4019.472181946228,72417,6220,291078117.0,48309.0,66.71,115.25,-10.4
2020-08-10,ULTRACEMCO,4004.25,4048.0,4048.0,3961.0,3969.5,3968.35,3995.06,590904,236069462285000.0,32790.0,177481,0.3004,4010.0,4040.0,3962.05,3970.0,3992.4263165658654,13558,2878,54129316.0,4453.0,32.84,77.95,-40.0
2020-08-07,ULTRACEMCO,4028.35,4026.0,4072.0,3982.45,4004.95,4004.25,4015.78,348651,140010687920000.0,36676.0,119811,0.3436,4037.35,4070.0,3984.25,4005.15,4009.602746515833,34298,3998,137521355.0,24092.0,70.24,85.75,-32.2
2020-08-06,ULTRACEMCO,4041.05,4068.9,4083.75,4001.05,4044.0,4028.35,4046.23,378473,153138764140000.0,30517.0,132999,0.3514,4058.2,4082.9,4002.8,4030.1,4046.3436477696973,25983,2851,105136147.0,13515.0,52.01,80.1,-28.1
2020-08-05,ULTRACEMCO,4004.3,4034.8,4110.0,4015.0,4035.05,4041.05,4062.42,569833,231490353685000.0,44149.0,150225,0.2636,4049.0,4112.5,4014.4,4042.25,4066.2936773956567,21779,3309,88559810.0,4185.0,19.22,98.1,-6.75
2020-08-04,ULTRACEMCO,4045.55,4050.55,4074.0,3984.15,4008.5,4004.3,4005.91,600944,240732851040000.0,67941.0,304875,0.5073,4050.0,4066.8,3984.7,4003.35,4003.0473094021627,15071,2237,60329926.0,2038.0,13.52,82.1,-46.65
2020-08-03,ULTRACEMCO,4117.3,4139.0,4155.0,4027.6,4039.0,4045.55,4085.0,490182,200239331930000.0,47448.0,232846,0.475,4100.0,4155.2,4028.5,4043.9,4079.875644833516,12794,2433,52197929.0,3087.0,24.13,126.7,-56.1
2020-07-31,ULTRACEMCO,4155.55,4159.95,4209.0,4092.5,4129.6,4117.3,4139.99,413669,171258541015000.0,36719.0,117032,0.2829,4001.0,4205.0,4001.0,4124.55,4147.220712373895,9714,1907,40286102.0,1657.0,17.06,204.0,123.55
2020-07-30,ULTRACEMCO,4180.95,4199.95,4219.75,4128.55,4143.0,4155.55,4182.5,595249,248962956545000.0,47533.0,156132,0.26230000000000003,4190.0,4218.2,4129.75,4154.9,4185.243539250067,18535,3125,77573489.0,4964.0,26.78,88.45,-35.1
2020-07-29,ULTRACEMCO,4136.35,4169.9,4287.35,4155.0,4162.05,4180.95,4224.25,1777726,750955996420000.0,126833.0,347435,0.1954,4150.0,4285.6,4150.0,4184.45,4224.729256085215,70129,8957,296276038.0,8327.0,11.87,135.6,34.45
2020-07-28,ULTRACEMCO,3860.1,3877.0,4213.0,3862.15,4131.1,4136.35,4065.64,2492216,1013244487050000.0,166433.0,378010,0.1517,3867.0,4209.5,3867.0,4135.7,4068.090557618933,78889,11324,320927596.0,17836.0,22.61,342.5,268.7
2020-07-27,ULTRACEMCO,3782.5,3790.1,3901.0,3781.0,3870.0,3860.1,3848.64,499750,192335997475000.0,40117.0,142474,0.2851,3765.0,3900.0,3765.0,3859.05,3843.5877250409167,36660,4537,140905926.0,9065.0,24.73,135.0,94.05
2020-07-24,ULTRACEMCO,3837.9,3839.0,3839.05,3735.35,3779.5,3782.5,3773.55,594689,224408901970000.0,36875.0,333419,0.5607,3837.6,3837.6,3736.8,3783.85,3780.7346508990777,18519,2103,70015425.0,12827.0,69.26,100.8,-53.75
2020-07-23,ULTRACEMCO,3862.65,3862.65,3890.0,3826.05,3851.0,3837.9,3864.09,264268,102115521455000.0,21803.0,106296,0.4022,3827.0,3889.35,3827.0,3837.6,3859.984342234029,7153,1362,27610468.0,2065.0,28.87,62.35,10.6
2020-07-22,ULTRACEMCO,3863.3,3880.0,3905.0,3837.9,3860.0,3862.65,3874.64,433237,167863776715000.0,39375.0,228534,0.5275,3880.0,3910.3,3841.5,3863.35,3875.339207747877,12597,2086,48817648.0,2807.0,22.28,68.8,-16.65
2020-07-21,ULTRACEMCO,3865.1,3899.0,3955.0,3850.0,3875.0,3863.3,3906.71,614204,239951936115000.0,42322.0,305888,0.498,3879.8,3953.0,3848.1,3862.35,3907.868016497938,21336,3238,83378272.0,6654.0,31.19,104.9,-17.45
2020-07-20,ULTRACEMCO,3862.85,3863.1,3890.0,3826.95,3864.4,3865.1,3863.98,277775,107331664520000.0,32568.0,117514,0.4231,3841.0,3888.95,3830.0,3865.75,3864.579481970544,11814,2011,45656142.0,4505.0,38.13,58.95,24.75
2020-07-17,ULTRACEMCO,3816.25,3820.0,3869.0,3812.2,3860.0,3862.85,3853.02,237486,91503714300000.0,18484.0,107520,0.4527000000000001,3850.0,3870.0,3817.6,3864.35,3855.7831337899293,19127,2484,73749564.0,12643.0,66.1,52.4,14.35
2020-07-16,ULTRACEMCO,3820.65,3824.95,3834.0,3735.0,3812.0,3816.25,3787.2,412522,156230399205000.0,30651.0,140180,0.3398,3808.5,3830.55,3737.0,3815.45,3797.3038342074433,39278,3836,149150500.0,22997.0,58.55,93.55,6.95
2020-07-15,ULTRACEMCO,3770.9,3782.2,3829.95,3772.0,3823.0,3820.65,3809.13,274207,104449002705000.0,22562.0,120331,0.4388,3780.0,3829.0,3773.15,3818.35,3807.6689212992324,14193,2345,54042245.0,5918.0,41.7,55.85,38.35
2020-07-14,ULTRACEMCO,3787.9,3784.8,3820.8,3744.0,3775.0,3770.9,3773.0,351720,132703893155000.0,24629.0,163775,0.4656,3788.0,3818.05,3745.0,3771.2,3774.8697982345534,22204,2483,83817209.0,10385.0,46.77,73.05,-16.8
2020-07-13,ULTRACEMCO,3798.5,3820.0,3837.8,3778.0,3790.0,3787.9,3801.49,302967,115172600025000.0,26259.0,135239,0.4464,3812.0,3835.0,3780.0,3788.1,3802.060368877868,12904,2126,49061787.0,2209.0,17.12,55.0,-23.9
2020-07-10,ULTRACEMCO,3843.45,3835.05,3844.7,3783.0,3802.0,3798.5,3805.34,336838,128178344770000.0,33554.0,168344,0.4998,3842.15,3842.15,3784.7,3800.45,3803.850315691171,49257,7778,187366255.0,38908.0,78.99,57.45,-41.7
2020-07-09,ULTRACEMCO,3786.65,3802.0,3858.75,3767.05,3846.05,3843.45,3832.26,524030,200821853790000.0,34540.0,174605,0.3332,3788.0,3858.8,3769.0,3842.15,3831.021321216358,20027,3343,76723864.0,6796.0,33.93,89.8,54.15
2020-07-08,ULTRACEMCO,3862.0,3884.95,3884.95,3776.8,3789.95,3786.65,3808.09,635619,242049622445000.0,52303.0,279377,0.4395000000000001,3924.0,3924.0,3779.6,3789.5,3801.276437917024,26827,3921,101976843.0,14215.0,52.99,144.4,-134.5
2020-07-07,ULTRACEMCO,3930.9,3940.0,3947.85,3826.5,3856.9,3862.0,3859.56,452430,174618041830000.0,52503.0,208472,0.4608,3931.0,3947.1,3828.0,3860.9,3863.840156822418,15559,2930,60117489.0,4442.0,28.55,119.1,-70.1
2020-07-06,ULTRACEMCO,3889.6,3920.0,3944.7,3904.5,3940.0,3930.9,3928.52,254346,99920447270000.0,23807.0,99912,0.3928,3890.0,3943.0,3890.0,3931.6,3928.491647426321,7363,1406,28925484.0,2107.0,28.62,53.0,41.6
2020-07-03,ULTRACEMCO,3914.95,3926.0,3960.0,3875.0,3908.0,3889.6,3904.13,257664,100595501700000.0,18286.0,82144,0.3188,3925.0,3960.95,3875.35,3886.2,3914.7546830211327,15001,2177,58725235.0,3367.0,22.45,85.6,-38.8
2020-07-02,ULTRACEMCO,3898.6,3911.0,3947.0,3882.0,3920.0,3914.95,3914.02,294329,115200998140000.02,24895.0,125542,0.4265,3860.0,3944.85,3860.0,3915.0,3914.502936041897,6301,1334,24665283.0,1193.0,18.93,84.85,55.0
2020-07-01,ULTRACEMCO,3893.55,3888.0,3933.95,3862.1,3892.7,3898.6,3895.67,331198,129023753984999.98,28596.0,100531,0.30350000000000005,3890.0,3932.6,3862.8,3898.0,3897.9447456213506,9592,1668,37389086.0,1862.0,19.41,69.8,8.0
2020-06-30,ULTRACEMCO,3807.0,3822.0,3904.35,3822.0,3890.4,3893.55,3881.0,494113,191765206655000.0,46690.0,193421,0.3915,3839.95,3903.7,3831.45,3894.75,3879.393521965747,18802,2995,72940357.0,5357.0,28.49,72.25,54.8
2020-06-29,ULTRACEMCO,3860.6,3839.95,3840.0,3757.0,3812.0,3807.0,3797.14,692124,262808994180000.03,54062.0,358866,0.5185000000000001,3849.0,3849.0,3757.9,3808.4,3798.457270875764,12275,2119,46626063.0,1804.0,14.7,91.1,-40.6
2020-06-26,ULTRACEMCO,3802.35,3835.0,3874.0,3780.0,3870.0,3860.6,3839.91,373568,143446730615000.0,34355.0,145230,0.3888,3825.0,3874.7,3781.95,3860.55,3840.1103448275844,13920,2360,53454336.0,3367.0,24.19,92.75,35.55
2020-06-25,ULTRACEMCO,3821.6,3814.8,3875.0,3781.75,3799.85,3802.35,3829.36,395771,151554933785000.0,35227.0,140681,0.3555,3837.0,3875.0,3784.0,3811.35,3827.020187586064,38489,4486,147298180.0,25954.0,67.43,91.0,-25.65
2020-06-24,ULTRACEMCO,3942.8,3982.8,4016.0,3806.45,3828.0,3821.6,3914.77,501886,196477050895000.0,42376.0,118152,0.2354,3997.0,4015.65,3808.05,3820.85,3899.958690957417,18059,3038,70429354.0,5908.0,32.71,207.6,-176.15
2020-06-23,ULTRACEMCO,3825.25,3847.0,3954.0,3833.65,3920.0,3942.8,3910.33,563658,220408869995000.0,36636.0,82965,0.4243,3841.0,3953.45,3835.0,3941.55,3907.206343202938,18508,3701,72314575.0,8936.0,48.28,118.45,100.55
2020-06-22,ULTRACEMCO,3836.35,3836.35,3847.45,3790.65,3829.9,3825.25,3819.12,329145,125704352759999.98,25923.0,113101,0.3436,3850.0,3850.0,3795.0,3825.6,3821.24730950192,18491,2193,70658684.0,9040.0,48.89,55.0,-24.4
2020-06-19,ULTRACEMCO,3844.25,3859.25,3904.45,3813.1,3824.1,3836.35,3852.0,556285,214281156475000.0,36425.0,269319,0.4841,3850.0,3902.5,3812.6,3831.85,3855.520073386576,9266,1418,35725249.0,2912.0,31.43,89.9,-18.15
2020-06-18,ULTRACEMCO,3809.2,3799.7,3882.0,3777.0,3849.0,3844.25,3841.46,348706,133954161059999.98,27419.0,105776,0.3033,3791.75,3881.8,3780.0,3844.15,3836.366573179599,9627,1712,36932701.0,2351.0,24.42,101.8,52.4
2020-06-17,ULTRACEMCO,3779.95,3760.0,3845.0,3712.0,3812.0,3809.2,3799.68,430612,163618869940000.0,40997.0,139329,0.3236,3730.0,3842.05,3712.75,3807.5,3798.2349267155214,12008,2927,45609205.0,4662.0,38.82,129.3,77.5
2020-06-16,ULTRACEMCO,3744.8,3785.0,3830.3,3734.4,3769.85,3779.95,3791.52,622735,236110982525000.0,42870.0,217768,0.3497,3760.0,3828.95,3736.6,3782.75,3788.59859055673,21285,3903,80640321.0,4345.0,20.41,92.35,22.75
2020-06-15,ULTRACEMCO,3788.55,3726.45,3768.65,3688.0,3735.0,3744.8,3729.82,440266,164211155235000.0,29306.0,132486,0.3009,3734.7,3770.1,3690.0,3747.65,3732.5316664944735,9679,1923,36127174.0,1925.0,19.89,80.1,12.95
2020-06-12,ULTRACEMCO,3704.9,3600.0,3805.0,3600.0,3782.0,3788.55,3713.87,592692,220117868640000.0,42896.0,188974,0.3188,3627.0,3804.0,3614.25,3791.25,3716.378916309012,18640,3372,69273303.0,3716.0,19.94,189.75,164.25
2020-06-11,ULTRACEMCO,3792.45,3789.9,3819.95,3688.0,3706.0,3704.9,3749.57,475582,178322641655000.0,44796.0,180481,0.3795000000000001,3760.0,3818.2,3690.0,3704.45,3754.0138161721934,13752,2477,51625198.0,4255.0,30.94,128.2,-55.55
