Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,UPL,450.25,451.9,457.5,446.45,453.0,453.25,452.45,3684252.0,166693290565000.0,48988.0,746492.0,0.20260000000000009,453.95,457.3,446.6,453.15,452.6079727743507,189821,6440,85914498.0,57949.0,30.53,10.7,-0.8
2020-10-29,UPL,450.75,447.4,455.6,444.25,452.5,450.25,450.89,4598075.0,207324020630000.0,85647.0,846855.0,0.18420000000000009,449.7,455.55,444.4,450.55,450.74263682527743,132925,3975,59914965.0,25760.0,19.38,11.15,0.85
2020-10-28,UPL,438.55,440.35,454.5,437.5,450.5,450.75,448.22,7235748.0,324318146710000.0,96540.0,1460266.0,0.2018,440.0,454.2,438.0,450.55,447.7248539909148,312823,10997,140058632.0,87451.0,27.96,16.2,10.55
2020-10-27,UPL,433.4,435.0,441.4,429.35,439.25,438.55,436.8,4881972.0,213242633855000.0,101734.0,1496659.0,0.3066,436.8,441.3,429.65,439.1,436.72820952167433,124894,4166,54544733.0,47091.0,37.7,11.65,2.3
2020-10-26,UPL,450.95,454.95,454.95,431.5,432.05,433.4,439.63,6280314.0,276099461455000.03,112176.0,2319582.0,0.3693,452.55,453.25,431.65,433.35,438.8977846344517,154918,7421,67993167.0,55008.0,35.51,21.6,-19.2
2020-10-23,UPL,454.5,458.5,458.5,450.0,450.8,450.95,453.28,3682129.0,166902654575000.0,54608.0,1828485.0,0.4966,456.35,457.25,450.0,450.8,453.6082128789634,56107,2222,25450596.0,22394.0,39.91,7.25,-5.55
2020-10-22,UPL,454.2,452.8,458.2,450.2,454.75,454.5,454.02,4495486.0,204104635245000.0,87654.0,1716325.0,0.3818,451.45,458.1,450.45,454.35,454.1171595560308,108476,3304,49260813.0,42370.0,39.06,7.65,2.9
2020-10-21,UPL,455.95,459.9,463.5,446.75,453.05,454.2,455.44,6312709.0,287507625520000.0,70350.0,1875782.0,0.29710000000000003,460.0,463.2,446.75,453.95,454.54170794980973,132217,4210,60098141.0,36674.0,27.74,16.45,-6.05
2020-10-20,UPL,463.45,464.0,467.7,453.95,454.9,455.95,460.04,7255239.0,333772363095000.0,99236.0,3090381.0,0.4260000000000001,464.0,467.85,454.0,455.5,461.16647016716485,237490,6887,109522425.0,102432.0,43.13,13.85,-8.5
2020-10-19,UPL,466.95,474.8,474.8,447.5,464.0,463.45,460.67,13196083.0,607907970635000.0,157061.0,3237966.0,0.2454,472.5,474.0,447.3,463.5,460.0481475712023,308136,11090,141757396.0,71482.0,23.2,26.7,-9.0
2020-10-16,UPL,506.55,490.0,490.0,458.25,467.75,466.95,472.59,22982753.0,1086146638820000.0,314245.0,5333473.0,0.2321,492.8,492.8,458.85,467.1,471.9111354659412,548374,17840,258783797.0,108473.0,19.78,33.95,-25.7
2020-10-15,UPL,510.9,510.0,520.0,502.9,505.0,506.55,515.11,4927087.0,253797080450000.0,66081.0,1212846.0,0.2462,508.1,519.95,503.0,506.45,514.6871360995041,173983,6349,89546812.0,72573.0,41.71,16.95,-1.65
2020-10-14,UPL,506.5,501.35,513.0,495.3,511.0,510.9,503.34,3424315.0,172360800685000.0,48153.0,710240.0,0.2074,507.0,512.8,495.5,511.15,502.23393566028085,60709,1749,30490120.0,5957.0,9.81,17.3,4.15
2020-10-13,UPL,507.1,507.8,515.55,504.1,504.45,506.5,509.86,3992135.0,203544140525000.0,49822.0,1034408.0,0.2591,508.0,515.5,504.25,506.2,510.1198437881376,61455,1573,31349415.0,8068.0,13.13,11.25,-1.8
2020-10-12,UPL,497.3,499.9,508.3,493.15,507.0,507.1,502.02,3332484.0,167297155745000.0,55978.0,992917.0,0.298,500.0,508.05,493.2,506.95,501.8182818373521,119977,4099,60206652.0,48053.0,40.05,14.85,6.95
2020-10-09,UPL,509.4,510.4,513.2,495.9,497.45,497.3,501.43,3712048.0,186132763370000.0,59941.0,1171338.0,0.3156,509.1,512.55,496.2,497.3,501.29143487725236,66152,2189,33161431.0,22747.0,34.39,16.35,-11.8
