Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,ZEEL,179.1,181.95,189.6,180.5,187.4,187.9,185.01,36088539,667658879075000.0,171062.0,8908349.0,0.2468,182.0,189.6,180.55,187.85,185.39816866161408,898687,7141,166614924.0,83466.0,9.29,9.05,5.85
2020-10-29,ZEEL,181.4,181.2,181.5,176.25,179.15,179.1,179.01,14129357,252928355415000.0,83648.0,1160370.0,0.0821,179.5,181.45,176.3,179.05,179.5201948577718,825012,8113,148106315.0,149520.0,18.12,5.15,-0.45
2020-10-28,ZEEL,187.65,186.1,186.6,180.3,181.7,181.4,183.27,15589740,285718724740000.0,99727.0,1278774.0,0.08199999999999999,187.0,187.0,180.5,181.5,183.22373450602402,368611,5094,67538284.0,65629.0,17.8,6.5,-5.5
2020-10-27,ZEEL,176.7,178.2,189.65,177.5,186.6,187.65,184.46,29961326,552678245790000.0,175241.0,6425375.0,0.2145,178.0,189.5,177.95,187.6,184.77812933810355,732607,7661,135369751.0,124031.0,16.93,11.55,9.6
2020-10-26,ZEEL,185.85,186.95,186.95,176.0,177.0,176.7,179.59,21239113,381426785030000.0,120597.0,4504094.0,0.2121,186.4,187.95,176.15,176.65,179.5558842852137,456640,5426,81992399.0,110143.0,24.12,11.8,-9.75
2020-10-23,ZEEL,183.5,184.9,187.75,183.6,185.7,185.85,185.99,16063095,298750581960000.0,79670.0,2110252.0,0.13140000000000002,185.0,187.6,183.55,185.8,186.0736351966213,921543,9658,171474856.0,379845.0,41.22,4.05,0.8
2020-10-22,ZEEL,180.55,181.2,185.65,180.55,183.8,183.5,183.36,20327833,372724281950000.0,112759.0,1448394.0,0.0713,180.9,185.55,180.9,183.55,183.41279783850845,880133,9238,161427656.0,298081.0,33.87,4.65,2.65
2020-10-21,ZEEL,183.0,185.0,189.2,176.05,181.0,180.55,183.19,30221784,553637839830000.0,150247.0,2881945.0,0.0954,185.9,189.05,176.1,180.55,183.2914066605492,1244522,12918,228110188.0,238061.0,19.13,12.95,-5.35
2020-10-20,ZEEL,174.2,174.2,183.8,173.0,183.0,183.0,181.21,32494248,588813238445000.0,165495.0,2667824.0,0.0821,173.05,183.85,172.7,183.05,180.7569993726001,1630539,15709,294731337.0,467858.0,28.69,11.15,10.0
2020-10-19,ZEEL,175.7,176.7,177.9,173.5,174.2,174.2,174.96,20656092,361398806100000.0,117018.0,3544485.0,0.1716,176.25,177.9,173.5,174.2,174.99588954757618,437908,4538,76632100.0,55083.0,12.58,4.4,-2.05
2020-10-16,ZEEL,179.95,181.5,182.95,173.5,175.3,175.7,176.63,29518941,521407224145000.0,163941.0,5645280.0,0.1912,183.0,183.0,173.5,175.65,176.65167114207333,686716,6209,121309529.0,116837.0,17.01,9.5,-7.35
2020-10-15,ZEEL,186.2,187.0,188.4,178.7,180.2,179.95,183.65,20008768,367452062395000.0,114935.0,3942133.0,0.197,186.4,188.45,178.85,179.9,183.50714602821026,513572,5125,94244132.0,105902.0,20.62,9.6,-6.5
