Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,ASIANPAINT,EQ,361.2,370.0,390.0,370.0,385.0,381.65,380.54,3318,126261725000.0,,,,375.0,395.0,375.0,389.95,384.5964523281597,9922.0,145.0,3815966.0,,,20.0,14.95
2000-01-04,ASIANPAINT,EQ,381.65,380.0,392.0,375.0,390.0,385.55,383.5,4818,184769865000.0,,,,380.0,391.5,374.0,390.0,385.12202477113607,9285.0,100.0,3575858.0,,,17.5,10.0
2000-01-05,ASIANPAINT,EQ,385.55,371.5,390.0,371.5,383.0,383.0,379.81,2628,99813845000.0,,,,385.0,386.0,375.3,386.0,379.98463071011804,7027.0,110.0,2670152.0,,,10.7,1.0
2000-01-06,ASIANPAINT,EQ,383.0,384.9,384.9,374.5,375.1,377.5,379.88,3354,127411439999.99997,,,,384.0,385.0,377.05,380.0,379.8981585869973,5322.0,76.0,2021818.0,,,7.95,-4.0
2000-01-07,ASIANPAINT,EQ,377.5,376.0,390.0,370.0,389.0,385.7,383.38,9589,367627470000.0,,,,375.0,388.0,375.0,383.0,381.41190354099786,142361.0,387.0,54298180.0,,,13.0,8.0
2000-01-10,ASIANPAINT,EQ,385.7,415.0,416.6,409.0,416.6,415.0,414.97,60313,2502823025000.0,,,,400.0,413.6,400.0,413.6,413.13215058416273,34665.0,194.0,14321226.0,,,13.6,13.6
2000-01-11,ASIANPAINT,EQ,415.0,415.0,423.0,409.0,417.0,415.2,412.51,65570,2704802390000.0,,,,425.0,425.0,401.3,420.0,412.97753000048584,41166.0,405.0,17000633.0,,,23.7,-5.0
2000-01-12,ASIANPAINT,EQ,415.2,420.0,448.45,410.05,418.55,417.65,421.46,24854,1047500785000.0,,,,419.0,431.0,412.0,419.2,419.7903963414634,20992.0,308.0,8812240.0,,,19.0,0.2
2000-01-13,ASIANPAINT,EQ,417.65,423.0,429.9,413.05,417.1,418.7,422.4,9169,387300640000.0,,,,423.0,426.5,410.0,419.0,421.2986783399276,23758.0,412.0,10009214.0,,,16.5,-4.0
2000-01-14,ASIANPAINT,EQ,418.7,410.0,414.9,408.0,410.6,410.0,410.05,64603,2649021300000.0,,,,417.0,417.0,407.0,411.1,410.1184833571836,85953.0,297.0,35250914.0,,,10.0,-5.9
2000-01-17,ASIANPAINT,EQ,410.0,420.0,421.0,401.0,415.0,411.35,413.72,7537,311819530000.0,,,,425.0,435.0,410.0,416.0,418.22833873765177,13261.0,181.0,5546126.0,,,25.0,-9.0
2000-01-18,ASIANPAINT,EQ,411.35,410.0,419.0,410.0,416.0,414.05,413.76,7656,316775985000.0,,,,420.0,424.0,412.05,418.85,418.7592304118499,36591.0,302.0,15322819.0,,,11.95,-1.15
2000-01-19,ASIANPAINT,EQ,414.05,425.0,430.0,417.5,418.0,419.35,421.93,28800,1215149345000.0,,,,414.0,425.0,414.0,417.0,420.1047514282672,28181.0,327.0,11838972.0,,,11.0,3.0
