Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,UTIBANK,EQ,24.7,26.7,26.7,26.7,26.7,26.7,26.7,112100,299307000000.0,,,,25.5,25.9,25.5,25.9,25.883030303030306,16500.0,27.0,427070.0,,,0.4,0.4
2000-01-04,UTIBANK,EQ,26.7,27.0,28.7,26.5,27.0,26.85,27.24,234500,638727500000.0,,,,27.0,27.55,25.4,26.9,27.15182186234817,98800.0,283.0,2682600.0,,,2.15,-0.1
2000-01-05,UTIBANK,EQ,26.85,26.0,27.75,25.5,26.4,26.3,26.24,170100,446298000000.0,,,,25.05,27.1,25.0,26.2,26.153067885117487,76600.0,182.0,2003325.0,,,2.1,1.15
2000-01-06,UTIBANK,EQ,26.3,25.8,27.0,25.8,25.9,25.95,26.27,102100,268173000000.0,,,,26.5,26.5,25.0,25.55,25.78449848024316,32900.0,141.0,848310.0,,,1.5,-0.95
2000-01-07,UTIBANK,EQ,25.95,25.0,26.0,24.25,25.0,24.8,25.04,62600,156722000000.0,,,,25.0,26.1,24.0,24.3,24.718959731543627,29800.0,154.0,736625.0,,,2.1,-0.7
2000-01-10,UTIBANK,EQ,24.8,25.05,26.5,25.0,25.0,25.0,25.29,64200,162334000000.0,,,,25.75,26.2,25.0,25.05,25.51927570093457,42800.0,138.0,1092225.0,,,1.2,-0.7
2000-01-11,UTIBANK,EQ,25.0,24.25,24.8,23.0,23.0,23.2,23.9,91700,219172500000.0,,,,25.0,25.5,23.1,23.8,24.274137931034478,34800.0,86.0,844740.0,,,2.4,-1.2
2000-01-12,UTIBANK,EQ,23.2,22.6,24.5,22.6,24.0,24.0,23.97,32500,77913500000.0,,,,23.7,24.5,23.6,23.9,24.087352941176466,17000.0,64.0,409485.0,,,0.9,0.2
2000-01-13,UTIBANK,EQ,24.0,24.5,24.5,23.1,23.8,23.6,23.77,48300,114795500000.0,,,,24.0,24.5,23.5,23.6,23.86291390728477,15100.0,64.0,360330.0,,,1.0,-0.4
2000-01-14,UTIBANK,EQ,23.6,24.0,24.2,22.5,23.5,23.25,23.17,30700,71142500000.0,,,,23.15,23.6,23.0,23.4,23.283132530120483,16600.0,71.0,386500.0,,,0.6,0.25
2000-01-17,UTIBANK,EQ,23.25,24.5,25.15,24.25,25.15,25.15,25.09,82400,206737500000.0,,,,25.0,25.25,25.0,25.25,25.20444874274661,51700.0,145.0,1303070.0,,,0.25,0.25
2000-01-18,UTIBANK,EQ,25.15,26.5,26.5,24.3,25.15,24.9,24.94,110400,275380500000.0,,,,26.5,26.5,24.75,25.15,25.27755511022044,49900.0,189.0,1261350.0,,,1.75,-1.35
2000-01-19,UTIBANK,EQ,24.9,24.75,26.0,24.75,25.4,25.6,25.56,89300,228266500000.0,,,,26.0,26.0,25.0,25.5,25.400595238095242,25200.0,94.0,640095.0,,,1.0,-0.5
2000-01-20,UTIBANK,EQ,25.6,26.1,26.25,24.3,24.4,24.45,25.05,103500,259230500000.0,,,,25.5,25.9,24.0,24.3,25.15279187817259,39400.0,122.0,991020.0,,,1.9,-1.2
2000-01-21,UTIBANK,EQ,24.45,25.0,25.3,24.3,25.3,25.1,24.79,47300,117257500000.0,,,,24.0,25.0,24.0,24.9,24.73974121996304,54100.0,135.0,1338420.0,,,1.0,0.9
2000-01-24,UTIBANK,EQ,25.1,25.6,25.75,24.6,24.6,24.8,25.03,102400,256269000000.0,,,,25.5,26.8,24.9,25.2,25.480314960629922,76200.0,254.0,1941600.0,,,1.9,-0.3
2000-01-25,UTIBANK,EQ,24.8,25.0,25.4,24.05,24.9,25.05,24.9,131700,327898500000.0,,,,24.9,25.5,24.7,24.8,25.119639934533552,61100.0,211.0,1534810.0,,,0.8,-0.1
2000-01-27,UTIBANK,EQ,25.05,25.85,27.05,25.25,27.05,27.05,26.8,201400,539745500000.0,,,,24.5,26.75,24.5,26.6,26.54578005115089,78200.0,177.0,2075880.0,,,2.25,2.1
2000-01-28,UTIBANK,EQ,27.05,28.0,29.25,27.1,29.25,29.25,29.04,311600,905025000000.0,,,,27.55,28.7,27.0,28.7,28.286464497041422,67600.0,150.0,1912165.0,,,1.7,1.15
2000-01-31,UTIBANK,EQ,29.25,31.0,31.6,30.1,31.6,31.6,31.45,317000,996993000000.0,,,,30.9,30.95,30.9,30.95,30.939060402684564,74500.0,110.0,2304960.0,,,0.05,0.05
2000-02-01,UTIBANK,EQ,31.6,32.95,34.15,32.95,34.15,34.15,34.11,201000,685569000000.0,,,,32.9,33.4,32.9,33.4,33.330555555555556,14400.0,39.0,479960.0,,,0.5,0.5
