Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2008-05-26,BAJAJ-AUTO,EQ,2101.05,898.0,898.0,551.35,600.25,604.75,624.61,3972485,248124475790000.0,,1202933,0.3028,945.0,945.0,556.0,604.5,626.7878726979225,2303843,44921,1444020853.0,222793.0,9.67,389.0,-340.5
2008-05-27,BAJAJ-AUTO,EQ,604.75,624.7,639.0,580.3,595.5,593.15,606.43,1751063,106190068700000.0,,369389,0.211,610.0,642.0,578.25,592.1,607.5925890221713,1224049,30002,743723101.0,62196.0,5.08,63.75,-17.9
2008-05-28,BAJAJ-AUTO,EQ,593.15,561.65,621.9,561.65,605.1,608.15,608.75,1652355,100587748930000.0,,898602,0.5438000000000001,600.0,619.0,590.0,606.3,609.5332059452138,715399,14892,436059446.0,75656.0,10.58,29.0,6.3
2008-05-29,BAJAJ-AUTO,EQ,608.15,619.4,619.4,576.0,600.0,599.45,600.98,669269,40221651265000.0,,449951,0.6723,610.0,619.5,591.0,599.6,601.7202736176469,297934,6027,179272928.0,114892.0,38.56,28.5,-10.4
2008-05-30,BAJAJ-AUTO,EQ,599.45,605.4,607.0,538.0,576.25,571.7,565.55,1262117,71379372060000.0,,936432,0.742,609.0,609.0,543.0,574.45,571.2823982831867,273996,8930,156529092.0,18495.0,6.75,66.0,-34.55
2008-06-02,BAJAJ-AUTO,EQ,571.7,605.5,615.0,570.7,573.0,580.8,598.3,206640,12363260330000.0,,69415,0.33590000000000003,586.0,618.0,570.0,583.2,598.6078927773641,147730,5049,88432344.0,22022.0,14.91,48.0,-2.8
2008-06-03,BAJAJ-AUTO,EQ,580.8,596.0,602.0,555.15,577.0,579.7,575.83,157283,9056802440000.0,,106984,0.6802,555.0,588.0,550.0,580.1,576.3632009601957,86649,2015,49941295.0,44914.0,51.83,38.0,25.1
2008-06-04,BAJAJ-AUTO,EQ,579.7,597.85,597.85,547.5,550.0,552.1,563.64,326450,18399934815000.0,,238952,0.7320000000000001,588.0,599.0,548.0,552.7,563.0476143302293,111038,2313,62519681.0,65424.0,58.92,51.0,-35.3
2008-06-05,BAJAJ-AUTO,EQ,552.1,553.0,588.8,532.4,548.0,562.4,560.7,238915,13396034935000.0,,140638,0.5887,550.0,577.7,530.0,564.25,558.4480175708101,78767,2860,43987275.0,18593.0,23.61,47.7,14.25
2008-06-06,BAJAJ-AUTO,EQ,562.4,567.0,574.7,544.4,572.0,568.8,564.38,73920,4171902765000.0,,35676,0.4826,564.95,575.0,542.05,568.8,563.174821461757,37667,1482,21213106.0,10942.0,29.05,32.95,3.85
2008-06-09,BAJAJ-AUTO,EQ,568.8,575.0,575.0,524.0,552.0,548.8,545.82,321199,17531756775000.0,,267438,0.8326000000000001,540.0,557.0,523.0,550.75,539.9740720076144,60938,1598,32904940.0,23993.0,39.37,34.0,10.75
2008-06-10,BAJAJ-AUTO,EQ,548.8,575.5,575.5,547.0,550.0,550.4,551.58,58118,3205674290000.0,,42432,0.7301000000000001,544.0,560.0,544.0,550.6,550.7589503501455,25418,652,13999191.0,16122.0,63.43,16.0,6.6
2008-06-11,BAJAJ-AUTO,EQ,550.4,560.0,560.0,528.0,528.2,530.5,536.09,87793,4706466500000.0,,55519,0.6324000000000001,545.05,570.0,526.1,529.8,537.1303767104616,36686,1429,19705165.0,15912.0,43.37,43.9,-15.25
2008-06-12,BAJAJ-AUTO,EQ,530.5,511.0,527.0,510.7,520.0,519.45,518.85,50729,2632060805000.0,,35708,0.7039,515.0,525.0,510.0,517.9,518.6369135128324,23807,791,12347189.0,13989.0,58.76,15.0,2.9
2008-06-13,BAJAJ-AUTO,EQ,519.45,514.25,525.0,501.2,508.0,505.9,508.57,123934,6302918305000.0,,98980,0.7987000000000001,519.0,526.0,500.0,505.5,508.5348097088803,68185,1080,34674446.0,50199.0,73.62,26.0,-13.5
2008-06-16,BAJAJ-AUTO,EQ,505.9,510.0,518.0,489.45,491.8,494.65,503.45,61592,3100824475000.0,,38141,0.6193,518.0,518.0,489.0,495.2,505.4051136363636,21120,836,10674156.0,9996.0,47.33,29.0,-22.8
2008-06-17,BAJAJ-AUTO,EQ,494.65,490.45,510.0,482.6,505.0,506.7,500.42,71476,3576794370000.0005,,27522,0.3851,491.95,509.75,485.3,506.6,499.7535591094385,31890,1215,15937141.0,10226.0,32.07,24.45,14.65
2008-06-18,BAJAJ-AUTO,EQ,506.7,510.1,531.0,500.0,514.95,516.45,514.41,105505,5427296775000.0,,52716,0.4997,508.25,525.0,500.0,517.55,515.047274422256,40762,1358,20994357.0,15999.0,39.25,25.0,9.3
2008-06-19,BAJAJ-AUTO,EQ,516.45,500.2,527.0,500.2,507.65,512.55,516.94,140483,7262152550000.0,,93934,0.6687000000000001,503.0,525.0,503.0,513.8,516.698036884772,60567,896,31294850.0,46732.0,77.16,22.0,10.8
2008-06-20,BAJAJ-AUTO,EQ,512.55,507.0,519.0,493.6,515.0,512.1,506.49,76656,3882532540000.0,,53866,0.7027,515.0,519.0,491.0,511.6,506.39729630214083,38022,901,19254238.0,25497.0,67.06,28.0,-3.4
2008-06-23,BAJAJ-AUTO,EQ,512.1,500.0,514.9,499.0,499.0,502.3,503.85,89888,4529026680000.0,,64252,0.7148000000000001,514.0,530.0,498.0,502.9,504.22345005103637,22533,561,11361667.0,14207.0,63.05,32.0,-11.1
2008-06-24,BAJAJ-AUTO,EQ,502.3,495.0,506.0,471.15,485.0,479.0,496.3,174131,8642155609999.999,,97521,0.56,497.85,507.5,470.0,479.3,487.13087314989565,20134,649,9807893.0,9282.0,46.1,37.5,-18.55
2008-06-25,BAJAJ-AUTO,EQ,479.0,450.0,502.0,450.0,493.15,497.3,489.76,72533,3552411200000.0,,38325,0.5284000000000001,470.0,499.95,456.0,495.4,486.1012833055188,17377,745,8446982.0,5748.0,33.08,43.95,25.4
2008-06-26,BAJAJ-AUTO,EQ,497.3,519.9,519.9,469.05,491.3,488.95,480.09,185234,8892902040000.0,,134786,0.7277,496.5,497.0,470.25,489.25,483.95624720330125,20113,789,9733812.0,6538.0,32.51,26.75,-7.25
2008-06-27,BAJAJ-AUTO,EQ,488.95,465.9,476.85,435.0,440.1,453.95,452.97,260609,11804778730000.0,,196212,0.7529000000000001,470.0,473.9,436.1,453.75,453.23090562737366,83467,1185,37829824.0,59137.0,70.85,37.8,-16.25
2008-06-30,BAJAJ-AUTO,EQ,453.95,454.0,459.95,445.35,451.0,450.35,452.65,115006,5205781735000.0,,101165,0.8795999999999999,454.0,457.75,448.15,450.45,452.5937951740242,53958,406,24421056.0,47659.0,88.33,9.6,-3.55
2008-07-01,BAJAJ-AUTO,EQ,450.35,450.0,457.0,433.0,449.0,447.1,446.16,170197,7593579305000.0,,139828,0.8216,450.0,455.0,436.0,446.75,446.3543602683242,64996,534,29011248.0,55946.0,86.08,19.0,-3.25
2008-07-02,BAJAJ-AUTO,EQ,447.1,430.15,457.95,430.15,448.0,453.5,449.32,245296,11021532370000.0,,229636,0.9362,441.4,457.75,437.0,452.9,452.1597846258397,191295,633,86495906.0,184888.0,96.65,20.75,11.5
2008-07-03,BAJAJ-AUTO,EQ,453.5,445.0,448.0,390.15,410.0,408.6,428.09,308168,13192495670000.0,,238013,0.7723000000000001,440.0,450.0,395.0,407.65,426.4236153058277,38077,754,16236932.0,24005.0,63.04,55.0,-32.35
2008-07-04,BAJAJ-AUTO,EQ,408.6,403.5,433.0,401.0,420.0,421.0,420.56,62087,2611153910000.0,,38919,0.6268,403.55,435.0,403.55,420.2,420.5978041028605,31149,568,13101201.0,22233.0,71.38,31.45,16.65
2008-07-07,BAJAJ-AUTO,EQ,421.0,425.0,441.0,425.0,437.0,435.5,434.46,130708,5678764655000.0,,103408,0.7911,430.0,440.0,425.15,431.45,432.9171730017427,42462,571,18382529.0,33380.0,78.61,14.85,1.45
2008-07-08,BAJAJ-AUTO,EQ,435.5,418.1,439.9,414.0,439.8,434.5,424.58,262122,11129097175000.0,,255289,0.9739,418.1,438.0,418.0,432.25,428.18543535620046,9475,285,4057057.0,6940.0,73.25,20.0,14.15
2008-07-09,BAJAJ-AUTO,EQ,434.5,446.0,456.9,440.0,452.0,451.75,451.6,104747,4730369190000.0,,83217,0.7945000000000001,440.2,455.1,439.0,450.85,451.55083832335333,16700,563,7540899.0,9957.0,59.62,16.1,10.65
