Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2008-05-26,BAJAJFINSV,EQ,2101.05,600.0,619.0,501.0,505.1,509.1,548.85,3145446,172636816770000.0,,908264,0.2888,700.0,999.0,503.15,514.65,556.6481693876209,2188448,43770,1218195573.0,263071.0,12.02,495.85,-185.35
2008-05-27,BAJAJFINSV,EQ,509.1,505.0,610.95,491.1,564.0,554.65,572.15,4349144,248836962445000.0,,677627,0.1558,529.2,617.55,490.0,555.7,571.2297166648985,3657436,64713,2089236130.0,240870.0,6.59,127.55,26.5
2008-05-28,BAJAJFINSV,EQ,554.65,564.0,665.6,564.0,643.0,640.95,618.37,4588759,283753013850000.0,,774895,0.16890000000000002,560.0,666.8,560.0,640.2,618.3876505240952,3815336,78192,2359356665.0,176036.0,4.61,106.8,80.2
2008-05-29,BAJAJFINSV,EQ,640.95,656.65,703.0,608.0,634.5,632.4,659.6,4522302,298292067720000.0,,1006161,0.2225,620.0,702.8,610.25,652.3,663.3389367576345,3008458,68934,1995627331.0,258540.0,8.59,92.55,32.3
2008-05-30,BAJAJFINSV,EQ,632.4,642.4,668.0,588.3,647.0,644.0,636.41,3057669,194592873410000.0,,462832,0.1514,645.5,667.95,591.15,645.55,637.9573302988532,2433366,60261,1552383677.0,63932.0,2.63,76.8,0.05
2008-06-02,BAJAJFINSV,EQ,644.0,650.0,699.0,622.0,687.0,686.95,670.51,2247399,150691325015000.0,,351112,0.1562,650.0,688.8,628.0,678.1,668.1555922044101,1814821,40985,1212582800.0,46417.0,2.56,60.8,28.1
2008-06-03,BAJAJFINSV,EQ,686.95,672.0,689.8,632.55,670.55,672.05,665.87,2299383,153108236050000.0,,391772,0.1704,670.0,686.5,643.2,669.65,665.0849030368049,1844669,42033,1226861503.0,34508.0,1.87,43.3,-0.35
2008-06-04,BAJAJFINSV,EQ,672.05,674.0,674.0,566.6,595.0,598.95,602.36,2832725,170631710390000.0,,735765,0.2597,665.0,676.0,566.3,597.5,601.2220658836234,2188981,51273,1316063679.0,259447.0,11.85,109.7,-67.5
2008-06-05,BAJAJFINSV,EQ,598.95,603.0,639.8,572.3,631.5,631.85,610.65,1344712,82115215000000.0,,167819,0.1248,590.0,629.95,575.0,624.2,607.5052263390871,1155302,28917,701852003.0,48859.0,4.23,54.95,34.2
2008-06-06,BAJAJFINSV,EQ,631.85,639.25,642.9,608.05,635.0,630.9,628.44,794722,49943255770000.0,,65497,0.0824,637.0,640.0,607.1,629.4,628.2167211317862,686066,17179,430998133.0,44085.0,6.43,32.9,-7.6
2008-06-09,BAJAJFINSV,EQ,630.9,620.0,648.0,580.0,645.0,629.9,624.95,758393,47395833740000.0,,126531,0.1668,610.0,646.7,578.1,634.35,624.7341835323546,665256,18447,415608164.0,41532.0,6.24,68.6,24.35
2008-06-10,BAJAJFINSV,EQ,629.9,618.0,675.0,618.0,672.0,669.25,653.65,939180,61389719585000.0,,154239,0.1642,636.0,674.0,620.0,665.55,652.4053321021769,725605,18664,473388571.0,23604.0,3.25,54.0,29.55
2008-06-11,BAJAJFINSV,EQ,669.25,672.0,682.0,641.1,641.1,653.5,662.71,750714,49750278290000.0,,225104,0.2999,670.0,681.0,645.1,655.85,665.3529448787181,556101,14481,370003438.0,79067.0,14.22,35.9,-14.15
2008-06-12,BAJAJFINSV,EQ,653.5,629.0,638.45,601.0,602.0,605.9,614.22,414320,25448475200000.0,,84678,0.20440000000000005,640.0,645.0,599.0,605.0,614.2225548509082,380805,11811,233899020.0,65665.0,17.24,46.0,-35.0
2008-06-13,BAJAJFINSV,EQ,605.9,607.0,624.5,572.75,577.0,580.8,601.0,458514,27556624630000.0,,80790,0.17620000000000002,609.9,624.7,572.25,581.9,601.7382873290711,397753,11703,239343209.0,53100.0,13.35,52.45,-28.0
2008-06-16,BAJAJFINSV,EQ,580.8,595.0,618.0,587.25,613.1,614.05,606.17,496439,30092781925000.0,,150448,0.3031,595.0,613.7,590.0,608.15,604.7319106836285,378027,9948,228604990.0,38584.0,10.21,23.7,13.15
2008-06-17,BAJAJFINSV,EQ,614.05,610.0,626.0,605.1,610.0,611.05,614.08,248850,15281402490000.0,,41597,0.1672,620.0,624.0,604.0,608.95,613.8992476128712,189663,6871,116433973.0,18404.0,9.7,20.0,-11.05
2008-06-18,BAJAJFINSV,EQ,611.05,615.0,617.2,585.1,595.0,591.95,605.3,142386,8618597040000.001,,26714,0.1876,613.75,616.85,587.0,592.6,604.8718590656438,87076,3336,52669822.0,12029.0,13.81,29.85,-21.15
2008-06-19,BAJAJFINSV,EQ,591.95,580.0,625.0,578.05,613.0,611.85,614.38,468038,28755425740000.0,,175475,0.3749,589.0,620.5,585.0,607.8,611.5147946255192,229678,8147,140451495.0,30186.0,13.14,35.5,18.8
2008-06-20,BAJAJFINSV,EQ,611.85,603.0,618.25,532.0,569.0,554.95,573.49,289352,16594150969999.998,,60345,0.2086,614.0,618.5,535.0,555.45,572.1594940630982,180734,5836,103408674.0,19395.0,10.73,83.5,-58.55
2008-06-23,BAJAJFINSV,EQ,554.95,551.0,575.9,550.0,566.55,565.4,561.83,514992,28933786160000.004,,255681,0.4965,556.2,572.9,550.0,563.25,560.5447017673262,173539,5870,97276367.0,13844.0,7.98,22.9,7.05
2008-06-24,BAJAJFINSV,EQ,565.4,565.5,572.0,537.0,547.1,549.15,551.73,294467,16246593490000.0,,92318,0.3135,564.15,573.95,538.1,547.95,550.5976678291194,183520,5142,101045684.0,46107.0,25.12,35.85,-16.2
2008-06-25,BAJAJFINSV,EQ,549.15,542.0,632.5,540.0,580.0,577.1,564.55,124264,7015310720000.0,,31283,0.25170000000000003,538.0,583.95,538.0,576.75,563.6480942754303,101405,3263,57156735.0,21398.0,21.1,45.95,38.75
2008-06-26,BAJAJFINSV,EQ,577.1,578.0,600.0,578.0,588.0,590.25,590.89,134458,7945011450000.0,,43421,0.3229,579.0,599.9,578.0,591.05,590.6328598940779,83080,2252,49069778.0,31650.0,38.1,21.9,12.05
