Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,BAJAUTOFIN,EQ,46.95,49.45,50.75,46.5,50.75,50.75,50.05,7600.0,38038000000.0,,,,50.0,51.25,47.3,51.25,50.396938775510215,4900.0,30.0,246945.0,,,3.95,1.25
2000-01-04,BAJAUTOFIN,EQ,50.75,53.2,53.2,47.9,48.0,48.1,48.56,5000.0,24280000000.0,,,,55.25,55.25,48.25,49.85,50.1203125,6400.0,44.0,320770.0,,,7.0,-5.4
2000-01-05,BAJAUTOFIN,EQ,48.1,46.55,47.4,44.6,44.6,44.6,45.47,3500.0,15914500000.0,,,,47.5,47.5,46.0,46.8,47.01666666666666,600.0,6.0,28210.0,,,1.5,-0.7
2000-01-06,BAJAUTOFIN,EQ,44.6,43.5,46.0,42.1,46.0,45.25,44.43,6200.0,27547500000.0,,,,46.8,50.0,43.1,48.0,46.49408602150537,18600.0,60.0,864790.0,,,6.9,1.2
2000-01-07,BAJAUTOFIN,EQ,45.25,48.0,48.0,42.0,42.9,42.9,44.44,3500.0,15555500000.0,,,,44.5,46.5,44.25,45.9,44.8625,3600.0,21.0,161505.0,,,2.25,1.4
2000-01-10,BAJAUTOFIN,EQ,42.9,42.05,44.9,41.0,43.0,42.9,42.47,4700.0,19961000000.0,,,,45.0,46.0,42.25,43.25,44.590625,4800.0,19.0,214035.0,,,3.75,-1.75
2000-01-11,BAJAUTOFIN,EQ,42.9,42.0,42.0,39.5,40.25,40.1,40.25,5500.0,22139000000.0,,,,40.05,42.45,40.05,40.25,41.00937500000001,1600.0,9.0,65615.0,,,2.4,0.2
2000-01-12,BAJAUTOFIN,EQ,40.1,40.0,40.0,39.0,39.0,39.0,39.8,1000.0,3980000000.0,,,,40.95,41.0,37.25,38.3,39.10882352941177,1700.0,14.0,66485.0,,,3.75,-2.65
2000-01-13,BAJAUTOFIN,EQ,39.0,40.0,41.0,38.5,39.5,39.5,39.37,1000.0,3937000000.0,,,,38.3,40.0,37.0,40.0,39.389285714285705,2800.0,24.0,110290.0,,,3.0,1.7
2000-01-14,BAJAUTOFIN,EQ,39.5,39.0,40.5,39.0,39.9,39.9,39.72,1700.0,6752000000.0,,,,39.95,40.25,39.25,40.0,39.96,2000.0,12.0,79920.0,,,1.0,0.05
2000-01-17,BAJAUTOFIN,EQ,39.9,39.05,41.0,38.4,39.2,39.2,39.84,3100.0,12349500000.0,,,,42.0,43.0,40.0,41.0,41.40925925925926,2700.0,20.0,111805.0,,,3.0,-1.0
