Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2002-02-18,BHARTI,EQ,0.0,51.9,51.9,43.5,44.7,44.35,46.0,10381190,47754314050000.0,,6503775.0,0.6265,55.0,55.0,43.4,44.15,45.87232948229026,6925483,15355,317688038.0,,,11.6,-10.85
2002-02-19,BHARTI,EQ,44.35,45.15,45.15,41.3,41.35,41.7,42.58,3552660,15126094130000.002,,1741184.0,0.4901,44.6,44.9,41.0,41.2,42.47451452952912,1698713,7641,72152010.0,,,3.9,-3.4
2002-02-20,BHARTI,EQ,41.7,40.6,42.8,40.25,41.2,41.25,41.56,2512964,10443478265000.0,,,,39.8,42.9,39.75,41.4,41.63419177097126,1079131,5783,44928747.0,,,3.15,1.6
2002-02-21,BHARTI,EQ,41.25,42.85,43.4,42.15,42.2,42.4,42.76,1338196,5722681000000.0,,485969.0,0.3632,42.5,43.45,42.0,42.45,42.700934874779456,569595,3511,24322239.0,,,1.45,-0.05
2002-02-22,BHARTI,EQ,42.4,42.65,43.6,41.1,43.35,43.3,42.75,811327,3468413225000.0,,399133.0,0.4920000000000001,41.95,43.8,41.75,43.45,42.70230648709993,416781,2341,17797510.0,,,2.05,1.5
2002-02-25,BHARTI,EQ,43.3,45.5,45.5,42.65,42.95,42.8,43.05,454151,1955299645000.0,,237710.0,0.5234000000000001,43.3,43.5,42.6,42.65,42.97285219774473,181709,1621,7808554.0,,,0.9,-0.65
2002-02-26,BHARTI,EQ,42.8,43.15,44.2,42.9,43.7,43.6,43.48,894960,3891165230000.0,,539339.0,0.6026,43.0,44.2,42.75,43.55,43.45020479812757,273440,1670,11881024.0,,,1.45,0.55
2002-02-27,BHARTI,EQ,43.6,43.95,46.3,43.75,44.45,44.65,45.02,3271361,14728818065000.0,,1376980.0,0.4209000000000001,43.9,46.45,43.5,44.3,44.99762303019632,1601619,6792,72069048.0,,,2.95,0.4
2002-02-28,BHARTI,EQ,44.65,46.0,46.8,40.8,41.4,41.5,44.48,4429634,19702772080000.0,,1583183.0,0.35740000000000005,43.0,47.0,40.5,40.9,44.386590477914496,2253876,8977,100041871.0,,,6.5,-2.1
2002-03-01,BHARTI,EQ,41.5,42.0,43.4,41.8,42.45,42.5,42.52,942785,4008985075000.0,,473453.0,0.5022,41.75,43.05,41.5,42.2,42.32989243162413,414620,2555,17550820.0,,,1.55,0.45
2002-03-04,BHARTI,EQ,42.5,43.1,44.25,42.85,43.25,43.3,43.37,615152,2667845820000.0,,346466.0,0.5632,43.55,44.7,42.85,43.25,43.35005306333179,278912,1809,12090850.0,,,1.85,-0.3
2002-03-05,BHARTI,EQ,43.3,44.2,45.5,43.7,45.35,45.3,44.92,1490137,6693880700000.0,,932820.0,0.626,44.2,45.6,43.8,45.45,45.068550917492,1018265,3593,45891728.0,,,1.8,1.25
2002-03-06,BHARTI,EQ,45.3,45.9,46.7,44.8,45.35,45.1,45.68,1989742,9088577390000.0,,1005402.0,0.5053,45.5,46.8,44.5,45.2,45.744004150615,1559287,3774,71328031.0,,,2.3,-0.3
2002-03-07,BHARTI,EQ,45.1,45.9,45.9,44.75,44.95,44.95,44.99,675801,3040250905000.0,,536827.0,0.7944,45.9,45.9,44.75,44.85,44.98275625820242,328409,1084,14772742.0,,,1.15,-1.05
