Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,BPCL,EQ,381.2,405.0,407.0,393.05,397.75,399.25,399.32,8720,348202920000.0,,,,407.0,407.0,387.0,400.0,400.1683055606752,92237.0,299.0,36910324.0,,,20.0,-7.0
2000-01-04,BPCL,EQ,399.25,397.75,397.75,367.4,377.45,370.5,375.71,22820,857369935000.0,,,,400.0,400.0,368.05,368.05,375.86890553487086,67951.0,374.0,25540668.0,,,31.95,-31.95
2000-01-05,BPCL,EQ,370.5,350.0,385.0,350.0,360.1,359.95,359.96,152538,5490785425000.0,,,,355.25,373.9,345.0,360.0,359.64177919633363,122190.0,579.0,43944629.0,,,28.9,4.75
2000-01-06,BPCL,EQ,359.95,362.0,384.0,362.0,381.65,380.3,380.1,59554,2263622690000.0,,,,363.0,385.0,357.25,380.0,379.26680935862436,54196.0,373.0,20554744.0,,,27.75,17.0
2000-01-07,BPCL,EQ,380.3,369.0,390.0,366.0,381.5,379.85,378.33,43187,1633889860000.0,,,,375.0,394.95,360.0,377.8,376.61731822474036,52950.0,484.0,19941887.0,,,34.95,2.8
2000-01-10,BPCL,EQ,379.85,380.0,394.5,380.0,383.2,384.95,387.76,52234,2025402100000.0,,,,381.25,390.0,381.05,382.35,385.1785864282714,33334.0,231.0,12839543.0,,,8.95,1.1
2000-01-11,BPCL,EQ,384.95,385.0,385.0,366.0,370.25,372.8,371.95,17112,636485110000.0,,,,377.0,383.0,364.95,370.0,371.74594813614266,7404.0,95.0,2752407.0,,,18.05,-7.0
2000-01-12,BPCL,EQ,372.8,380.0,382.0,375.0,378.0,378.0,376.3,5783,217614045000.00006,,,,377.95,382.0,374.0,378.85,378.7786424556852,11565.0,115.0,4380575.0,,,8.0,0.9
2000-01-13,BPCL,EQ,378.0,380.0,380.0,373.0,378.0,376.0,375.05,2297,86148750000.0,,,,385.0,385.0,375.0,380.0,378.03850006009367,24961.0,205.0,9436219.0,,,10.0,-5.0
2000-01-14,BPCL,EQ,376.0,378.0,382.0,373.0,373.0,374.4,379.33,18856,715265880000.0,,,,374.05,381.85,374.0,379.95,378.6309352118927,36056.0,193.0,13651917.0,,,7.85,5.9
2000-01-14,BPCL,EQ,376.0,378.0,382.0,373.0,373.0,374.4,379.33,18856,715265880000.0,,,,380.0,380.0,380.0,380.0,380.0,51520.0,1.0,19577600.0,,,0.0,0.0
2000-01-17,BPCL,EQ,374.4,379.0,379.0,372.0,377.0,375.85,377.91,133538,5046554705000.0,,,,378.0,378.0,378.0,378.0,378.0,50000.0,1.0,18900000.0,,,0.0,0.0
2000-01-17,BPCL,EQ,374.4,379.0,379.0,372.0,377.0,375.85,377.91,133538,5046554705000.0,,,,387.0,390.0,367.0,370.4,375.3685217903416,6792.0,74.0,2549503.0,,,23.0,-16.6
2000-01-18,BPCL,EQ,375.85,375.0,391.95,373.1,380.95,380.75,380.39,39481,1501833860000.0,,,,375.0,386.0,372.0,382.9,380.31071343191843,87843.0,376.0,33407634.0,,,14.0,7.9
2000-01-19,BPCL,EQ,380.75,381.3,389.8,375.0,376.9,376.85,379.39,41115,1559879300000.0,,,,383.0,383.0,372.5,373.0,379.1413564740808,39411.0,209.0,14942340.0,,,10.5,-10.0
2000-01-19,BPCL,EQ,380.75,381.3,389.8,375.0,376.9,376.85,379.39,41115,1559879300000.0,,,,380.0,380.0,380.0,380.0,380.0,90000.0,1.0,34200000.0,,,0.0,0.0
2000-01-20,BPCL,EQ,376.85,376.0,378.0,369.0,373.0,371.2,374.94,25740,965102500000.0,,,,375.1,378.5,370.0,370.0,374.25474537748016,16279.0,172.0,6092493.0,,,8.5,-5.1
2000-01-21,BPCL,EQ,371.2,372.5,372.5,367.0,369.9,369.3,369.41,5960,220169395000.00006,,,,368.05,370.1,365.1,369.0,369.53170511080964,33165.0,211.0,12255519.0,,,5.0,0.95
2000-01-24,BPCL,EQ,369.3,385.0,385.0,352.1,352.1,355.2,361.86,6035,218382605000.0,,,,371.0,374.0,345.0,355.0,362.3385684404581,28207.0,279.0,10220484.0,,,29.0,-16.0
2000-01-25,BPCL,EQ,355.2,350.0,360.0,345.0,350.0,348.55,350.78,52396,1837940170000.0,,,,350.0,360.0,345.0,350.0,352.38106918496106,73383.0,639.0,25858780.0,,,15.0,0.0
2000-01-27,BPCL,EQ,348.55,355.0,376.45,350.05,366.0,365.9,361.75,135737,4910252890000.0,,,,352.0,377.95,348.05,368.0,361.2181667901728,175430.0,749.0,63368503.0,,,29.9,16.0
2000-01-28,BPCL,EQ,365.9,337.35,392.4,337.35,378.0,375.25,373.5,79935,2985536410000.0,,,,360.5,393.0,355.6,376.1,373.18429783173883,114239.0,645.0,42632201.0,,,37.4,15.6
2000-01-31,BPCL,EQ,375.25,370.0,385.0,370.0,381.25,382.2,380.99,31151,1186816670000.0,,,,374.0,386.0,374.0,378.0,380.7896429994876,70252.0,246.0,26751234.0,,,12.0,4.0
2000-02-01,BPCL,EQ,382.2,380.0,390.0,376.0,380.95,378.95,380.94,60620,2309278385000.0,,,,377.1,381.75,376.0,380.5,380.1326526563595,75611.0,198.0,28742210.0,,,5.75,3.4
2000-02-02,BPCL,EQ,378.95,384.0,409.0,382.5,392.25,400.3,394.58,168656,6654781085000.0,,,,376.5,408.95,376.5,396.4,394.5863466676426,109292.0,769.0,43125131.0,,,32.45,19.9
2000-02-03,BPCL,EQ,400.3,400.0,405.0,368.3,385.9,381.8,381.83,93248,3560455129999.9995,,,,399.0,405.0,368.0,386.85,383.01169720347167,103700.0,793.0,39718313.0,,,37.0,-12.15
2000-02-04,BPCL,EQ,381.8,393.0,393.0,367.25,374.45,370.85,377.11,24934,940293365000.0,,,,389.0,389.0,365.0,365.0,375.6013291025564,33406.0,439.0,12547338.0,,,24.0,-24.0
2000-02-07,BPCL,EQ,370.85,385.0,385.0,360.25,369.9,368.4,368.6,7598,280060175000.0,,,,367.0,378.5,367.0,369.85,370.2826525321197,17357.0,311.0,6426996.0,,,11.5,2.85
2000-02-08,BPCL,EQ,368.4,369.75,370.0,340.75,344.0,353.8,360.49,34263,1235142175000.0,,,,355.0,375.0,355.0,360.0,365.39340568553075,26629.0,335.0,9730061.0,,,20.0,5.0
2000-02-09,BPCL,EQ,353.8,369.0,382.1,352.05,379.9,380.75,379.2,131659,4992524325000.0,,,,357.0,387.0,357.0,372.65,381.7153495719383,141802.0,519.0,54128000.0,,,30.0,15.65
2000-02-10,BPCL,EQ,380.75,368.5,374.5,350.3,350.3,350.3,355.83,38342,1364328630000.0,,,,372.7,383.0,342.85,347.75,350.8621373235348,120562.0,860.0,42300641.0,,,40.15,-24.95
2000-02-11,BPCL,EQ,350.3,359.9,360.0,322.3,329.0,327.7,333.68,24900,830862375000.0,,,,344.0,348.4,319.95,325.0,327.62797163030945,63307.0,618.0,20741144.0,,,28.45,-19.0
2000-02-14,BPCL,EQ,327.7,329.0,353.9,320.0,353.9,352.05,343.44,51815,1779511320000.0,,,,329.0,350.95,326.0,347.1,341.33445049087584,143519.0,744.0,48987979.0,,,24.95,18.1
2000-02-15,BPCL,EQ,352.05,378.0,378.0,324.0,335.0,332.9,333.2,26628,887235550000.0,,,,348.0,348.0,330.0,340.0,335.747719255565,16442.0,278.0,5520364.0,,,18.0,-8.0
2000-02-16,BPCL,EQ,332.9,338.0,343.0,325.0,330.5,330.05,333.19,16520,550425600000.0,,,,340.0,340.0,320.0,335.0,330.0686468646865,16665.0,149.0,5500594.0,,,20.0,-5.0
2000-02-17,BPCL,EQ,330.05,330.0,332.5,322.0,330.0,327.75,328.74,13720,451029175000.0,,,,327.25,331.95,326.0,328.0,329.64665266754463,28097.0,316.0,9262082.0,,,5.95,0.75
2000-02-18,BPCL,EQ,327.75,328.0,330.0,301.6,301.6,301.6,312.57,25578,799494835000.0,,,,329.9,330.0,301.8,317.05,314.9067420769383,40136.0,297.0,12639097.0,,,28.2,-12.85
2000-02-21,BPCL,EQ,301.6,290.3,310.0,290.3,292.25,293.95,300.42,42975,1291045750000.0,,,,328.0,328.0,292.4,298.0,300.1545973137813,60829.0,476.0,18258104.0,,,35.6,-30.0
