Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,BRITANNIA,EQ,703.25,705.0,759.5,705.0,758.0,756.9,741.01,7512,556648765000.0,,,,710.0,750.55,710.0,750.55,742.6693534984213,12034.0,230.0,8937283.0,,,40.55,40.55
2000-01-04,BRITANNIA,EQ,756.9,710.0,770.0,710.0,740.0,754.55,742.52,8135,604039070000.0,,,,764.0,765.0,732.0,740.0,752.78236018629,103924.0,392.0,78232154.0,,,33.0,-24.0
2000-01-05,BRITANNIA,EQ,754.55,755.0,759.0,705.0,740.0,735.3,739.92,6095,450978430000.0,,,,732.0,750.0,716.0,730.0,737.2842550745837,38279.0,210.0,28222504.0,,,34.0,-2.0
2000-01-06,BRITANNIA,EQ,735.3,740.0,794.15,740.0,770.0,785.65,788.83,19697,1553755555000.0,,,,755.0,788.35,735.0,788.35,774.1081684273172,13442.0,202.0,10405562.0,,,53.35,33.35
2000-01-07,BRITANNIA,EQ,785.65,808.0,848.5,798.0,848.5,848.5,827.53,33107,2739708030000.0,,,,797.9,851.4,780.0,851.4,832.374658135742,39855.0,651.0,33174292.0,,,71.4,53.5
2000-01-10,BRITANNIA,EQ,848.5,900.0,916.4,865.0,916.4,912.2,905.42,29575,2677784025000.0,,,,876.0,919.5,862.0,911.1,906.8206463959174,37624.0,738.0,34118220.0,,,57.5,35.1
2000-01-11,BRITANNIA,EQ,912.2,920.0,920.0,839.25,865.0,853.75,858.02,20635,1770515830000.0,,,,925.0,932.0,840.0,870.0,870.9561233707573,15498.0,399.0,13498078.0,,,92.0,-55.0
2000-01-12,BRITANNIA,EQ,853.75,900.0,900.0,860.55,890.95,882.7,885.18,9312,824275625000.0,,,,850.15,895.0,850.15,889.85,876.3646040050514,11086.0,260.0,9715378.0,,,44.85,39.7
2000-01-13,BRITANNIA,EQ,882.7,890.0,920.0,875.0,885.0,881.4,898.96,19526,1755312510000.0002,,,,895.0,915.0,868.0,880.0,890.305982707596,17233.0,410.0,15342643.0,,,47.0,-15.0
2000-01-14,BRITANNIA,EQ,881.4,872.5,880.0,864.0,870.0,869.65,873.91,15675,1369847005000.0,,,,880.0,880.0,850.0,865.1,865.4853008577228,15273.0,319.0,13218557.0,,,30.0,-14.9
2000-01-17,BRITANNIA,EQ,869.65,880.0,890.0,870.0,878.0,875.95,881.0,7125,627709975000.0,,,,889.0,889.9,851.1,870.0,873.8794985847148,2473.0,101.0,2161104.0,,,38.8,-19.0
2000-01-18,BRITANNIA,EQ,875.95,870.1,899.0,868.0,890.0,881.05,880.59,12526,1103028770000.0,,,,860.95,884.7,860.95,880.0,867.4166666666665,9348.0,326.0,8108611.0,,,23.75,19.05
2000-01-19,BRITANNIA,EQ,881.05,889.0,911.0,889.0,906.5,900.85,901.81,14108,1272275700000.0,,,,879.9,907.0,879.9,907.0,895.6658524670248,10235.0,209.0,9167140.0,,,27.1,27.1
2000-01-20,BRITANNIA,EQ,900.85,907.0,919.9,893.55,894.0,895.7,905.26,5671,513373240000.0001,,,,915.0,930.0,892.0,892.0,899.5876402937507,7217.0,177.0,6492324.0,,,38.0,-23.0
2000-01-21,BRITANNIA,EQ,895.7,897.9,897.9,885.25,890.0,888.25,888.42,1888,167733625000.0,,,,883.25,890.0,878.0,878.0,885.0720978243608,25188.0,119.0,22293196.0,,,12.0,-5.25
2000-01-24,BRITANNIA,EQ,888.25,880.0,895.0,851.0,886.0,884.75,877.38,6351,557221075000.0,,,,900.0,900.0,815.0,889.0,880.48484436591,7357.0,120.0,6477727.0,,,85.0,-11.0
2000-01-25,BRITANNIA,EQ,884.75,871.0,890.0,870.0,870.0,881.25,878.74,6859,602726660000.0,,,,875.0,894.95,870.0,885.0,879.8363125638407,3916.0,97.0,3445439.0,,,24.95,10.0
2000-01-27,BRITANNIA,EQ,881.25,865.9,885.0,810.75,825.15,830.3,833.19,14678,1222953695000.0,,,,880.0,880.0,814.25,830.0,833.3156150414276,15690.0,455.0,13074722.0,,,65.75,-50.0
2000-01-28,BRITANNIA,EQ,830.3,800.0,815.0,782.0,790.0,792.45,796.65,6418,511293065000.0001,,,,790.0,811.0,780.25,791.0,796.8515800379903,11582.0,298.0,9229135.0,,,30.75,1.0
2000-01-31,BRITANNIA,EQ,792.45,778.65,788.0,729.25,752.0,746.75,759.2,5416,411183495000.0,,,,780.0,785.0,741.0,749.25,759.4302382109869,4114.0,115.0,3124296.0,,,44.0,-30.75
2000-02-01,BRITANNIA,EQ,746.75,751.0,759.0,721.0,725.0,731.5,738.07,7347,542263470000.0,,,,740.0,754.95,723.0,732.0,740.0701062547922,9129.0,159.0,6756100.0,,,31.95,-8.0
2000-02-02,BRITANNIA,EQ,731.5,740.0,752.0,700.0,735.0,731.05,739.03,4939,365004875000.0,,,,731.1,745.0,725.0,735.0,734.333827893175,4044.0,122.0,2969646.0,,,20.0,3.9
2000-02-03,BRITANNIA,EQ,731.05,750.0,750.0,695.0,715.0,714.15,713.32,11619,828807280000.0,,,,721.5,730.0,690.0,711.0,712.4142685851318,11676.0,190.0,8318149.0,,,40.0,-10.5
2000-02-04,BRITANNIA,EQ,714.15,720.0,720.0,706.0,715.0,713.5,711.8,13147,935798410000.0,,,,705.0,720.0,701.1,708.0,709.2611534940495,16385.0,330.0,11621244.0,,,18.9,3.0
2000-02-07,BRITANNIA,EQ,713.5,701.0,717.0,700.0,704.8,701.7,708.3,7195,509621615000.0001,,,,719.95,725.0,700.0,700.0,709.184271040932,6523.0,172.0,4626009.0,,,25.0,-19.95
2000-02-08,BRITANNIA,EQ,701.7,704.0,704.0,680.0,683.0,685.5,687.66,15083,1037202495000.0,,,,700.0,700.0,680.0,690.0,688.2376070594343,7706.0,196.0,5303559.0,,,20.0,-10.0
