Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,CIPLA,EQ,1349.4,1410.0,1457.35,1380.05,1457.35,1457.35,1441.36,21060,3035495710000.0,,,,1435.0,1501.15,1425.0,1501.15,1472.5044506587365,101558.0,2138.0,149544607.0,,,76.15,66.15
2000-01-04,CIPLA,EQ,1457.35,1537.0,1537.0,1430.0,1466.05,1465.25,1460.43,30215,4412697995000.0,,,,1528.0,1540.0,1432.25,1475.0,1472.180141579731,75152.0,1831.0,110637282.0,,,107.75,-53.0
2000-01-05,CIPLA,EQ,1465.25,1474.0,1474.0,1365.0,1441.0,1435.05,1428.11,33799,4826872355000.0,,,,1441.0,1460.0,1365.0,1440.0,1427.1323365546305,49359.0,1194.0,70441825.0,,,95.0,-1.0
2000-01-06,CIPLA,EQ,1435.05,1434.0,1435.0,1349.0,1365.0,1355.85,1390.55,33083,4600355805000.0,,,,1440.0,1440.0,1350.0,1355.0,1388.326624465725,55449.0,1201.0,76981323.0,,,90.0,-85.0
2000-01-07,CIPLA,EQ,1355.85,1370.0,1389.9,1247.4,1247.4,1247.55,1267.49,66536,8433350509999.999,,,,1361.0,1375.0,1246.65,1246.65,1270.3776175240805,118146.0,1770.0,150090034.0,,,128.35,-114.35
2000-01-10,CIPLA,EQ,1247.55,1288.0,1299.0,1191.0,1197.15,1205.9,1222.23,105912,12944849340000.0,,,,1259.0,1335.0,1195.0,1200.0,1232.1818709219474,146516.0,2832.0,180534359.0,,,140.0,-59.0
2000-01-11,CIPLA,EQ,1205.9,1225.0,1225.0,1109.45,1125.0,1114.25,1156.31,186975,21620034285000.0,,,,1200.0,1259.0,1104.05,1120.0,1143.6701770950942,351619.0,3477.0,402136164.0,,,154.95,-80.0
2000-01-12,CIPLA,EQ,1114.25,1185.0,1203.4,1185.0,1203.4,1203.4,1202.76,7416,891969640000.0,,,,1148.0,1209.55,1131.0,1209.55,1203.261144633388,54690.0,751.0,65806352.0,,,78.55,61.55
2000-01-13,CIPLA,EQ,1203.4,1299.7,1299.7,1281.2,1299.7,1297.05,1298.53,90379,11736022640000.0,,,,1306.3,1306.3,1265.05,1300.0,1299.7926774526284,209408.0,3414.0,272186985.0,,,41.25,-6.3
2000-01-14,CIPLA,EQ,1297.05,1299.0,1304.55,1220.0,1275.0,1280.7,1275.38,70729,9020601715000.0,,,,1305.0,1325.0,1211.0,1275.0,1267.4178061059395,132887.0,3355.0,168423350.0,,,114.0,-30.0
2000-01-17,CIPLA,EQ,1280.7,1335.0,1340.0,1250.15,1265.0,1270.05,1292.22,54938,7099175120000.0,,,,1332.0,1349.0,1258.0,1267.6,1295.6268437138135,105358.0,2102.0,136504653.0,,,91.0,-64.4
2000-01-18,CIPLA,EQ,1270.05,1294.0,1294.0,1200.0,1235.0,1220.15,1227.43,51691,6344729185000.0,,,,1275.0,1275.0,1200.0,1245.0,1236.0382221803932,85003.0,2268.0,105066957.0,,,75.0,-30.0
2000-01-19,CIPLA,EQ,1220.15,1175.0,1219.9,1132.0,1200.0,1203.85,1189.27,132669,15777967760000.0,,,,1230.0,1230.0,1145.45,1204.95,1182.3493063559654,167449.0,3259.0,197983209.0,,,84.55,-25.05
2000-01-20,CIPLA,EQ,1203.85,1205.0,1223.0,1201.0,1208.0,1208.8,1212.22,44602,5406753495000.0,,,,1212.0,1225.0,1200.0,1202.7,1210.5516671562864,81696.0,1320.0,98897229.0,,,25.0,-9.3
2000-01-21,CIPLA,EQ,1208.8,1210.0,1210.0,1160.0,1202.0,1201.1,1198.65,43168,5174312265000.0,,,,1191.0,1205.0,1175.0,1190.75,1196.5208295826885,83319.0,1758.0,99692919.0,,,30.0,-0.25
2000-01-24,CIPLA,EQ,1201.1,1218.0,1223.9,1185.0,1212.0,1212.0,1210.61,67930,8223692930000.0,,,,1235.0,1238.7,1200.0,1214.35,1214.4415357766145,58446.0,1186.0,70979250.0,,,38.7,-20.65
2000-01-25,CIPLA,EQ,1212.0,1195.0,1208.0,1176.05,1197.9,1194.3,1195.43,65851,7872022250000.0,,,,1211.0,1220.0,1184.0,1188.0,1198.1717736458222,101593.0,890.0,121725865.0,,,36.0,-23.0
