Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,DRREDDY,EQ,1396.5,1505.0,1508.25,1505.0,1508.25,1508.25,1508.21,13280,2002904375000.0,,,,1500.0,1557.35,1500.0,1557.35,1544.1951536499453,82330,945,127133587.0,,,57.35,57.35
2000-01-04,DRREDDY,EQ,1508.25,1590.0,1628.95,1510.0,1628.95,1628.95,1579.29,57142,9024404910000.0,,,,1601.0,1681.0,1527.0,1647.25,1621.0409301486638,210676,3308,341514419.0,,,154.0,46.25
2000-01-05,DRREDDY,EQ,1628.95,1549.0,1650.0,1499.0,1566.0,1568.05,1594.99,119697,19091553600000.0,,,,1600.0,1648.0,1515.5,1559.0,1590.9039232942253,205669,2707,327199619.0,,,132.5,-41.0
2000-01-06,DRREDDY,EQ,1568.05,1599.0,1693.5,1571.0,1693.5,1661.55,1632.11,121966,19906246590000.0,,,,1582.0,1683.7,1560.0,1683.7,1623.2441816432315,161085,2559,261480289.0,,,123.7,101.7
2000-01-07,DRREDDY,EQ,1661.55,1685.0,1685.0,1528.65,1528.65,1529.1,1585.24,79641,12624973610000.0,,,,1718.0,1718.0,1549.05,1549.05,1593.8532641047684,120952,1955,192779740.0,,,168.95,-168.95
2000-01-10,DRREDDY,EQ,1529.1,1560.0,1560.0,1407.5,1502.0,1503.9,1503.84,62612,9415849660000.0,,,,1560.0,1670.0,1425.15,1501.05,1513.0691439469733,63968,1466,96788007.0,,,244.85,-58.95
2000-01-11,DRREDDY,EQ,1503.9,1512.0,1529.0,1384.0,1436.0,1446.6,1449.71,89184,12929137705000.0,,,,1510.0,1530.0,1390.0,1450.0,1459.0854840794525,46418,1105,67727830.0,,,140.0,-60.0
2000-01-12,DRREDDY,EQ,1446.6,1460.0,1540.0,1460.0,1486.05,1490.9,1496.5,31611,4730600895000.0,,,,1450.05,1530.0,1436.05,1489.0,1495.7798615698325,34819,827,52081559.0,,,93.95,38.95
2000-01-13,DRREDDY,EQ,1490.9,1485.0,1545.0,1461.0,1470.05,1477.45,1511.43,39753,6008397020000.0,,,,1507.0,1536.0,1452.2,1476.15,1506.1708256737204,51134,1107,77016539.0,,,83.8,-30.85
2000-01-14,DRREDDY,EQ,1477.45,1470.05,1510.0,1412.0,1486.45,1473.5,1458.08,46272,6746848115000.001,,,,1470.0,1519.0,1412.0,1485.0,1457.4571944269312,80889,1351,117892255.0,,,107.0,15.0
2000-01-17,DRREDDY,EQ,1473.5,1515.0,1570.0,1495.0,1495.0,1508.75,1533.26,67750,10387852905000.0,,,,1522.0,1574.0,1496.0,1496.35,1537.4015327695565,75680,1213,116350548.0,,,78.0,-25.65
2000-01-18,DRREDDY,EQ,1508.75,1475.0,1475.0,1431.05,1450.0,1450.35,1450.67,44008,6384103740000.0,,,,1500.0,1500.0,1450.0,1472.0,1463.81502689925,49072,913,71832331.0,,,50.0,-28.0
