Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,EICHERMOT,EQ,45.2,48.0,48.85,48.0,48.85,48.85,48.75,4100.0,19987000000.0,,,,48.75,48.75,48.75,48.75,48.75,2800.0,14.0,136500.0,,,0.0,0.0
2000-01-04,EICHERMOT,EQ,48.85,52.0,52.75,50.15,51.8,51.4,51.44,49100.0,252588000000.0,,,,50.1,52.6,50.1,51.7,51.457142857142856,21000.0,92.0,1080600.0,,,2.5,1.6
2000-01-05,EICHERMOT,EQ,51.4,55.0,55.55,51.05,55.55,55.55,53.99,47800.0,258073000000.0,,,,52.5,55.8,51.15,55.8,54.21502433090024,16440.0,69.0,891295.0,,,4.65,3.3
2000-01-06,EICHERMOT,EQ,55.55,59.75,60.0,57.3,60.0,60.0,59.75,106200.0,634546500000.0,,,,58.95,60.25,57.0,60.25,59.365604026845645,29800.0,123.0,1769095.0,,,3.25,1.3
2000-01-07,EICHERMOT,EQ,60.0,64.0,64.8,60.1,64.8,64.65,64.08,115500.0,740130000000.0,,,,64.0,65.0,60.2,64.0,63.511476681927526,64435.0,268.0,4092362.0,,,4.8,0.0
2000-01-10,EICHERMOT,EQ,64.65,67.95,68.5,61.5,65.25,65.5,64.22,107100.0,687783500000.0,,,,67.1,68.0,60.0,65.7,64.66703470031545,31700.0,159.0,2049945.0,,,8.0,-1.4
2000-01-11,EICHERMOT,EQ,65.5,62.8,64.0,60.3,62.45,61.6,61.55,107700.0,662862000000.0,,,,65.0,68.0,61.0,62.05,62.203137254901975,25500.0,138.0,1586180.0,,,7.0,-2.95
2000-01-12,EICHERMOT,EQ,61.6,62.0,65.25,61.15,65.0,63.95,64.16,62200.0,399084000000.0,,,,62.0,65.45,59.0,65.0,64.65892671324514,33635.0,132.0,2174803.0,,,6.45,3.0
2000-01-13,EICHERMOT,EQ,63.95,65.0,66.0,60.45,60.45,61.25,63.42,83300.0,528268000000.0,,,,62.65,64.9,60.25,61.45,63.02625,16000.0,87.0,1008420.0,,,4.65,-1.2
2000-01-14,EICHERMOT,EQ,61.25,64.9,64.95,60.3,63.0,62.35,61.82,36100.0,223178500000.0,,,,60.5,62.5,60.0,61.1,61.05912162162162,29600.0,153.0,1807350.0,,,2.5,0.6
2000-01-17,EICHERMOT,EQ,62.35,64.0,67.35,64.0,66.0,65.25,66.09,114100.0,754134500000.0,,,,65.9,65.95,65.0,65.95,65.84205882352943,34000.0,137.0,2238630.0,,,0.95,0.05
2000-01-18,EICHERMOT,EQ,65.25,65.55,66.5,62.5,65.55,65.55,64.22,75600.0,485507500000.0,,,,68.5,68.5,63.5,66.2,64.39544103072348,20180.0,127.0,1299500.0,,,5.0,-2.3
2000-01-19,EICHERMOT,EQ,65.55,67.0,67.5,64.1,66.0,66.05,65.92,58100.0,383009500000.0,,,,66.9,66.9,64.1,66.0,65.84126691266914,16260.0,93.0,1070579.0,,,2.8,-0.9
2000-01-20,EICHERMOT,EQ,66.05,66.0,67.0,61.6,61.6,62.4,64.2,30900.0,198383000000.0,,,,65.7,66.0,61.25,61.75,63.68675588371021,10835.0,80.0,690046.0,,,4.75,-3.95
2000-01-21,EICHERMOT,EQ,62.4,61.15,63.9,61.1,63.15,63.25,62.28,21500.0,133912500000.0,,,,61.1,63.05,60.5,63.0,61.808036856923465,19535.0,106.0,1207420.0,,,2.55,1.9
2000-01-24,EICHERMOT,EQ,63.25,62.0,62.0,58.5,59.1,59.9,59.5,37900.0,225505500000.0,,,,59.1,62.0,58.15,60.0,60.39260312944523,7030.0,43.0,424560.0,,,3.85,0.9
2000-01-25,EICHERMOT,EQ,59.9,57.1,58.5,56.05,57.25,56.95,56.98,40200.0,229079000000.0,,,,58.4,58.6,56.5,57.45,57.88269230769232,10400.0,38.0,601980.0,,,2.1,-0.95
2000-01-27,EICHERMOT,EQ,56.95,57.95,57.95,56.0,57.1,57.05,56.74,28400.0,161130500000.0,,,,56.0,58.0,55.0,57.0,56.73823529411764,8500.0,68.0,482275.0,,,3.0,1.0
2000-01-28,EICHERMOT,EQ,57.05,56.0,56.95,55.1,55.25,55.4,55.6,15600.0,86734000000.0,,,,56.0,57.5,53.3,54.0,55.21609195402298,8700.0,53.0,480380.0,,,4.2,-2.0
2000-01-31,EICHERMOT,EQ,55.4,54.1,55.3,51.0,51.0,51.55,52.33,12700.0,66459500000.0,,,,55.0,55.0,50.2,51.5,51.21470588235293,13600.0,55.0,696520.0,,,4.8,-3.5
2000-02-01,EICHERMOT,EQ,51.55,49.1,52.8,49.1,52.0,51.4,51.42,27500.0,141416500000.0,,,,51.5,52.5,51.25,51.9,52.08508771929824,5700.0,34.0,296885.0,,,1.25,0.4
2000-02-02,EICHERMOT,EQ,51.4,54.9,55.55,53.0,55.55,55.55,54.3,56500.0,306790000000.0,,,,53.0,56.0,52.0,56.0,54.284495021337136,7030.0,36.0,381620.0,,,4.0,3.0
2000-02-03,EICHERMOT,EQ,55.55,55.5,60.0,55.5,58.75,58.85,58.42,16200.0,94647000000.0,,,,59.0,60.0,53.3,59.7,58.02566666666665,15000.0,76.0,870385.0,,,6.7,0.7
2000-02-04,EICHERMOT,EQ,58.85,61.0,63.6,60.5,63.6,63.6,62.81,55300.0,347343500000.0,,,,63.7,63.7,60.0,63.1,62.43259771337409,18805.0,136.0,1174045.0,,,3.7,-0.6
2000-02-07,EICHERMOT,EQ,63.6,64.0,64.0,60.1,60.1,60.45,62.15,21000.0,130515500000.0,,,,64.8,65.4,61.2,61.2,63.30021673168617,11535.0,66.0,730168.0,,,4.2,-3.6
2000-02-08,EICHERMOT,EQ,60.45,56.0,60.0,56.0,57.0,57.35,57.95,21600.0,125180000000.0,,,,60.0,60.0,58.1,58.9,58.890178571428564,5600.0,35.0,329785.0,,,1.9,-1.1
2000-02-09,EICHERMOT,EQ,57.35,59.95,59.95,54.15,54.5,55.25,57.92,19500.0,112949500000.0,,,,56.0,58.0,55.0,55.0,56.39533898305085,11800.0,65.0,665465.0,,,3.0,-1.0
2000-02-10,EICHERMOT,EQ,55.25,57.5,57.7,54.0,57.7,56.55,55.56,9700.0,53889500000.0,,,,54.0,56.45,53.25,56.1,55.239669421487605,4235.0,34.0,233940.0,,,3.2,2.1
2000-02-11,EICHERMOT,EQ,56.55,54.35,56.5,54.3,55.0,55.0,55.01,3900.0,21455500000.0,,,,55.5,55.5,53.15,54.8,54.317796610169495,11800.0,90.0,640950.0,,,2.35,-0.7
2000-02-14,EICHERMOT,EQ,55.0,53.0,54.0,51.1,52.4,52.4,52.09,6500.0,33858000000.0,,,,55.0,55.0,51.0,51.0,52.47325581395349,4300.0,33.0,225635.0,,,4.0,-4.0
2000-02-15,EICHERMOT,EQ,52.4,51.0,53.0,48.5,49.45,49.1,50.12,17500.0,87708000000.0,,,,50.0,51.0,48.6,50.0,49.94714285714286,3500.0,23.0,174815.0,,,2.4,0.0
