Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,GAIL,EQ,67.8,65.0,70.0,65.0,68.8,68.7,67.91,76055.0,516516560000.0,,,,71.5,71.5,67.1,69.0,68.70291693917592,152900.0,278.0,10504676.0,,,4.4,-2.5
2000-01-04,GAIL,EQ,68.7,69.85,72.9,66.0,67.0,66.35,67.29,98097.0,660045745000.0,,,,69.0,69.0,66.2,67.9,67.55356890459363,28300.0,126.0,1911766.0,,,2.8,-1.1
2000-01-05,GAIL,EQ,66.35,68.35,68.7,61.1,63.0,63.2,65.24,92690.0,604688925000.0,,,,67.9,68.5,63.55,64.0,65.92620317313107,30191.0,141.0,1990378.0,,,4.95,-3.9
2000-01-06,GAIL,EQ,63.2,64.8,67.0,63.0,64.75,64.95,65.55,173654.0,1138298685000.0,,,,63.55,67.0,62.0,64.0,64.94725967026456,69207.0,231.0,4494805.0,,,5.0,0.45
2000-01-07,GAIL,EQ,64.95,65.9,65.9,62.0,62.9,62.65,63.76,86590.0,552138810000.0,,,,64.95,65.0,62.0,63.0,63.64304465493911,73900.0,254.0,4703221.0,,,3.0,-1.95
2000-01-10,GAIL,EQ,62.65,64.95,64.95,62.0,62.7,62.3,62.81,85104.0,534497865000.0001,,,,64.1,65.0,61.5,62.95,62.809479423144566,56860.0,182.0,3571347.0,,,3.5,-1.15
2000-01-11,GAIL,EQ,62.3,62.0,62.4,59.0,59.75,59.8,60.79,97101.0,590270265000.0,,,,63.0,63.75,58.0,60.0,60.38132029339853,40900.0,162.0,2469596.0,,,5.75,-3.0
2000-01-12,GAIL,EQ,59.8,62.7,62.7,60.25,61.7,61.55,61.25,97974.0,600092480000.0,,,,60.0,62.0,59.0,61.35,60.25627888108928,113396.0,536.0,6832821.0,,,3.0,1.35
2000-01-13,GAIL,EQ,61.55,62.3,62.5,61.25,61.7,61.85,61.88,28151.0,174196045000.0,,,,61.55,61.95,60.0,61.0,60.92231488218504,17867.0,132.0,1088499.0,,,1.95,-0.55
2000-01-14,GAIL,EQ,61.85,61.75,62.9,60.05,62.9,62.45,61.34,33125.0,203184300000.0,,,,60.1,62.35,60.1,62.2,60.914912496918895,20285.0,119.0,1235659.0,,,2.25,2.1
2000-01-17,GAIL,EQ,62.45,63.5,64.45,62.0,63.7,63.8,63.79,82245.0,524667225000.0,,,,64.0,64.5,63.0,64.0,63.8578167115903,7420.0,33.0,473825.0,,,1.5,0.0
2000-01-18,GAIL,EQ,63.8,64.4,67.9,63.55,66.55,66.95,65.33,70485.0,460505190000.0001,,,,64.0,68.0,64.0,68.0,65.95944819924081,21602.0,112.0,1424856.0,,,4.0,4.0
2000-01-19,GAIL,EQ,66.95,70.0,70.0,65.0,66.0,65.8,67.91,119332.0,810339950000.0,,,,67.5,70.85,65.0,65.0,67.42629848783696,38025.0,144.0,2563885.0,,,5.85,-2.5
2000-01-20,GAIL,EQ,65.8,65.5,66.45,62.85,63.45,63.4,64.26,47088.0,302608360000.0,,,,65.7,65.7,62.55,62.95,64.08318670576736,20460.0,93.0,1311142.0,,,3.15,-2.75
2000-01-21,GAIL,EQ,63.4,62.25,64.0,62.0,62.7,62.25,62.62,57404.0,359439315000.0,,,,62.0,63.75,61.0,62.0,62.282817026966804,22435.0,114.0,1397315.0,,,2.75,0.0
2000-01-24,GAIL,EQ,62.25,63.0,64.25,61.25,62.5,62.15,62.61,53436.0,334563495000.0,,,,65.0,66.95,61.5,61.5,64.80104772766812,362117.0,247.0,23465561.0,,,5.45,-3.5
