Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,GRASIM,EQ,405.8,429.9,438.3,425.0,438.3,438.3,432.24,101578,4390621335000.0,,,,435.0,440.6,418.5,440.0,435.70245447704184,532863.0,2186.0,232169717.0,,,22.1,5.0
2000-01-04,GRASIM,EQ,438.3,437.5,440.0,420.05,439.5,437.15,428.27,126117,5401215770000.0,,,,440.0,440.0,420.0,437.0,429.00025953557287,211917.0,1285.0,90912448.0,,,20.0,-3.0
2000-01-05,GRASIM,EQ,437.15,420.1,447.9,412.0,430.0,439.6,436.1,163877,7146660280000.0,,,,426.0,447.0,415.0,430.0,433.48259098786826,346200.0,1887.0,150071673.0,,,32.0,4.0
2000-01-06,GRASIM,EQ,439.6,449.9,474.8,449.9,474.8,474.8,474.68,44248,2100383930000.0,,,,438.0,464.35,438.0,464.35,459.4662340342589,43609.0,365.0,20036863.0,,,26.35,26.35
2000-01-07,GRASIM,EQ,474.8,472.0,512.8,472.0,512.8,512.8,512.61,188564,9666049480000.0,,,,495.0,501.45,495.0,501.45,501.13100387956194,116508.0,414.0,58385771.0,,,6.45,6.45
2000-01-10,GRASIM,EQ,512.8,553.8,553.85,475.0,510.0,501.95,505.41,368433,18620874390000.0,,,,541.55,541.55,481.0,510.0,515.9188427759117,426296.0,2783.0,219934139.0,,,60.55,-31.55
2000-01-11,GRASIM,EQ,501.95,497.0,497.0,462.0,462.0,474.3,479.9,196177,9414471210000.0,,,,496.25,505.0,469.25,469.3,478.45070052605115,133257.0,943.0,63756905.0,,,35.75,-26.95
2000-01-12,GRASIM,EQ,474.3,465.0,472.0,437.0,461.9,458.45,456.26,68421,3121776245000.0,,,,463.5,469.25,435.0,466.0,456.4012636227333,134059.0,1114.0,61184697.0,,,34.25,2.5
2000-01-13,GRASIM,EQ,458.45,460.0,475.0,442.0,456.0,452.35,460.77,103720,4779057820000.0,,,,465.0,477.0,444.0,460.0,461.6439884068811,106960.0,995.0,49377441.0,,,33.0,-5.0
2000-01-14,GRASIM,EQ,452.35,460.0,460.0,416.2,433.0,434.95,432.61,93774,4056795720000.001,,,,461.0,461.0,423.25,430.0,433.2724515160464,162528.0,1247.0,70418905.0,,,37.75,-31.0
2000-01-17,GRASIM,EQ,434.95,434.0,453.5,434.0,451.0,450.9,446.62,122901,5488999945000.0,,,,442.5,456.5,440.05,451.0,449.5611015738138,208538.0,1240.0,93750573.0,,,16.45,8.5
2000-01-18,GRASIM,EQ,450.9,451.0,457.2,426.0,429.9,431.3,441.85,85911,3795945700000.0,,,,455.0,462.0,430.0,430.0,446.91462393079667,299639.0,2230.0,133913051.0,,,32.0,-25.0
2000-01-19,GRASIM,EQ,431.3,445.0,450.0,410.0,425.0,418.95,425.13,309006,13136714100000.0,,,,442.0,448.0,405.0,425.0,424.4670070132344,311839.0,2589.0,132365367.0,,,43.0,-17.0
2000-01-20,GRASIM,EQ,418.95,428.0,435.0,422.0,426.2,425.55,427.94,215838,9236465320000.0,,,,428.65,438.0,421.15,430.0,427.9342099037837,232497.0,1331.0,99493420.0,,,16.85,1.35
