Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-11,HCLTECH,EQ,580.0,1550.0,1725.0,1492.0,1560.0,1554.45,1582.72,1192200,188691461000000.0,,,,1600.0,1650.0,1530.0,1530.0,1582.0,250,5,395500.0,,,120.0,-70.0
2000-01-11,HCLTECH,EQ,580.0,1550.0,1725.0,1492.0,1560.0,1554.45,1582.72,1192200,188691461000000.0,,,,1150.0,1720.0,1150.0,1576.7,1584.0961806451612,1395000,7932,2209814172.0,,,570.0,426.7
2000-01-12,HCLTECH,EQ,1554.45,1560.0,1678.85,1560.0,1678.85,1678.85,1657.05,344850,57143494500000.0,,,,1575.0,1702.8,1575.0,1702.8,1677.7877713338855,603500,3560,1012544920.0,,,127.8,127.8
2000-01-12,HCLTECH,EQ,1554.45,1560.0,1678.85,1560.0,1678.85,1678.85,1657.05,344850,57143494500000.0,,,,1550.0,1649.0,1550.0,1649.0,1599.5000000000002,100,2,159950.0,,,99.0,99.0
2000-01-13,HCLTECH,EQ,1678.85,1790.0,1813.2,1781.0,1813.2,1813.2,1804.69,53000,9564879750000.0,,,,1839.0,1839.0,1839.0,1839.0,1839.0,8100,2,14895900.0,,,0.0,0.0
2000-01-13,HCLTECH,EQ,1678.85,1790.0,1813.2,1781.0,1813.2,1813.2,1804.69,53000,9564879750000.0,,,,1768.75,1839.0,1768.75,1839.0,1832.4621088435376,205800,1247,377120702.0,,,70.25,70.25
2000-01-14,HCLTECH,EQ,1813.2,1958.3,1958.3,1835.0,1958.3,1958.3,1939.9,270950,52561693250000.0,,,,1925.0,1986.1,1870.0,1986.1,1966.0033886771912,367400,2217,722309645.0,,,116.1,61.1
2000-01-14,HCLTECH,EQ,1813.2,1958.3,1958.3,1835.0,1958.3,1958.3,1939.9,270950,52561693250000.0,,,,1986.1,1986.1,1870.0,1986.1,1961.465,1000,10,1961465.0,,,116.1,0.0
2000-01-17,HCLTECH,EQ,1958.3,2115.0,2115.0,1801.65,1801.65,1801.65,1990.55,428800,85354733750000.0,,,,2144.95,2144.95,1950.0,1950.0,2138.4869442007957,14821,5,31694515.0,,,194.95,-194.95
2000-01-17,HCLTECH,EQ,1958.3,2115.0,2115.0,1801.65,1801.65,1801.65,1990.55,428800,85354733750000.0,,,,2144.8,2144.95,1827.25,1827.25,2073.849021352313,224800,2293,466201260.0,,,317.7,-317.55
2000-01-18,HCLTECH,EQ,1801.65,1730.55,1815.0,1657.55,1775.0,1774.5,1716.39,359900,61772802000000.0,,,,1723.0,1825.0,1681.1,1797.25,1738.5113784370478,276400,2764,480524545.0,,,143.9,74.25
2000-01-18,HCLTECH,EQ,1801.65,1730.55,1815.0,1657.55,1775.0,1774.5,1716.39,359900,61772802000000.0,,,,1830.0,1830.0,1750.0,1754.7,1795.7136150234742,213,17,382487.0,,,80.0,-75.3
2000-01-19,HCLTECH,EQ,1774.5,1815.0,1889.0,1760.0,1842.8,1851.15,1842.81,316050,58242040000000.0,,,,1825.0,1825.0,1825.0,1825.0,1825.0,35,6,63875.0,,,0.0,0.0
2000-01-19,HCLTECH,EQ,1774.5,1815.0,1889.0,1760.0,1842.8,1851.15,1842.81,316050,58242040000000.0,,,,1800.0,1889.8,1760.0,1833.2,1834.9334525660965,128600,1708,235972442.0,,,129.8,33.2
2000-01-20,HCLTECH,EQ,1851.15,1865.0,1865.0,1750.0,1753.5,1757.85,1801.37,204700,36874092500000.0,,,,1858.75,1864.0,1750.0,1758.45,1804.4646881091608,102600,1236,185138077.0,,,114.0,-100.3
2000-01-20,HCLTECH,EQ,1851.15,1865.0,1865.0,1750.0,1753.5,1757.85,1801.37,204700,36874092500000.0,,,,1810.0,1810.0,1800.0,1800.0,1800.7857142857142,14,4,25211.0,,,10.0,-10.0
2000-01-21,HCLTECH,EQ,1757.85,1761.0,1815.0,1705.0,1786.0,1781.35,1774.01,282150,50053604000000.0,,,,1758.45,1758.45,1758.45,1758.45,1758.4,15,1,26376.0,,,0.0,0.0
2000-01-21,HCLTECH,EQ,1757.85,1761.0,1815.0,1705.0,1786.0,1781.35,1774.01,282150,50053604000000.0,,,,1750.1,1805.0,1680.0,1761.3,1769.9161782913739,121150,1541,214425345.0,,,125.0,11.2
2000-01-24,HCLTECH,EQ,1781.35,1834.9,1923.9,1795.0,1923.9,1923.9,1875.34,328650,61633171750000.0,,,,1874.0,1902.15,1800.0,1902.15,1864.346061728396,162000,1400,302024062.0,,,102.15,28.15
2000-01-24,HCLTECH,EQ,1781.35,1834.9,1923.9,1795.0,1923.9,1923.9,1875.34,328650,61633171750000.0,,,,1820.0,1902.15,1820.0,1902.15,1890.0571428571427,35,4,66152.0,,,82.15,82.15
2000-01-25,HCLTECH,EQ,1923.9,1990.0,2077.85,1990.0,2077.85,2077.85,2065.71,313500,64760104000000.0,,,,2054.0,2054.0,2010.0,2010.0,2021.0,40,3,80840.0,,,44.0,-44.0
2000-01-25,HCLTECH,EQ,1923.9,1990.0,2077.85,1990.0,2077.85,2077.85,2065.71,313500,64760104000000.0,,,,1965.0,2054.3,1965.0,2054.3,2047.11373693168,205650,1199,420988940.0,,,89.3,89.3
2000-01-27,HCLTECH,EQ,2077.85,2239.9,2239.9,1965.0,2078.0,2080.6,2101.92,352400,74071500250000.0,,,,2124.0,2218.0,1961.0,2074.95,2093.9939229843562,166200,2215,348021790.0,,,257.0,-49.05
2000-01-27,HCLTECH,EQ,2077.85,2239.9,2239.9,1965.0,2078.0,2080.6,2101.92,352400,74071500250000.0,,,,2100.0,2150.0,2000.0,2150.0,2099.122807017544,57,8,119650.0,,,150.0,50.0
2000-01-28,HCLTECH,EQ,2080.6,2100.0,2245.0,2020.2,2190.0,2196.95,2173.0,360800,78401974500000.0,,,,2210.0,2240.0,2100.0,2205.7,2187.310810810811,370,24,809305.0,,,140.0,-4.3
2000-01-28,HCLTECH,EQ,2080.6,2100.0,2245.0,2020.2,2190.0,2196.95,2173.0,360800,78401974500000.0,,,,2089.0,2240.85,2011.25,2178.9,2155.0670676130003,133850,1717,288455727.0,,,229.6,89.9
2000-01-31,HCLTECH,EQ,2196.95,2111.0,2200.0,2021.2,2021.2,2030.4,2083.45,217650,45346200500000.0,,,,2200.0,2200.0,2004.6,2004.6,2088.9293292913985,131950,1975,275634225.0,,,195.4,-195.4
2000-01-31,HCLTECH,EQ,2196.95,2111.0,2200.0,2021.2,2021.2,2030.4,2083.45,217650,45346200500000.0,,,,2100.0,2100.0,2015.0,2015.0,2063.161764705882,68,7,140295.0,,,85.0,-85.0
2000-02-01,HCLTECH,EQ,2030.4,1981.2,2180.0,1981.2,2160.0,2162.25,2110.66,261000,55088342750000.0,,,,2099.0,2164.95,2099.0,2161.35,2129.2978723404253,94,15,200154.0,,,65.95,62.35
2000-02-01,HCLTECH,EQ,2030.4,1981.2,2180.0,1981.2,2160.0,2162.25,2110.66,261000,55088342750000.0,,,,2000.0,2164.95,2000.0,2164.95,2130.2784224137927,116000,1543,247112297.0,,,164.95,164.95
2000-02-02,HCLTECH,EQ,2162.25,2260.0,2260.0,2010.0,2035.0,2024.25,2085.91,326550,68115423250000.0,,,,2119.0,2209.0,2000.0,2028.65,2075.151801619433,148200,1968,307537497.0,,,209.0,-90.35
2000-02-02,HCLTECH,EQ,2162.25,2260.0,2260.0,2010.0,2035.0,2024.25,2085.91,326550,68115423250000.0,,,,2160.0,2160.0,2090.0,2090.0,2110.8024691358028,81,9,170975.0,,,70.0,-70.0
2000-02-03,HCLTECH,EQ,2024.25,2075.0,2075.0,1915.2,1965.0,1956.5,1989.66,175800,34978205500000.0,,,,2175.0,2175.0,1990.0,1990.0,2016.818181818181,55,5,110925.0,,,185.0,-185.0
2000-02-03,HCLTECH,EQ,2024.25,2075.0,2075.0,1915.2,1965.0,1956.5,1989.66,175800,34978205500000.0,,,,2055.0,2057.0,1912.0,1958.15,1971.3279823917826,68150,994,134346002.0,,,145.0,-96.85
2000-02-04,HCLTECH,EQ,1956.5,1993.0,2064.0,1965.0,1977.0,1986.6,2008.25,176500,35445597500000.0,,,,2000.0,2029.0,1935.0,1998.7,1990.2562841530048,100650,1227,200319295.0,,,94.0,-1.3
2000-02-04,HCLTECH,EQ,1956.5,1993.0,2064.0,1965.0,1977.0,1986.6,2008.25,176500,35445597500000.0,,,,1950.0,2075.0,1950.0,2008.2,2008.2394366197186,142,12,285170.0,,,125.0,58.2
2000-02-07,HCLTECH,EQ,1986.6,1985.0,2119.95,1960.05,2036.0,2062.95,2048.51,277850,56917908000000.0,,,,2099.0,2100.0,2025.0,2100.0,2068.720930232558,215,12,444775.0,,,75.0,1.0
2000-02-07,HCLTECH,EQ,1986.6,1985.0,2119.95,1960.05,2036.0,2062.95,2048.51,277850,56917908000000.0,,,,2030.0,2145.5,2000.0,2034.85,2054.100284437221,123050,1541,252757040.0,,,145.5,4.85
2000-02-08,HCLTECH,EQ,2062.95,2049.4,2060.0,1970.0,2014.0,1999.2,2017.09,199100,40160266750000.0,,,,2090.0,2097.0,1976.0,2008.3,2022.0162704309064,67300,985,136081695.0,,,121.0,-81.7
2000-02-08,HCLTECH,EQ,2062.95,2049.4,2060.0,1970.0,2014.0,1999.2,2017.09,199100,40160266750000.0,,,,2100.0,2105.0,2000.0,2000.0,2038.122807017544,285,14,580865.0,,,105.0,-100.0
2000-02-09,HCLTECH,EQ,1999.2,2100.0,2100.0,1975.0,1991.0,1999.0,2011.5,180500,36307632250000.0,,,,2039.0,2100.0,2005.0,2025.0,2012.3996620194328,23670,5,47633500.0,,,95.0,-14.0
2000-02-09,HCLTECH,EQ,1999.2,2100.0,2100.0,1975.0,1991.0,1999.0,2011.5,180500,36307632250000.0,,,,1981.0,2060.0,1971.0,1984.75,2003.309288617886,49200,700,98562817.0,,,89.0,3.75
2000-02-10,HCLTECH,EQ,1999.0,1976.65,2014.8,1965.0,1990.0,1996.75,1992.36,76850,15311321250000.0,,,,1990.0,2015.0,1961.0,2000.9,1989.938340318525,59650,854,118699822.0,,,54.0,10.9
2000-02-10,HCLTECH,EQ,1999.0,1976.65,2014.8,1965.0,1990.0,1996.75,1992.36,76850,15311321250000.0,,,,2007.0,2040.0,1925.0,1968.75,1997.0083333333325,240,15,479282.0,,,115.0,-38.25
2000-02-11,HCLTECH,EQ,1996.75,1998.0,2156.5,1992.0,2156.5,2156.5,2110.61,166150,35067806500000.0,,,,2044.0,2160.95,2044.0,2105.0,2134.642617449664,596,24,1272247.0,,,116.95,61.0
2000-02-11,HCLTECH,EQ,1996.75,1998.0,2156.5,1992.0,2156.5,2156.5,2110.61,166150,35067806500000.0,,,,2015.0,2160.95,2000.0,2160.95,2122.74364896074,108250,986,229787000.0,,,160.95,145.95
