Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,HDFC,EQ,271.75,293.5,293.5,293.5,293.5,293.5,293.5,22744,667536400000.0,,,,300.0,308.85,293.05,308.85,302.776160660734,1248793.0,5321.0,378104750.0,,,15.8,8.85
2000-01-04,HDFC,EQ,293.5,317.0,317.0,297.0,304.0,304.05,303.62,255251,7749972375000.0,,,,323.0,323.5,294.0,303.75,304.24231503731323,709535.0,3573.0,215870571.0,,,29.5,-19.25
2000-01-05,HDFC,EQ,304.05,290.0,303.9,285.0,295.0,292.8,294.53,269087,7925367705000.0,,,,299.0,301.0,280.0,292.0,291.78152030181616,504413.0,2787.0,147178392.0,,,21.0,-7.0
2000-01-06,HDFC,EQ,292.8,301.0,314.0,295.0,296.0,296.45,300.14,305916,9181669105000.0,,,,295.0,303.4,292.0,294.1,298.5004813501872,398878.0,2086.0,119065275.0,,,11.4,-0.9
2000-01-07,HDFC,EQ,296.45,290.0,296.35,281.0,287.1,286.55,288.8,197039,5690480500000.0,,,,292.0,294.8,279.3,285.0,285.73694081667185,626494.0,2882.0,179012479.0,,,15.5,-7.0
2000-01-10,HDFC,EQ,286.55,292.0,296.0,285.0,288.4,287.2,289.42,133363,3859778795000.001,,,,300.0,300.0,285.1,287.0,290.29803864714285,241415.0,1253.0,70082301.0,,,14.9,-13.0
2000-01-11,HDFC,EQ,287.2,290.0,292.0,273.25,282.85,283.85,284.54,337411,9600616635000.0,,,,290.0,292.9,272.2,282.45,284.95689430658206,433887.0,1908.0,123639092.0,,,20.7,-7.55
2000-01-12,HDFC,EQ,283.85,287.0,293.0,284.5,285.25,285.6,287.6,222537,6400216900000.0,,,,283.0,291.0,282.0,283.25,286.28467675807946,153662.0,1070.0,43991076.0,,,9.0,0.25
2000-01-13,HDFC,EQ,285.6,288.0,290.5,283.0,284.0,283.85,285.84,113238,3236741395000.0,,,,284.9,288.95,280.0,282.0,284.9787099265194,165758.0,905.0,47237501.0,,,8.95,-2.9
2000-01-14,HDFC,EQ,283.85,284.0,294.0,276.25,291.0,286.55,283.6,152322,4319904740000.0,,,,280.0,292.0,275.1,288.1,281.6159625583296,361095.0,1511.0,101690116.0,,,16.9,8.1
2000-01-17,HDFC,EQ,286.55,302.0,309.5,295.0,303.5,302.2,302.87,500852,15169252255000.002,,,,299.2,311.0,298.0,302.5,304.70458881365545,832372.0,3472.0,253627568.0,,,13.0,3.3
2000-01-18,HDFC,EQ,302.2,307.0,317.85,301.05,305.25,305.75,308.57,369304,11395788435000.0,,,,303.0,318.75,303.0,309.0,309.86872833994187,704638.0,3604.0,218345281.0,,,15.75,6.0
2000-01-18,HDFC,EQ,302.2,307.0,317.85,301.05,305.25,305.75,308.57,369304,11395788435000.0,,,,326.65,326.65,326.65,326.65,326.65,6500.0,1.0,2123225.0,,,0.0,0.0
2000-01-19,HDFC,EQ,305.75,310.0,315.0,303.05,304.5,305.25,308.98,377937,11677647125000.0,,,,311.2,312.0,302.0,302.0,307.5897008493134,428346.0,2316.0,131754818.0,,,10.0,-9.2
2000-01-20,HDFC,EQ,305.25,303.0,306.0,288.0,291.9,291.35,297.57,208122,6193173250000.0,,,,304.0,304.1,288.65,290.0,296.12905730356533,358058.0,1972.0,106031378.0,,,15.45,-14.0
2000-01-21,HDFC,EQ,291.35,292.0,307.0,290.0,299.5,299.55,300.93,591458,17798952630000.0,,,,294.5,306.0,288.0,296.0,299.0073589439783,868467.0,3700.0,259678024.0,,,18.0,1.5
2000-01-24,HDFC,EQ,299.55,306.0,306.0,291.0,294.0,293.05,295.58,207336,6128411875000.0,,,,301.5,306.5,292.0,294.05,299.068912392736,250550.0,1704.0,74931716.0,,,14.5,-7.45
2000-01-25,HDFC,EQ,293.05,285.0,308.95,281.0,305.5,303.15,299.56,512403,15349366555000.002,,,,290.25,309.25,290.25,307.0,302.65958029565786,668137.0,3893.0,202218064.0,,,19.0,16.75
2000-01-27,HDFC,EQ,303.15,315.9,316.6,309.9,316.6,316.6,316.02,838826,26508714185000.0,,,,309.0,331.55,308.95,331.55,323.7266645919779,1446000.0,5829.0,468108757.0,,,22.6,22.55
2000-01-28,HDFC,EQ,316.6,328.5,328.9,315.0,326.0,324.4,323.32,1224604,39594151950000.0,,,,335.0,338.0,320.5,330.0,329.6308345261118,1305076.0,4834.0,430193291.0,,,17.5,-5.0
