Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,HDFCBANK,EQ,157.4,166.0,170.0,166.0,170.0,170.0,169.52,33259,563812250000.0,,,,165.0,174.4,165.0,174.4,173.13367047512017,112119,518,19411574.0,,,9.4,9.4
2000-01-04,HDFCBANK,EQ,170.0,182.0,183.45,171.0,174.0,173.8,174.99,168710,2952261350000.0,,,,179.5,187.0,170.25,174.0,175.70258513622397,330118,1394,58002586.0,,,16.75,-5.5
2000-01-05,HDFCBANK,EQ,173.8,170.0,173.9,165.0,168.0,166.95,169.2,159820,2704093975000.0,,,,165.5,173.0,162.0,168.5,168.06138734597886,149249,815,25082994.0,,,11.0,3.0
2000-01-06,HDFCBANK,EQ,166.95,168.0,170.0,165.3,168.95,168.3,168.44,85026,1432165990000.0,,,,169.9,170.8,166.0,167.5,168.07990835088518,70268,494,11810639.0,,,4.8,-2.4
2000-01-07,HDFCBANK,EQ,168.3,162.15,171.0,162.15,170.75,168.35,166.79,85144,1420157785000.0,,,,165.0,169.9,162.5,169.5,166.10515992263396,183026,970,30401563.0,,,7.4,4.5
2000-01-10,HDFCBANK,EQ,168.35,172.9,179.5,165.0,166.3,165.9,167.79,100434,1685217295000.0,,,,173.0,178.9,165.1,166.95,168.92651132313375,100723,457,17014785.0,,,13.8,-6.05
2000-01-11,HDFCBANK,EQ,165.9,166.5,167.9,157.0,163.0,163.4,161.4,145784,2352906750000.0,,,,167.5,167.5,157.0,161.5,160.06856556484968,96477,477,15442935.0,,,10.5,-6.0
2000-01-12,HDFCBANK,EQ,163.4,163.75,167.95,162.3,165.1,165.45,163.89,85952,1408657535000.0,,,,161.5,166.2,161.0,164.5,163.15273348693142,65539,446,10692867.0,,,5.2,3.0
2000-01-13,HDFCBANK,EQ,165.45,169.9,169.9,165.0,165.95,165.1,165.26,48276,797787115000.0,,,,164.9,166.9,164.05,165.0,164.67983535361554,88189,433,14522950.0,,,2.85,0.1
2000-01-14,HDFCBANK,EQ,165.1,168.0,168.0,164.0,166.0,165.45,164.68,58152,957654390000.0,,,,165.0,166.0,162.75,165.0,163.67870620650032,76581,462,12534679.0,,,3.25,0.0
2000-01-17,HDFCBANK,EQ,165.45,174.0,178.7,172.05,178.7,178.7,177.96,137404,2445193085000.0,,,,172.0,178.15,170.0,178.15,177.39011460440034,163170,571,28944745.0,,,8.15,6.15
2000-01-18,HDFCBANK,EQ,178.7,178.7,178.7,164.55,168.2,165.7,168.86,255652,4316865450000.0,,,,184.0,184.0,166.0,172.1,170.97352480267602,417334,1715,71353065.0,,,18.0,-11.9
2000-01-19,HDFCBANK,EQ,165.7,172.0,179.0,172.0,179.0,179.0,178.0,349818,6226748135000.0,,,,171.0,185.85,170.1,183.05,182.05769282030622,637757,2295,116108568.0,,,15.75,12.05
2000-01-20,HDFCBANK,EQ,179.0,184.8,184.8,176.0,177.8,178.6,179.03,269098,4817580890000.0,,,,185.0,185.85,175.1,179.0,178.7068950450057,251746,1265,44988746.0,,,10.75,-6.0
