Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,HEROHONDA,EQ,1145.2,1200.0,1236.8,1171.0,1209.95,1207.6,1209.11,10631,1285400800000.0,,,,1170.0,1219.3,1160.0,1207.0,1206.7706844529139,25188.0,411.0,30396140.0,,,59.3,37.0
2000-01-04,HEROHONDA,EQ,1207.6,1200.0,1220.0,1176.0,1200.0,1199.85,1200.93,19849,2383719075000.0,,,,1200.0,1225.0,1180.0,1200.0,1202.2445040565296,15284.0,361.0,18375105.0,,,45.0,0.0
2000-01-05,HEROHONDA,EQ,1199.85,1155.0,1178.0,1140.0,1140.0,1143.8,1159.74,2525,292835460000.0,,,,1176.0,1198.0,1131.0,1145.0,1156.801481481482,6075.0,169.0,7027569.0,,,67.0,-31.0
2000-01-06,HEROHONDA,EQ,1143.8,1183.0,1189.95,1150.25,1165.0,1161.4,1167.29,4375,510688695000.0,,,,1140.0,1190.0,1140.0,1173.1,1173.7862295081968,10675.0,194.0,12530168.0,,,50.0,33.1
2000-01-07,HEROHONDA,EQ,1161.4,1140.0,1140.0,1069.0,1105.0,1106.55,1103.52,9093,1003429065000.0,,,,1173.1,1173.1,1079.3,1092.8,1115.5812155265737,19399.0,464.0,21641160.0,,,93.8,-80.3
2000-01-10,HEROHONDA,EQ,1106.55,1105.05,1135.0,1100.0,1115.1,1126.35,1123.41,11113,1248446415000.0,,,,1094.4,1145.0,1094.4,1120.0,1128.1989725189594,12263.0,180.0,13835104.0,,,50.6,25.6
2000-01-11,HEROHONDA,EQ,1126.35,1100.0,1135.0,1095.0,1130.0,1125.1,1106.96,11333,1254517810000.0,,,,1140.0,1140.0,1093.0,1122.0,1110.0020668447846,19837.0,263.0,22019111.0,,,47.0,-18.0
2000-01-12,HEROHONDA,EQ,1125.1,1176.0,1198.0,1150.0,1180.0,1174.95,1174.81,4353,511395235000.0,,,,1137.0,1187.0,1135.0,1165.0,1160.2746531219027,16144.0,375.0,18731474.0,,,52.0,28.0
2000-01-13,HEROHONDA,EQ,1174.95,1198.0,1198.0,1140.0,1140.0,1146.4,1172.03,7221,846320885000.0,,,,1178.0,1189.95,1135.0,1135.0,1158.7041900647948,11575.0,284.0,13412001.0,,,54.95,-43.0
2000-01-14,HEROHONDA,EQ,1146.4,1194.0,1198.0,1157.5,1190.0,1190.3,1182.32,12898,1524953345000.0,,,,1169.0,1198.0,1156.0,1190.0,1181.0257704513024,46953.0,794.0,55452703.0,,,42.0,21.0
2000-01-14,HEROHONDA,EQ,1146.4,1194.0,1198.0,1157.5,1190.0,1190.3,1182.32,12898,1524953345000.0,,,,1045.75,1045.75,1045.75,1045.75,1045.74,50.0,1.0,52287.0,,,0.0,0.0
2000-01-17,HEROHONDA,EQ,1190.3,1216.0,1285.55,1216.0,1285.55,1285.55,1281.19,44550,5707684640000.0,,,,1216.0,1285.15,1216.0,1285.15,1274.717936694021,29855.0,259.0,38056704.0,,,69.15,69.15
2000-01-18,HEROHONDA,EQ,1285.55,1339.0,1365.0,1270.0,1300.0,1294.65,1295.57,17246,2234342795000.0,,,,1325.0,1350.0,1285.0,1303.0,1300.8953283125445,16996.0,506.0,22110017.0,,,65.0,-22.0
2000-01-18,HEROHONDA,EQ,1285.55,1339.0,1365.0,1270.0,1300.0,1294.65,1295.57,17246,2234342795000.0,,,,1305.0,1305.0,1305.0,1305.0,1305.0,12500.0,1.0,16312500.0,,,0.0,0.0
2000-01-19,HEROHONDA,EQ,1294.65,1300.0,1324.9,1270.0,1274.5,1272.55,1281.66,23057,2955119750000.0,,,,1280.0,1310.0,1265.1,1275.0,1290.7568041116695,8561.0,411.0,11050169.0,,,44.9,-5.0
2000-01-20,HEROHONDA,EQ,1272.55,1275.0,1275.0,1236.3,1245.0,1252.9,1250.91,3987,498736420000.0,,,,1275.0,1275.0,1245.0,1255.0,1255.2294425623652,25976.0,298.0,32605840.0,,,30.0,-20.0
2000-01-21,HEROHONDA,EQ,1252.9,1240.0,1255.5,1235.0,1249.0,1242.55,1242.11,3125,388158500000.0,,,,1250.1,1255.0,1236.0,1240.0,1244.2588235294115,7735.0,288.0,9624342.0,,,19.0,-10.1
2000-01-24,HEROHONDA,EQ,1242.55,1201.0,1260.25,1201.0,1206.7,1212.1,1218.43,2624,319715105000.0,,,,1240.0,1240.0,1210.0,1210.0,1226.4756572541382,2054.0,78.0,2519181.0,,,30.0,-30.0
2000-01-25,HEROHONDA,EQ,1212.1,1201.0,1300.0,1170.0,1300.0,1218.6,1204.0,5056,608743530000.0,,,,1211.0,1211.0,1197.0,1207.0,1200.3264456190934,6243.0,70.0,7493638.0,,,14.0,-4.0
2000-01-27,HEROHONDA,EQ,1218.6,1221.0,1237.0,1183.0,1185.0,1187.3,1199.91,3095,371372150000.0,,,,1215.0,1215.0,1175.1,1175.1,1198.367367367367,3996.0,133.0,4788676.0,,,39.9,-39.9
2000-01-28,HEROHONDA,EQ,1187.3,1180.0,1210.0,1180.0,1199.0,1197.55,1195.63,2427,290179640000.0,,,,1179.0,1209.0,1170.0,1199.8,1198.9080115135525,8338.0,163.0,9996495.0,,,39.0,20.8
2000-01-31,HEROHONDA,EQ,1197.55,1187.0,1195.0,1171.1,1175.0,1175.3,1179.87,1491,175918850000.0,,,,1187.0,1198.0,1175.0,1175.0,1185.6140480591496,2705.0,93.0,3207086.0,,,23.0,-12.0
2000-02-01,HEROHONDA,EQ,1175.3,1160.0,1199.0,1125.0,1125.0,1146.25,1152.45,3516,405200060000.0,,,,1160.0,1178.0,1140.0,1146.75,1156.357142857143,2450.0,91.0,2833075.0,,,38.0,-13.25
2000-02-02,HEROHONDA,EQ,1146.25,1145.0,1169.0,1062.0,1075.0,1068.95,1085.28,21210,2301875870000.0,,,,1140.0,1140.0,1061.05,1065.05,1087.5030754737888,36092.0,408.0,39250161.0,,,78.95,-74.95
2000-02-03,HEROHONDA,EQ,1068.95,1084.7,1099.0,1054.0,1056.0,1059.25,1064.7,13761,1465137715000.0,,,,1076.0,1088.0,1050.0,1059.0,1062.781131096507,46256.0,487.0,49160004.0,,,38.0,-17.0
2000-02-04,HEROHONDA,EQ,1059.25,1060.0,1079.0,1008.0,1031.5,1018.1,1026.8,14853,1525112075000.0,,,,1065.0,1065.0,1006.2,1017.5,1026.59750004976,50241.0,446.0,51577285.0,,,58.8,-47.5
2000-02-07,HEROHONDA,EQ,1018.1,1020.0,1020.0,990.0,1000.0,995.35,997.62,16078,1603969485000.0,,,,1028.0,1028.0,997.0,1000.0,1003.9778876722007,14155.0,387.0,14211307.0,,,31.0,-28.0
2000-02-08,HEROHONDA,EQ,995.35,1030.0,1030.0,950.0,970.0,962.5,979.05,20385,1995787170000.0,,,,1015.0,1025.0,985.0,999.0,999.6596650067903,11045.0,327.0,11041241.0,,,40.0,-16.0
