Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,HINDALC0,EQ,813.45,851.0,878.5,851.0,869.0,867.45,869.86,33799,2940055005000.0,,,,830.0,869.35,830.0,867.0,866.2241909238834,77434.0,790.0,67075204.0,,,39.35,37.0
2000-01-04,HINDALC0,EQ,867.45,879.0,930.0,870.0,900.0,900.35,903.51,70944,6409848250000.0,,,,887.0,925.0,873.0,900.0,906.6033306873593,185187.0,1540.0,167891151.0,,,52.0,13.0
2000-01-05,HINDALC0,EQ,900.35,835.0,972.4,835.0,972.4,972.35,949.32,153030,14527435500000.0,,,,890.5,971.95,845.0,971.95,944.5246984150784,320142.0,2269.0,302382026.0,,,126.95,81.45
2000-01-06,HINDALC0,EQ,972.35,1050.15,1050.15,1015.1,1045.0,1048.45,1047.08,129708,13581441355000.002,,,,995.0,1049.65,995.0,1049.65,1042.8380293991538,188917.0,1428.0,197009832.0,,,54.65,54.65
2000-01-07,HINDALC0,EQ,1048.45,1096.0,1120.0,1015.0,1086.0,1094.95,1085.24,138829,15066226300000.0,,,,1040.0,1120.0,1039.0,1090.0,1084.8997801454423,177390.0,1996.0,192450372.0,,,81.0,50.0
2000-01-10,HINDALC0,EQ,1094.95,1124.0,1124.0,1015.0,1028.0,1022.9,1040.73,43684,4546304000000.0,,,,1095.0,1130.0,1010.0,1030.0,1051.8682366679643,77070.0,991.0,81067485.0,,,120.0,-65.0
2000-01-11,HINDALC0,EQ,1022.9,1022.0,1055.0,970.0,985.0,993.25,1016.35,64490,6554410615000.0,,,,1049.0,1060.0,965.0,980.0,1016.2576940781238,123829.0,1276.0,125842174.0,,,95.0,-69.0
2000-01-12,HINDALC0,EQ,993.25,1010.0,1017.0,960.0,970.0,971.35,987.17,11011,1086970965000.0,,,,997.0,1010.0,960.0,970.0,985.2769266843833,12794.0,271.0,12605633.0,,,50.0,-27.0
2000-01-13,HINDALC0,EQ,971.35,965.0,1049.1,965.0,975.0,975.85,1001.73,26722,2676829160000.0,,,,989.0,1047.55,960.0,978.0,1010.9283661085002,43834.0,555.0,44313034.0,,,87.55,-11.0
2000-01-14,HINDALC0,EQ,975.85,980.0,988.0,925.0,947.0,944.1,954.46,15191,1449923675000.0,,,,985.0,985.0,931.2,941.0,954.1116499845216,48455.0,472.0,46231480.0,,,53.8,-44.0
