Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,INDUSINDBK,EQ,26.8,28.9,28.95,28.0,28.95,28.95,28.69,107224.0,307582690000.0,,,,27.0,27.5,27.0,27.5,27.16666666666666,1200.0,8.0,32600.0,,,0.5,0.5
2000-01-04,INDUSINDBK,EQ,28.95,30.85,31.25,27.9,30.6,30.25,29.12,182693.0,532073100000.0,,,,29.0,29.65,27.0,29.65,28.930762807527564,129338.0,346.0,3741847.0,,,2.65,0.65
2000-01-05,INDUSINDBK,EQ,30.25,29.9,30.0,27.85,28.45,28.15,28.72,162820.0,467571720000.0,,,,29.0,29.9,28.0,28.25,28.690492788461537,83200.0,228.0,2387049.0,,,1.9,-0.75
2000-01-06,INDUSINDBK,EQ,28.15,29.25,29.35,27.95,27.95,28.0,28.55,87901.0,251000680000.0,,,,28.1,29.0,28.05,28.1,28.399386293897038,58660.0,191.0,1665908.0,,,0.95,0.0
2000-01-07,INDUSINDBK,EQ,28.0,27.2,28.0,26.5,27.2,27.05,27.09,65684.0,177918970000.0,,,,28.75,28.95,26.0,27.0,26.74690949227373,90600.0,281.0,2423270.0,,,2.95,-1.75
2000-01-10,INDUSINDBK,EQ,27.05,28.0,28.05,27.15,27.45,27.5,27.68,87142.0,241182330000.0,,,,29.0,29.0,27.5,27.55,28.145413223936373,51921.0,162.0,1461338.0,,,1.5,-1.45
2000-01-11,INDUSINDBK,EQ,27.5,28.0,28.0,26.0,27.0,26.35,26.52,186472.0,494532610000.0,,,,28.2,28.5,26.05,26.5,26.837885969478606,36499.0,84.0,979556.0,,,2.45,-1.7
2000-01-12,INDUSINDBK,EQ,26.35,27.4,27.4,26.65,27.3,27.1,26.93,72140.0,194259125000.0,,,,26.9,27.0,26.25,27.0,26.63280802292264,34900.0,105.0,929485.0,,,0.75,0.1
2000-01-13,INDUSINDBK,EQ,27.1,27.0,27.5,26.55,26.8,26.7,27.07,89730.0,242881680000.0,,,,27.95,27.95,26.1,26.25,26.754836248012715,78625.0,214.0,2103599.0,,,1.85,-1.7
2000-01-14,INDUSINDBK,EQ,26.7,26.5,26.7,25.65,26.0,25.95,26.04,66070.0,172028850000.0,,,,26.15,27.2,25.5,25.75,25.795484261501212,82600.0,235.0,2130707.0,,,1.7,-0.4
2000-01-17,INDUSINDBK,EQ,25.95,27.95,28.05,27.95,28.05,28.05,28.05,122350.0,343191250000.0,,,,27.8,27.8,27.8,27.8,27.8,3800.0,12.0,105640.0,,,0.0,0.0
2000-01-18,INDUSINDBK,EQ,28.05,30.25,30.3,27.3,28.0,27.8,28.75,389710.0,1120547125000.0,,,,30.0,30.0,27.75,28.35,28.904747941154604,242126.0,539.0,6998591.0,,,2.25,-1.65
2000-01-19,INDUSINDBK,EQ,27.8,28.5,30.0,27.65,30.0,29.7,28.72,268997.0,772552870000.0,,,,28.25,30.0,27.55,30.0,28.416739150131374,220740.0,483.0,6272711.0,,,2.45,1.75
2000-01-20,INDUSINDBK,EQ,29.7,29.9,31.4,29.15,30.9,30.6,30.01,281868.0,846013819999.9999,,,,30.25,31.5,29.5,30.55,29.96461812484097,149342.0,439.0,4474976.0,,,2.0,0.3
2000-01-21,INDUSINDBK,EQ,30.6,30.9,30.9,29.25,30.5,30.3,29.86,225437.0,673254235000.0,,,,31.0,31.45,29.15,30.5,29.91406310539404,141953.0,372.0,4246391.0,,,2.3,-0.5
2000-01-24,INDUSINDBK,EQ,30.3,28.6,32.0,28.6,29.05,29.1,29.65,141305.0,418927030000.0,,,,31.5,31.5,29.0,29.5,29.82753716871364,77350.0,237.0,2307160.0,,,2.5,-2.0
2000-01-25,INDUSINDBK,EQ,29.1,29.0,29.6,28.1,29.5,29.1,28.75,191270.0,549897610000.0,,,,29.0,30.0,28.0,29.1,29.22807930120718,101890.0,285.0,2978049.0,,,2.0,0.1
2000-01-27,INDUSINDBK,EQ,29.1,30.5,31.45,30.0,31.45,31.45,31.39,77448.0,243136960000.0,,,,29.8,31.4,29.8,31.4,31.269521337946934,34680.0,89.0,1084427.0,,,1.6,1.6
2000-01-28,INDUSINDBK,EQ,31.45,34.0,34.0,34.0,34.0,34.0,34.0,51944.0,176609600000.0,,,,33.9,33.9,33.9,33.9,33.84539022072024,47345.0,103.0,1602410.0,,,0.0,0.0
2000-01-31,INDUSINDBK,EQ,34.0,36.5,36.75,36.5,36.75,36.75,36.75,159195.0,585024125000.0,,,,36.6,36.6,36.6,36.6,36.52591656131479,16611.0,49.0,606732.0,,,0.0,0.0
2000-02-01,INDUSINDBK,EQ,36.75,39.65,39.7,35.5,39.7,39.7,39.03,729559.0,2847736975000.0,,,,39.5,39.5,35.0,39.5,38.89145324440592,378436.0,778.0,14717926.0,,,4.5,0.0
2000-02-02,INDUSINDBK,EQ,39.7,42.9,42.9,42.9,42.9,42.9,42.9,105148.0,451084920000.0,,,,42.65,42.65,42.65,42.65,42.513394573809016,46810.0,120.0,1990052.0,,,0.0,0.0
2000-02-03,INDUSINDBK,EQ,42.9,45.7,46.35,40.45,41.0,41.25,43.77,1141249.0,4994817475000.0,,,,46.05,46.05,40.1,41.15,43.742805138401785,600498.0,1998.0,26267467.0,,,5.95,-4.9
2000-02-04,INDUSINDBK,EQ,41.25,42.0,42.0,37.95,38.5,38.7,39.07,507695.0,1983802290000.0,,,,41.0,42.5,37.9,38.1,38.681690976324994,418078.0,1394.0,16171964.0,,,4.6,-2.9
2000-02-07,INDUSINDBK,EQ,38.7,38.9,41.25,36.35,39.6,40.45,39.17,543292.0,2127834865000.0,,,,39.9,41.1,37.0,40.0,39.66494289093593,463324.0,1267.0,18377720.0,,,4.1,0.1
2000-02-08,INDUSINDBK,EQ,40.45,39.0,40.0,37.25,37.25,37.25,37.87,312719.0,1184272765000.0,,,,40.5,40.5,36.85,36.85,38.06482584160343,256950.0,666.0,9780757.0,,,3.65,-3.65
2000-02-09,INDUSINDBK,EQ,37.25,35.0,37.0,34.3,34.3,34.3,34.83,312438.0,1088218775000.0,,,,34.0,37.95,33.95,33.95,34.45739336090368,153063.0,502.0,5274152.0,,,4.0,-0.05
2000-02-10,INDUSINDBK,EQ,34.3,32.0,36.35,32.0,36.25,35.7,34.28,277726.0,951956965000.0,,,,31.3,36.0,31.3,36.0,33.6606028690273,150016.0,508.0,5049629.0,,,4.7,4.7
2000-02-11,INDUSINDBK,EQ,35.7,36.9,38.6,33.8,38.6,36.75,35.81,303244.0,1086059850000.0,,,,35.0,38.85,33.4,38.85,35.4842156210297,330580.0,854.0,11730372.0,,,5.45,3.85
2000-02-14,INDUSINDBK,EQ,36.75,37.0,39.7,36.0,39.7,39.45,39.08,487791.0,1906241120000.0,,,,41.5,41.9,37.0,40.4,40.000705933046376,436302.0,1279.0,17452388.0,,,4.9,-1.1
2000-02-15,INDUSINDBK,EQ,39.45,39.0,39.5,36.5,36.75,36.95,37.65,267457.0,1006953380000.0,,,,39.0,39.8,37.2,37.5,38.133906358921216,156363.0,530.0,5962732.0,,,2.6,-1.5
2000-02-16,INDUSINDBK,EQ,36.95,36.8,39.7,36.8,39.0,39.1,38.42,201526.0,774301015000.0,,,,38.25,40.0,36.7,39.25,38.77810694636365,196117.0,606.0,7605046.0,,,3.3,1.0
