Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2012-12-28,INFRATEL,EQ,220.0,200.0,200.85,188.65,191.0,191.65,194.06,35351056,686009974700000.0,210800,12889842,0.3646,200.0,200.0,188.7,191.2,193.57808952640443,14942452,102735,2892531311.0,4184808.0,28.01,11.3,-8.8
2012-12-31,INFRATEL,EQ,191.65,191.85,195.5,188.25,193.65,193.7,193.51,6021827,116525629409999.98,49322,2405884,0.3995,184.9,195.35,184.9,192.85,193.0591640917628,1604267,18955,309718446.0,316247.0,19.71,10.45,7.95
2013-01-01,INFRATEL,EQ,193.7,194.7,199.8,194.0,197.65,197.75,197.64,2619486,51771639640000.0,20341,463798,0.1771,193.3,199.8,192.85,197.7,197.40289250416924,714744,8140,141092533.0,174472.0,24.41,6.95,4.4
2013-01-02,INFRATEL,EQ,197.75,198.3,204.35,197.0,202.2,201.5,200.96,5470399,109930966990000.02,48231,1864671,0.34090000000000004,198.5,204.3,196.7,201.0,200.99814657080802,1867889,19195,375442227.0,427674.0,22.9,7.6,2.5
2013-01-03,INFRATEL,EQ,201.5,200.0,206.5,200.0,204.7,204.35,204.11,3626134,74011411145000.0,46634,1996559,0.5506000000000001,201.2,206.4,201.2,204.3,204.2092565537053,973991,13459,198897978.0,398214.0,40.88,5.2,3.1
2013-01-04,INFRATEL,EQ,204.35,205.0,210.0,202.35,207.0,207.15,207.22,4188477,86792786025000.0,44753,2676489,0.639,205.0,210.0,203.1,207.1,207.38491899710118,826205,9890,171342457.0,198107.0,23.98,6.9,2.1
2013-01-07,INFRATEL,EQ,207.15,207.85,209.0,206.1,207.0,207.4,207.99,2632614,54755197304999.99,56183,1713868,0.6509999999999999,208.5,209.35,206.05,207.4,208.03709254079087,695315,11115,144651311.0,379482.0,54.58,3.3,-1.1
2013-01-08,INFRATEL,EQ,207.4,207.55,211.05,201.7,203.2,202.95,206.18,1310534,27020514200000.0,20400,567152,0.4328,207.6,211.0,201.8,203.2,205.72447765438386,534512,7542,109962202.0,168101.0,31.45,9.2,-4.4
2013-01-09,INFRATEL,EQ,202.95,204.25,207.9,203.3,204.95,205.05,205.71,1316038,27072465965000.0,11772,772604,0.5871000000000001,204.4,207.85,203.5,204.95,205.44492474701596,696783,4564,143150531.0,387635.0,55.63,4.35,0.55
2013-01-10,INFRATEL,EQ,205.05,205.0,207.0,203.0,205.0,205.1,204.98,1061770,21764014065000.0,10621,788799,0.7429000000000001,206.0,207.7,203.45,205.05,204.92432273749668,241856,2098,49562177.0,144812.0,59.88,4.25,-0.95
2013-01-11,INFRATEL,EQ,205.1,204.4,206.8,203.6,205.0,205.45,205.04,560597,11494356750000.0,8898,393312,0.7016,206.0,206.35,203.5,205.65,205.0724529581285,117980,1560,24194448.0,47827.0,40.54,2.85,-0.35
2013-01-14,INFRATEL,EQ,205.45,205.2,208.25,202.9,208.0,207.8,206.23,440016,9074358355000.0,7974,296760,0.6744,205.3,208.0,203.0,207.35,205.85061038040482,63485,1068,13068426.0,17451.0,27.49,5.0,2.05
2013-01-15,INFRATEL,EQ,207.8,207.95,208.65,204.0,205.9,205.25,206.0,308822,6361727655000.0,5387,141542,0.4583,208.5,208.5,203.65,205.15,205.57774810550225,57667,909,11855052.0,18883.0,32.74,4.85,-3.35
2013-01-16,INFRATEL,EQ,205.25,205.85,210.0,202.5,206.65,204.4,206.26,522978,10787117655000.0,6866,233053,0.4456000000000001,206.8,210.0,202.2,203.8,205.75732330286945,100228,1479,20622645.0,18463.0,18.42,7.8,-3.0
2013-01-17,INFRATEL,EQ,204.4,206.6,207.7,204.2,205.0,204.95,205.92,1583997,32618162290000.0,15109,1334349,0.8423999999999999,205.0,207.5,204.15,204.65,205.91484713620042,172114,2449,35440828.0,83116.0,48.29,3.35,-0.35
2013-01-18,INFRATEL,EQ,204.95,206.35,206.65,204.1,205.5,205.0,205.12,1219799,25020644870000.0,8116,1102809,0.9041,205.85,206.3,204.2,205.0,205.09930813456188,92359,1096,18942767.0,46038.0,49.85,2.1,-0.85
