Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,INFOSYSTCH,EQ,14467.75,15625.0,15625.2,15625.0,15625.2,15625.2,15625.18,5137,8026657140000.001,,,,15011.0,15677.5,15011.0,15677.5,15674.866799004105,29722,691,465888391.0,,,666.5,666.5
2000-01-04,INFOSYSTCH,EQ,15625.2,16800.0,16875.25,16253.0,16875.25,16855.9,16646.38,56186,93529374750000.0,,,,16931.65,16931.65,16000.0,16910.2,16677.783109080137,94536,5826,1576650904.0,,,931.65,-21.45
2000-01-05,INFOSYSTCH,EQ,16855.9,15701.0,16250.0,15507.45,15507.45,15507.45,15786.38,164605,259851640715000.0,,,,16801.0,16801.0,15557.4,15557.4,15763.695242008518,119252,6821,1879852185.0,,,1243.6,-1243.6
2000-01-06,INFOSYSTCH,EQ,15507.45,15256.65,15300.0,14266.85,14266.85,14266.85,14462.82,81997,118590794075000.0,,,,15300.0,15400.0,14312.85,14312.85,14515.796196535879,70725,3424,1026629686.0,,,1087.15,-987.15
2000-01-07,INFOSYSTCH,EQ,14266.85,13125.5,13125.5,13125.5,13125.5,13125.5,13125.5,7589,9960941950000.0,,,,13168.0,13168.0,13167.85,13167.85,13167.851763409255,5444,348,71685785.0,,,0.15,-0.15
2000-01-10,INFOSYSTCH,EQ,13125.5,13125.5,14175.5,12075.5,13750.0,13757.3,13270.6,236175,313418481875000.0,,,,13250.0,14200.0,12114.45,13700.0,13236.295643988911,286845,12955,3796765224.0,,,2085.55,450.0
2000-01-11,INFOSYSTCH,EQ,13757.3,13200.0,13800.0,12656.75,12656.75,12656.75,12885.28,122331,157626976990000.0,,,,13990.0,13990.0,12604.05,12604.05,12791.576015445344,243957,9464,3120594510.0,,,1385.95,-1385.95
2000-01-12,INFOSYSTCH,EQ,12656.75,11950.0,13349.0,11766.0,13010.0,13077.55,12873.99,203074,261437329065000.0,,,,12000.0,13340.0,11601.0,13001.0,12817.374442383089,166557,10044,2134823435.0,,,1739.0,1001.0
2000-01-13,INFOSYSTCH,EQ,13077.55,13100.0,13149.0,12031.35,12033.0,12090.6,12529.38,156550,196147474930000.0,,,,12950.0,13200.0,11960.95,12026.05,12425.968269578134,99652,7465,1238272590.0,,,1239.05,-923.95
2000-01-14,INFOSYSTCH,EQ,12090.6,12249.0,12297.0,11203.0,12170.0,12176.4,11896.77,125313,149081962870000.0,,,,11962.0,12313.0,11212.0,12081.0,11898.396724040256,142981,9503,1701244662.0,,,1101.0,119.0
2000-01-17,INFOSYSTCH,EQ,12176.4,12200.0,12885.0,11720.0,11773.0,11870.9,12210.99,141351,172603581345000.0,,,,12950.0,12998.0,11751.0,11849.75,12275.190262613833,117054,6972,1436860121.0,,,1247.0,-1100.25
2000-01-18,INFOSYSTCH,EQ,11870.9,11739.7,12169.0,11325.0,11930.0,11935.65,11818.44,158523,187349462225000.0,,,,11800.0,12298.0,11400.0,12240.0,11925.862818537957,127889,9631,1525186670.0,,,898.0,440.0
2000-01-19,INFOSYSTCH,EQ,11935.65,12546.0,12890.5,12420.0,12890.5,12889.85,12765.4,156209,199407049190000.0,,,,12299.0,13190.0,12299.0,12999.25,12766.713886773294,173316,12284,2212675784.0,,,891.0,700.25
2000-01-20,INFOSYSTCH,EQ,12889.85,13200.0,13551.0,12611.0,12739.0,12747.05,13196.1,154520,203906101610000.0,,,,13050.0,13498.0,12590.0,12632.35,13121.09621510757,137494,11847,1804072003.0,,,908.0,-417.65
2000-01-21,INFOSYSTCH,EQ,12747.05,12900.0,13590.0,12503.0,13550.0,13420.2,13122.91,162391,213104283050000.0,,,,12555.0,13600.0,12467.0,13534.5,13045.082678936267,184521,13595,2407091701.0,,,1133.0,979.5
2000-01-24,INFOSYSTCH,EQ,13420.2,13600.0,14489.0,13600.0,13840.1,13878.8,14027.99,197315,276793342375000.0,,,,7299.0,7308.6,7025.0,7150.0,7233.805108846106,278145,12598,2012046722.0,,,283.6,-149.0
2000-01-25,INFOSYSTCH,EQ,13878.8,13800.0,14250.0,13400.05,14190.0,14109.4,13923.52,159919,222663487530000.03,,,,7150.0,7250.0,6910.2,7220.0,7143.180792201185,186695,9449,1333596138.0,,,339.8,70.0
2000-01-27,INFOSYSTCH,EQ,14109.4,7570.0,7600.0,7293.0,7405.0,7390.75,7464.8,202403,151089871040000.0,,,,7200.0,7474.0,7200.0,7308.0,7385.812743332749,188271,9514,1390534351.0,,,274.0,108.0
2000-01-28,INFOSYSTCH,EQ,7390.75,7426.0,7699.0,7426.0,7625.0,7611.55,7592.45,270024,205014462325000.0,,,,7374.0,7600.0,7374.0,7550.0,7510.64353424014,268267,11053,2014857809.0,,,226.0,176.0
