Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,ITC,EQ,656.0,694.0,708.5,675.0,708.5,708.5,701.81,562715,39491742195000.0,,,,710.0,718.15,676.15,718.15,706.5053398692007,896183.0,5366.0,633158075.0,,,42.0,8.15
2000-01-04,ITC,EQ,708.5,714.0,729.0,694.3,710.65,712.35,714.16,712637,50893789485000.0,,,,729.95,735.0,699.0,712.9,713.4019040889874,1211498.0,5447.0,864284980.0,,,36.0,-17.05
2000-01-05,ITC,EQ,712.35,716.25,758.9,660.0,731.0,726.2,732.43,1382149,101232477810000.0,,,,700.65,752.85,679.0,730.0,726.412908389173,1421928.0,7843.0,1032906854.0,,,73.85,29.35
2000-01-06,ITC,EQ,726.2,741.0,784.3,741.0,784.3,784.3,776.63,721618,56042663465000.0,,,,734.0,788.35,734.0,788.35,777.1444372800462,995664.0,4378.0,773774739.0,,,54.35,54.35
2000-01-07,ITC,EQ,784.3,832.4,847.05,824.0,847.05,847.05,841.25,231209,19450459595000.0,,,,797.75,851.4,796.0,851.4,835.2960076928179,633318.0,1666.0,529007997.0,,,55.4,53.65
2000-01-10,ITC,EQ,847.05,911.15,914.85,875.0,914.85,914.85,907.23,1219818,110665283920000.0,,,,919.5,919.5,879.8,919.5,912.723057899385,1610138.0,5441.0,1469610079.0,,,39.7,0.0
2000-01-11,ITC,EQ,914.85,902.0,952.0,866.1,877.0,883.7,908.61,2376154,215900790480000.03,,,,927.45,944.9,867.0,880.0,903.7239949495855,2116262.0,9760.0,1912516749.0,,,77.9,-47.45
2000-01-12,ITC,EQ,883.7,905.0,924.0,870.3,895.0,888.35,891.48,616366,54947542470000.01,,,,878.0,915.0,870.05,893.75,891.9907276400559,607828.0,3628.0,542176940.0,,,44.95,15.75
2000-01-13,ITC,EQ,888.35,900.0,936.0,871.0,876.95,879.75,908.42,667073,60598440045000.01,,,,900.0,935.0,875.0,875.0,906.6466206137801,472645.0,3496.0,428521992.0,,,60.0,-25.0
2000-01-14,ITC,EQ,879.75,879.9,903.7,863.2,894.0,887.55,883.15,575381,50814658380000.0,,,,878.0,903.0,863.5,891.0,884.5374886606746,645982.0,3987.0,571395296.0,,,39.5,13.0
2000-01-17,ITC,EQ,887.55,904.95,904.95,816.55,816.55,817.35,839.35,1763903,148052783255000.0,,,,925.0,925.0,819.75,819.75,848.6566360046259,1042005.0,5580.0,884304458.0,,,105.25,-105.25
2000-01-18,ITC,EQ,817.35,806.0,830.0,796.0,826.5,821.35,816.85,807421,65954576720000.01,,,,819.75,835.0,800.1,833.0,822.6115558083783,442998.0,3504.0,364415274.0,,,34.9,13.25
2000-01-19,ITC,EQ,821.35,830.0,848.0,801.0,822.1,826.1,832.91,426440,35518439735000.0,,,,834.9,846.9,820.0,823.0,831.3727744664485,234045.0,2200.0,194578641.0,,,26.9,-11.9
2000-01-20,ITC,EQ,826.1,830.0,830.0,778.7,785.0,786.1,798.47,485044,38729510965000.0,,,,829.75,830.0,778.0,785.0,801.1599826663777,299995.0,2443.0,240343989.0,,,52.0,-44.75
