Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,KOTAKMAH,EQ,212.35,220.0,229.35,220.0,229.35,229.35,229.13,7086.0,162364030000.0,,,,221.0,223.55,221.0,223.55,206.29903900508762,1769.0,16.0,364943.0,,,2.55,2.55
2000-01-04,KOTAKMAH,EQ,229.35,247.7,247.7,225.25,247.7,246.95,244.12,73681.0,1798729060000.0002,,,,241.4,241.4,225.0,241.4,238.05053820902359,39297.0,209.0,9354672.0,,,16.4,0.0
2000-01-05,KOTAKMAH,EQ,246.95,229.0,240.0,227.2,228.0,228.4,233.75,105799.0,2473093055000.0,,,,241.4,245.0,222.1,231.0,234.9350470957613,40768.0,411.0,9577832.0,,,22.9,-10.4
2000-01-06,KOTAKMAH,EQ,228.4,235.1,239.0,217.0,224.95,225.9,226.84,40202.0,911954590000.0,,,,243.0,244.0,217.0,224.5,227.68957902984542,14039.0,187.0,3196534.0,,,27.0,-18.5
2000-01-07,KOTAKMAH,EQ,225.9,213.0,219.0,207.85,207.85,208.85,209.94,24463.0,513574715000.0001,,,,210.0,218.05,206.55,206.55,208.64953632148377,18116.0,165.0,3779895.0,,,11.5,-3.45
2000-01-10,KOTAKMAH,EQ,208.85,215.0,219.0,192.15,192.15,192.15,196.47,12408.0,243780380000.0,,,,220.0,220.0,190.05,190.05,196.73840251133592,11468.0,87.0,2256196.0,,,29.95,-29.95
2000-01-11,KOTAKMAH,EQ,192.15,180.2,180.2,176.8,176.8,176.8,176.98,15253.0,269947240000.0,,,,192.0,192.0,174.85,174.85,175.21902834008094,4940.0,68.0,865582.0,,,17.15,-17.15
2000-01-12,KOTAKMAH,EQ,176.8,165.0,169.45,162.7,162.7,162.7,163.34,20558.0,335791970000.0,,,,160.9,165.0,160.9,160.9,161.31033034714446,21432.0,187.0,3457203.0,,,4.1,0.0
2000-01-13,KOTAKMAH,EQ,162.7,149.7,175.7,149.7,163.35,167.35,163.83,103323.0,1692772575000.0,,,,152.0,173.75,148.1,164.0,162.7111723631018,27210.0,294.0,4427371.0,,,25.65,12.0
2000-01-14,KOTAKMAH,EQ,167.35,169.0,177.0,156.15,160.5,159.85,161.69,31522.0,509687795000.0,,,,168.85,170.0,155.3,158.5,158.638427984947,23384.0,249.0,3709601.0,,,14.7,-10.35
2000-01-17,KOTAKMAH,EQ,159.85,169.0,170.0,150.15,151.5,153.5,157.22,27217.0,427903845000.0,,,,163.0,168.0,153.8,154.0,160.02265834076718,16815.0,230.0,2690781.0,,,14.2,-9.0
2000-01-18,KOTAKMAH,EQ,153.5,148.25,158.9,147.3,149.25,149.5,151.56,40099.0,607731920000.0,,,,153.5,160.0,152.15,154.0,155.37308050255933,17192.0,254.0,2671174.0,,,7.85,0.5
2000-01-19,KOTAKMAH,EQ,149.5,154.5,161.5,154.0,161.5,161.5,158.69,12701.0,201551245000.0,,,,155.0,166.3,155.0,166.3,161.9806967785633,23623.0,303.0,3826470.0,,,11.3,11.3
2000-01-20,KOTAKMAH,EQ,161.5,174.45,174.45,174.45,174.45,174.45,174.45,4180.0,72920100000.0,,,,175.7,179.55,175.0,179.55,175.82152930115953,19146.0,122.0,3366279.0,,,4.55,3.85
2000-01-21,KOTAKMAH,EQ,174.45,188.4,188.45,182.1,188.45,188.45,187.89,39486.0,741885455000.0,,,,187.0,193.9,180.1,193.9,188.47409918207944,40713.0,449.0,7673346.0,,,13.8,6.9
