Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2003-07-09,MARUTI,EQ,125.0,164.9,170.4,155.0,164.0,164.3,165.95,35164283,583552816185000.0,,8537695.0,0.2428,158.4,170.25,156.1,164.05,165.6017663310627,16127441,72917,2670732716.0,,,14.15,5.65
2003-07-10,MARUTI,EQ,164.3,167.0,168.7,164.5,167.0,167.0,166.74,10464179,174481962120000.0,,4363947.0,0.417,165.95,168.25,164.35,166.95,166.68545805804524,3565356,20210,594292998.0,,,3.9,1.0
2003-07-11,MARUTI,EQ,167.0,167.75,174.85,166.25,173.6,173.35,172.45,11740117,202462154745000.0,,3014852.0,0.25680000000000003,167.5,174.8,166.25,173.4,172.27128929527044,4566262,25626,786635842.0,,,8.55,5.9
2003-07-14,MARUTI,EQ,173.35,174.25,179.25,174.25,178.6,177.95,177.91,5982324,106431310030000.0,,1949217.0,0.3258,175.0,179.2,174.05,178.2,177.76052009436023,2336576,14128,415350965.0,,,5.15,3.2
2003-07-15,MARUTI,EQ,177.95,200.0,200.0,173.0,176.3,176.2,176.88,6173689,109200079040000.02,,1307694.0,0.2118,179.8,181.8,173.0,176.35,176.78598338371128,2368760,16230,418763566.0,,,8.8,-3.45
2003-07-16,MARUTI,EQ,176.2,176.45,179.1,175.35,176.9,177.1,177.59,3759085,66756950310000.0,,1155442.0,0.3074,178.0,179.15,175.5,176.95,177.4747861685181,1189605,8219,211124893.0,,,3.65,-1.05
2003-07-17,MARUTI,EQ,177.1,177.5,178.0,170.65,170.7,172.2,175.48,3814181,66930296870000.01,,1064071.0,0.279,177.2,178.25,170.4,171.4,175.45294623341908,1342358,9721,235520666.0,,,7.85,-5.8
2003-07-18,MARUTI,EQ,172.2,165.0,171.9,160.0,167.4,167.4,167.66,5375212,90119032225000.0,,1427995.0,0.2657,170.0,172.0,164.35,167.45,167.7346589331087,1742708,13573,292312532.0,,,7.65,-2.55
2003-07-21,MARUTI,EQ,167.4,169.0,169.4,163.05,164.0,164.9,166.67,3315845,55266461654999.99,,980379.0,0.2957,168.4,169.5,163.25,164.2,166.56802986609847,1088860,7896,181369265.0,,,6.25,-4.2
2003-07-22,MARUTI,EQ,164.9,164.0,169.15,162.1,168.6,167.25,165.06,4627992,76391242225000.0,,1257167.0,0.2716,164.0,169.2,162.15,167.8,165.0035163035923,1431617,11183,236221839.0,,,7.05,3.8
2003-07-23,MARUTI,EQ,167.25,170.5,178.0,169.8,175.55,174.7,174.54,13262249,231475895185000.0,,2844659.0,0.2145,169.2,178.0,169.05,174.75,174.41129737640892,4618860,26699,805581365.0,,,8.95,5.55
2003-07-24,MARUTI,EQ,174.7,175.9,177.0,172.85,173.65,174.1,174.45,4305936,75115291565000.0,,978929.0,0.2273,174.5,176.75,172.65,174.05,174.4277984171146,1402123,9819,244569228.0,,,4.1,-0.45
2003-07-25,MARUTI,EQ,174.1,174.4,175.0,172.1,174.0,173.65,173.66,2832967,49196036840000.0,,660197.0,0.233,174.7,175.0,172.3,173.65,173.64941631339653,885064,7141,153690847.0,,,2.7,-1.05
2003-07-28,MARUTI,EQ,173.65,188.0,188.0,175.1,179.25,178.85,178.01,5415867,96408533950000.0,,1588110.0,0.2932,175.0,180.45,175.0,179.35,177.95082226703903,2267998,13243,403592109.0,,,5.45,4.35
2003-07-29,MARUTI,EQ,178.85,179.95,182.9,179.1,180.2,180.3,180.93,5229181,94609623670000.0,,1063536.0,0.2034,180.15,182.8,179.15,180.2,180.91338985892276,2731978,15243,494251401.0,,,3.65,0.05
2003-07-30,MARUTI,EQ,180.3,181.25,184.75,180.1,180.25,181.1,182.55,4632246,84560187540000.0,,1030033.0,0.2224,180.8,184.5,179.85,180.9,182.21876924516724,1859233,10670,338787149.0,,,4.65,0.1
2003-07-31,MARUTI,EQ,181.1,181.7,183.65,179.65,181.0,180.85,181.87,3562717,64793564979999.99,,1074106.0,0.3015,181.9,183.6,180.0,180.65,181.77286130107547,1320277,7574,239990528.0,,,3.6,-1.25
2003-08-01,MARUTI,EQ,180.85,182.0,189.0,178.75,188.4,187.15,184.36,8027285,147988403625000.0,,2063463.0,0.2571,181.7,189.0,178.7,187.8,184.41983441095485,3109626,18269,573476712.0,,,10.3,6.1
2003-08-04,MARUTI,EQ,187.15,187.85,198.5,185.0,197.5,197.6,194.65,9982429,194308419325000.0,,2693583.0,0.2698,187.15,198.7,186.55,197.95,194.59875653138843,4231872,24297,823517029.0,,,12.15,10.8
2003-08-05,MARUTI,EQ,197.6,199.0,203.45,192.85,193.85,193.6,198.15,9651327,191243411805000.0,,1620470.0,0.1679,198.1,203.5,192.8,193.9,197.99906481233205,3815277,23624,755421278.0,,,10.7,-4.2
2003-08-06,MARUTI,EQ,193.6,191.5,197.5,189.85,191.75,191.6,193.45,7451054,144143452865000.0,,967268.0,0.1298,192.9,197.35,189.6,191.75,193.1285656564237,2846180,18556,549678661.0,,,7.75,-1.15
2003-08-07,MARUTI,EQ,191.6,193.5,196.0,192.25,195.7,195.4,194.27,3223676,62627593460000.0,,385620.0,0.1196,192.0,195.95,190.8,195.3,194.17493765871876,1177791,8517,228697494.0,,,5.15,3.3
2003-08-08,MARUTI,EQ,195.4,197.0,198.9,196.0,197.5,197.15,197.37,2530289,49939316385000.0,,437784.0,0.173,196.7,198.5,196.0,197.05,197.36311012514545,849252,6989,167611016.0,,,2.5,0.35
2003-08-11,MARUTI,EQ,197.15,198.1,203.8,196.0,201.8,202.2,201.71,5651311,113992705690000.02,,1265689.0,0.224,197.1,204.1,194.95,202.65,201.73428361061562,2587315,14813,521950138.0,,,9.15,5.55
2003-08-12,MARUTI,EQ,202.2,203.8,212.0,203.5,210.8,210.45,207.77,8215213,170688085400000.0,,2203451.0,0.2682,203.4,212.0,203.4,210.85,207.65090307524846,3348835,20230,695388612.0,,,8.6,7.45
2003-08-13,MARUTI,EQ,210.45,213.0,219.5,212.0,218.5,217.8,215.87,7839204,169225236205000.0,,1901575.0,0.2426,212.3,219.6,211.25,218.05,215.8304280021928,3055475,21125,659464477.0,,,8.35,5.75
2003-08-14,MARUTI,EQ,217.8,223.0,224.4,215.0,217.75,216.55,220.36,6298655,138799640305000.0,,1355058.0,0.2151,221.0,224.55,215.0,216.95,220.23979656408451,2939304,18547,647351715.0,,,9.55,-4.05
2003-08-18,MARUTI,EQ,216.55,218.1,221.0,215.4,218.25,216.9,217.99,3382031,73724577785000.0,,611465.0,0.1808,217.5,220.85,215.4,217.15,217.8292807876198,1342983,9526,292541021.0,,,5.45,-0.35
2003-08-19,MARUTI,EQ,216.9,219.85,219.9,215.0,215.3,215.65,216.41,3080091,66657748229999.99,,1069345.0,0.3472,219.9,220.0,215.0,215.85,216.53491593684632,1152110,7495,249472042.0,,,5.0,-4.05
2003-08-20,MARUTI,EQ,215.65,217.4,226.45,217.3,226.0,225.0,222.96,6049174,134870017690000.02,,1340738.0,0.2216,218.0,228.0,216.4,225.55,223.04931536877405,2600305,15904,579996250.0,,,11.6,7.55
2003-08-21,MARUTI,EQ,225.0,227.0,228.9,223.3,228.1,227.95,226.97,4012069,91062556560000.0,,1079196.0,0.26899999999999996,226.6,228.8,223.25,228.0,226.61290771448427,2220641,12392,503225914.0,,,5.55,1.4
2003-08-22,MARUTI,EQ,227.95,228.05,232.8,225.9,229.2,229.3,229.44,4436016,101781757505000.0,,914376.0,0.2061,228.0,232.8,226.0,229.5,229.41337458887278,1960464,12555,449756662.0,,,6.8,1.5
2003-08-25,MARUTI,EQ,229.3,230.0,231.45,216.1,220.5,221.05,222.47,4827198,107392371880000.0,,1391187.0,0.2882,230.0,231.7,216.2,220.5,222.71391210999957,1838844,11822,409536141.0,,,15.5,-9.5
2003-08-26,MARUTI,EQ,221.05,217.0,235.0,217.0,234.75,232.45,228.74,3968069,90764284990000.0,,966245.0,0.2435,219.1,235.45,219.1,233.85,228.6993425268662,1665011,12586,380786921.0,,,16.35,14.75
2003-08-27,MARUTI,EQ,232.45,235.4,237.6,233.0,233.5,234.3,235.26,2267859,53353969540000.0,,493876.0,0.2178,235.0,237.45,232.2,233.85,235.1275877005764,951134,7051,223637843.0,,,5.25,-1.15
2003-08-28,MARUTI,EQ,234.3,235.75,235.75,226.0,228.1,228.05,229.17,3554363,81453978085000.0,,1088383.0,0.3062,236.0,236.0,226.0,227.95,229.18446603562958,1197711,8802,274496756.0,,,10.0,-8.05
