Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,M&M,EQ,419.75,453.3,453.35,448.9,453.35,453.35,453.18,67195,3045173830000.0,,,,440.0,453.55,437.0,453.55,453.0633954749128,108462,335,49140162.0,,,16.55,13.55
2000-01-04,M&M,EQ,453.35,489.6,489.65,489.6,489.65,489.65,489.65,37470,1834710050000.0,,,,480.0,489.8,463.0,489.8,489.641102338652,127039,507,62203516.0,,,26.8,9.8
2000-01-05,M&M,EQ,489.65,528.85,528.85,451.15,519.0,514.85,521.37,227621,11867452450000.0,,,,489.8,528.95,450.65,525.0,519.0873032195342,427888,2219,222111228.0,,,78.3,35.2
2000-01-06,M&M,EQ,514.85,528.0,550.0,518.0,521.0,524.55,538.27,198870,10704557575000.0,,,,526.85,548.0,515.6,518.0,534.7914879375718,245017,2298,131033006.0,,,32.4,-8.85
2000-01-07,M&M,EQ,524.55,515.0,522.0,490.0,498.9,496.4,508.09,91052,4626257510000.0,,,,534.0,534.0,491.1,497.95,506.23767835573926,203666,1453,103103403.0,,,42.9,-36.05
2000-01-10,M&M,EQ,496.4,509.9,535.0,491.7,495.0,497.2,509.86,83454,4255011195000.001,,,,512.0,537.0,490.0,497.5,509.9683099905236,134017,1307,68344423.0,,,47.0,-14.5
2000-01-11,M&M,EQ,497.2,514.0,537.0,510.1,537.0,532.8,527.14,250382,13198633825000.0,,,,507.0,537.25,507.0,534.0,531.08537118503,546695,2550,290341717.0,,,30.25,27.0
2000-01-12,M&M,EQ,532.8,540.0,550.0,490.2,490.2,490.25,515.33,136009,7008983525000.0,,,,537.0,545.0,491.3,491.3,509.99920556609743,197625,1905,100788593.0,,,53.7,-45.7
2000-01-13,M&M,EQ,490.25,516.0,520.0,465.5,502.5,499.0,500.01,85954,4297755935000.0,,,,476.0,516.9,476.0,498.0,495.87199646738253,92849,1011,46041219.0,,,40.9,22.0
2000-01-14,M&M,EQ,499.0,500.0,525.0,490.1,519.0,519.0,510.06,79448,4052359510000.0,,,,499.75,523.8,490.0,519.0,506.5164991678402,124976,1211,63302406.0,,,33.8,19.25
2000-01-17,M&M,EQ,519.0,538.0,560.55,538.0,560.55,560.55,554.58,163004,9039883035000.0,,,,532.0,560.5,530.0,560.5,552.3944870335988,200364,1280,110679969.0,,,30.5,28.5
2000-01-18,M&M,EQ,560.55,570.0,595.95,550.25,590.0,573.95,567.55,293023,16630467540000.0,,,,575.0,599.9,550.0,590.0,571.5727549423682,384077,2966,219527949.0,,,49.9,15.0
2000-01-19,M&M,EQ,573.95,601.0,619.9,572.0,590.0,599.2,604.94,327481,19810765985000.0,,,,597.0,620.0,580.0,595.0,600.1743290169892,406903,3313,244212735.0,,,40.0,-2.0
2000-01-20,M&M,EQ,599.2,597.95,597.95,566.0,575.75,572.35,579.85,107183,6215032095000.0,,,,591.0,596.0,565.0,573.0,579.4410463125844,126769,1502,73455162.0,,,31.0,-18.0
2000-01-21,M&M,EQ,572.35,585.0,585.0,544.0,550.0,550.0,555.65,91545,5086675355000.0,,,,566.0,566.0,544.0,545.5,554.2560904410593,131887,1406,73099173.0,,,22.0,-20.5
2000-01-24,M&M,EQ,550.0,539.1,549.9,511.25,516.0,514.7,529.17,45765,2421753275000.0,,,,544.95,550.25,511.2,518.0,531.4965455033969,104212,1055,55388318.0,,,39.05,-26.95
2000-01-25,M&M,EQ,514.7,516.0,519.75,491.2,510.0,507.25,505.87,91169,4611952550000.0,,,,521.05,525.0,497.1,511.0,510.3818597984422,89999,1189,45933857.0,,,27.9,-10.05
2000-01-27,M&M,EQ,507.25,540.0,540.0,475.0,502.0,499.3,505.17,92630,4679376090000.0,,,,520.0,522.95,480.0,501.1,504.4882252397682,126372,1280,63753186.0,,,42.95,-18.9
2000-01-28,M&M,EQ,499.3,508.0,519.9,500.0,511.0,511.1,507.13,56869,2884018195000.0,,,,498.0,519.0,498.0,513.0,505.7899675399543,112754,1028,57029842.0,,,21.0,15.0
2000-01-31,M&M,EQ,511.1,507.0,517.5,500.0,506.0,507.75,509.54,39681,2021914520000.0,,,,516.0,529.0,504.0,507.0,513.9424800580132,68950,827,35436334.0,,,25.0,-9.0
2000-01-31,M&M,EQ,511.1,507.0,517.5,500.0,506.0,507.75,509.54,39681,2021914520000.0,,,,510.0,510.0,510.0,510.0,510.0,250,1,127500.0,,,0.0,0.0
2000-02-01,M&M,EQ,507.75,509.0,513.75,475.0,490.0,481.95,493.68,134808,6655240360000.0,,,,508.0,515.45,476.0,494.0,490.79095561177536,173920,1343,85358363.0,,,39.45,-14.0
2000-02-02,M&M,EQ,481.95,500.0,520.55,498.0,520.55,520.55,515.8,89805,4632140050000.0,,,,490.0,533.5,490.0,533.5,518.327383132687,245706,1924,127356148.0,,,43.5,43.5
2000-02-03,M&M,EQ,520.55,540.0,558.7,515.05,520.0,519.2,529.31,52038,2754444020000.0,,,,539.0,547.5,515.35,519.0,533.0136404393634,89220,945,47555477.0,,,32.15,-20.0
2000-02-04,M&M,EQ,519.2,516.0,522.9,501.0,507.25,509.2,512.06,31704,1623425545000.0,,,,520.0,522.0,504.1,506.5,510.3322518819563,86612,968,44200897.0,,,17.9,-13.5
2000-02-07,M&M,EQ,509.2,497.0,512.9,497.0,509.0,505.85,507.48,29028,1473124465000.0,,,,495.0,520.0,495.0,510.95,512.4924095056653,49865,547,25555434.0,,,25.0,15.95
2000-02-08,M&M,EQ,505.85,514.9,546.35,514.9,546.35,546.35,532.57,121487,6470010920000.0,,,,510.0,551.8,510.0,551.8,542.4281488450483,346508,1732,187955693.0,,,41.8,41.8
2000-02-09,M&M,EQ,546.35,580.0,589.0,520.0,526.1,529.2,542.49,139867,7587588470000.0,,,,562.0,562.0,521.0,529.0,539.1081983126406,166888,1556,89970689.0,,,41.0,-33.0
2000-02-10,M&M,EQ,529.2,535.25,571.55,535.25,571.55,571.25,567.65,383118,21747850440000.0,,,,539.0,571.3,530.0,571.3,565.7907620263943,333558,2388,188724035.0,,,41.3,32.3
2000-02-11,M&M,EQ,571.25,589.0,616.95,589.0,616.95,616.95,612.31,377618,23121936010000.0,,,,585.0,616.95,580.0,616.95,611.2540405524537,360718,1928,220490335.0,,,36.95,31.95
2000-02-14,M&M,EQ,616.95,659.5,664.0,620.0,645.25,653.8,650.22,424416,27596204135000.004,,,,625.0,664.75,622.0,630.0,650.3601860728899,740570,5138,481637243.0,,,42.75,5.0
2000-02-15,M&M,EQ,653.8,625.0,627.95,601.5,601.5,601.5,609.13,56309,3429959910000.0,,,,634.0,634.0,579.65,581.0,596.6068498495448,187099,1983,111624545.0,,,54.35,-53.0
2000-02-16,M&M,EQ,601.5,609.0,610.0,553.4,553.4,553.4,559.29,18410,1029644520000.0,,,,585.0,585.0,534.55,534.55,539.6828903785145,114421,618,61751056.0,,,50.45,-50.45
2000-02-17,M&M,EQ,553.4,510.25,558.9,509.15,529.4,529.45,531.44,147757,7852428420000.0,,,,515.0,557.8,496.0,520.2,527.1500525833836,250079,2661,131829158.0,,,61.8,5.2
2000-02-18,M&M,EQ,529.45,525.0,538.5,490.2,500.0,496.0,510.45,217637,11109327860000.0,,,,522.5,535.0,495.05,507.75,512.2673445138329,184309,1836,94415482.0,,,39.95,-14.75
2000-02-21,M&M,EQ,496.0,505.0,515.0,492.0,506.0,507.8,502.9,123665,6219104995000.0,,,,515.0,524.5,492.1,507.15,505.5670790958842,315933,1806,159725324.0,,,32.4,-7.85
2000-02-22,M&M,EQ,507.8,491.25,520.0,491.25,514.0,515.4,507.46,252087,12792503235000.0,,,,513.0,527.0,500.0,511.1,513.9845237203028,106744,1171,54864764.0,,,27.0,-1.9
2000-02-23,M&M,EQ,515.4,524.0,555.0,513.0,519.0,514.75,520.31,74152,3858189430000.0,,,,519.9,525.0,508.3,514.1,516.0012595669397,104004,943,53666195.0,,,16.7,-5.8
2000-02-24,M&M,EQ,514.75,525.0,554.8,504.0,517.0,513.8,527.05,158775,8368216365000.001,,,,519.0,555.0,501.0,523.9,527.6517607718835,287090,2252,151483544.0,,,54.0,4.9
2000-02-25,M&M,EQ,513.8,534.0,534.0,490.0,496.0,496.15,499.05,28254,1410008560000.0,,,,521.0,527.0,485.0,490.0,497.1492094577082,173615,1418,86312560.0,,,42.0,-31.0
2000-02-28,M&M,EQ,496.15,490.0,513.0,476.0,507.05,510.25,497.5,62070,3087965755000.0,,,,498.0,515.0,481.0,510.5,499.99921382789375,91583,938,45791428.0,,,34.0,12.5
2000-02-29,M&M,EQ,510.25,503.0,511.95,475.0,480.0,482.15,495.05,105911,5243171325000.0,,,,511.0,515.0,477.0,480.1,499.00095969289833,95864,788,47836228.0,,,38.0,-30.9
2000-03-01,M&M,EQ,482.15,490.0,490.0,444.0,461.95,460.45,465.49,86010,4003656385000.0,,,,474.0,479.0,441.7,467.7,461.66160545685767,155694,1426,71877942.0,,,37.3,-6.3
2000-03-02,M&M,EQ,460.45,470.0,470.1,423.65,423.65,423.7,431.58,118070,5095702745000.0,,,,455.0,466.0,430.3,430.3,440.21757154441167,109757,919,48316960.0,,,35.7,-24.7
2000-03-03,M&M,EQ,423.7,390.0,399.9,389.95,395.5,391.35,392.85,144260,5667284450000.0,,,,422.0,422.0,395.9,395.9,396.36063427307363,145111,658,57516288.0,,,26.1,-26.1
2000-03-06,M&M,EQ,391.35,397.95,408.25,381.5,403.85,402.45,403.43,54213,2187098720000.0,,,,399.0,414.85,399.0,403.0,405.86178541431195,96437,1008,39140093.0,,,15.85,4.0
2000-03-07,M&M,EQ,402.45,393.0,395.0,370.25,370.25,370.3,374.13,37027,1385303620000.0,,,,409.0,409.0,370.8,370.8,376.19125326370767,52088,491,19595050.0,,,38.2,-38.2
2000-03-08,M&M,EQ,370.3,367.1,397.0,345.0,352.0,350.05,373.19,48887,1824417220000.0,,,,372.0,400.0,343.0,346.5,373.1458589085015,83903,927,31308057.0,,,57.0,-25.5
2000-03-09,M&M,EQ,350.05,353.0,353.0,322.05,322.05,322.05,324.85,57892,1880621935000.0,,,,345.0,370.0,318.8,318.8,322.7135271567017,209985,885,67765000.0,,,51.2,-26.2
2000-03-09,M&M,EQ,350.05,353.0,353.0,322.05,322.05,322.05,324.85,57892,1880621935000.0,,,,318.8,318.8,318.8,318.8,318.7999747363104,15833,1,5047560.0,,,0.0,0.0
2000-03-10,M&M,EQ,322.05,329.0,347.85,320.0,347.85,347.85,341.68,84915,2901378975000.0,,,,320.0,344.25,315.05,344.25,333.6072571355433,171886,1263,57342417.0,,,29.2,24.25
2000-03-13,M&M,EQ,347.85,353.7,375.7,345.0,375.7,375.7,369.04,67187,2479458765000.0,,,,357.0,371.75,342.0,371.75,366.10338526959237,60202,443,22040156.0,,,29.75,14.75
2000-03-14,M&M,EQ,375.7,398.7,400.5,375.0,375.0,387.4,390.09,143127,5583238750000.0,,,,377.0,401.45,360.0,367.5,387.6111737026973,150890,1480,58486650.0,,,41.45,-9.5
2000-03-15,M&M,EQ,387.4,384.9,384.9,356.45,356.45,356.45,358.76,16755,601108940000.0,,,,365.0,366.95,338.15,338.15,342.17594527967776,144005,616,49275047.0,,,28.8,-26.85
2000-03-16,M&M,EQ,356.45,335.0,350.0,327.95,327.95,327.95,337.27,80436,2712830490000.0,,,,317.1,348.0,311.1,312.1,313.9217191240689,375098,1420,117751409.0,,,36.9,-5.0
2000-03-21,M&M,EQ,327.95,328.0,354.2,323.0,354.2,350.45,351.76,74529,2621641895000.0,,,,319.0,337.05,312.0,337.05,333.4199210388621,21023,184,7009487.0,,,25.05,18.05
2000-03-22,M&M,EQ,350.45,357.0,378.5,355.0,373.5,369.2,369.91,211467,7822359615000.001,,,,356.0,364.0,353.0,364.0,360.77346854756723,119021,750,42939619.0,,,11.0,8.0
2000-03-23,M&M,EQ,369.2,380.0,382.0,339.7,339.7,339.7,355.21,27793,987241675000.0,,,,369.0,375.0,334.9,334.9,345.12696539223543,71169,761,24562341.0,,,40.1,-34.1
2000-03-24,M&M,EQ,339.7,327.1,335.0,316.0,334.9,330.25,326.73,72299,2362193625000.0,,,,320.0,334.0,311.0,330.05,321.96195864915853,112404,1026,36189812.0,,,23.0,10.05
2000-03-27,M&M,EQ,330.25,335.0,352.95,335.0,340.0,339.65,343.29,83845,2878285645000.0,,,,345.0,353.0,338.0,340.0,343.1493043973078,101926,1114,34975836.0,,,15.0,-5.0
2000-03-28,M&M,EQ,339.65,356.5,365.0,344.5,350.0,348.9,351.99,87565,3082228210000.0,,,,345.0,367.15,342.0,350.0,353.55423291120127,185487,1810,65579714.0,,,25.15,5.0
2000-03-29,M&M,EQ,348.9,358.5,370.5,348.0,350.5,351.45,357.77,151834,5432125850000.0,,,,354.7,363.0,347.0,349.1,355.40949737897006,207552,2378,73765952.0,,,16.0,-5.6
2000-03-29,M&M,EQ,348.9,358.5,370.5,348.0,350.5,351.45,357.77,151834,5432125850000.0,,,,360.0,360.0,360.0,360.0,360.0,50000,1,18000000.0,,,0.0,0.0
2000-03-30,M&M,EQ,351.45,341.1,341.1,323.35,327.75,325.65,325.75,96674,3149128945000.0,,,,342.1,342.1,321.2,324.0,323.67325070038487,120291,904,38934979.0,,,20.9,-18.1
2000-03-31,M&M,EQ,325.65,324.0,324.95,308.5,321.0,317.85,315.11,164694,5189628085000.0,,,,306.0,325.0,306.0,322.0,314.7074322317906,235730,1947,74185983.0,,,19.0,16.0
2000-04-03,M&M,EQ,317.85,319.0,329.0,292.45,292.45,292.7,312.19,75503,2357164975000.0,,,,338.9,338.9,296.25,296.25,314.69944368969584,100843,1004,31735236.0,,,42.65,-42.65
2000-04-04,M&M,EQ,292.7,271.0,305.0,269.3,296.3,296.7,285.39,201547,5751917610000.0,,,,273.0,304.0,272.6,298.0,283.81335105170393,179851,2209,51044115.0,,,31.4,25.0
2000-04-05,M&M,EQ,296.7,302.0,320.4,292.1,320.4,315.5,309.7,251775,7797397884999.999,,,,300.0,319.0,292.0,319.0,306.49916177002984,179545,2083,55030392.0,,,27.0,19.0
2000-04-06,M&M,EQ,315.5,320.0,324.0,297.0,316.0,314.4,305.41,207445,6335495100000.0,,,,319.75,322.9,298.1,316.0,304.4616401815688,263922,1680,80354125.0,,,24.8,-3.75
2000-04-07,M&M,EQ,314.4,319.0,339.55,319.0,339.55,339.55,330.55,160458,5303913820000.0,,,,318.0,341.25,313.0,341.25,331.2940172914293,190499,1910,63111179.0,,,28.25,23.25
2000-04-10,M&M,EQ,339.55,340.0,364.95,340.0,355.6,355.15,355.39,207932,7389794945000.0,,,,352.0,366.0,346.1,355.6,356.2908044669127,184557,1994,65755962.0,,,19.9,3.6
2000-04-11,M&M,EQ,355.15,350.0,351.0,331.15,348.0,348.45,345.08,55588,1918229390000.0,,,,345.1,353.0,341.0,348.9,346.23965078630897,34592,471,11977122.0,,,12.0,3.8
2000-04-12,M&M,EQ,348.45,345.0,345.0,321.0,325.0,322.85,329.24,83549,2750732820000.0,,,,342.5,342.5,321.0,321.0,328.38607653984667,53593,706,17599195.0,,,21.5,-21.5
2000-04-13,M&M,EQ,322.85,311.0,314.25,303.0,307.6,308.05,308.16,78098,2406666810000.0,,,,300.0,310.0,300.0,308.75,307.7987284886944,84781,870,26095484.0,,,10.0,8.75
2000-04-17,M&M,EQ,308.05,295.25,295.25,283.45,283.65,283.8,283.94,142306,4040692135000.0,,,,290.0,295.95,284.1,284.2,285.38083130572414,118777,1352,33896679.0,,,11.85,-5.8
2000-04-18,M&M,EQ,283.8,290.0,294.95,275.2,283.0,280.0,283.28,108874,3084172075000.0,,,,291.0,295.0,276.55,282.0,284.415992993334,143863,1864,40916938.0,,,18.45,-9.0
2000-04-19,M&M,EQ,280.0,289.0,296.6,280.0,285.1,283.75,285.72,55738,1592545465000.0,,,,287.75,291.0,278.0,285.0,284.12885705094885,80826,921,22964999.0,,,13.0,-2.75
2000-04-20,M&M,EQ,283.75,279.0,290.0,266.0,282.0,282.25,277.26,64949,1800788220000.0,,,,280.0,284.0,264.0,279.0,273.2891459865696,168721,1352,46109618.0,,,20.0,-1.0
2000-04-24,M&M,EQ,282.25,271.5,284.5,271.5,279.8,280.2,279.05,24294,677915295000.0,,,,281.0,283.8,270.25,278.0,278.6389584893963,38713,458,10786950.0,,,13.55,-3.0
2000-04-25,M&M,EQ,280.2,273.0,302.35,267.25,300.0,293.55,280.45,70822,1986236800000.0,,,,271.0,295.0,264.5,292.75,277.9101361150425,114462,1507,31810150.0,,,30.5,21.75
