Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2010-01-08,NESTLEIND,EQ,2512.95,2555.0,2575.0,2475.2,2476.0,2494.65,2529.81,648.0,163931630000.0,,438.0,0.6759000000000001,2528.8,2549.0,2455.5,2470.7,2509.5140342820355,254769,1309,639346381.0,245967.0,96.55,93.5,-58.1
2010-01-11,NESTLEIND,EQ,2494.65,2401.0,2515.0,2400.0,2500.0,2498.95,2494.44,825.0,205790905000.0,,638.0,0.7733,2471.0,2510.0,2471.0,2487.8,2481.981838307641,48784,672,121081002.0,46344.0,95.0,39.0,16.8
2010-01-12,NESTLEIND,EQ,2498.95,2540.0,2540.0,2471.35,2505.0,2502.85,2485.22,68346.0,16985494094999.998,,67695.0,0.9905,2491.0,2515.5,2490.05,2503.45,2499.9676820933405,20484,462,51209338.0,18138.0,88.55,25.45,12.45
2010-01-13,NESTLEIND,EQ,2502.85,2502.85,2540.0,2480.0,2489.8,2489.35,2491.94,1032.0,257168240000.0,,718.0,0.6957,2507.95,2507.95,2470.2,2487.6,2496.9732636148387,20272,302,50618642.0,19094.0,94.19,37.75,-20.35
2010-01-14,NESTLEIND,EQ,2489.35,2535.0,2595.0,2470.0,2560.0,2568.2,2510.27,330361.0,82929564305000.0,,329193.0,0.9965,2500.0,2590.0,2488.35,2572.75,2549.3019270257464,12662,1047,32279261.0,9786.0,77.29,101.65,72.75
2010-01-15,NESTLEIND,EQ,2568.2,2580.0,2580.0,2500.05,2524.8,2513.5,2548.35,8229.0,2097037285000.0,,7303.0,0.8875000000000001,2572.75,2589.9,2511.0,2530.05,2548.8480877647416,6563,717,16728090.0,4776.0,72.77,78.9,-42.7
2010-01-18,NESTLEIND,EQ,2513.5,2574.0,2574.0,2514.0,2542.05,2536.15,2534.76,883.0,223818890000.0,,689.0,0.7803,2531.0,2579.0,2515.0,2540.35,2539.8157104317524,91557,452,232537907.0,88774.0,96.96,64.0,9.35
2010-01-19,NESTLEIND,EQ,2536.15,2567.0,2570.0,2531.0,2550.0,2556.1,2558.84,688.0,176048160000.0,,432.0,0.6279,2563.0,2577.95,2532.0,2568.35,2564.470784270162,4501,423,11542683.0,2852.0,63.36,45.95,5.35
2010-01-20,NESTLEIND,EQ,2556.1,2550.0,2575.0,2540.0,2541.0,2542.5,2552.32,641.0,163603850000.0,,549.0,0.8565,2569.0,2585.0,2540.3,2550.55,2565.6368609696287,5301,481,13600441.0,3508.0,66.18,44.7,-18.45
2010-01-21,NESTLEIND,EQ,2542.5,2539.9,2569.0,2499.9,2512.05,2526.2,2538.36,831.0,210938015000.0,,623.0,0.7497,2540.0,2550.0,2521.0,2528.6,2536.268491252382,5773,363,14641878.0,4373.0,75.75,29.0,-11.4
2010-01-22,NESTLEIND,EQ,2526.2,2500.0,2530.0,2478.0,2530.0,2529.0,2516.42,681.0,171368040000.0,,357.0,0.5242,2530.0,2550.0,2495.0,2517.0,2520.1120533717162,102826,499,259133042.0,100847.0,98.08,55.0,-13.0
2010-01-25,NESTLEIND,EQ,2529.0,2665.35,2665.35,2510.0,2520.0,2522.25,2528.68,1955.0,494357670000.0,,846.0,0.4327,2534.95,2545.0,2502.0,2521.6,2523.4070175438596,25365,705,64006219.0,20116.0,79.31,43.0,-13.35
2010-01-27,NESTLEIND,EQ,2522.25,2570.0,2574.9,2498.6,2535.15,2566.9,2547.51,5302.0,1350687255000.0,,3898.0,0.7352,2491.0,2568.9,2491.0,2553.0,2531.1754675467546,14544,1191,36813416.0,10859.0,74.66,77.9,62.0
2010-01-28,NESTLEIND,EQ,2566.9,2568.0,2610.0,2535.5,2575.0,2586.85,2570.33,1048.0,269370200000.0,,750.0,0.7156,2540.2,2600.0,2530.0,2581.85,2553.8542061386884,10556,979,26958485.0,8058.0,76.34,70.0,41.65
2010-01-29,NESTLEIND,EQ,2586.85,2526.0,2580.0,2526.0,2533.0,2533.0,2556.08,787.0,201163400000.0,,474.0,0.6023,2560.0,2584.0,2550.3,2558.9,2567.514572618173,8166,526,20966324.0,6803.0,83.31,33.7,-1.1
2010-02-01,NESTLEIND,EQ,2533.0,2599.95,2599.95,2515.1,2532.2,2532.2,2546.42,614.0,156350270000.0,,354.0,0.5765,2540.3,2555.0,2540.3,2549.2,2550.7509136913127,3557,219,9073021.0,2787.0,78.35,14.7,8.9
2010-02-02,NESTLEIND,EQ,2532.2,2599.1,2599.1,2540.0,2540.0,2560.1,2565.58,831.0,213199590000.0,,607.0,0.7304,2570.0,2585.0,2549.0,2572.3,2567.1140793930913,49299,1013,126556157.0,48285.0,97.94,36.0,2.3
