Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2004-11-05,NTPC,EQ,62.0,88.0,88.0,70.0,75.55,75.55,73.12,232535736,1700363184890000.0,,115350904,0.4961,70.0,76.15,68.0,75.55,73.25920090570594,103332436,142065,7570051689.0,55128211.0,53.34,8.15,5.55
2004-11-08,NTPC,EQ,75.55,76.8,78.6,75.0,75.15,75.2,76.88,68865277,529402375175000.0,,25571231,0.3713,76.5,78.45,75.0,75.2,76.84141546368517,24002170,54104,1844360717.0,7484598.0,31.18,3.45,-1.3
2004-11-09,NTPC,EQ,75.2,75.1,76.1,74.55,75.25,75.3,75.28,37460886,282023582430000.0,,13585363,0.3627,75.9,76.05,74.55,75.2,75.27386184913935,15346296,26902,1155174965.0,5492057.0,35.79,1.5,-0.7
2004-11-10,NTPC,EQ,75.3,75.5,75.95,75.0,75.05,75.05,75.32,17413433,131158506690000.02,,7039001,0.4042,75.55,75.9,75.0,75.05,75.3277774018583,5615860,12664,423030252.0,2149081.0,38.27,0.9,-0.5
2004-11-11,NTPC,EQ,75.05,75.35,75.4,74.3,74.6,74.45,74.74,15961426,119303674940000.02,,7286922,0.4565,75.7,75.7,74.35,74.45,74.75967425877192,4880684,12184,364878346.0,1730577.0,35.46,1.35,-1.25
2004-11-12,NTPC,EQ,74.45,75.0,82.4,73.65,74.55,74.65,74.74,4253463,31788626040000.0,,1806432,0.4247,74.9,75.25,74.5,74.6,74.72536576777806,1652893,7112,123513034.0,815813.0,49.36,0.75,-0.3
2004-11-16,NTPC,EQ,74.65,74.7,74.8,73.2,73.7,73.65,73.72,13254394,97706507080000.0,,6543421,0.4937,75.0,75.0,73.25,73.65,73.72825164237891,4330304,9707,319265743.0,1631335.0,37.67,1.75,-1.35
2004-11-17,NTPC,EQ,73.65,73.7,75.2,73.5,73.7,73.6,74.23,20036184,148719700100000.0,,7819062,0.3902000000000001,74.0,75.25,73.5,73.65,74.27820125204686,5505385,12572,408930095.0,1501981.0,27.28,1.75,-0.35
2004-11-18,NTPC,EQ,73.6,75.0,79.85,73.5,73.5,73.65,73.8,17954359,132497882330000.0,,9071077,0.5052000000000001,74.0,74.35,73.5,73.65,73.79926590161887,4788459,10344,353384759.0,1855163.0,38.74,0.85,-0.35
2004-11-19,NTPC,EQ,73.65,73.65,74.85,73.5,73.65,73.55,74.08,15895741,117753450300000.0,,8138014,0.512,73.85,74.8,73.5,73.55,73.93145470380884,6551478,11632,484360299.0,3255507.0,49.69,1.3,-0.3
2004-11-22,NTPC,EQ,73.55,73.6,75.05,72.0,74.4,74.45,73.85,28118069,207649208910000.0,,12337075,0.4388,73.75,76.75,72.0,74.35,73.80832649632565,12461592,15417,919769251.0,5301815.0,42.55,4.75,0.6
2004-11-23,NTPC,EQ,74.45,75.0,76.5,74.95,76.1,75.85,75.92,29755772,225906003425000.0,,13668019,0.4593,74.95,76.45,74.8,75.8,75.8396213410813,9786327,18375,742191334.0,3511775.0,35.88,1.65,0.85
2004-11-24,NTPC,EQ,75.85,76.55,78.0,76.2,77.85,77.8,77.38,30821250,238484277075000.0,,14396654,0.4671,76.35,77.95,76.2,77.75,77.37250197367422,9795183,19667,757877816.0,3544390.0,36.19,1.75,1.4
2004-11-25,NTPC,EQ,77.8,77.9,79.0,76.8,76.95,77.05,77.95,23538442,183489368265000.0,,10911931,0.4636,78.25,78.7,76.65,76.85,77.7741963099743,6319414,15615,491487345.0,2265731.0,35.85,2.05,-1.4
2004-11-29,NTPC,EQ,77.05,77.2,78.0,76.75,77.5,77.3,77.27,14201592,109733483615000.02,,6974833,0.4911,77.45,77.95,76.7,77.3,77.24937717774553,4337915,8961,335101232.0,1977292.0,45.58,1.25,-0.15
2004-11-30,NTPC,EQ,77.3,77.9,79.7,76.85,79.25,79.1,78.65,39953911,314250051390000.0,,13741645,0.34390000000000004,77.7,79.7,76.9,79.15,78.72789188403655,15689080,27581,1235168194.0,5379905.0,34.29,2.8,1.45
2004-12-01,NTPC,EQ,79.1,79.5,80.5,79.0,79.65,79.7,79.87,33721820,269348035955000.03,,11855429,0.3516,80.0,80.5,79.05,79.7,79.90266638717671,9421925,25018,752836930.0,2673757.0,28.38,1.45,-0.3
2004-12-02,NTPC,EQ,79.7,80.5,81.35,79.95,80.45,80.45,80.73,18200351,146930685585000.0,,7821712,0.4298,80.1,81.4,79.85,80.45,80.7219950456178,6975239,15881,563055208.0,2641746.0,37.87,1.55,0.35
2004-12-03,NTPC,EQ,80.45,80.75,80.9,79.25,79.6,79.6,79.81,12751825,101774004730000.0,,5811803,0.4558,80.5,80.9,79.15,79.55,79.80005779388055,4630248,9778,369494058.0,1739419.0,37.57,1.75,-0.95
2004-12-06,NTPC,EQ,79.6,81.6,82.1,79.65,80.0,79.9,80.33,10983285,88231675700000.0,,4623672,0.421,81.1,81.1,79.6,79.85,80.30682375378656,3989124,10257,320353878.0,1538760.0,38.57,1.5,-1.25
2004-12-07,NTPC,EQ,79.9,80.2,81.75,79.55,80.65,80.45,80.85,21482990,173693083340000.0,,6017815,0.2801,80.05,81.8,79.55,80.45,80.8228388432002,8925382,16841,721374711.0,2450725.0,27.46,2.25,0.4
2004-12-08,NTPC,EQ,80.45,80.7,81.2,79.55,80.05,80.0,80.44,21705590,174596279345000.0,,9737804,0.4486,81.0,81.2,79.65,80.0,80.39199790459148,7475392,11134,600961698.0,3028864.0,40.52,1.55,-1.0
2004-12-09,NTPC,EQ,80.0,79.9,80.35,79.6,80.0,80.0,80.01,9418563,75353539445000.0,,4402992,0.4675,80.4,80.4,79.6,80.05,80.01187630727347,2813585,6851,225120215.0,1233195.0,43.83,0.8,-0.35
2004-12-10,NTPC,EQ,80.0,81.6,81.6,78.7,78.9,79.0,79.6,9916789,78935457685000.0,,5313935,0.5359,80.25,80.55,78.65,78.95,79.60778954632252,4793758,7556,381620478.0,2825171.0,58.93,1.9,-1.3
2004-12-13,NTPC,EQ,79.0,79.15,80.0,78.85,79.55,79.6,79.5,7050908,56055725954999.99,,2622658,0.3720000000000001,79.1,79.9,78.85,79.5,79.42076096561864,2300577,6450,182713576.0,588667.0,25.59,1.05,0.4
2004-12-14,NTPC,EQ,79.6,80.1,81.75,79.8,81.65,81.6,80.94,16024313,129694700870000.0,,7605128,0.4746,79.9,81.6,79.8,81.45,80.96180834949571,6111938,13039,494833553.0,2176701.0,35.61,1.8,1.55
2004-12-15,NTPC,EQ,81.6,82.0,84.5,81.95,83.9,84.1,83.4,23958928,199819785810000.0,,9502522,0.3966,82.0,84.45,81.5,84.0,83.38282483600449,9286840,22875,774362953.0,3160919.0,34.04,2.95,2.0
2004-12-16,NTPC,EQ,84.1,84.5,85.0,83.5,83.8,83.8,84.0,9719163,81640344685000.0,,3322845,0.3419,90.05,90.05,83.5,83.8,84.0034336075637,3651553,12171,306742990.0,1086187.0,29.75,6.55,-6.25
