Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,111131914445000.0,,,,240.0,252.35,240.0,252.35,249.7068884812228,5731815,10459,1431273689.0,,,12.35,12.35
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,250022190690000.0,,,,255.1,272.5,251.0,272.5,265.15001183504035,11491300,18817,3046918331.0,,,21.5,17.4
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,250022190690000.0,,,,242.5,268.9,242.5,268.9,255.7,1600,2,409120.0,,,26.4,26.4
2000-01-05,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,737369727570000.0,,,,290.75,290.75,272.0,272.0,272.2078515318897,104642,3,28484374.0,,,18.75,-18.75
2000-01-05,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,737369727570000.0,,,,272.0,286.8,253.7,285.5,272.73430959961496,19501032,31545,5318600499.0,,,33.1,13.5
2000-01-06,RELIANCE,EQ,282.5,289.0,300.7,289.0,293.5,294.35,295.45,15682286,463325404090000.0,,,,287.9,299.5,287.9,292.95,294.30025753730644,11969528,21293,3522635173.0,,,11.6,5.05
2000-01-07,RELIANCE,EQ,294.35,295.0,317.9,293.0,314.5,314.55,308.91,19870977,613838765740000.0,,,,293.6,316.35,292.2,313.5,307.6973890770288,15282948,24265,4702523197.0,,,24.15,19.9
2000-01-10,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,419085494795000.0,,,,318.0,325.0,307.0,307.25,314.01066299655633,10577702,20598,3321511218.0,,,18.0,-10.75
2000-01-11,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,371819207090000.0,,,,309.0,312.0,282.7,288.55,297.0979287759956,10047006,17157,2984944673.0,,,29.3,-20.45
2000-01-12,RELIANCE,EQ,288.5,289.0,305.0,282.15,304.7,301.7,294.57,12109507,356708113910000.0,,,,290.0,304.0,282.0,303.8,293.20022242476136,7299547,15758,2140228804.0,,,22.0,13.8
2000-01-12,RELIANCE,EQ,288.5,289.0,305.0,282.15,304.7,301.7,294.57,12109507,356708113910000.0,,,,289.4,291.0,289.4,291.0,289.5238095238095,1050,3,304000.0,,,1.6,1.6
2000-01-13,RELIANCE,EQ,301.7,306.0,316.4,304.1,309.75,311.85,311.79,17076042,532418081645000.0,,,,304.5,315.8,303.75,308.5,310.7134814505096,11374733,24188,3534282891.0,,,12.05,4.0
2000-01-14,RELIANCE,EQ,311.85,309.5,321.65,309.5,317.0,316.3,316.17,13460592,425587852020000.0,,,,310.0,320.5,309.0,315.9,315.21748227031446,12638267,20915,3983802704.0,,,11.5,5.9
2000-01-17,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180,338798432540000.0,,,,318.0,327.0,308.9,309.0,317.8498326024018,6237246,15704,1982507597.0,,,18.1,-9.0
2000-01-18,RELIANCE,EQ,308.75,309.0,318.95,305.55,318.25,314.2,312.14,10083321,314736518215000.0,,,,309.5,322.0,308.0,320.0,315.1276317024989,9552799,17868,3010350925.0,,,14.0,10.5
