Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,SBIN,EQ,225.6,236.0,243.65,234.25,243.65,243.65,240.83,2373228,57153383840000.0,,,,232.4,242.7,232.4,242.7,240.23576902962387,1883445,5038,452470858.0,,,10.3,10.3
2000-01-04,SBIN,EQ,243.65,243.65,262.0,238.85,258.0,259.1,251.46,4495741,113050615659999.98,,,,245.0,261.5,238.5,259.7,252.8141709498761,5845889,10653,1477923581.0,,,23.0,14.7
2000-01-05,SBIN,EQ,259.1,249.0,264.7,245.0,249.05,248.45,252.35,3434058,86660084115000.0,,,,255.6,261.0,240.0,248.7,250.39207587077598,2810252,7113,703664832.0,,,21.0,-6.9
2000-01-06,SBIN,EQ,248.45,252.0,268.0,252.0,260.5,261.0,262.18,6658801,174581740585000.0,,,,250.0,266.95,250.0,259.0,261.00442847257455,5419250,11963,1414448249.0,,,16.95,9.0
2000-01-07,SBIN,EQ,261.0,261.5,279.9,255.0,279.0,273.3,269.02,7873985,211828694020000.0,,,,260.0,278.9,256.55,278.9,267.5966702340527,6158571,12601,1648013093.0,,,22.35,18.9
2000-01-10,SBIN,EQ,273.3,280.0,289.85,265.2,266.0,269.5,279.79,5519316,154424794075000.0,,,,286.05,293.0,267.0,267.0,281.3559585337987,3795959,9115,1068015683.0,,,26.0,-19.05
2000-01-11,SBIN,EQ,269.5,266.8,267.0,247.95,247.95,247.95,254.66,2427606,61821906360000.0,,,,271.0,273.0,245.65,245.65,254.85671507129447,2369677,6631,603928096.0,,,27.35,-25.35
2000-01-12,SBIN,EQ,247.95,244.0,251.5,236.6,244.0,244.75,243.71,2805072,68361624250000.0,,,,242.0,250.5,236.15,243.9,242.75690104624198,1679057,5133,407602674.0,,,14.35,1.9
2000-01-13,SBIN,EQ,244.75,246.0,255.6,243.1,243.15,244.5,250.04,3226776,80683488755000.0,,,,246.0,255.45,243.0,243.5,249.576083823144,2136880,7027,533314142.0,,,12.45,-2.5
2000-01-14,SBIN,EQ,244.5,245.0,245.0,238.1,239.05,239.2,240.55,1506543,36240580640000.0,,,,244.0,245.4,236.55,238.7,239.40999636389301,1501606,4742,359499487.0,,,8.85,-5.3
