Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,SHREECEM,EQ,63.5,68.0,68.0,63.05,63.6,64.75,65.13,30530.0,198842050000.0,,,,66.0,66.95,64.9,65.0,65.81907692307692,13000.0,52.0,855648.0,,,2.05,-1.0
2000-01-04,SHREECEM,EQ,64.75,65.6,66.0,59.6,59.6,59.85,60.7,23525.0,142791950000.0,,,,63.0,63.0,60.0,60.0,60.28942115768464,2505.0,25.0,151025.0,,,3.0,-3.0
2000-01-05,SHREECEM,EQ,59.85,59.1,61.0,59.0,60.0,60.0,60.03,23535.0,141292250000.0,,,,56.0,61.5,56.0,57.75,58.354464285714286,5600.0,25.0,326785.0,,,5.5,1.75
2000-01-06,SHREECEM,EQ,60.0,58.1,62.0,58.1,60.65,60.6,60.52,8931.0,54049825000.0,,,,59.0,59.0,58.0,58.75,58.74516129032257,1550.0,8.0,91055.0,,,1.0,-0.25
2000-01-07,SHREECEM,EQ,60.6,60.0,61.95,57.05,60.6,60.45,60.21,5115.0,30795800000.0,,,,57.0,61.0,57.0,59.1,59.20340909090908,4400.0,13.0,260495.0,,,4.0,2.1
2000-01-10,SHREECEM,EQ,60.45,57.1,60.0,57.0,57.35,57.35,57.5,7001.0,40258465000.0,,,,60.25,60.25,58.0,58.0,59.7,500.0,4.0,29850.0,,,2.25,-2.25
2000-01-11,SHREECEM,EQ,57.35,58.0,58.0,53.0,53.35,54.1,54.66,8923.0,48770045000.0,,,,60.0,60.0,54.05,57.9,56.894792214623884,1901.0,15.0,108157.0,,,5.95,-2.1
2000-01-12,SHREECEM,EQ,54.1,53.4,54.8,53.0,54.4,54.75,54.49,2050.0,11170290000.0,,,,,,,,,,,,,,,
2000-01-13,SHREECEM,EQ,54.75,53.75,53.95,52.7,53.0,52.95,53.55,4250.0,22759250000.0,,,,,,,,,,,,,,,
2000-01-14,SHREECEM,EQ,52.95,55.0,55.0,52.0,54.0,54.0,52.89,1480.0,7828000000.0,,,,53.3,54.25,53.3,54.2,53.87333333333332,1050.0,7.0,56567.0,,,0.95,0.9
