Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,SUNPHARMA,EQ,1699.1,1800.0,1835.05,1760.0,1835.05,1835.05,1825.9,3024,552152475000.0,,,,1757.35,1849.45,1757.35,1849.45,1828.3770155379648,20466.0,554.0,37419564.0,,,92.1,92.1
2000-01-04,SUNPHARMA,EQ,1835.05,1960.0,1960.0,1763.0,1811.5,1810.45,1805.97,5787,1045115490000.0,,,,1900.0,1900.0,1770.0,1795.0,1797.3236017055428,19935.0,430.0,35829646.0,,,130.0,-105.0
2000-01-05,SUNPHARMA,EQ,1810.45,1845.0,1845.0,1740.0,1745.0,1746.9,1766.69,6105,1078563995000.0,,,,1771.0,1772.0,1651.45,1735.0,1741.301633850021,9548.0,256.0,16625948.0,,,120.55,-36.0
2000-01-06,SUNPHARMA,EQ,1746.9,1750.0,1795.0,1735.0,1748.0,1745.2,1749.32,3472,607363240000.0,,,,1770.0,1770.0,1730.0,1733.75,1748.1859402852049,8976.0,199.0,15691717.0,,,40.0,-36.25
2000-01-07,SUNPHARMA,EQ,1745.2,1705.0,1705.0,1605.6,1605.6,1605.6,1621.51,4125,668874015000.0,,,,1651.45,1675.0,1595.1,1609.25,1614.3656213986774,16487.0,288.0,26616046.0,,,79.9,-42.2
2000-01-10,SUNPHARMA,EQ,1605.6,1650.0,1697.0,1478.0,1545.0,1531.85,1581.78,4378,692504815000.0,,,,1651.4,1730.0,1530.0,1535.0,1599.8674289245985,12944.0,287.0,20708684.0,,,200.0,-116.4
2000-01-11,SUNPHARMA,EQ,1531.85,1522.0,1580.0,1410.05,1422.0,1507.2,1519.06,27648,4199903715000.0,,,,1574.0,1598.5,1412.25,1420.0,1503.4547150854028,13934.0,374.0,20949138.0,,,186.25,-154.0
2000-01-12,SUNPHARMA,EQ,1507.2,1471.0,1491.0,1386.65,1386.65,1417.0,1442.89,18892,2725912040000.0,,,,1457.2,1500.0,1310.0,1370.0,1431.351357365376,13482.0,310.0,19297479.0,,,190.0,-87.2
2000-01-13,SUNPHARMA,EQ,1417.0,1400.0,1513.5,1361.0,1480.0,1492.5,1440.53,15735,2266671610000.0,,,,1399.0,1479.55,1375.0,1479.55,1437.5711867480804,16541.0,567.0,23778865.0,,,104.55,80.55
2000-01-14,SUNPHARMA,EQ,1492.5,1475.0,1603.0,1470.0,1590.0,1578.35,1516.88,15237,2311275210000.0,,,,1499.9,1597.9,1465.0,1597.9,1522.7005562655042,26606.0,717.0,40512971.0,,,132.9,98.0
2000-01-17,SUNPHARMA,EQ,1578.35,1670.0,1704.65,1605.0,1704.65,1704.65,1678.31,11777,1976549040000.0,,,,1650.0,1725.0,1631.1,1703.5,1692.051702647455,20057.0,446.0,33937481.0,,,93.9,53.5
2000-01-18,SUNPHARMA,EQ,1704.65,1700.0,1718.0,1615.0,1635.05,1644.75,1664.08,5519,918407635000.0,,,,1700.0,1725.0,1655.0,1662.9,1677.6788151364765,6448.0,229.0,10817673.0,,,70.0,-37.1
2000-01-19,SUNPHARMA,EQ,1644.75,1710.0,1725.0,1650.0,1696.0,1702.3,1700.12,8012,1362133485000.0,,,,1690.0,1725.0,1665.0,1700.0,1696.4032876712326,20075.0,547.0,34055296.0,,,60.0,10.0
2000-01-20,SUNPHARMA,EQ,1702.3,1709.0,1735.0,1666.0,1679.9,1675.35,1708.5,4694,801968325000.0,,,,1705.0,1745.0,1640.0,1665.4,1708.3544751670815,22893.0,624.0,39109359.0,,,105.0,-39.6
2000-01-21,SUNPHARMA,EQ,1675.35,1749.95,1809.4,1730.0,1809.4,1809.4,1778.82,8753,1556997845000.0,,,,1700.0,1798.6,1700.0,1798.6,1766.3706344410878,16550.0,338.0,29233434.0,,,98.6,98.6
2000-01-24,SUNPHARMA,EQ,1809.4,1954.15,1954.15,1877.5,1898.0,1899.25,1937.73,74934,14520208365000.0,,,,1942.45,1942.45,1901.0,1909.35,1936.8105815889464,70273.0,1199.0,136105490.0,,,41.45,-33.1
2000-01-25,SUNPHARMA,EQ,1899.25,1875.0,1980.0,1821.0,1970.0,1944.1,1920.93,17777,3414829410000.0,,,,1881.0,1999.0,1850.0,1997.0,1942.4313599794866,31199.0,1012.0,60601916.0,,,149.0,116.0
2000-01-27,SUNPHARMA,EQ,1944.1,2085.0,2099.6,1847.0,1911.0,1871.7,1992.14,43935,8752465600000.0,,,,1998.0,2080.0,1850.0,1900.0,1984.6851226702167,42064.0,1600.0,83483795.0,,,230.0,-98.0
2000-01-28,SUNPHARMA,EQ,1871.7,1900.0,1974.9,1855.0,1923.0,1928.6,1915.08,35944,6883557550000.0,,,,1930.0,1970.0,1857.0,1920.0,1911.6910417976544,36581.0,1255.0,69931570.0,,,113.0,-10.0
2000-01-31,SUNPHARMA,EQ,1928.6,1980.0,2010.0,1890.0,1950.0,1938.9,1967.01,36041,7089294890000.001,,,,1960.0,2050.0,1950.0,1969.0,1997.48197802562,60343.0,1738.0,120534055.0,,,100.0,9.0
2000-02-01,SUNPHARMA,EQ,1938.9,1970.0,2094.05,1950.0,2094.05,2094.05,2066.17,94932,19614551735000.0,,,,1999.0,2126.5,1979.0,2126.5,2080.0437257272465,93469.0,2187.0,194419607.0,,,147.5,127.5
2000-02-02,SUNPHARMA,EQ,2094.05,2261.6,2261.6,2211.6,2261.1,2261.45,2260.09,120840,27310896315000.0,,,,2296.6,2296.6,2202.0,2233.25,2270.588690668389,123880.0,3029.0,281280527.0,,,94.6,-63.35
2000-02-03,SUNPHARMA,EQ,2261.45,2280.0,2355.0,2149.0,2224.0,2214.75,2229.91,43938,9797774795000.0,,,,2276.0,2282.0,2150.5,2219.5,2220.7417999821246,44756.0,2029.0,99391520.0,,,131.5,-56.5
2000-02-04,SUNPHARMA,EQ,2214.75,2260.0,2288.0,2105.0,2135.0,2137.0,2149.08,31300,6726632190000.001,,,,2128.0,2200.0,2091.0,2091.0,2133.451428462882,52644.0,1790.0,112313417.0,,,109.0,-37.0
2000-02-07,SUNPHARMA,EQ,2137.0,2110.05,2150.0,2091.05,2130.0,2127.3,2130.78,25827,5503171710000.0,,,,2129.0,2198.0,2128.0,2162.0,2152.912026677197,22791.0,927.0,49067018.0,,,70.0,33.0
2000-02-08,SUNPHARMA,EQ,2127.3,2121.0,2285.0,2102.0,2200.0,2237.95,2176.99,76199,16588412235000.0,,,,2180.0,2298.0,2136.1,2240.0,2200.1925995798138,46646.0,1617.0,102630184.0,,,161.9,60.0
2000-02-09,SUNPHARMA,EQ,2237.95,2347.0,2347.0,2149.0,2149.9,2159.9,2209.35,20902,4617979535000.0,,,,2250.0,2280.0,2140.0,2150.0,2190.6274771537123,19478.0,658.0,42669042.0,,,140.0,-100.0
