Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,TELCO,EQ,201.6,207.4,217.25,207.4,217.0,216.75,214.28,676126,14487752460000.0,,,,208.9,217.05,207.0,217.0,214.7598069474077,965540.0,3888.0,207359184.0,,,10.05,8.1
2000-01-04,TELCO,EQ,216.75,217.0,219.0,206.0,211.9,208.2,209.5,679215,14229618694999.998,,,,219.6,219.6,206.0,209.5,210.1979771649144,898442.0,3888.0,188850691.0,,,13.6,-10.1
2000-01-05,TELCO,EQ,208.2,194.0,217.8,194.0,213.1,213.25,210.33,1120951,23576835995000.0,,,,206.0,217.0,195.0,211.9,209.3404716918432,1474522.0,5357.0,308677131.0,,,22.0,5.9
2000-01-06,TELCO,EQ,213.25,215.0,229.9,215.0,222.0,222.1,225.29,1968998,44359324810000.0,,,,215.5,228.8,215.5,221.5,223.8613387175291,2101459.0,7165.0,470435425.0,,,13.3,6.0
2000-01-07,TELCO,EQ,222.1,224.0,239.9,223.1,239.9,239.9,236.32,2199431,51976361765000.0,,,,222.0,239.2,219.0,239.2,234.60838184060898,2400499.0,6724.0,563177186.0,,,20.2,17.2
2000-01-10,TELCO,EQ,239.9,259.0,259.1,248.0,259.1,258.85,257.2,1720542,44253025760000.0,,,,251.0,258.3,250.0,258.3,257.2909859955764,1326081.0,2041.0,341188688.0,,,8.3,7.3
2000-01-11,TELCO,EQ,258.85,260.0,260.0,238.15,238.15,238.15,246.63,1207916,29790818265000.0,,,,265.0,266.0,237.65,237.65,245.37540736236485,1157753.0,3684.0,284084114.0,,,28.35,-27.35
2000-01-12,TELCO,EQ,238.15,240.0,246.0,229.0,242.45,240.25,237.13,938579,22256459195000.0,,,,236.5,243.8,229.2,240.5,236.66527851476712,893274.0,3394.0,211406940.0,,,14.6,4.0
2000-01-13,TELCO,EQ,240.25,243.0,245.0,231.6,233.0,235.45,237.31,565754,13426092590000.0,,,,242.0,245.0,231.5,233.0,236.99628139358168,507986.0,2432.0,120390793.0,,,13.5,-9.0
2000-01-14,TELCO,EQ,235.45,234.95,243.0,233.0,239.8,239.05,239.04,1024725,24495040200000.0,,,,235.0,243.0,233.0,239.0,238.51785071445374,1058361.0,4105.0,252437991.0,,,10.0,4.0
