Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,TISCO,EQ,142.35,148.0,153.2,146.1,152.5,152.45,150.92,2003185,30231643945000.0,,,,147.9,152.9,145.0,152.9,151.0351890251438,2330272,5751,351953072.0,,,7.9,5.0
2000-01-04,TISCO,EQ,152.45,150.1,153.0,143.05,151.95,150.8,151.03,1555136,23487854555000.0,,,,154.0,154.3,147.5,151.85,152.03986906333697,1408009,4182,214073504.0,,,6.8,-2.15
2000-01-05,TISCO,EQ,150.8,144.6,162.9,144.6,158.0,156.55,156.85,3840284,60233642704999.99,,,,151.5,162.8,143.1,156.85,155.72207338142482,3224549,8080,502133456.0,,,19.7,5.35
2000-01-06,TISCO,EQ,156.55,158.95,169.1,158.95,169.0,168.25,167.61,2560449,42915295930000.0,,,,157.0,169.35,157.0,168.0,167.48630351754832,3042460,6729,509570379.0,,,12.35,11.0
2000-01-07,TISCO,EQ,168.25,173.4,179.0,166.3,170.55,171.95,173.89,3641691,63324587285000.0,,,,166.55,178.45,165.0,169.8,173.00605514055087,4186030,8849,724208537.0,,,13.45,3.25
2000-01-10,TISCO,EQ,171.95,173.95,184.9,173.95,179.0,182.25,180.32,4642054,83706263495000.0,,,,177.3,183.35,176.0,179.9,181.24045742136346,3149044,7453,570734175.0,,,7.35,2.6
2000-01-11,TISCO,EQ,182.25,179.0,180.0,167.7,167.7,167.7,170.99,1705968,29170586570000.0,,,,181.0,182.0,165.55,165.55,170.09593407000656,1565054,4688,266209322.0,,,16.45,-15.45
2000-01-12,TISCO,EQ,167.7,165.0,172.0,159.15,166.5,165.3,165.39,2337738,38664964255000.0,,,,160.0,170.5,158.25,166.2,164.40037595253474,1629993,4656,267971462.0,,,12.25,6.2
2000-01-13,TISCO,EQ,165.3,167.9,170.0,156.05,158.7,159.2,163.0,1584803,25831999455000.0,,,,166.4,169.0,156.7,158.0,162.9068781798539,1191289,3796,194069172.0,,,12.3,-8.4
2000-01-14,TISCO,EQ,159.2,161.0,161.9,156.0,159.25,158.7,158.87,1541731,24494183355000.0,,,,159.0,161.0,155.8,159.0,158.56476580534002,1352913,3827,214524333.0,,,5.2,0.0
2000-01-17,TISCO,EQ,158.7,164.95,171.4,163.1,165.5,166.8,168.19,3326270,55944540045000.01,,,,165.8,171.7,165.5,166.5,168.69953579686182,2138288,4895,360728193.0,,,6.2,0.7
2000-01-18,TISCO,EQ,166.8,166.9,176.0,163.25,175.0,172.8,169.43,3516827,59585991685000.0,,,,167.4,176.0,164.0,175.9,170.8441670595727,3514411,7444,600416620.0,,,12.0,8.5
2000-01-19,TISCO,EQ,172.8,177.0,178.0,171.0,171.25,172.85,174.04,2617065,45547525430000.0,,,,176.9,178.9,169.0,170.0,173.65066351702092,2075154,5987,360351869.0,,,9.9,-6.9
2000-01-20,TISCO,EQ,172.85,171.0,179.0,160.7,161.0,163.1,171.22,8257650,141388116435000.0,,,,171.0,178.4,159.5,160.8,170.3985907731959,5551413,13281,945952952.0,,,18.9,-10.2
2000-01-21,TISCO,EQ,163.1,162.7,164.75,159.1,162.0,162.4,162.49,2794941,45415310200000.0,,,,161.0,164.75,158.55,160.4,161.62586126487489,2427244,6540,392305402.0,,,6.2,-0.6
2000-01-24,TISCO,EQ,162.4,163.9,163.9,150.0,150.9,151.15,157.14,2446509,38445557595000.0,,,,162.0,164.8,150.65,151.5,158.096471947757,1889938,6004,298792530.0,,,14.15,-10.5
2000-01-25,TISCO,EQ,151.15,150.0,154.0,147.0,149.0,148.45,150.45,3030257,45591406095000.0,,,,150.0,155.2,148.0,150.45,151.83161270336515,1982026,5887,300934204.0,,,7.2,0.45
2000-01-27,TISCO,EQ,148.45,151.4,153.5,147.5,148.2,148.3,150.04,1466342,22000530650000.0,,,,150.75,152.5,147.2,147.75,149.6150214755287,1263764,3935,189078078.0,,,5.3,-3.0
2000-01-28,TISCO,EQ,148.3,148.0,151.0,143.25,144.5,144.5,146.85,1996632,29320429630000.0,,,,147.05,150.2,142.55,143.7,145.76361164851897,2290832,5102,333919946.0,,,7.65,-3.35
