Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2004-08-25,TCS,EQ,850.0,1198.7,1198.7,979.0,985.0,987.95,1008.32,17116372,1725876095745000.0,,5206360,0.3042,1076.0,1080.0,979.0,987.5,1004.1638716896648,6536309,121534,6563525352.0,1858962.0,28.44,101.0,-88.5
2004-08-26,TCS,EQ,987.95,992.0,997.0,975.3,976.85,979.0,985.65,5055400,498286476730000.0,,1294899,0.2561,992.7,996.7,975.3,978.55,985.2434663863298,2243016,44222,2209916859.0,497612.0,22.18,21.4,-14.15
2004-08-27,TCS,EQ,979.0,982.4,982.4,958.55,961.2,962.65,969.94,3830750,371558603080000.0,,976527,0.2549,982.45,982.45,958.55,962.35,969.4240077109487,1503317,31798,1457351591.0,263508.0,17.53,23.9,-20.1
2004-08-30,TCS,EQ,962.65,969.9,990.0,965.0,986.4,986.75,982.65,3058151,300510633990000.0,,701664,0.2294,967.7,989.75,965.0,986.25,982.6079324762472,1124819,23698,1105256072.0,220874.0,19.64,24.75,18.55
2004-08-31,TCS,EQ,986.75,986.5,990.0,976.0,987.8,988.1,982.18,2649332,260213265065000.0,,695234,0.2624,989.0,990.0,976.0,987.95,982.2582757302217,1135066,19871,1114927972.0,282277.0,24.87,14.0,-1.05
2004-09-01,TCS,EQ,988.1,990.0,995.0,983.6,986.0,987.9,989.68,2491943,246623557695000.0,,790586,0.3173,988.5,994.9,983.5,987.8,989.4575918565982,986320,17909,975921812.0,246817.0,25.02,11.4,-0.7
2004-09-02,TCS,EQ,987.9,989.9,1004.6,986.0,994.0,993.65,996.96,2669544,266142619640000.0,,501792,0.188,988.0,1004.85,988.0,993.45,997.2313044140536,1050395,23792,1047486776.0,171371.0,16.31,16.85,5.45
2004-09-03,TCS,EQ,993.65,1006.0,1100.0,990.35,998.7,997.85,996.91,1233732,122991693990000.02,,235508,0.1909,996.0,1000.25,989.75,997.95,996.7593194962719,526316,12411,524610378.0,101989.0,19.38,10.5,1.95
2004-09-06,TCS,EQ,997.85,1039.9,1039.9,992.9,996.8,994.85,998.87,1129834,112855395175000.0,,430184,0.3807,998.0,1004.85,993.15,995.0,999.1746742387289,401828,10817,401496361.0,93129.0,23.18,11.7,-3.0
2004-09-07,TCS,EQ,994.85,1035.0,1035.0,995.0,995.0,995.6,997.34,721529,71961091360000.0,,198212,0.2747,997.0,1000.0,994.3,995.35,997.2970433727173,263645,7404,262932379.0,70956.0,26.91,5.7,-1.65
2004-09-08,TCS,EQ,995.6,996.0,1000.8,991.1,992.25,993.7,995.29,824248,82036168250000.0,,220195,0.2671,998.0,1000.0,991.25,993.5,995.0708384860812,257953,7258,256681508.0,62750.0,24.33,8.75,-4.5
2004-09-09,TCS,EQ,993.7,997.0,997.9,978.45,979.65,979.95,985.16,993398,97865742605000.0,,364189,0.3666,993.0,998.0,978.25,980.0,984.7897856905593,412441,10947,406167684.0,142169.0,34.47,19.75,-13.0
2004-09-10,TCS,EQ,979.95,990.0,990.0,976.0,989.95,988.8,985.12,801884,78995066425000.0,,203388,0.2536,980.25,990.0,979.0,988.75,984.9785932619777,299999,8913,295492593.0,58164.0,19.39,11.0,8.5
2004-09-13,TCS,EQ,988.8,991.0,1015.5,991.0,1002.75,1003.5,1007.31,2613114,263222057075000.0,,735865,0.2816,991.4,1015.65,991.0,1004.05,1007.4060583664797,928204,25363,935078333.0,167195.0,18.01,24.65,12.65
2004-09-14,TCS,EQ,1003.5,1005.0,1018.8,1002.95,1015.95,1015.65,1012.95,1916934,194176341765000.0,,493998,0.2577,1016.0,1018.8,1003.55,1015.45,1012.616465895809,806807,19608,816986053.0,118659.0,14.71,15.25,-0.55
2004-09-15,TCS,EQ,1015.65,1018.0,1020.0,1001.2,1005.0,1006.1,1009.12,1498536,151220835185000.0,,483466,0.3226,1017.0,1019.9,1001.0,1005.7,1009.4614336682657,543194,12999,548333394.0,118851.0,21.88,18.9,-11.3
2004-09-16,TCS,EQ,1006.1,1007.0,1015.0,1002.5,1011.0,1008.45,1009.82,919778,92880625155000.0,,240651,0.2616,1008.0,1015.0,1003.0,1008.1,1009.8639790278172,432573,10310,436839891.0,131022.0,30.29,12.0,0.1
2004-09-17,TCS,EQ,1008.45,1012.0,1029.9,1010.3,1029.9,1024.5,1021.09,1828487,186704728600000.0,,538239,0.2944,1014.0,1029.5,1011.0,1024.1,1020.7839362733624,717816,22195,732735042.0,149867.0,20.88,18.5,10.1
2004-09-20,TCS,EQ,1024.5,1032.4,1036.9,1020.15,1022.5,1022.9,1028.83,1069028,109984353400000.0,,305251,0.28550000000000003,1032.05,1038.0,1020.0,1022.85,1029.1097767869387,510454,13422,525313202.0,123122.0,24.12,18.0,-9.2
2004-09-21,TCS,EQ,1022.9,1024.85,1048.5,1022.0,1047.4,1045.8,1039.54,1737135,180582247935000.0,,413801,0.2382,1025.0,1049.0,1023.0,1045.6,1039.6058468591687,735506,19272,764636338.0,144973.0,19.71,26.0,20.6
2004-09-22,TCS,EQ,1045.8,1048.4,1056.0,1037.1,1049.9,1052.05,1047.57,1921448,201285707725000.0,,443693,0.2309,1050.0,1056.0,1037.25,1051.95,1048.0023375273834,898813,18560,941958125.0,208106.0,23.15,18.75,1.95
2004-09-23,TCS,EQ,1052.05,1048.0,1049.0,1027.0,1028.0,1030.25,1037.8,1977460,205219984925000.0,,846586,0.4281,1044.65,1048.0,1027.0,1029.45,1037.6224453311772,802697,15051,832896424.0,306162.0,38.14,21.0,-15.2
2004-09-24,TCS,EQ,1030.25,1029.1,1040.0,1026.0,1027.6,1028.8,1033.94,1010401,104469291485000.0,,218183,0.2159,1031.0,1040.0,1026.05,1028.95,1033.7175777956054,390157,10274,403312149.0,50785.0,13.02,13.95,-2.05
2004-09-27,TCS,EQ,1028.8,1027.5,1032.5,1015.0,1019.0,1020.75,1022.44,1028689,105176792875000.0,,299518,0.2912,1030.0,1032.25,1015.0,1020.0,1022.9779882523655,431406,11731,441318842.0,69149.0,16.03,17.25,-10.0
2004-09-28,TCS,EQ,1020.75,1016.0,1027.4,1012.5,1016.2,1015.55,1020.82,792427,80892486505000.0,,205152,0.2589,1024.0,1027.8,1012.15,1015.15,1020.9937334138432,394154,9127,402428764.0,89352.0,22.67,15.65,-8.85
2004-09-29,TCS,EQ,1015.55,1019.25,1033.0,1016.15,1031.0,1031.0,1024.61,1467147,150325381695000.0,,504626,0.344,1023.8,1032.65,1017.1,1030.25,1024.0123395095736,488269,10692,499993481.0,103526.0,21.2,15.55,6.45
2004-09-30,TCS,EQ,1031.0,1035.6,1040.9,1020.65,1025.1,1027.1,1032.72,1565179,161639741775000.0,,585075,0.3738,1032.35,1040.7,1024.0,1027.1,1034.5911756664007,537627,10280,556224150.0,176197.0,32.77,16.7,-5.25
2004-10-01,TCS,EQ,1027.1,1029.0,1056.45,1026.35,1048.5,1047.7,1043.58,1371111,143086157380000.0,,502221,0.3663,1029.8,1056.45,1027.0,1048.25,1044.4682760541277,491947,15109,513823035.0,140836.0,28.63,29.45,18.45
2004-10-04,TCS,EQ,1047.7,1057.0,1081.0,1054.45,1079.2,1076.5,1071.89,1891228,202718607370000.0,,790442,0.418,1055.0,1081.0,1053.0,1076.8,1070.9554871361606,615485,19885,659157038.0,226906.0,36.87,28.0,21.8
2004-10-05,TCS,EQ,1076.5,1080.3,1089.0,1075.5,1077.05,1080.7,1083.44,1792661,194224809145000.0,,532812,0.2972,1080.0,1089.1,1075.6,1080.2,1083.495203873203,760301,17262,823782487.0,195801.0,25.75,13.5,0.2
2004-10-06,TCS,EQ,1080.7,1081.0,1102.8,1075.05,1082.0,1081.6,1090.08,2208833,240781336490000.0,,701623,0.31760000000000005,1080.0,1103.0,1075.25,1081.15,1089.8389453286723,816406,20385,889751054.0,157711.0,19.32,27.75,1.15
2004-10-07,TCS,EQ,1081.6,1083.0,1100.0,1083.0,1099.6,1097.1,1093.19,1260016,137743728184999.98,,403582,0.32030000000000003,1085.0,1099.5,1084.0,1096.75,1092.650989116973,456215,12583,498483771.0,122011.0,26.74,15.5,11.75
2004-10-08,TCS,EQ,1097.1,1098.0,1111.0,1095.0,1097.8,1098.05,1103.24,1069865,118031920455000.0,,308783,0.2886,1094.7,1110.0,1093.0,1097.8,1102.680168377365,456831,14849,503738484.0,94476.0,20.68,17.0,3.1
2004-10-09,TCS,EQ,1098.05,1099.9,1103.85,1094.25,1103.0,1100.65,1099.79,258539,28433831260000.004,,89081,0.3446,1099.1,1104.0,1094.9,1100.2,1099.5661744813544,140462,4749,154447264.0,42103.0,29.97,9.1,1.1
2004-10-11,TCS,EQ,1100.65,1100.0,1111.5,1085.0,1089.6,1089.3,1099.02,1166507,128201612955000.0,,459319,0.3938,1106.0,1198.0,1085.7,1089.4,1099.4962723284452,585352,12690,643592342.0,180239.0,30.79,112.3,-16.6
2004-10-12,TCS,EQ,1089.3,1110.0,1115.0,1077.65,1080.0,1084.45,1093.36,1950064,213212137190000.0,,520867,0.2671,1105.0,1140.0,1078.4,1085.05,1094.1082615808257,858855,19655,939680351.0,198067.0,23.06,61.6,-19.95
2004-10-14,TCS,EQ,1084.45,1103.0,1124.0,1088.05,1117.5,1116.2,1107.77,2403248,266223430965000.0,,677707,0.282,1098.0,1123.95,1089.0,1116.6,1107.8949892061514,898660,23690,995620911.0,219135.0,24.38,34.95,18.6
2004-10-15,TCS,EQ,1116.2,1121.7,1141.0,1117.25,1127.6,1126.0,1129.32,2224968,251269315030000.03,,621885,0.2795,1122.0,1140.75,1117.0,1126.1,1128.9408938635386,915218,22942,1033227027.0,240995.0,26.33,23.75,4.1
