Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2006-08-28,TECHM,EQ,365.0,521.0,569.0,502.0,553.0,554.25,552.0,15166163,837176013020000.0,,3777529,0.2491,525.0,569.0,523.0,552.8,552.5941210834318,8230292,109664,4548010974.0,1316910.0,16.0,46.0,27.8
2006-08-29,TECHM,EQ,554.25,555.0,563.9,535.55,536.1,539.3,547.59,3929113,215153038915000.0,,727534,0.1852,556.5,564.3,536.05,539.25,547.7226068516121,2041359,33162,1118098473.0,280070.0,13.72,28.25,-17.25
2006-08-30,TECHM,EQ,539.3,537.0,542.9,521.5,529.0,528.1,529.55,2034983,107762957620000.0,,345064,0.1696,541.0,541.0,520.9,526.75,528.9277943059055,1224848,19597,647856151.0,210698.0,17.2,20.1,-14.25
2006-08-31,TECHM,EQ,528.1,525.0,544.0,515.0,539.35,538.45,532.89,1670990,89044643830000.0,,286440,0.1714,528.25,545.0,520.6,539.95,533.2095803047363,1200776,19523,640265267.0,134833.0,11.23,24.4,11.7
2006-09-01,TECHM,EQ,538.45,539.0,549.0,535.1,541.35,541.85,542.46,1176195,63803856150000.0,,213842,0.1818,542.1,549.0,536.0,542.4,543.1240255237931,781702,13140,424561137.0,85289.0,10.91,13.0,0.3
2006-09-04,TECHM,EQ,541.85,542.0,549.0,452.8,542.0,543.95,543.8,749788,40773713470000.0,,213912,0.2853,544.25,548.0,538.05,541.6,543.3462670531208,400220,7499,217458043.0,85192.0,21.29,9.95,-2.65
2006-09-05,TECHM,EQ,543.95,544.0,556.0,538.5,551.5,552.7,548.92,956133,52483829145000.0,,258744,0.2706,543.0,556.4,538.2,553.55,549.9300485813667,521805,9575,286956249.0,88300.0,16.92,18.2,10.55
2006-09-06,TECHM,EQ,552.7,554.7,562.5,538.0,540.0,541.25,551.38,957611,52801098525000.0,,202832,0.2118,554.0,562.0,538.1,541.0,552.0491633171126,602319,9882,332509700.0,102367.0,17.0,23.9,-13.0
2006-09-07,TECHM,EQ,541.25,545.0,545.0,530.0,536.25,537.3,536.79,351161,18849974530000.0,,140830,0.401,538.4,541.9,532.0,536.9,536.7284169447091,201408,3384,108101397.0,91575.0,45.47,9.9,-1.5
2006-09-08,TECHM,EQ,537.3,538.8,544.9,531.55,531.6,534.8,538.89,269659,14531639525000.0,,59668,0.2213,537.5,545.0,530.25,534.5,539.2601883522249,130394,3157,70316293.0,37234.0,28.55,14.75,-3.0
