Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2004-08-24,ULTRACEMCO,EQ,10.0,305.0,340.0,253.25,259.0,260.2,268.8,6633956,178323693135000.0,,970249,0.1463,305.0,338.7,254.0,260.35,270.80181162700956,3467822,34041,939092480.0,364945.0,10.52,84.7,-44.65
2004-08-25,ULTRACEMCO,EQ,260.2,262.0,264.7,249.2,255.0,255.55,255.54,2794161,71401072765000.0,,584835,0.2093,263.0,263.4,248.9,255.8,255.43205042591438,1436087,14663,366822647.0,262306.0,18.27,14.5,-7.2
2004-08-26,ULTRACEMCO,EQ,255.55,257.75,272.5,256.0,270.1,270.7,267.0,2340926,62502313585000.0,,443707,0.1895,258.0,272.0,254.0,270.15,266.71868566781154,965205,10998,257438209.0,118396.0,12.27,18.0,12.15
2004-08-27,ULTRACEMCO,EQ,270.7,272.0,272.55,260.65,261.35,262.25,264.4,915106,24195293220000.0,,222763,0.2434,271.1,272.7,261.0,262.7,264.4723193765721,368543,5367,97469422.0,53552.0,14.53,11.7,-8.4
2004-08-30,ULTRACEMCO,EQ,262.25,263.7,269.0,262.05,267.0,266.1,265.38,387417,10281084615000.0,,84031,0.2169,264.0,269.0,263.0,266.0,265.51908696099093,155656,2508,41329639.0,28347.0,18.21,6.0,2.0
2004-08-31,ULTRACEMCO,EQ,266.1,266.8,267.8,264.3,266.45,266.2,266.0,261123,6945977815000.001,,85009,0.3256000000000001,265.9,268.3,264.85,265.95,266.15366075855945,86717,1616,23080047.0,27184.0,31.35,3.45,0.05
2004-09-01,ULTRACEMCO,EQ,266.2,267.0,273.45,265.0,267.0,267.2,269.43,311985,8405950375000.0,,67745,0.2171,267.5,273.5,265.0,267.35,269.9997665980606,141387,2463,38174457.0,32658.0,23.1,8.5,-0.15
2004-09-02,ULTRACEMCO,EQ,267.2,267.85,269.5,260.0,264.0,262.2,264.61,205537,5438734245000.0,,75679,0.3682,268.5,269.6,261.0,263.15,264.770863464019,76749,1382,20320899.0,20080.0,26.16,8.6,-5.35
2004-09-03,ULTRACEMCO,EQ,262.2,262.2,264.9,257.5,262.65,262.65,261.0,303156,7912255820000.0,,165614,0.5463,264.0,265.5,258.5,262.8,260.89047971207407,101415,1474,26458208.0,59025.0,58.2,7.0,-1.2
2004-09-06,ULTRACEMCO,EQ,262.65,263.5,267.85,263.0,264.75,265.3,265.9,74691,1986045295000.0,,29535,0.3954,265.1,268.35,264.1,265.55,266.2474824613632,38629,873,10284874.0,19289.0,49.93,4.25,0.45
2004-09-07,ULTRACEMCO,EQ,265.3,264.0,265.8,263.55,265.0,264.85,264.72,128275,3395633070000.0005,,95223,0.7423000000000001,265.5,266.5,264.0,265.15,265.06519038128033,77266,842,20480527.0,62541.0,80.94,2.5,-0.35
2004-09-08,ULTRACEMCO,EQ,264.85,266.0,266.0,262.6,263.5,263.45,263.95,95094,2510026795000.0,,51956,0.5464,270.0,270.0,262.1,263.55,263.9459459459459,25234,486,6660412.0,13998.0,55.47,7.9,-6.45
2004-09-09,ULTRACEMCO,EQ,263.45,264.5,265.0,254.8,256.5,256.0,258.58,229786,5941920480000.0,,146745,0.6386000000000001,265.0,265.5,254.0,255.6,258.4499408548569,107363,1637,27747961.0,65442.0,60.95,11.5,-9.4
2004-09-10,ULTRACEMCO,EQ,256.0,256.9,264.4,254.35,258.1,258.6,258.61,313469,8106592025000.0,,123203,0.393,257.0,264.45,255.0,258.9,258.74291826765733,165002,2615,42693099.0,50258.0,30.46,9.45,1.9
2004-09-13,ULTRACEMCO,EQ,258.6,256.0,262.15,256.0,260.8,260.65,260.79,100186,2612736595000.0,,68093,0.6797,258.0,262.95,257.0,260.2,260.4329434123005,30519,532,7948153.0,16902.0,55.38,5.95,2.2
2004-09-14,ULTRACEMCO,EQ,260.65,261.0,263.5,259.0,261.0,261.1,260.97,87282,2277834495000.0,,51097,0.5854,257.1,263.7,257.1,261.55,261.53895674736253,40853,757,10684651.0,20661.0,50.57,6.6,4.45
2004-09-15,ULTRACEMCO,EQ,261.1,262.7,266.95,261.5,263.0,263.9,264.35,179209,4737380115000.0,,104194,0.5814,261.15,266.4,261.15,263.85,264.00778703764456,91434,1097,24139288.0,59096.0,64.63,5.25,2.7
2004-09-16,ULTRACEMCO,EQ,263.9,264.0,266.7,261.0,266.7,265.6,264.52,113885,3012490745000.0,,72887,0.64,263.8,266.0,262.55,265.25,264.76254012515807,61682,790,16331083.0,45582.0,73.9,3.45,1.45
2004-09-17,ULTRACEMCO,EQ,265.6,267.0,274.45,266.1,271.0,271.0,270.63,193931,5248431360000.0,,98302,0.5069,266.6,274.0,265.9,271.25,270.7617745486135,101299,1977,27427897.0,49488.0,48.85,8.1,4.65
2004-09-20,ULTRACEMCO,EQ,271.0,272.0,283.0,272.0,276.95,277.35,279.59,447036,12498627405000.0,,257433,0.5759000000000001,272.85,283.0,272.25,277.7,279.55850891410046,231375,3294,64682850.0,123500.0,53.38,10.75,4.85
2004-09-21,ULTRACEMCO,EQ,277.35,280.0,281.8,275.0,275.8,276.3,277.8,317565,8821970460000.0,,207819,0.6544,277.5,281.7,275.55,277.45,277.93767386637404,144867,1659,40263997.0,101822.0,70.29,6.15,-0.05
2004-09-22,ULTRACEMCO,EQ,276.3,281.5,281.95,275.05,280.8,279.25,278.89,142156,3964563920000.001,,70058,0.4928,278.0,282.0,276.1,279.3,279.6424616728271,64119,1135,17930395.0,26746.0,41.71,5.9,1.3
2004-09-23,ULTRACEMCO,EQ,279.25,273.0,279.0,268.8,268.95,269.9,274.07,71981,1972812535000.0,,41985,0.5833,280.0,280.0,267.0,269.55,273.0429546028804,47492,807,12967356.0,31194.0,65.68,13.0,-10.45
2004-09-24,ULTRACEMCO,EQ,269.9,269.5,273.0,267.1,271.3,270.8,269.83,64135,1730562050000.0,,29121,0.4541,269.95,271.5,267.7,270.35,269.4675597995948,63671,712,17157269.0,43168.0,67.8,3.8,0.4
2004-09-27,ULTRACEMCO,EQ,270.8,271.5,273.9,269.3,273.9,272.8,271.61,43976,1194419310000.0,,20984,0.4772,274.0,274.0,269.25,272.85,271.6671390283725,32461,591,8818587.0,13749.0,42.36,4.75,-1.15
2004-09-28,ULTRACEMCO,EQ,272.8,272.8,272.8,263.6,264.5,265.7,266.92,116744,3116087950000.0,,83792,0.7177,272.75,273.0,263.5,266.05,267.94688425485083,114467,1349,30671076.0,96163.0,84.01,9.5,-6.7
2004-09-29,ULTRACEMCO,EQ,265.7,266.9,267.5,262.65,264.5,264.45,264.69,84483,2236162495000.0,,50772,0.601,268.95,268.95,263.0,264.2,265.08124398845786,31190,865,8267884.0,19531.0,62.62,5.95,-4.75
2004-09-30,ULTRACEMCO,EQ,264.45,266.4,268.75,264.95,265.0,266.05,267.09,45563,1216925160000.0,,22853,0.5015999999999999,265.0,268.5,264.5,266.6,266.62230830977563,28653,586,7639529.0,14962.0,52.22,4.0,1.6
2004-10-01,ULTRACEMCO,EQ,266.05,266.0,268.0,264.0,264.0,265.25,266.06,59466,1582174700000.0,,45680,0.7682,269.5,269.5,264.25,265.05,266.2275890132248,24575,480,6542543.0,16243.0,66.1,5.25,-4.45
2004-10-04,ULTRACEMCO,EQ,265.25,268.8,270.9,263.0,270.0,269.05,267.52,173799,4649406115000.0,,134284,0.7726000000000001,269.0,271.0,264.0,269.15,267.3311436319432,85552,1156,22870714.0,62117.0,72.62,7.0,0.15
2004-10-05,ULTRACEMCO,EQ,269.05,269.0,271.0,264.0,264.75,265.25,267.03,74731,1995559745000.0,,45130,0.6039,270.0,271.0,264.5,265.7,267.1365856192851,38496,780,10283690.0,23980.0,62.29,6.5,-4.3
2004-10-06,ULTRACEMCO,EQ,265.25,266.5,298.9,266.5,293.0,295.0,289.81,1072401,31079772730000.0,,485545,0.4528,266.0,298.8,266.0,295.25,289.8252543322892,558423,7977,161845088.0,248673.0,44.53,32.8,29.25
2004-10-07,ULTRACEMCO,EQ,295.0,295.0,354.0,294.0,316.05,316.45,323.06,2122276,68563209940000.0,,430666,0.2029,295.0,353.0,293.0,316.25,324.07616813111605,1113274,13635,360785572.0,185950.0,16.7,60.0,21.25
2004-10-08,ULTRACEMCO,EQ,316.45,318.1,331.35,316.45,322.0,320.4,322.82,599337,19347837390000.0,,121973,0.2035,318.0,330.0,316.1,319.2,321.9061190997466,279077,4838,89836594.0,39126.0,14.02,13.9,1.2
2004-10-09,ULTRACEMCO,EQ,320.4,321.4,322.0,314.0,316.0,315.65,317.5,90585,2876117640000.0,,24186,0.267,321.0,322.0,313.4,314.95,317.2253830874007,42288,848,13414827.0,11655.0,27.56,8.6,-6.05
2004-10-11,ULTRACEMCO,EQ,315.65,315.0,318.6,301.25,303.3,304.7,310.88,121262,3769788995000.001,,39686,0.3273,315.0,318.0,301.35,304.2,310.9341777162081,50530,1007,15711504.0,19392.0,38.53,16.65,-10.8
2004-10-12,ULTRACEMCO,EQ,304.7,307.0,311.0,298.1,298.6,300.15,303.61,146878,4459424860000.0,,38394,0.2614,309.9,310.95,299.2,301.15,303.77604845099165,74467,1472,22621291.0,26891.0,36.11,11.75,-8.75
2004-10-14,ULTRACEMCO,EQ,300.15,303.7,303.7,286.55,290.2,289.1,291.66,89146,2600008040000.0,,41267,0.4629,296.2,300.0,285.2,288.6,291.17456301214037,43079,1046,12543509.0,21597.0,50.13,14.8,-7.6
2004-10-15,ULTRACEMCO,EQ,289.1,294.8,299.8,288.0,289.1,290.7,293.49,115264,3382913554999.9995,,29845,0.2589,289.0,300.0,288.05,289.9,293.63827919227384,54672,1143,16053792.0,23260.0,42.54,11.95,0.9
2004-10-18,ULTRACEMCO,EQ,290.7,293.9,295.0,285.0,287.2,286.8,289.35,59350,1717306075000.0,,23875,0.4023,291.9,295.0,285.0,286.2,289.93864832921463,27921,708,8095377.0,9676.0,34.65,10.0,-5.7
2004-10-19,ULTRACEMCO,EQ,286.8,291.4,291.4,282.6,285.05,285.6,287.27,72458,2081525505000.0,,29018,0.4005,289.0,291.0,283.5,286.4,285.17942087266937,372008,714,106089026.0,351331.0,94.46,7.5,-2.6
2004-10-20,ULTRACEMCO,EQ,285.6,288.4,292.3,285.5,286.1,286.55,289.1,95374,2757280380000.0,,28489,0.2987,288.0,293.0,284.0,285.6,288.6948139520628,32626,885,9418957.0,8923.0,27.35,9.0,-2.4
2004-10-21,ULTRACEMCO,EQ,286.55,288.4,296.5,285.0,293.0,292.25,290.02,81976,2377437660000.0,,38678,0.4718,287.0,294.5,285.9,291.05,290.020103473762,33825,895,9809930.0,11040.0,32.64,8.6,4.05
2004-10-25,ULTRACEMCO,EQ,292.25,295.5,305.3,284.6,285.15,286.35,294.16,215408,6336489605000.0,,101310,0.4703,294.05,305.0,285.0,286.65,295.1775103888855,96738,2113,28554882.0,23735.0,24.54,20.0,-7.4
2004-10-26,ULTRACEMCO,EQ,286.35,289.9,294.8,281.55,292.5,289.5,287.67,105215,3026678060000.0,,29444,0.2798,286.05,292.2,282.0,289.6,287.758583987909,46977,1204,13518035.0,18342.0,39.04,10.2,3.55
2004-10-27,ULTRACEMCO,EQ,289.5,285.0,313.9,285.0,297.75,299.15,299.45,656655,19663400160000.0,,473115,0.7205,285.6,311.9,280.0,299.4,300.29620297585615,284960,3196,85572406.0,178889.0,62.78,31.9,13.8
2004-10-28,ULTRACEMCO,EQ,299.15,301.0,311.0,297.0,306.35,306.6,304.78,326585,9953750560000.0,,157306,0.4817,302.5,310.9,296.05,305.5,304.0565461666478,159834,3233,48598574.0,73857.0,46.21,14.85,3.0
2004-10-29,ULTRACEMCO,EQ,306.6,302.2,306.75,301.0,302.5,303.25,303.38,76737,2328017490000.0,,38405,0.5005,306.9,308.9,301.0,303.75,303.83643383643386,34188,861,10387560.0,15455.0,45.21,7.9,-3.15
2004-11-01,ULTRACEMCO,EQ,303.25,305.0,305.0,289.0,301.0,301.3,298.41,190801,5693729435000.0,,112070,0.5874,303.0,303.0,290.0,298.65,297.21767716193943,57645,1519,17133113.0,21572.0,37.42,13.0,-4.35
2004-11-02,ULTRACEMCO,EQ,301.3,306.0,310.0,302.0,307.0,306.9,306.86,109175,3350128690000.0,,41869,0.3835,303.0,308.5,300.5,306.55,306.06231099074705,44310,1025,13561621.0,21347.0,48.18,8.0,3.55
2004-11-03,ULTRACEMCO,EQ,306.9,307.5,310.0,303.0,305.0,305.15,305.53,93238,2848665340000.0,,61160,0.6559999999999999,308.7,310.0,303.3,304.55,306.3560596565985,23937,597,7333245.0,9274.0,38.74,6.7,-4.15
2004-11-04,ULTRACEMCO,EQ,305.15,308.8,308.8,299.0,299.65,300.0,302.59,32815,992958815000.0,,18488,0.5634,305.0,307.9,300.0,300.4,303.27821073306717,15783,499,4786640.0,9402.0,59.57,7.9,-4.6
2004-11-05,ULTRACEMCO,EQ,300.0,303.0,303.0,290.0,294.0,292.35,294.53,61849,1821668365000.0,,42537,0.6878000000000001,300.5,303.0,291.0,292.7,295.41325007719485,29147,672,8610410.0,20301.0,69.65,12.0,-7.8
2004-11-08,ULTRACEMCO,EQ,292.35,297.4,302.0,290.25,294.0,292.5,296.59,80765,2395426680000.0,,52703,0.6525,297.75,302.0,290.0,292.85,297.00607441154136,31608,721,9387768.0,22308.0,70.58,12.0,-4.9
